,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018
1526446540936,-29,-34,-49,-55,-48,-56,-55,-77,-71,-64,-59,-61,-67,-70,-200,-68,-67,-72,-69,-66,-78,-79,-74,-84,-78,-68,-71,-80,-71,-83,-70,-85,-76,-84,-87,-76,-83,-200,-77,-85,-86,-200,-87,-90,-79,-200,-200,-200,-200,-200,-71,-81,-200,-200,-89,-83,-80,-88,-77,-200,-200,-200,-200,-200,-200,-200
1526446543997,-29,-35,-49,-56,-49,-55,-55,-80,-71,-59,-57,-60,-67,-73,-82,-68,-67,-77,-71,-70,-70,-79,-74,-82,-78,-70,-70,-80,-67,-82,-70,-85,-76,-82,-84,-76,-77,-200,-77,-83,-85,-200,-87,-200,-79,-200,-200,-200,-200,-200,-71,-81,-200,-200,-88,-80,-80,-88,-77,-84,-84,-200,-200,-200,-200,-200
1526446547063,-25,-32,-49,-53,-52,-55,-57,-79,-71,-63,-58,-59,-74,-73,-82,-68,-67,-77,-71,-66,-70,-78,-74,-82,-78,-70,-70,-80,-67,-82,-70,-84,-72,-82,-84,-76,-73,-200,-77,-83,-85,-200,-90,-200,-79,-200,-200,-200,-200,-87,-71,-81,-200,-200,-87,-80,-80,-88,-77,-81,-84,-200,-200,-200,-200,-200
1526446550124,-29,-35,-52,-55,-51,-56,-56,-79,-70,-57,-58,-60,-73,-65,-82,-70,-65,-86,-68,-68,-71,-78,-72,-82,-79,-70,-69,-79,-81,-81,-71,-84,-74,-81,-84,-76,-73,-200,-77,-83,-84,-200,-90,-200,-79,-200,-200,-200,-200,-88,-71,-80,-200,-200,-87,-80,-80,-88,-77,-81,-84,-200,-200,-200,-200,-200
1526446553177,-29,-31,-49,-56,-48,-55,-56,-71,-70,-53,-54,-60,-79,-65,-82,-70,-65,-86,-64,-66,-67,-77,-73,-82,-78,-70,-70,-78,-77,-80,-71,-84,-70,-81,-84,-76,-71,-200,-83,-83,-83,-200,-90,-200,-200,-200,-200,-200,-200,-88,-71,-80,-200,-200,-87,-80,-200,-200,-77,-81,-84,-200,-200,-200,-200,-200
1526446556235,-29,-35,-57,-56,-52,-55,-53,-73,-72,-61,-55,-59,-76,-65,-77,-70,-64,-86,-64,-66,-67,-75,-73,-80,-78,-70,-75,-79,-77,-80,-71,-84,-70,-81,-84,-84,-71,-200,-83,-83,-84,-200,-90,-200,-200,-200,-200,-85,-200,-88,-200,-80,-83,-87,-87,-80,-200,-200,-77,-81,-84,-200,-200,-200,-200,-200
1526446559294,-29,-34,-52,-56,-51,-53,-55,-75,-69,-62,-58,-67,-74,-65,-76,-70,-64,-86,-68,-67,-73,-75,-70,-79,-78,-69,-73,-79,-67,-79,-71,-84,-75,-80,-84,-78,-83,-200,-83,-83,-82,-80,-90,-86,-200,-200,-200,-85,-200,-88,-200,-80,-83,-87,-87,-200,-200,-200,-200,-81,-200,-80,-81,-200,-200,-200
1526446562352,-27,-32,-55,-56,-49,-53,-55,-76,-69,-54,-58,-67,-72,-65,-77,-70,-67,-79,-66,-66,-69,-76,-72,-79,-78,-66,-74,-80,-75,-79,-72,-200,-75,-81,-85,-78,-77,-200,-83,-200,-83,-80,-200,-86,-200,-200,-200,-85,-200,-88,-200,-80,-83,-87,-89,-200,-200,-200,-200,-200,-200,-80,-81,-200,-200,-200
1526446565401,-28,-39,-52,-55,-48,-55,-57,-76,-69,-53,-56,-60,-74,-69,-77,-200,-66,-79,-66,-68,-69,-76,-72,-79,-78,-67,-71,-80,-75,-79,-70,-200,-75,-81,-84,-77,-77,-200,-83,-200,-83,-80,-200,-86,-200,-200,-200,-85,-200,-200,-200,-82,-83,-87,-86,-200,-200,-200,-200,-200,-200,-80,-81,-89,-200,-200
1526446568451,-28,-32,-50,-56,-48,-55,-57,-81,-69,-58,-56,-60,-74,-69,-77,-200,-66,-82,-66,-68,-74,-76,-73,-79,-78,-68,-72,-79,-75,-79,-69,-83,-69,-81,-85,-77,-77,-200,-83,-84,-83,-83,-200,-86,-200,-200,-200,-85,-200,-87,-200,-82,-83,-87,-86,-86,-200,-200,-77,-200,-200,-80,-83,-89,-92,-200
1526446571521,-29,-34,-50,-55,-48,-55,-55,-77,-69,-54,-59,-60,-71,-71,-78,-200,-65,-82,-66,-69,-71,-78,-76,-79,-78,-68,-72,-80,-69,-80,-69,-83,-69,-82,-84,-77,-73,-200,-85,-82,-84,-83,-200,-86,-80,-200,-78,-87,-200,-87,-200,-82,-200,-200,-87,-86,-200,-200,-77,-83,-200,-80,-83,-89,-92,-86
1526446574585,-28,-64,-51,-53,-46,-56,-54,-74,-69,-53,-59,-66,-71,-71,-78,-67,-65,-82,-64,-67,-70,-78,-72,-200,-78,-70,-72,-80,-65,-80,-71,-84,-69,-82,-86,-77,-76,-200,-78,-82,-84,-83,-200,-200,-80,-200,-78,-87,-200,-87,-200,-82,-200,-200,-87,-82,-200,-200,-77,-83,-200,-200,-83,-90,-92,-86
