,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526448601325,-38,-32,-38,-44,-44,-44,-47,-46,-40,-49,-51,-45,-43,-47,-52,-49,-52,-52,-52,-200,-46,-58,-63,-51,-57,-65,-67,-60,-57,-62,-57,-70,-64,-72,-59,-200,-200,-67,-69,-68,-70,-73,-74,-200,-85,-84,-200,-81,-81,-200,-84,-84,-89,-67,-200,-90,-62,-63,-75,-68,-89,-66,-74,-200,-200,-200,-200
1526448604361,-39,-32,-38,-45,-44,-48,-37,-47,-41,-49,-47,-46,-50,-47,-49,-49,-52,-52,-50,-200,-53,-58,-63,-54,-57,-65,-67,-58,-57,-62,-57,-70,-63,-72,-59,-200,-200,-70,-69,-200,-70,-75,-76,-200,-82,-84,-200,-81,-85,-200,-84,-88,-89,-67,-200,-90,-62,-63,-200,-68,-89,-66,-74,-73,-82,-200,-200
1526448607390,-39,-32,-38,-44,-44,-45,-37,-47,-41,-47,-47,-45,-50,-46,-52,-49,-52,-48,-50,-200,-53,-57,-63,-55,-57,-200,-62,-58,-57,-62,-68,-66,-66,-72,-59,-200,-200,-66,-70,-200,-69,-71,-76,-200,-86,-85,-200,-81,-85,-200,-84,-84,-89,-67,-200,-200,-62,-63,-200,-68,-89,-66,-74,-73,-82,-200,-200
1526448610417,-54,-34,-42,-43,-45,-46,-37,-45,-42,-43,-51,-45,-44,-42,-53,-49,-55,-56,-50,-200,-53,-53,-63,-58,-57,-200,-68,-58,-57,-65,-68,-66,-66,-72,-59,-200,-200,-67,-70,-200,-70,-76,-75,-200,-86,-84,-200,-79,-81,-200,-84,-87,-93,-67,-200,-200,-62,-63,-200,-68,-200,-66,-74,-73,-82,-200,-200
1526448613464,-42,-39,-39,-43,-44,-39,-38,-47,-42,-52,-53,-49,-44,-49,-50,-59,-54,-56,-51,-63,-48,-54,-63,-52,-57,-56,-68,-57,-57,-61,-68,-66,-62,-72,-59,-200,-200,-65,-71,-200,-71,-73,-75,-200,-83,-83,-200,-79,-82,-200,-86,-86,-93,-67,-200,-200,-62,-63,-200,-68,-92,-66,-74,-73,-82,-200,-200
1526448616491,-42,-35,-40,-41,-44,-42,-46,-49,-36,-46,-53,-45,-45,-49,-53,-59,-54,-48,-51,-63,-57,-56,-56,-52,-200,-56,-68,-62,-57,-60,-68,-66,-66,-72,-59,-200,-200,-61,-65,-70,-73,-77,-77,-200,-83,-83,-200,-79,-83,-200,-87,-86,-88,-200,-200,-200,-62,-63,-200,-200,-92,-66,-74,-73,-82,-91,-200
1526448619520,-38,-33,-44,-38,-47,-43,-40,-45,-37,-43,-53,-45,-45,-49,-59,-53,-56,-58,-48,-59,-56,-56,-56,-52,-200,-56,-68,-62,-57,-57,-65,-66,-61,-64,-59,-200,-200,-60,-69,-70,-73,-77,-77,-200,-85,-83,-200,-83,-84,-200,-85,-81,-88,-200,-200,-200,-200,-63,-200,-64,-92,-66,-74,-73,-82,-91,-62
1526448622551,-37,-53,-55,-40,-41,-47,-45,-45,-39,-47,-52,-49,-47,-50,-55,-51,-53,-54,-49,-55,-56,-52,-56,-54,-200,-56,-68,-62,-200,-57,-65,-67,-62,-64,-59,-70,-200,-64,-68,-70,-77,-74,-75,-200,-86,-87,-200,-83,-84,-200,-87,-80,-88,-70,-200,-200,-200,-63,-200,-64,-92,-200,-200,-73,-82,-91,-62
1526448625580,-38,-38,-43,-41,-41,-43,-46,-45,-35,-47,-49,-48,-47,-50,-53,-48,-57,-50,-52,-53,-52,-52,-60,-52,-200,-56,-66,-59,-60,-60,-65,-67,-62,-64,-59,-70,-71,-66,-65,-70,-74,-72,-70,-200,-88,-87,-200,-82,-83,-200,-86,-84,-88,-70,-200,-200,-200,-200,-200,-64,-92,-200,-200,-200,-200,-91,-62
1526448628610,-37,-33,-43,-39,-48,-46,-43,-48,-36,-45,-53,-46,-43,-47,-49,-48,-60,-46,-52,-53,-56,-52,-63,-50,-57,-56,-66,-61,-60,-62,-62,-67,-61,-64,-59,-70,-73,-65,-69,-70,-74,-74,-73,-200,-88,-86,-200,-85,-82,-200,-85,-85,-88,-70,-200,-200,-200,-200,-200,-67,-92,-200,-200,-200,-200,-91,-62
1526448631638,-45,-37,-40,-39,-45,-50,-41,-48,-36,-45,-54,-44,-39,-47,-51,-48,-59,-52,-52,-53,-53,-56,-63,-50,-57,-67,-66,-62,-60,-58,-60,-67,-63,-64,-200,-70,-74,-63,-66,-70,-75,-72,-73,-200,-86,-83,-200,-88,-81,-200,-85,-85,-86,-70,-200,-200,-200,-200,-76,-67,-90,-200,-200,-200,-200,-91,-62
1526448634658,-41,-31,-46,-38,-49,-50,-41,-45,-34,-40,-54,-44,-42,-47,-51,-48,-56,-46,-56,-53,-48,-57,-63,-58,-57,-67,-66,-62,-60,-61,-60,-67,-63,-64,-67,-70,-74,-61,-69,-71,-73,-72,-75,-200,-86,-85,-200,-85,-81,-200,-88,-85,-86,-65,-200,-200,-200,-200,-76,-65,-89,-200,-200,-200,-200,-88,-62
