,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447943874,-34,-40,-37,-47,-48,-38,-47,-38,-51,-51,-53,-52,-41,-56,-51,-58,-61,-58,-54,-62,-47,-58,-51,-49,-44,-60,-45,-60,-60,-57,-58,-36,-66,-200,-66,-74,-65,-200,-70,-70,-66,-65,-71,-75,-200,-70,-74,-68,-200,-82,-62,-79,-77,-200,-63,-86,-87,-88,-200,-85,-88,-74,-200,-200,-45,-62,-73,-200,-200,-200,-200,-200,-200,-200
1526447946904,-33,-39,-26,-48,-44,-38,-52,-37,-51,-51,-52,-52,-48,-46,-51,-58,-61,-54,-56,-60,-47,-54,-51,-47,-46,-58,-44,-64,-62,-49,-51,-40,-66,-200,-66,-70,-63,-200,-70,-70,-200,-65,-71,-74,-200,-70,-73,-68,-200,-83,-62,-77,-77,-200,-63,-86,-87,-88,-200,-88,-88,-71,-200,-200,-47,-62,-73,-90,-200,-200,-200,-200,-200,-200
1526447949933,-35,-39,-35,-46,-46,-38,-43,-37,-51,-51,-56,-52,-43,-52,-54,-200,-61,-56,-55,-66,-50,-55,-200,-47,-43,-54,-44,-64,-61,-52,-53,-40,-66,-200,-62,-70,-60,-200,-70,-73,-68,-65,-71,-70,-200,-71,-73,-200,-200,-79,-62,-79,-74,-200,-63,-86,-88,-88,-200,-88,-87,-71,-200,-200,-47,-62,-73,-90,-200,-200,-200,-200,-200,-200
1526447952961,-35,-36,-38,-46,-46,-42,-45,-40,-56,-53,-56,-53,-53,-45,-54,-200,-61,-51,-53,-66,-50,-56,-200,-45,-45,-57,-44,-64,-69,-50,-49,-40,-66,-67,-63,-67,-60,-200,-70,-73,-68,-65,-200,-74,-200,-67,-73,-200,-200,-81,-62,-79,-74,-200,-63,-88,-88,-88,-200,-88,-87,-67,-200,-200,-47,-62,-73,-90,-70,-200,-200,-200,-200,-200
1526447955990,-35,-36,-38,-50,-42,-40,-45,-39,-52,-48,-56,-53,-43,-51,-54,-200,-57,-54,-55,-66,-52,-56,-200,-45,-45,-56,-39,-58,-63,-50,-49,-38,-66,-67,-67,-72,-64,-200,-200,-71,-68,-62,-200,-69,-200,-71,-73,-200,-200,-81,-62,-79,-78,-200,-63,-85,-88,-87,-200,-88,-86,-67,-200,-200,-47,-200,-73,-90,-70,-65,-200,-200,-200,-200
1526447959019,-53,-37,-37,-50,-42,-43,-46,-37,-48,-48,-56,-45,-43,-51,-54,-200,-57,-54,-54,-60,-52,-53,-200,-45,-46,-61,-42,-58,-62,-54,-49,-38,-66,-67,-67,-71,-63,-200,-200,-71,-68,-62,-71,-70,-64,-70,-73,-200,-200,-82,-62,-80,-77,-90,-63,-85,-85,-87,-200,-88,-83,-67,-200,-200,-47,-200,-200,-90,-70,-64,-200,-200,-200,-200
1526447962049,-37,-39,-35,-56,-46,-43,-44,-37,-48,-52,-49,-45,-43,-47,-54,-200,-57,-54,-54,-60,-51,-53,-52,-43,-46,-61,-50,-58,-62,-60,-53,-37,-66,-72,-68,-68,-63,-200,-200,-70,-68,-64,-71,-74,-64,-73,-72,-200,-200,-80,-62,-77,-74,-90,-200,-87,-86,-83,-200,-88,-83,-67,-200,-200,-47,-200,-200,-90,-70,-64,-200,-200,-200,-200
1526447965075,-35,-40,-35,-51,-46,-37,-43,-38,-48,-55,-52,-41,-41,-48,-65,-53,-57,-57,-53,-60,-54,-52,-52,-43,-46,-57,-46,-58,-61,-52,-51,-41,-200,-66,-67,-70,-63,-200,-200,-71,-68,-66,-71,-75,-64,-74,-72,-200,-200,-84,-61,-77,-76,-90,-200,-87,-86,-83,-200,-87,-84,-67,-200,-200,-47,-200,-200,-90,-70,-64,-58,-75,-200,-200
1526447968110,-35,-44,-39,-48,-42,-38,-43,-39,-47,-55,-52,-37,-48,-48,-65,-53,-57,-57,-53,-60,-51,-52,-52,-46,-46,-57,-46,-54,-58,-52,-51,-36,-200,-66,-65,-73,-63,-200,-200,-75,-68,-66,-71,-73,-64,-74,-72,-200,-200,-82,-61,-77,-76,-90,-200,-86,-86,-87,-200,-87,-85,-67,-200,-200,-47,-200,-200,-200,-70,-64,-58,-75,-72,-200
1526447971142,-33,-36,-38,-48,-42,-38,-38,-35,-47,-55,-52,-37,-48,-48,-65,-53,-57,-57,-53,-61,-51,-56,-52,-51,-46,-58,-46,-54,-58,-56,-55,-36,-71,-66,-61,-75,-64,-200,-200,-75,-200,-66,-71,-76,-64,-73,-72,-200,-200,-83,-62,-77,-73,-90,-200,-86,-86,-89,-200,-87,-88,-67,-200,-200,-46,-200,-200,-200,-70,-65,-58,-75,-72,-200
1526447974171,-34,-43,-35,-46,-39,-38,-50,-36,-47,-51,-52,-38,-44,-48,-65,-53,-58,-57,-53,-61,-51,-52,-52,-47,-48,-62,-47,-58,-62,-54,-55,-38,-71,-66,-65,-75,-67,-200,-200,-71,-200,-63,-71,-77,-64,-73,-72,-200,-200,-82,-62,-77,-77,-90,-200,-88,-86,-86,-200,-87,-85,-200,-200,-200,-46,-200,-200,-200,-200,-65,-58,-75,-72,-200
1526447977202,-31,-43,-35,-46,-45,-41,-48,-39,-47,-52,-56,-38,-52,-49,-65,-53,-56,-57,-54,-61,-53,-54,-52,-47,-47,-59,-46,-54,-57,-54,-55,-36,-65,-66,-67,-71,-66,-200,-200,-69,-200,-63,-71,-77,-64,-73,-72,-68,-200,-81,-62,-78,-77,-90,-200,-88,-86,-84,-200,-87,-85,-62,-200,-200,-46,-200,-200,-200,-200,-65,-58,-75,-72,-67
