,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,TP-LINK_1398,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448096878,-37,-53,-40,-51,-36,-42,-44,-38,-51,-45,-37,-45,-53,-43,-57,-57,-40,-41,-33,-49,-44,-51,-49,-41,-200,-52,-46,-51,-58,-60,-60,-59,-58,-200,-71,-64,-64,-69,-65,-200,-68,-200,-67,-63,-200,-200,-200,-82,-200,-200,-200,-78,-73,-80,-78,-86,-83,-88,-90,-200,-200,-62,-72,-93,-90,-62,-200,-200,-200,-200
1526448099909,-34,-53,-43,-51,-36,-42,-40,-38,-57,-48,-37,-44,-53,-43,-49,-58,-40,-46,-33,-49,-44,-51,-49,-42,-200,-49,-46,-48,-58,-60,-57,-63,-58,-200,-71,-64,-64,-69,-65,-200,-71,-200,-70,-61,-200,-200,-200,-79,-200,-200,-200,-78,-65,-80,-82,-86,-83,-88,-90,-200,-200,-62,-200,-200,-90,-62,-200,-200,-200,-200
1526448102935,-36,-52,-44,-51,-36,-44,-40,-38,-55,-46,-37,-40,-53,-43,-49,-58,-36,-43,-39,-49,-43,-51,-49,-42,-64,-53,-46,-48,-58,-60,-54,-59,-60,-200,-72,-62,-66,-69,-65,-200,-67,-200,-66,-61,-200,-200,-200,-77,-200,-200,-200,-77,-69,-84,-80,-87,-83,-86,-90,-200,-200,-62,-200,-200,-200,-62,-200,-200,-200,-200
1526448105958,-42,-52,-44,-47,-36,-43,-40,-36,-54,-41,-40,-44,-55,-39,-57,-58,-43,-53,-44,-50,-44,-51,-49,-41,-64,-52,-45,-56,-59,-55,-60,-55,-56,-200,-76,-58,-66,-72,-65,-200,-66,-200,-66,-66,-200,-200,-200,-80,-200,-200,-200,-77,-70,-80,-83,-86,-85,-86,-88,-200,-200,-62,-200,-200,-200,-62,-70,-90,-200,-200
1526448108972,-39,-51,-45,-47,-36,-43,-38,-40,-54,-41,-42,-48,-54,-48,-57,-51,-43,-54,-44,-50,-44,-51,-56,-43,-64,-52,-45,-48,-65,-61,-61,-59,-58,-200,-70,-58,-66,-72,-200,-200,-66,-200,-65,-62,-200,-75,-200,-79,-69,-200,-200,-85,-73,-80,-83,-82,-82,-86,-88,-200,-200,-62,-200,-200,-200,-62,-70,-86,-200,-200
1526448111999,-39,-51,-45,-48,-36,-43,-38,-44,-54,-41,-44,-40,-54,-56,-57,-51,-44,-54,-44,-53,-44,-51,-56,-43,-64,-52,-48,-48,-65,-61,-65,-56,-59,-200,-77,-58,-66,-72,-200,-200,-70,-200,-66,-65,-200,-75,-200,-76,-69,-200,-200,-81,-70,-80,-84,-84,-85,-86,-88,-200,-200,-62,-200,-200,-200,-62,-70,-86,-200,-200
1526448115027,-37,-46,-44,-48,-36,-41,-42,-36,-53,-41,-44,-40,-54,-56,-53,-51,-40,-50,-40,-55,-47,-200,-56,-47,-64,-52,-48,-48,-65,-61,-56,-57,-59,-200,-77,-58,-66,-72,-200,-200,-66,-200,-70,-64,-200,-75,-200,-78,-69,-200,-200,-81,-70,-81,-84,-85,-89,-86,-89,-200,-200,-62,-200,-200,-200,-62,-70,-87,-200,-200
1526448118054,-35,-49,-44,-48,-35,-40,-42,-40,-54,-41,-40,-44,-54,-46,-52,-52,-39,-52,-43,-54,-44,-200,-54,-46,-64,-50,-48,-44,-65,-61,-59,-57,-59,-200,-77,-58,-66,-69,-200,-200,-71,-200,-69,-68,-200,-75,-200,-77,-69,-200,-200,-76,-74,-81,-83,-86,-89,-88,-87,-200,-200,-62,-200,-200,-200,-60,-70,-87,-71,-200
1526448121087,-36,-55,-44,-48,-34,-44,-42,-40,-54,-43,-41,-44,-54,-46,-53,-52,-39,-52,-44,-54,-44,-200,-54,-41,-64,-50,-48,-45,-63,-57,-58,-58,-59,-200,-74,-70,-66,-69,-200,-200,-66,-63,-71,-68,-200,-75,-70,-77,-67,-200,-200,-75,-71,-81,-82,-84,-85,-88,-89,-69,-200,-60,-72,-200,-200,-60,-70,-87,-71,-70
1526448124115,-36,-55,-44,-48,-34,-44,-39,-40,-58,-43,-42,-47,-54,-47,-53,-52,-39,-52,-44,-54,-44,-200,-54,-41,-200,-50,-48,-45,-65,-57,-58,-59,-59,-200,-74,-62,-200,-69,-200,-200,-68,-63,-67,-65,-200,-75,-70,-77,-69,-200,-200,-78,-69,-79,-84,-82,-85,-88,-89,-66,-200,-61,-72,-200,-88,-60,-70,-85,-71,-70
