,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526447562281,-39,-200,-200,-38,-48,-39,-64,-50,-200,-46,-43,-39,-200,-200,-200,-67,-49,-37,-53,-62,-200,-200,-200,-200,-51,-59,-63,-57,-200,-62,-200,-62,-67,-64,-75,-200,-67,-200,-80,-200,-73,-87,-81,-75,-69,-200,-84,-81,-78,-200,-85,-200,-86,-200,-89,-90,-200,-84,-200,-200,-91,-74,-70,-79,-85,-67,-85,-200,-200,-200,-200,-200,-200
1526447565307,-39,-200,-200,-38,-48,-40,-62,-50,-200,-46,-43,-39,-200,-200,-200,-67,-49,-37,-57,-62,-200,-200,-200,-200,-53,-63,-65,-57,-200,-62,-200,-61,-65,-64,-75,-200,-67,-200,-80,-200,-75,-88,-82,-75,-69,-200,-86,-81,-200,-200,-85,-200,-86,-200,-89,-90,-200,-86,-200,-200,-91,-74,-70,-79,-85,-67,-85,-200,-200,-200,-200,-200,-200
1526447568331,-41,-37,-37,-40,-49,-40,-64,-51,-57,-46,-43,-40,-53,-41,-200,-67,-52,-38,-53,-62,-42,-53,-54,-200,-53,-58,-64,-58,-200,-62,-200,-61,-65,-65,-76,-200,-67,-200,-200,-200,-75,-88,-82,-75,-69,-200,-86,-85,-200,-200,-85,-200,-86,-200,-89,-90,-200,-86,-200,-200,-91,-200,-70,-79,-85,-67,-85,-51,-200,-200,-200,-200,-200
1526447571353,-39,-36,-34,-39,-50,-37,-64,-50,-55,-44,-43,-40,-53,-44,-200,-67,-48,-38,-53,-62,-41,-52,-54,-200,-53,-66,-64,-58,-200,-62,-200,-61,-65,-66,-78,-200,-68,-200,-200,-200,-75,-88,-82,-75,-69,-200,-85,-85,-200,-200,-84,-200,-86,-200,-89,-90,-200,-86,-200,-200,-89,-200,-200,-79,-200,-67,-85,-51,-67,-200,-200,-200,-200
1526447574380,-38,-34,-35,-39,-50,-39,-62,-51,-50,-44,-41,-40,-53,-42,-200,-67,-54,-38,-54,-58,-41,-52,-54,-200,-53,-64,-64,-58,-200,-59,-65,-60,-65,-66,-76,-200,-69,-200,-200,-200,-75,-88,-82,-75,-70,-200,-83,-85,-200,-200,-84,-200,-200,-200,-89,-90,-200,-86,-200,-200,-87,-68,-200,-79,-200,-67,-85,-51,-67,-88,-92,-200,-200
1526447577401,-37,-34,-35,-37,-54,-39,-62,-52,-51,-45,-41,-36,-53,-42,-200,-68,-54,-38,-53,-60,-41,-52,-54,-200,-53,-57,-64,-58,-200,-63,-63,-60,-65,-66,-78,-200,-69,-200,-200,-200,-75,-88,-82,-76,-71,-200,-85,-85,-200,-200,-84,-200,-200,-200,-200,-200,-200,-86,-73,-200,-87,-68,-200,-79,-200,-200,-200,-50,-67,-88,-92,-51,-68
1526447580412,-37,-50,-35,-37,-52,-40,-63,-52,-52,-45,-42,-40,-53,-42,-200,-68,-54,-38,-53,-61,-42,-52,-54,-200,-52,-58,-64,-58,-200,-63,-63,-61,-65,-66,-78,-200,-69,-200,-200,-200,-75,-88,-82,-77,-71,-200,-84,-85,-200,-200,-84,-200,-200,-200,-200,-200,-200,-87,-73,-200,-86,-72,-200,-79,-200,-200,-200,-50,-67,-88,-92,-51,-73
1526447583437,-39,-39,-35,-36,-51,-40,-63,-52,-48,-46,-42,-39,-53,-42,-200,-68,-53,-38,-53,-61,-42,-52,-54,-200,-51,-64,-64,-58,-200,-63,-63,-60,-65,-66,-78,-200,-68,-200,-200,-200,-75,-88,-82,-77,-71,-200,-85,-85,-200,-200,-84,-200,-200,-200,-89,-200,-200,-87,-73,-200,-86,-72,-72,-79,-200,-200,-200,-50,-67,-88,-91,-51,-73
1526447586468,-40,-39,-35,-36,-49,-39,-58,-52,-48,-46,-43,-39,-53,-42,-200,-68,-56,-37,-54,-60,-42,-52,-54,-200,-49,-59,-64,-58,-200,-63,-63,-60,-65,-66,-75,-200,-70,-200,-200,-200,-200,-88,-82,-78,-71,-200,-85,-85,-200,-200,-86,-200,-200,-200,-89,-90,-200,-89,-73,-200,-87,-72,-73,-79,-200,-200,-200,-47,-67,-88,-91,-48,-73
1526447589496,-38,-35,-37,-38,-51,-39,-62,-52,-47,-47,-38,-41,-53,-43,-200,-68,-53,-37,-54,-60,-42,-54,-54,-200,-49,-60,-63,-58,-200,-61,-63,-61,-65,-67,-76,-200,-70,-200,-200,-200,-200,-87,-82,-77,-75,-200,-85,-85,-200,-200,-84,-200,-200,-200,-89,-90,-200,-89,-73,-200,-87,-72,-73,-79,-200,-200,-200,-48,-67,-88,-91,-51,-73
1526447592528,-38,-35,-37,-38,-52,-39,-58,-52,-52,-47,-42,-42,-53,-45,-200,-68,-54,-37,-53,-62,-42,-53,-54,-71,-51,-62,-63,-58,-200,-61,-63,-61,-65,-67,-77,-200,-68,-200,-200,-200,-200,-87,-80,-77,-73,-200,-85,-85,-200,-200,-84,-200,-200,-200,-89,-90,-200,-87,-66,-200,-87,-72,-73,-200,-200,-200,-200,-48,-200,-88,-91,-51,-73
1526447595556,-38,-35,-36,-38,-52,-39,-58,-51,-53,-46,-42,-42,-52,-45,-200,-68,-56,-37,-55,-61,-42,-53,-54,-71,-53,-62,-63,-58,-200,-61,-63,-61,-65,-66,-75,-200,-67,-200,-200,-200,-200,-87,-80,-76,-73,-200,-86,-85,-200,-200,-84,-200,-200,-200,-89,-90,-200,-85,-66,-200,-87,-72,-73,-79,-200,-200,-200,-48,-200,-200,-91,-51,-73
