,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0115.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1
1526458562265,-81,-73,-71,-73,-72,-79,-200,-200,-200,-200,-200,-200,-200
1526458562365,-81,-72,-200,-73,-200,-80,-81,-200,-200,-200,-200,-200,-200
1526458562473,-80,-72,-71,-74,-72,-79,-200,-200,-200,-200,-200,-200,-200
1526458562580,-200,-73,-70,-73,-72,-76,-82,-200,-96,-200,-200,-200,-200
1526458567116,-200,-73,-71,-200,-70,-76,-80,-200,-200,-91,-94,-200,-200
1526458567220,-200,-200,-200,-75,-72,-200,-200,-200,-96,-90,-200,-200,-200
1526458567322,-90,-71,-70,-74,-72,-76,-80,-200,-96,-90,-200,-200,-97
1526458567526,-91,-72,-200,-74,-200,-200,-200,-200,-94,-200,-200,-200,-200
1526458572031,-90,-77,-74,-81,-80,-77,-89,-200,-200,-200,-200,-200,-200
1526458572125,-200,-77,-75,-200,-80,-77,-89,-200,-200,-200,-200,-200,-200
1526458572228,-200,-77,-75,-81,-80,-77,-89,-200,-200,-200,-98,-200,-200
1526458572344,-90,-78,-75,-200,-200,-78,-89,-200,-200,-200,-200,-200,-200
1526458572447,-91,-78,-75,-200,-200,-78,-90,-200,-200,-200,-100,-200,-200
1526458572545,-80,-72,-200,-73,-81,-200,-89,-200,-200,-200,-200,-200,-200
1526458577104,-80,-72,-71,-72,-72,-79,-82,-200,-200,-200,-200,-200,-200
1526458577190,-81,-72,-70,-73,-72,-79,-81,-200,-200,-200,-200,-200,-200
1526458577317,-80,-72,-71,-73,-72,-79,-82,-200,-200,-200,-200,-200,-200
1526458577417,-80,-73,-71,-73,-72,-79,-81,-200,-200,-200,-200,-200,-200
1526458577528,-200,-71,-71,-73,-200,-76,-81,-200,-95,-200,-200,-200,-200
1526458582088,-91,-71,-70,-76,-72,-76,-80,-200,-200,-92,-200,-97,-200
1526458582206,-200,-73,-70,-74,-72,-76,-80,-200,-96,-200,-93,-200,-200
1526458582309,-89,-73,-71,-74,-71,-76,-200,-200,-95,-200,-200,-200,-200
1526458582420,-89,-73,-200,-74,-72,-76,-80,-200,-97,-200,-200,-200,-200
1526458582532,-91,-71,-200,-74,-72,-75,-200,-200,-96,-200,-200,-200,-200
1526458582645,-90,-200,-200,-74,-72,-200,-89,-200,-200,-200,-200,-200,-200
1526458587047,-200,-200,-75,-82,-80,-78,-89,-200,-200,-200,-200,-200,-200
1526458587159,-200,-78,-75,-81,-80,-78,-90,-200,-200,-200,-200,-200,-200
1526458587281,-200,-78,-75,-81,-80,-78,-89,-200,-200,-200,-200,-200,-200
1526458587388,-200,-78,-75,-200,-80,-200,-88,-200,-200,-200,-200,-200,-200
1526458587492,-90,-77,-74,-81,-80,-78,-89,-200,-200,-200,-200,-200,-200
1526458592032,-80,-73,-71,-72,-72,-79,-81,-200,-200,-200,-200,-200,-200
1526458592134,-80,-200,-70,-73,-71,-200,-200,-200,-200,-200,-200,-200,-200
1526458592244,-81,-72,-71,-73,-71,-79,-81,-200,-200,-200,-200,-200,-200
1526458592345,-80,-72,-71,-73,-71,-79,-81,-200,-200,-200,-200,-200,-200
1526458592482,-200,-72,-71,-73,-72,-75,-82,-200,-200,-200,-200,-200,-200
1526458597040,-200,-73,-70,-200,-72,-200,-80,-200,-200,-200,-96,-96,-200
1526458597146,-90,-71,-70,-74,-72,-76,-200,-200,-200,-200,-94,-97,-200
1526458597248,-200,-71,-70,-74,-72,-200,-80,-200,-200,-200,-200,-96,-200
1526458597395,-200,-200,-70,-200,-200,-76,-200,-200,-200,-200,-200,-97,-200
1526458597498,-200,-71,-70,-81,-71,-200,-200,-200,-96,-200,-200,-200,-200
1526458602049,-90,-77,-74,-82,-80,-78,-200,-200,-200,-200,-200,-200,-200
1526458602143,-90,-78,-200,-82,-80,-78,-200,-200,-200,-200,-200,-200,-200
1526458602254,-90,-78,-75,-81,-80,-77,-200,-200,-200,-200,-200,-200,-200
1526458602350,-200,-78,-75,-81,-80,-78,-89,-200,-200,-200,-98,-200,-200
1526458602461,-200,-200,-75,-81,-80,-200,-89,-200,-200,-200,-200,-200,-200
1526458602569,-90,-78,-200,-73,-80,-78,-200,-200,-200,-200,-97,-200,-200
1526458607083,-80,-72,-200,-200,-200,-79,-81,-200,-200,-200,-200,-200,-200
1526458607183,-200,-73,-71,-72,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526458607287,-200,-72,-71,-73,-72,-80,-81,-200,-200,-200,-200,-200,-200
1526458607405,-200,-73,-71,-200,-72,-79,-82,-200,-200,-200,-200,-200,-200
1526458607515,-200,-200,-71,-200,-71,-80,-81,-200,-200,-200,-200,-200,-200
