,null,null,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null
1526459862151,-200,-200,-70,-61,-200,-200,-200,-73,-87,-71,-78,-92,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526459862269,-200,-200,-71,-60,-200,-200,-200,-73,-87,-200,-81,-83,-200,-200,-200,-85,-200,-87,-200,-200,-200
1526459862352,-200,-200,-200,-61,-200,-200,-93,-73,-200,-71,-200,-80,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526459862466,-200,-200,-200,-61,-200,-200,-200,-200,-88,-72,-79,-200,-200,-200,-200,-85,-93,-87,-200,-200,-200
1526459862589,-91,-200,-71,-61,-200,-200,-200,-69,-200,-71,-77,-200,-96,-200,-200,-85,-200,-200,-200,-200,-200
1526459867064,-90,-200,-71,-60,-90,-98,-200,-69,-200,-72,-71,-71,-200,-200,-200,-87,-200,-200,-94,-200,-200
1526459867153,-200,-200,-71,-200,-90,-100,-200,-69,-200,-200,-200,-71,-200,-91,-96,-87,-200,-90,-200,-200,-200
1526459867296,-89,-200,-71,-59,-200,-200,-200,-69,-85,-200,-69,-72,-200,-94,-200,-88,-200,-200,-93,-90,-200
1526459867411,-200,-200,-200,-200,-200,-200,-90,-69,-200,-72,-200,-70,-200,-200,-94,-200,-200,-200,-200,-200,-200
1526459867549,-90,-200,-200,-59,-200,-200,-90,-200,-200,-72,-69,-70,-200,-200,-200,-200,-200,-200,-200,-91,-200
1526459867617,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526459872033,-200,-200,-200,-66,-200,-200,-200,-200,-93,-73,-74,-69,-97,-200,-200,-91,-200,-200,-200,-200,-200
1526459872143,-200,-200,-200,-200,-200,-200,-93,-72,-200,-200,-200,-70,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526459872239,-200,-200,-200,-66,-200,-103,-93,-71,-93,-72,-73,-70,-94,-200,-93,-90,-200,-200,-200,-200,-200
1526459872342,-200,-200,-86,-66,-200,-200,-200,-71,-93,-73,-73,-69,-200,-200,-93,-92,-93,-100,-98,-200,-200
1526459872450,-200,-200,-86,-66,-200,-200,-92,-71,-200,-72,-73,-69,-200,-200,-93,-92,-200,-200,-200,-200,-200
1526459872589,-200,-200,-200,-66,-200,-200,-92,-71,-200,-73,-200,-70,-95,-200,-93,-92,-93,-87,-200,-200,-200
1526459877046,-200,-200,-73,-61,-200,-200,-200,-200,-200,-72,-200,-73,-93,-200,-200,-85,-94,-87,-200,-200,-200
1526459877150,-92,-200,-71,-61,-200,-200,-200,-73,-88,-71,-200,-73,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526459877275,-90,-200,-200,-61,-200,-200,-200,-74,-86,-73,-200,-73,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526459877443,-91,-200,-72,-200,-200,-200,-200,-73,-87,-200,-78,-73,-94,-200,-200,-86,-200,-88,-200,-200,-200
1526459877570,-200,-200,-71,-61,-200,-200,-200,-69,-200,-200,-77,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459882099,-200,-200,-72,-200,-200,-200,-89,-200,-200,-72,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459882191,-200,-200,-70,-200,-200,-200,-200,-69,-85,-70,-200,-71,-200,-200,-96,-86,-200,-200,-200,-83,-200
1526459882337,-200,-200,-70,-60,-200,-99,-91,-68,-200,-72,-70,-70,-200,-94,-95,-86,-200,-200,-200,-82,-95
1526459882451,-89,-200,-71,-60,-200,-200,-90,-68,-85,-72,-70,-200,-200,-200,-200,-86,-200,-200,-200,-200,-96
1526459882556,-200,-95,-70,-59,-98,-200,-200,-71,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-83,-200
1526459887085,-200,-200,-84,-66,-200,-200,-93,-72,-93,-200,-73,-69,-200,-200,-200,-92,-95,-200,-200,-200,-200
1526459887192,-200,-200,-86,-66,-200,-200,-200,-200,-92,-72,-74,-70,-96,-200,-93,-200,-94,-200,-200,-200,-200
1526459887285,-200,-200,-200,-66,-200,-200,-200,-71,-93,-73,-74,-69,-200,-200,-93,-92,-95,-200,-200,-200,-200
1526459887404,-200,-200,-83,-65,-200,-200,-93,-71,-200,-72,-73,-69,-96,-200,-93,-200,-95,-200,-200,-200,-200
1526459887508,-200,-200,-200,-67,-200,-104,-91,-71,-93,-72,-73,-70,-95,-200,-93,-91,-200,-200,-200,-200,-200
1526459887605,-200,-200,-200,-66,-200,-200,-93,-200,-93,-200,-200,-69,-200,-97,-200,-200,-200,-87,-200,-200,-200
1526459892059,-90,-200,-200,-200,-93,-200,-92,-200,-87,-72,-77,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526459892204,-200,-200,-73,-60,-200,-200,-95,-73,-200,-72,-78,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526459892314,-200,-200,-200,-60,-200,-200,-200,-200,-200,-72,-77,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459892424,-200,-200,-200,-200,-200,-200,-200,-73,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459892528,-90,-200,-72,-61,-200,-200,-200,-74,-200,-72,-77,-73,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526459897027,-200,-94,-71,-59,-92,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459897131,-89,-200,-71,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-93,-83,-96
1526459897250,-200,-200,-71,-60,-200,-98,-200,-200,-83,-200,-200,-71,-200,-95,-200,-200,-200,-200,-200,-83,-96
1526459897375,-89,-200,-71,-59,-200,-200,-200,-68,-85,-200,-69,-71,-200,-93,-200,-200,-200,-200,-200,-83,-200
1526459897492,-200,-200,-71,-58,-200,-200,-200,-68,-85,-200,-69,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459897596,-200,-200,-200,-67,-200,-103,-200,-200,-200,-73,-74,-71,-200,-200,-200,-92,-95,-200,-200,-200,-200
1526459902135,-200,-200,-82,-66,-200,-200,-93,-200,-200,-73,-200,-69,-96,-200,-94,-90,-200,-200,-200,-200,-200
1526459902233,-200,-200,-82,-65,-200,-200,-92,-200,-200,-200,-73,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459902346,-200,-200,-85,-66,-200,-200,-93,-71,-94,-72,-200,-69,-94,-200,-93,-200,-200,-200,-200,-200,-200
1526459902435,-200,-200,-200,-66,-200,-99,-93,-71,-200,-72,-200,-69,-95,-200,-200,-200,-93,-200,-200,-200,-200
1526459902566,-200,-200,-83,-66,-200,-101,-92,-200,-95,-200,-73,-69,-200,-200,-93,-200,-95,-200,-200,-200,-200
1526459902644,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-73,-69,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526459907042,-88,-200,-70,-60,-200,-200,-200,-73,-200,-73,-77,-73,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526459907159,-200,-200,-70,-61,-200,-200,-93,-74,-200,-71,-77,-73,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526459907259,-91,-200,-72,-61,-200,-200,-93,-74,-200,-72,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459907367,-91,-200,-200,-61,-200,-200,-200,-73,-88,-70,-77,-73,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526459907472,-200,-200,-200,-200,-200,-200,-200,-73,-200,-72,-200,-73,-200,-200,-200,-85,-200,-88,-200,-200,-200
1526459907589,-89,-200,-72,-200,-200,-200,-200,-72,-89,-71,-200,-200,-200,-200,-200,-84,-200,-200,-94,-200,-95
1526459912101,-200,-200,-69,-200,-200,-200,-200,-67,-86,-72,-69,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526459912266,-200,-200,-71,-60,-200,-200,-89,-69,-86,-72,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459912377,-91,-200,-71,-200,-200,-200,-200,-68,-85,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459912477,-200,-200,-71,-62,-200,-200,-90,-200,-85,-72,-70,-71,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526459912592,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
