,0115.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011c.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526459441644,-200,-69,-72,-200,-80,-71,-80,-89,-94,-200,-200,-200,-200,-200,-200,-200
1526459441751,-74,-200,-200,-89,-81,-72,-88,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526459441853,-74,-69,-71,-90,-81,-71,-92,-88,-92,-200,-92,-200,-200,-200,-200,-200
1526459441955,-74,-68,-200,-89,-81,-70,-82,-200,-200,-200,-92,-200,-200,-200,-200,-200
1526459442066,-81,-200,-69,-200,-82,-200,-81,-200,-93,-200,-89,-97,-99,-200,-200,-200
1526459442167,-200,-68,-70,-200,-92,-200,-68,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526459442262,-200,-70,-69,-95,-200,-70,-66,-200,-200,-200,-200,-200,-200,-95,-200,-200
1526459442368,-200,-67,-68,-92,-200,-69,-71,-200,-200,-200,-200,-200,-98,-200,-200,-200
1526459442500,-79,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459442577,-200,-67,-200,-200,-200,-69,-68,-200,-200,-200,-200,-200,-96,-93,-200,-200
1526459442730,-73,-200,-200,-200,-76,-70,-68,-200,-97,-200,-87,-200,-200,-200,-200,-200
1526459442831,-200,-200,-200,-83,-200,-70,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459442935,-200,-67,-200,-200,-200,-69,-69,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526459443045,-77,-65,-69,-81,-72,-69,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459443157,-78,-200,-68,-200,-71,-68,-68,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526459443291,-200,-68,-68,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459443394,-74,-200,-68,-82,-73,-200,-68,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526459443500,-200,-70,-68,-81,-73,-68,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459443616,-71,-72,-71,-91,-69,-68,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526459443719,-71,-70,-70,-200,-70,-69,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459443814,-71,-72,-71,-200,-70,-70,-74,-83,-89,-200,-200,-200,-200,-200,-200,-200
1526459443926,-72,-71,-73,-98,-71,-70,-78,-84,-200,-200,-200,-200,-200,-200,-92,-200
1526459444024,-200,-72,-73,-200,-72,-70,-200,-83,-200,-98,-200,-200,-200,-200,-200,-200
1526459444172,-200,-68,-75,-89,-71,-72,-77,-87,-200,-200,-200,-200,-96,-200,-200,-98
1526459447085,-69,-69,-70,-200,-80,-72,-70,-200,-200,-200,-200,-200,-98,-93,-200,-96
1526459447177,-70,-69,-70,-83,-80,-200,-70,-88,-200,-200,-200,-200,-96,-200,-95,-96
1526459447374,-69,-68,-70,-83,-77,-73,-200,-87,-94,-200,-200,-200,-200,-200,-200,-200
1526459447515,-69,-200,-70,-200,-78,-72,-69,-87,-93,-200,-86,-200,-96,-200,-200,-200
1526459452034,-200,-200,-78,-85,-75,-73,-77,-93,-95,-200,-200,-200,-200,-200,-200,-93
1526459452123,-73,-73,-81,-85,-200,-73,-80,-200,-96,-200,-200,-200,-200,-200,-200,-94
1526459452227,-74,-72,-200,-84,-79,-73,-81,-93,-200,-98,-200,-200,-200,-200,-200,-95
1526459452333,-73,-73,-78,-85,-78,-73,-80,-200,-200,-98,-90,-200,-200,-200,-200,-94
1526459452472,-73,-72,-78,-85,-79,-73,-80,-93,-97,-200,-200,-200,-200,-200,-200,-94
1526459452575,-74,-72,-200,-86,-80,-73,-72,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526459457057,-73,-70,-73,-81,-70,-69,-70,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526459457145,-200,-70,-72,-200,-70,-69,-72,-200,-200,-200,-94,-200,-200,-200,-90,-200
1526459457270,-200,-70,-72,-82,-70,-200,-72,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526459457390,-200,-70,-73,-200,-70,-69,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459457557,-200,-70,-72,-81,-70,-70,-73,-87,-200,-200,-200,-200,-95,-92,-90,-200
1526459462101,-70,-70,-68,-81,-75,-70,-200,-200,-200,-96,-86,-200,-94,-91,-200,-200
1526459462251,-200,-70,-68,-80,-200,-68,-71,-88,-200,-200,-200,-200,-98,-200,-200,-200
1526459462407,-69,-70,-200,-200,-74,-70,-70,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526459462519,-69,-70,-68,-81,-75,-70,-200,-200,-92,-200,-200,-200,-200,-91,-94,-200
1526459462630,-69,-75,-76,-200,-74,-200,-80,-93,-97,-200,-91,-200,-200,-200,-200,-200
1526459467124,-73,-200,-76,-85,-78,-73,-79,-200,-200,-97,-200,-200,-200,-200,-200,-94
1526459467253,-73,-75,-200,-85,-200,-72,-79,-200,-96,-200,-200,-200,-200,-200,-200,-94
1526459467355,-200,-75,-76,-86,-77,-72,-80,-200,-95,-200,-200,-200,-200,-200,-200,-92
1526459467450,-200,-75,-77,-86,-200,-72,-80,-200,-200,-97,-200,-200,-200,-200,-200,-94
1526459467553,-74,-75,-77,-86,-200,-73,-200,-200,-96,-96,-200,-200,-200,-200,-200,-93
1526459467659,-200,-70,-72,-200,-200,-70,-72,-92,-94,-200,-200,-200,-200,-200,-90,-95
1526459472102,-72,-70,-200,-80,-200,-200,-200,-88,-200,-200,-94,-200,-200,-200,-91,-200
1526459472191,-200,-70,-200,-81,-69,-200,-71,-86,-92,-200,-200,-200,-200,-200,-200,-200
1526459472309,-200,-70,-200,-80,-70,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526459472435,-72,-70,-200,-81,-70,-70,-200,-86,-93,-200,-200,-200,-200,-200,-200,-200
1526459472506,-72,-200,-200,-81,-70,-70,-200,-87,-92,-95,-200,-200,-200,-200,-200,-200
1526459477061,-69,-70,-68,-81,-74,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526459477166,-69,-70,-69,-200,-200,-70,-71,-89,-200,-200,-86,-200,-98,-200,-200,-200
1526459477272,-69,-200,-69,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459477375,-69,-200,-200,-81,-74,-70,-71,-200,-200,-200,-200,-200,-200,-200,-96,-200
1526459477479,-69,-71,-69,-200,-74,-69,-71,-200,-200,-200,-200,-200,-95,-200,-200,-96
1526459477595,-200,-70,-68,-81,-74,-70,-71,-88,-200,-200,-200,-200,-200,-200,-95,-200
1526459482045,-73,-76,-76,-85,-200,-200,-81,-93,-200,-96,-90,-200,-200,-200,-200,-93
1526459482142,-74,-75,-77,-86,-78,-73,-76,-94,-98,-200,-90,-200,-200,-200,-200,-94
1526459482241,-73,-200,-77,-86,-77,-73,-81,-93,-200,-200,-91,-200,-200,-200,-200,-94
1526459482342,-73,-76,-76,-86,-200,-73,-81,-93,-200,-97,-89,-200,-200,-200,-200,-93
1526459482466,-73,-76,-77,-200,-78,-73,-80,-200,-200,-98,-91,-200,-200,-200,-200,-93
1526459482572,-73,-75,-200,-200,-78,-73,-81,-92,-99,-97,-90,-200,-200,-200,-200,-200
1526459487034,-200,-70,-73,-81,-70,-69,-72,-200,-94,-200,-200,-200,-200,-200,-200,-200
1526459487134,-71,-70,-73,-81,-70,-69,-200,-200,-94,-200,-200,-200,-200,-200,-90,-200
1526459487230,-73,-69,-73,-80,-200,-69,-71,-88,-92,-200,-200,-200,-200,-200,-89,-200
1526459487340,-200,-69,-72,-80,-70,-70,-70,-200,-91,-200,-200,-200,-200,-200,-90,-200
1526459487457,-72,-69,-72,-200,-70,-69,-72,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526459487587,-72,-69,-72,-200,-70,-200,-72,-88,-200,-200,-200,-200,-200,-200,-90,-200
1526459492062,-69,-200,-69,-81,-75,-200,-71,-88,-94,-200,-200,-200,-96,-200,-200,-200
1526459492158,-69,-72,-200,-200,-75,-69,-70,-87,-200,-200,-200,-200,-200,-200,-94,-200
1526459492267,-69,-71,-200,-200,-75,-200,-200,-200,-200,-97,-86,-200,-96,-200,-200,-200
1526459492368,-69,-200,-70,-81,-75,-69,-70,-200,-200,-95,-87,-200,-200,-200,-95,-200
1526459492483,-200,-71,-69,-81,-75,-69,-70,-89,-200,-97,-200,-200,-200,-200,-94,-200
1526459492589,-200,-76,-200,-81,-75,-69,-200,-200,-200,-95,-200,-200,-96,-200,-94,-200
1526459497053,-73,-76,-200,-85,-77,-200,-80,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526459497156,-200,-200,-77,-85,-77,-72,-81,-92,-200,-200,-90,-200,-200,-200,-200,-94
1526459497245,-200,-75,-200,-84,-77,-72,-81,-91,-200,-97,-91,-200,-200,-200,-200,-200
1526459497346,-73,-76,-78,-84,-76,-72,-81,-94,-200,-200,-200,-200,-200,-200,-200,-95
1526459497468,-200,-75,-77,-85,-77,-200,-77,-93,-200,-97,-90,-200,-200,-200,-200,-200
1526459497556,-200,-75,-79,-85,-200,-200,-82,-200,-200,-96,-90,-200,-200,-200,-200,-94
1526459502031,-200,-69,-73,-80,-70,-69,-71,-87,-94,-200,-200,-200,-200,-200,-91,-200
1526459502129,-200,-67,-73,-200,-70,-200,-73,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526459502229,-200,-200,-73,-200,-70,-200,-71,-87,-200,-200,-200,-200,-200,-200,-90,-200
1526459502339,-73,-200,-73,-200,-70,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459502454,-73,-68,-73,-82,-70,-200,-72,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526459502538,-200,-200,-200,-80,-200,-69,-73,-88,-200,-200,-200,-200,-200,-200,-91,-200
