,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,null
1526459317136,-200,-87,-88,-200,-76,-86,-63,-76,-200,-87,-200,-200,-200,-200,-200,-97,-200
1526459317238,-87,-87,-200,-68,-76,-86,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459317348,-88,-85,-200,-68,-77,-84,-200,-76,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459317443,-200,-71,-200,-69,-77,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200
1526459322052,-94,-200,-200,-71,-200,-70,-200,-74,-200,-200,-97,-200,-87,-200,-200,-200,-200
1526459322140,-93,-200,-200,-71,-67,-70,-61,-74,-200,-85,-98,-200,-200,-200,-200,-200,-200
1526459322237,-200,-71,-84,-72,-67,-70,-61,-74,-200,-200,-200,-200,-87,-99,-200,-200,-200
1526459322340,-200,-71,-84,-72,-67,-71,-61,-200,-200,-200,-200,-100,-87,-200,-95,-200,-200
1526459322524,-200,-72,-200,-70,-67,-70,-61,-74,-200,-84,-99,-200,-200,-200,-200,-200,-200
1526459322608,-92,-72,-200,-200,-67,-70,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459327038,-95,-72,-200,-200,-73,-73,-67,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459327125,-95,-72,-200,-200,-73,-200,-68,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526459327230,-96,-72,-200,-72,-72,-200,-68,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526459327337,-96,-200,-200,-200,-73,-200,-200,-76,-200,-87,-200,-200,-200,-200,-200,-200,-200
1526459327446,-95,-200,-200,-200,-71,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459327557,-96,-200,-200,-72,-73,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200
1526459332045,-88,-200,-89,-69,-200,-86,-63,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200
1526459332142,-200,-83,-200,-68,-79,-200,-63,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526459332240,-88,-200,-200,-68,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459332386,-89,-84,-200,-200,-79,-200,-63,-78,-200,-87,-200,-200,-200,-200,-200,-95,-200
1526459332490,-87,-83,-200,-69,-78,-200,-63,-78,-200,-87,-200,-200,-200,-200,-200,-95,-200
1526459332589,-88,-74,-88,-69,-66,-72,-61,-71,-200,-83,-101,-200,-86,-200,-200,-200,-200
1526459337133,-200,-200,-200,-70,-67,-200,-61,-72,-200,-200,-200,-200,-86,-200,-200,-200,-200
1526459337237,-93,-200,-95,-70,-67,-200,-60,-200,-200,-200,-96,-200,-86,-200,-94,-200,-200
1526459337412,-200,-200,-200,-69,-66,-200,-61,-200,-200,-82,-200,-200,-86,-200,-93,-200,-97
1526459337520,-200,-78,-84,-200,-65,-72,-61,-72,-200,-200,-200,-200,-87,-200,-200,-200,-200
1526459342038,-200,-74,-200,-200,-200,-76,-69,-77,-200,-200,-200,-200,-200,-200,-97,-200,-200
1526459342153,-200,-74,-200,-71,-76,-200,-69,-78,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459342274,-200,-75,-200,-71,-76,-200,-200,-77,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459342382,-200,-75,-200,-71,-77,-200,-70,-78,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459342486,-200,-74,-200,-71,-75,-200,-200,-79,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526459342612,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200
