,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,null,0115.0012-vlucci.com A1.4.0.1,0117.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0116.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0
1526459747459,-67,-200,-200,-200,-200,-200,-200,-96,-72,-200,-200,-200,-200
1526459747556,-67,-92,-100,-78,-200,-200,-85,-200,-70,-81,-200,-81,-200
1526459752076,-74,-92,-200,-79,-79,-94,-85,-200,-200,-91,-94,-200,-200
1526459752199,-74,-92,-200,-200,-79,-94,-85,-200,-200,-200,-94,-80,-200
1526459752307,-200,-93,-103,-200,-200,-96,-200,-200,-200,-92,-93,-200,-200
1526459752409,-74,-92,-200,-200,-79,-93,-86,-200,-70,-200,-93,-200,-200
1526459752555,-75,-200,-200,-79,-79,-97,-200,-200,-70,-92,-93,-81,-200
1526459757080,-68,-200,-200,-200,-74,-94,-95,-200,-69,-79,-200,-79,-200
1526459757190,-67,-200,-200,-84,-74,-95,-200,-200,-68,-200,-200,-78,-200
1526459757301,-67,-200,-92,-200,-74,-93,-200,-200,-200,-80,-200,-78,-200
1526459757398,-68,-200,-94,-84,-74,-93,-200,-200,-200,-80,-200,-78,-200
1526459757596,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200
