,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0115.0012-vlucci.com A1.4.0.1,0118.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,011b.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,0116.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526459627340,-59,-93,-89,-200,-77,-200,-200,-73,-200,-200,-78,-70,-200,-200,-200
1526459627441,-59,-200,-200,-95,-78,-58,-200,-73,-200,-200,-78,-70,-96,-200,-200
1526459627547,-60,-200,-200,-200,-78,-58,-200,-72,-95,-200,-78,-70,-200,-200,-200
1526459627646,-59,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-79,-200,-200,-97
1526459632065,-67,-200,-200,-200,-200,-64,-85,-85,-200,-200,-79,-200,-200,-200,-200
1526459632164,-67,-200,-200,-200,-200,-63,-200,-85,-200,-200,-200,-200,-200,-200,-97
1526459632287,-66,-200,-96,-200,-200,-64,-85,-85,-200,-200,-200,-200,-200,-200,-200
1526459632384,-65,-200,-96,-200,-200,-64,-85,-85,-200,-200,-79,-80,-200,-200,-200
1526459632527,-67,-200,-96,-200,-200,-65,-85,-200,-200,-200,-80,-78,-200,-200,-200
1526459632616,-61,-90,-98,-200,-200,-64,-85,-74,-200,-200,-200,-71,-200,-200,-200
1526459637141,-61,-90,-91,-97,-91,-63,-88,-75,-200,-200,-200,-72,-200,-200,-200
1526459637242,-200,-88,-92,-96,-200,-64,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526459637348,-62,-200,-200,-95,-200,-63,-89,-75,-200,-200,-82,-200,-200,-200,-200
1526459637457,-62,-90,-91,-200,-200,-64,-89,-75,-200,-200,-81,-73,-200,-200,-200
1526459637567,-60,-91,-92,-200,-79,-63,-200,-200,-200,-200,-81,-200,-200,-200,-200
1526459642037,-59,-94,-89,-200,-76,-200,-86,-200,-200,-200,-74,-70,-200,-200,-200
1526459642143,-58,-200,-91,-200,-77,-58,-85,-75,-200,-200,-200,-70,-93,-200,-200
1526459642230,-60,-200,-200,-200,-79,-200,-200,-72,-200,-200,-75,-72,-200,-200,-200
1526459642344,-59,-200,-91,-200,-200,-57,-200,-71,-95,-92,-200,-68,-200,-95,-200
1526459642491,-200,-200,-88,-96,-75,-58,-83,-72,-94,-200,-200,-68,-200,-200,-200
1526459642582,-68,-200,-94,-200,-80,-58,-87,-71,-200,-200,-85,-200,-92,-200,-97
1526459647092,-68,-200,-94,-200,-200,-65,-87,-200,-200,-200,-85,-75,-200,-200,-200
1526459647208,-200,-200,-94,-200,-200,-66,-87,-83,-200,-200,-85,-200,-200,-200,-200
1526459647320,-68,-200,-200,-200,-98,-65,-200,-83,-200,-200,-85,-77,-200,-200,-200
1526459647416,-68,-200,-94,-200,-200,-65,-87,-200,-200,-200,-200,-200,-200,-200,-97
1526459647531,-68,-200,-95,-200,-200,-65,-86,-83,-200,-200,-85,-76,-200,-200,-200
1526459647620,-60,-200,-95,-200,-200,-65,-200,-200,-200,-200,-200,-73,-200,-200,-200
1526459652121,-61,-200,-200,-200,-85,-63,-200,-200,-200,-200,-86,-72,-200,-200,-200
1526459652223,-200,-200,-200,-101,-84,-63,-200,-200,-200,-200,-200,-74,-200,-200,-200
1526459652330,-60,-200,-200,-200,-86,-63,-81,-200,-200,-95,-200,-71,-200,-200,-200
1526459652421,-61,-200,-200,-200,-200,-63,-84,-200,-200,-95,-85,-73,-200,-200,-200
1526459652538,-59,-200,-200,-200,-89,-62,-200,-92,-200,-200,-200,-69,-200,-200,-200
1526459657124,-200,-200,-200,-97,-200,-58,-83,-75,-200,-200,-76,-200,-200,-200,-94
1526459657228,-200,-200,-88,-200,-79,-58,-200,-75,-200,-91,-200,-200,-200,-200,-200
1526459657333,-59,-200,-200,-95,-200,-200,-200,-75,-200,-92,-75,-200,-95,-200,-200
1526459657441,-59,-200,-88,-94,-79,-58,-200,-75,-200,-91,-75,-70,-200,-200,-200
1526459657565,-58,-200,-200,-97,-200,-200,-200,-75,-200,-200,-75,-69,-200,-200,-200
1526459662095,-66,-200,-96,-200,-94,-64,-86,-200,-200,-100,-79,-91,-200,-200,-95
1526459662182,-200,-200,-200,-200,-93,-64,-86,-84,-200,-200,-200,-91,-200,-200,-200
1526459662285,-200,-200,-200,-200,-95,-63,-86,-85,-200,-200,-200,-200,-200,-200,-94
1526459662391,-67,-200,-200,-200,-94,-64,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526459662508,-66,-200,-92,-200,-89,-64,-200,-76,-200,-97,-200,-71,-200,-200,-95
1526459667096,-61,-200,-92,-200,-200,-63,-200,-76,-200,-96,-83,-72,-200,-200,-200
1526459667306,-61,-90,-91,-200,-200,-63,-200,-76,-200,-200,-200,-71,-200,-200,-200
1526459667412,-61,-92,-91,-200,-200,-64,-200,-200,-200,-200,-200,-71,-200,-200,-200
1526459667512,-60,-200,-200,-200,-200,-64,-87,-76,-200,-200,-200,-71,-200,-200,-200
