,vlucci.com AC-V1.4.0.0,0118.0012-vlucci.com A1.4.0.1,null,0116.0012-vlucci.com A1.4.0.1,011b.0012-vlucci.com A1.4.0.1,0115.0012-vlucci.com A1.4.0.1,011c.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0117.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0
1526459802530,-200,-62,-200,-72,-88,-200,-66,-200,-77,-200,-200,-200,-200,-200,-200
1526459807046,-200,-65,-97,-200,-78,-200,-68,-200,-200,-74,-95,-200,-200,-200,-200
1526459807185,-200,-64,-200,-71,-79,-72,-67,-200,-77,-200,-95,-200,-200,-200,-200
1526459807285,-200,-200,-200,-70,-78,-71,-66,-200,-200,-74,-95,-200,-200,-200,-200
1526459807451,-200,-65,-200,-71,-77,-72,-67,-200,-76,-74,-95,-200,-200,-200,-200
1526459807551,-200,-200,-95,-70,-200,-200,-66,-200,-77,-74,-94,-200,-96,-200,-200
1526459812070,-200,-68,-200,-70,-80,-84,-74,-200,-80,-81,-200,-200,-200,-200,-200
1526459812206,-200,-68,-200,-200,-80,-83,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526459812320,-200,-69,-200,-70,-80,-84,-200,-200,-79,-81,-200,-200,-200,-200,-200
1526459812419,-200,-68,-200,-70,-80,-84,-75,-200,-200,-81,-200,-200,-200,-200,-200
1526459812562,-200,-63,-200,-200,-90,-200,-69,-200,-76,-81,-200,-200,-200,-200,-200
1526459817134,-200,-63,-200,-200,-92,-75,-200,-200,-76,-79,-200,-200,-200,-200,-200
1526459817247,-200,-63,-200,-72,-92,-200,-69,-200,-76,-80,-200,-200,-200,-200,-200
1526459817430,-200,-63,-200,-72,-200,-200,-69,-200,-75,-80,-200,-200,-200,-97,-200
1526459817572,-200,-200,-200,-200,-92,-200,-67,-200,-77,-200,-200,-200,-200,-200,-200
1526459822059,-200,-64,-200,-200,-76,-73,-200,-200,-76,-77,-94,-200,-200,-200,-200
1526459822162,-91,-65,-98,-71,-77,-200,-67,-200,-76,-74,-95,-200,-200,-200,-200
1526459822269,-200,-65,-200,-70,-77,-200,-200,-200,-77,-200,-200,-97,-200,-200,-200
1526459822391,-200,-65,-200,-71,-77,-200,-67,-95,-200,-200,-200,-200,-200,-200,-200
1526459822503,-200,-65,-200,-71,-76,-200,-67,-200,-75,-200,-200,-200,-200,-200,-200
1526459822607,-200,-200,-200,-71,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459827054,-92,-68,-200,-72,-200,-83,-72,-200,-80,-200,-200,-200,-200,-200,-200
1526459827132,-200,-68,-200,-71,-200,-200,-72,-200,-76,-89,-98,-200,-200,-200,-200
1526459827233,-91,-200,-200,-71,-80,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459827342,-90,-69,-200,-70,-79,-83,-73,-200,-78,-89,-200,-200,-200,-200,-98
1526459827446,-88,-69,-200,-69,-78,-81,-200,-200,-80,-86,-200,-200,-200,-200,-200
1526459827592,-90,-68,-200,-200,-78,-200,-75,-200,-200,-87,-200,-200,-200,-200,-200
1526459832104,-200,-63,-200,-70,-79,-73,-73,-200,-73,-87,-200,-200,-200,-200,-200
1526459832211,-200,-63,-200,-69,-80,-74,-71,-200,-73,-200,-93,-200,-200,-200,-200
1526459832317,-200,-63,-200,-69,-81,-74,-71,-200,-74,-88,-93,-200,-200,-200,-200
1526459832445,-200,-63,-200,-70,-200,-200,-71,-200,-73,-200,-200,-200,-200,-200,-200
1526459832514,-200,-63,-200,-70,-200,-72,-70,-200,-73,-200,-94,-200,-200,-200,-200
1526459837082,-200,-64,-95,-72,-81,-72,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526459837181,-91,-63,-200,-72,-81,-73,-69,-200,-78,-200,-200,-200,-99,-200,-200
1526459837303,-91,-65,-200,-200,-79,-73,-69,-200,-76,-87,-200,-200,-200,-200,-200
1526459837400,-200,-200,-200,-72,-79,-74,-200,-200,-74,-200,-200,-200,-200,-102,-200
1526459837504,-90,-200,-200,-71,-80,-73,-69,-200,-74,-200,-200,-200,-200,-200,-200
1526459837607,-200,-65,-200,-200,-200,-200,-69,-200,-73,-200,-200,-200,-200,-200,-200
