,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,0114.0012-vlucci.com A1.4.0.1,0120.0012-vlucci.com A1.4.0.1,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526451773204,-200,-78,-200,-83,-200,-70,-200,-88,-72,-78,-200,-200,-93,-79,-90,-200,-200,-89,-200,-90,-200,-200,-200,-200,-200,-200,-200
1526451773314,-200,-78,-78,-200,-200,-200,-200,-200,-72,-80,-200,-200,-82,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451774439,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451775520,-75,-200,-77,-80,-200,-200,-200,-88,-73,-73,-200,-200,-86,-78,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526451776709,-200,-200,-78,-200,-77,-200,-90,-200,-200,-200,-200,-87,-200,-86,-200,-200,-200,-200,-200,-200,-94,-96,-200,-200,-200,-200,-200
1526451777797,-200,-86,-81,-200,-80,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200
1526451778838,-200,-83,-79,-200,-84,-71,-200,-200,-200,-68,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451779919,-200,-80,-200,-92,-200,-67,-200,-78,-200,-79,-200,-200,-83,-200,-200,-200,-93,-98,-84,-200,-200,-93,-200,-200,-200,-200,-200
1526451782117,-200,-82,-80,-200,-80,-200,-200,-87,-71,-74,-200,-86,-77,-80,-200,-200,-200,-200,-78,-86,-200,-200,-200,-200,-200,-200,-200
1526451783290,-200,-79,-200,-91,-200,-200,-200,-200,-76,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526451783406,-200,-90,-200,-81,-200,-75,-200,-88,-200,-200,-200,-88,-78,-200,-200,-100,-200,-200,-94,-88,-200,-200,-200,-200,-200,-200,-200
1526451785526,-200,-200,-200,-200,-200,-77,-200,-78,-79,-83,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526451786664,-200,-200,-200,-88,-200,-200,-200,-82,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-200
1526451787731,-86,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-90,-200,-200,-200,-200,-200,-200
1526451787832,-200,-200,-200,-83,-200,-200,-200,-79,-76,-200,-200,-90,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526451788884,-200,-200,-200,-82,-200,-200,-200,-88,-200,-200,-79,-89,-83,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451791018,-80,-200,-200,-81,-200,-75,-200,-88,-76,-200,-200,-89,-79,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-98,-200,-200,-200
1526451792143,-200,-200,-200,-81,-77,-80,-200,-84,-200,-79,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451793225,-83,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200
1526451793327,-82,-200,-80,-200,-82,-82,-200,-83,-75,-200,-86,-200,-200,-200,-200,-200,-90,-200,-77,-94,-200,-200,-200,-200,-99,-200,-200
1526451794359,-200,-200,-80,-200,-200,-72,-200,-200,-76,-200,-200,-200,-82,-200,-93,-200,-200,-200,-86,-88,-200,-200,-200,-200,-200,-200,-200
1526451795422,-76,-81,-79,-200,-78,-84,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-92,-200,-77,-200,-200,-200,-200,-200,-200,-200,-200
1526451796524,-86,-200,-200,-88,-79,-200,-200,-87,-75,-200,-200,-85,-85,-200,-200,-200,-200,-200,-78,-200,-90,-200,-98,-200,-200,-200,-200
1526451798758,-200,-200,-80,-200,-200,-200,-200,-78,-77,-200,-200,-200,-200,-200,-200,-200,-200,-89,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526451799810,-77,-92,-200,-200,-200,-72,-200,-82,-78,-72,-92,-84,-200,-86,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451800929,-77,-200,-81,-200,-80,-200,-200,-200,-86,-71,-200,-200,-83,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-94,-200
1526451801034,-81,-87,-200,-200,-81,-200,-200,-82,-200,-72,-200,-200,-200,-88,-200,-200,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451803146,-79,-200,-82,-200,-200,-200,-200,-78,-200,-200,-88,-200,-200,-200,-93,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526451804250,-80,-200,-78,-200,-88,-200,-200,-200,-85,-200,-200,-87,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526451805345,-80,-200,-200,-78,-82,-71,-200,-200,-77,-200,-77,-200,-200,-200,-200,-200,-200,-200,-78,-200,-88,-200,-200,-200,-200,-200,-200
1526451806501,-200,-80,-84,-200,-200,-74,-200,-80,-77,-200,-80,-83,-77,-89,-200,-200,-200,-200,-76,-200,-90,-200,-200,-200,-200,-200,-200
1526451808690,-200,-79,-80,-200,-200,-76,-200,-83,-76,-74,-200,-200,-78,-200,-200,-200,-200,-200,-77,-88,-91,-200,-200,-200,-200,-200,-200
1526451809765,-77,-200,-200,-78,-200,-71,-200,-200,-200,-66,-200,-200,-200,-86,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526451811932,-82,-200,-200,-200,-200,-75,-200,-80,-200,-75,-200,-200,-82,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200
1526451812034,-80,-200,-200,-88,-77,-74,-200,-200,-200,-74,-200,-86,-86,-200,-92,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200
1526451814123,-200,-200,-200,-81,-200,-74,-200,-200,-83,-70,-200,-86,-200,-200,-95,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200
1526451815236,-89,-90,-82,-200,-200,-74,-200,-200,-200,-200,-200,-200,-83,-88,-94,-200,-200,-91,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526451815342,-200,-200,-80,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526451816425,-200,-200,-79,-200,-200,-75,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-90,-78,-200,-200,-200,-200,-200,-200,-200,-200
1526451817545,-86,-200,-80,-200,-200,-72,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-94,-79,-94,-200,-200,-200,-200,-200,-200,-200
1526451818633,-200,-81,-200,-200,-200,-72,-200,-80,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-94,-200,-96,-200,-200,-200
1526451819719,-200,-200,-200,-81,-200,-200,-200,-76,-200,-200,-90,-200,-80,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-95
1526451820831,-76,-200,-78,-88,-200,-74,-200,-81,-200,-200,-200,-200,-87,-92,-200,-200,-200,-200,-78,-94,-200,-200,-200,-200,-200,-200,-200
1526451823030,-75,-200,-200,-200,-85,-200,-200,-200,-84,-77,-200,-200,-83,-86,-95,-200,-200,-91,-73,-200,-200,-200,-200,-200,-200,-200,-200
1526451824184,-76,-200,-200,-200,-78,-86,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526451825380,-200,-200,-82,-200,-81,-70,-200,-200,-75,-71,-200,-90,-83,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200
