,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526453065173,-40,-33,-40,-52,-59,-51,-72,-63,-42,-64,-67,-54,-62,-89,-48,-62,-65,-200,-83,-56,-68,-65,-59,-79,-67,-81,-68,-71,-200,-66,-63,-200,-69,-200,-85,-200,-200,-200,-68,-80,-200,-200,-73,-69,-73,-200,-200,-70,-79,-200,-82,-81,-80,-86,-75,-200,-200,-77,-200,-72,-75,-200,-73,-200,-200,-200,-84,-82,-200,-86,-87,-200,-85,-79,-200,-200,-88,-90,-88,-89,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453068177,-41,-38,-41,-50,-57,-59,-76,-70,-49,-57,-67,-65,-62,-77,-53,-67,-73,-200,-200,-58,-79,-68,-68,-77,-72,-200,-78,-71,-66,-200,-71,-71,-75,-75,-85,-200,-200,-200,-75,-200,-200,-200,-76,-75,-200,-84,-200,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-85,-200,-73,-200,-200,-73,-200,-200,-200,-84,-85,-200,-86,-87,-200,-200,-79,-200,-200,-200,-200,-200,-200,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453071212,-38,-30,-42,-55,-58,-53,-58,-60,-54,-66,-200,-60,-200,-60,-59,-67,-73,-200,-200,-61,-63,-65,-68,-80,-72,-200,-71,-200,-66,-200,-62,-71,-69,-75,-200,-200,-200,-200,-69,-200,-200,-200,-78,-69,-200,-83,-200,-76,-200,-200,-87,-200,-200,-200,-200,-200,-200,-85,-200,-73,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453074217,-39,-31,-44,-49,-58,-57,-65,-71,-46,-54,-59,-58,-62,-60,-52,-74,-73,-81,-200,-58,-66,-70,-62,-84,-72,-200,-72,-65,-66,-200,-62,-71,-77,-75,-200,-200,-200,-76,-67,-200,-200,-200,-75,-77,-200,-83,-200,-71,-200,-200,-87,-200,-78,-200,-200,-85,-200,-85,-200,-73,-78,-81,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-82,-200,-200,-200,-200,-90,-200,-200,-90,-89,-91,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453077271,-38,-32,-40,-50,-56,-50,-51,-71,-44,-58,-59,-58,-65,-200,-52,-68,-68,-68,-80,-57,-66,-64,-62,-78,-70,-200,-72,-69,-200,-200,-63,-200,-75,-200,-200,-77,-200,-76,-69,-200,-82,-200,-72,-68,-200,-200,-200,-73,-77,-76,-200,-200,-78,-200,-83,-85,-200,-200,-200,-200,-78,-77,-77,-73,-200,-200,-200,-85,-200,-200,-200,-200,-82,-200,-200,-200,-200,-90,-200,-200,-200,-89,-200,-79,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453080276,-41,-32,-41,-51,-54,-48,-61,-200,-44,-58,-63,-53,-84,-200,-51,-65,-69,-79,-79,-56,-200,-61,-200,-78,-70,-200,-68,-69,-200,-74,-66,-200,-75,-200,-200,-77,-78,-200,-68,-200,-82,-200,-70,-52,-200,-81,-200,-70,-77,-76,-200,-200,-200,-85,-83,-82,-200,-200,-200,-67,-200,-77,-77,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453083314,-39,-32,-47,-50,-53,-52,-60,-62,-45,-53,-60,-54,-63,-83,-46,-67,-69,-71,-73,-47,-67,-66,-200,-77,-72,-85,-68,-73,-200,-74,-65,-75,-73,-200,-79,-86,-78,-200,-68,-80,-200,-200,-51,-68,-92,-81,-200,-71,-200,-83,-200,-200,-87,-85,-200,-82,-200,-77,-200,-72,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526453086365,-36,-33,-40,-49,-53,-50,-56,-65,-44,-53,-60,-58,-60,-83,-53,-66,-200,-73,-73,-52,-73,-66,-200,-77,-72,-85,-200,-68,-63,-200,-65,-68,-73,-200,-81,-86,-200,-200,-71,-80,-200,-83,-70,-73,-81,-82,-200,-71,-200,-83,-200,-200,-87,-200,-200,-200,-200,-78,-200,-72,-90,-200,-77,-200,-200,-80,-87,-200,-200,-86,-90,-200,-82,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-84,-91,-200,-200,-200,-200,-200,-200,-200
1526453089375,-39,-32,-40,-42,-54,-59,-54,-65,-44,-64,-60,-55,-60,-83,-63,-66,-62,-73,-74,-54,-73,-64,-200,-78,-75,-85,-71,-65,-70,-75,-65,-79,-81,-200,-76,-86,-81,-200,-74,-80,-200,-82,-74,-70,-74,-82,-200,-71,-81,-77,-200,-77,-87,-200,-200,-200,-200,-78,-200,-72,-71,-200,-77,-200,-200,-80,-87,-200,-88,-86,-90,-200,-86,-200,-200,-200,-85,-88,-200,-200,-200,-87,-200,-200,-200,-84,-91,-85,-200,-200,-200,-200,-200,-200
1526453092423,-40,-30,-44,-53,-49,-56,-54,-62,-53,-64,-56,-57,-200,-200,-69,-200,-58,-200,-73,-55,-64,-67,-200,-74,-75,-200,-64,-67,-72,-75,-66,-79,-75,-79,-76,-80,-77,-200,-72,-79,-86,-82,-72,-69,-74,-200,-200,-71,-81,-76,-200,-77,-200,-200,-200,-200,-200,-76,-200,-200,-71,-200,-80,-200,-200,-200,-200,-200,-88,-200,-200,-200,-84,-200,-200,-200,-85,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-85,-79,-79,-90,-200,-200,-200
1526453095433,-40,-31,-44,-47,-54,-56,-54,-62,-70,-200,-56,-57,-200,-200,-62,-200,-58,-200,-68,-51,-67,-60,-200,-77,-200,-69,-65,-70,-63,-200,-81,-200,-76,-79,-75,-80,-77,-200,-70,-79,-86,-200,-71,-67,-75,-200,-200,-71,-81,-76,-87,-72,-200,-200,-200,-200,-86,-76,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-79,-79,-90,-200,-200,-200
1526453098487,-41,-30,-45,-53,-50,-53,-56,-62,-47,-62,-56,-55,-62,-85,-50,-200,-64,-70,-68,-51,-64,-64,-71,-77,-74,-69,-86,-70,-63,-71,-75,-200,-75,-75,-80,-80,-72,-200,-68,-79,-86,-200,-69,-75,-78,-200,-200,-71,-79,-76,-87,-72,-200,-200,-200,-200,-86,-89,-200,-79,-83,-200,-80,-72,-200,-200,-87,-200,-200,-83,-200,-200,-82,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-87,-79,-79,-90,-83,-90,-90
