,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018
1526452459857,-40,-33,-40,-45,-54,-62,-53,-200,-50,-58,-63,-54,-55,-62,-49,-58,-64,-53,-85,-58,-63,-64,-53,-69,-59,-59,-72,-57,-64,-67,-68,-67,-75,-73,-75,-75,-72,-200,-200,-74,-200,-73,-68,-200,-200,-200,-200,-83,-75,-81,-200,-82,-87,-200,-83,-83,-200,-200,-200,-66,-200,-64,-200,-200,-66,-200,-200,-83,-200,-80,-200,-71,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-90,-91,-84,-86,-77,-200,-200,-200,-200,-200,-200,-200
1526452462866,-43,-35,-43,-45,-53,-62,-56,-56,-50,-56,-67,-58,-53,-68,-52,-57,-62,-76,-85,-58,-64,-200,-63,-60,-63,-64,-63,-56,-62,-69,-68,-67,-75,-74,-73,-75,-72,-76,-68,-74,-200,-58,-68,-200,-200,-75,-200,-81,-68,-81,-71,-86,-87,-200,-200,-85,-200,-200,-200,-61,-200,-64,-200,-200,-69,-80,-200,-83,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-71,-200,-87,-200,-200,-84,-86,-72,-83,-200,-200,-200,-200,-200,-200
1526452465871,-39,-38,-40,-50,-55,-200,-51,-54,-45,-58,-55,-53,-58,-68,-61,-56,-62,-58,-85,-200,-57,-200,-59,-59,-64,-62,-63,-56,-60,-72,-82,-200,-71,-73,-71,-200,-200,-76,-63,-200,-200,-70,-71,-200,-77,-75,-200,-78,-71,-200,-73,-83,-200,-200,-200,-85,-200,-85,-200,-61,-200,-65,-200,-200,-69,-80,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-71,-83,-200,-200,-200,-200,-200,-200
1526452468932,-39,-37,-42,-55,-45,-62,-50,-53,-46,-57,-54,-52,-58,-62,-60,-56,-62,-63,-86,-61,-58,-200,-58,-59,-64,-65,-77,-59,-63,-69,-86,-200,-67,-73,-71,-200,-62,-76,-68,-200,-76,-73,-68,-200,-87,-75,-200,-78,-73,-77,-75,-78,-88,-200,-200,-85,-200,-85,-200,-61,-200,-65,-200,-200,-81,-80,-77,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-71,-83,-83,-200,-200,-200,-200,-200
1526452471987,-43,-32,-41,-49,-43,-54,-54,-53,-46,-55,-54,-52,-200,-63,-58,-55,-64,-64,-86,-60,-72,-200,-58,-62,-200,-64,-77,-59,-65,-76,-74,-70,-67,-83,-200,-69,-62,-200,-68,-200,-76,-76,-65,-200,-87,-200,-200,-200,-73,-77,-75,-82,-88,-200,-200,-200,-200,-85,-200,-65,-200,-61,-88,-200,-81,-200,-200,-200,-200,-200,-82,-76,-200,-200,-200,-200,-200,-88,-200,-86,-200,-200,-200,-200,-80,-200,-200,-85,-88,-89,-200,-200,-200,-200
1526452475057,-40,-38,-40,-51,-46,-54,-47,-53,-58,-54,-54,-51,-200,-58,-54,-55,-60,-55,-86,-60,-59,-58,-56,-62,-64,-62,-77,-63,-71,-76,-72,-70,-67,-79,-200,-69,-62,-200,-68,-70,-76,-82,-66,-200,-87,-200,-200,-200,-70,-77,-75,-82,-88,-200,-200,-200,-200,-84,-200,-65,-200,-62,-88,-200,-70,-200,-200,-200,-200,-200,-82,-76,-200,-200,-200,-200,-200,-88,-200,-64,-200,-200,-200,-200,-80,-200,-73,-86,-88,-89,-84,-200,-200,-200
1526452478062,-36,-38,-43,-48,-46,-59,-50,-200,-58,-54,-60,-56,-55,-58,-57,-56,-60,-52,-200,-60,-61,-58,-55,-59,-78,-61,-54,-63,-65,-71,-71,-70,-73,-73,-90,-69,-200,-80,-200,-70,-200,-72,-71,-200,-200,-76,-200,-75,-69,-200,-65,-82,-88,-200,-200,-200,-200,-84,-200,-65,-200,-65,-88,-200,-70,-200,-200,-200,-200,-200,-200,-62,-200,-79,-200,-200,-200,-88,-200,-64,-79,-200,-200,-200,-80,-200,-73,-86,-88,-89,-84,-200,-200,-200
1526452481067,-37,-45,-40,-55,-47,-59,-53,-47,-57,-55,-53,-57,-55,-56,-57,-58,-57,-57,-200,-200,-59,-200,-55,-59,-78,-63,-60,-59,-75,-71,-71,-200,-67,-76,-90,-200,-62,-80,-200,-200,-200,-75,-67,-200,-74,-76,-200,-75,-70,-200,-65,-84,-88,-200,-200,-200,-200,-82,-200,-61,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-84,-73,-200,-79,-200,-200,-200,-200,-200,-63,-79,-200,-200,-200,-200,-200,-73,-200,-200,-91,-200,-200,-200,-200
1526452484124,-36,-42,-39,-55,-50,-59,-50,-47,-57,-54,-67,-51,-63,-57,-58,-53,-58,-55,-200,-200,-64,-200,-60,-61,-65,-61,-62,-60,-65,-73,-200,-200,-71,-76,-86,-200,-63,-81,-65,-71,-200,-73,-67,-88,-74,-200,-200,-200,-69,-76,-67,-83,-86,-200,-200,-200,-200,-82,-200,-61,-200,-200,-89,-200,-69,-200,-200,-200,-200,-200,-85,-73,-200,-200,-200,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526452487165,-38,-35,-38,-54,-52,-63,-49,-55,-200,-56,-67,-56,-57,-57,-55,-54,-58,-56,-200,-62,-62,-64,-60,-59,-70,-63,-65,-56,-68,-73,-200,-200,-65,-54,-73,-200,-63,-73,-64,-71,-200,-56,-200,-88,-74,-200,-200,-200,-74,-76,-76,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-69,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-89,-200,-84,-200,-200
1526452490224,-44,-32,-39,-61,-51,-63,-51,-52,-52,-53,-54,-50,-58,-57,-57,-53,-62,-66,-200,-72,-56,-64,-60,-58,-63,-64,-63,-60,-70,-69,-200,-200,-65,-75,-73,-200,-63,-73,-72,-71,-69,-72,-200,-88,-71,-200,-200,-81,-69,-76,-76,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200,-69,-89,-200,-69,-200,-200,-80,-200,-82,-83,-70,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-89,-200,-84,-200,-200
1526452493284,-44,-35,-41,-43,-56,-59,-56,-52,-52,-52,-59,-49,-52,-63,-55,-54,-67,-66,-200,-72,-56,-64,-58,-59,-64,-53,-64,-60,-64,-67,-200,-71,-65,-72,-73,-80,-200,-73,-72,-200,-73,-76,-71,-200,-78,-80,-200,-81,-70,-200,-76,-53,-89,-83,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-65,-200,-200,-77,-200,-81,-84,-71,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-82,-79,-200,-200,-83,-200,-200,-200,-84,-88,-90
