,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A98,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526453138010,-44,-42,-40,-56,-76,-58,-51,-66,-54,-45,-62,-55,-58,-60,-200,-76,-72,-200,-63,-68,-200,-71,-58,-53,-200,-59,-69,-84,-70,-72,-71,-75,-63,-65,-80,-58,-71,-200,-75,-72,-71,-200,-200,-72,-72,-74,-200,-66,-200,-200,-200,-88,-84,-200,-80,-200,-200,-200,-77,-84,-70,-200,-200,-200,-82,-82,-200,-200,-200,-77,-200,-71,-200,-200,-200,-200,-200,-70,-200,-200,-200,-77,-80,-88,-71,-79,-82,-83,-200,-200,-200,-200,-200
1526453141015,-43,-37,-38,-50,-75,-76,-50,-62,-49,-41,-57,-200,-58,-62,-68,-76,-57,-65,-59,-68,-200,-72,-60,-62,-200,-60,-67,-83,-70,-74,-77,-75,-61,-65,-74,-58,-67,-200,-63,-68,-70,-200,-200,-72,-74,-71,-200,-69,-200,-200,-200,-88,-84,-200,-200,-85,-200,-200,-77,-51,-200,-200,-86,-200,-200,-200,-200,-200,-200,-78,-200,-76,-200,-200,-200,-200,-88,-70,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-82,-200,-200,-200,-200
1526453144081,-38,-38,-38,-53,-78,-69,-79,-60,-49,-48,-57,-200,-59,-64,-68,-76,-62,-65,-62,-70,-75,-72,-57,-66,-73,-60,-70,-81,-70,-76,-77,-75,-63,-66,-74,-58,-66,-200,-66,-66,-72,-200,-200,-68,-74,-71,-87,-64,-200,-200,-200,-88,-84,-200,-200,-85,-200,-74,-77,-51,-80,-200,-86,-200,-80,-200,-200,-200,-200,-78,-200,-68,-200,-200,-200,-200,-86,-70,-82,-200,-200,-81,-200,-200,-77,-200,-200,-86,-82,-200,-200,-200,-200
1526453147123,-38,-37,-37,-53,-74,-69,-51,-58,-55,-49,-200,-62,-59,-63,-200,-200,-61,-65,-62,-69,-75,-200,-60,-53,-73,-62,-71,-86,-200,-70,-200,-78,-63,-67,-200,-81,-67,-200,-64,-66,-70,-200,-78,-68,-75,-200,-87,-74,-200,-200,-200,-85,-200,-200,-200,-200,-200,-74,-200,-83,-80,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-68,-200,-91,-200,-200,-84,-200,-76,-86,-200,-81,-200,-200,-77,-200,-200,-86,-200,-200,-200,-200,-200
1526453150185,-39,-36,-37,-52,-74,-64,-57,-63,-84,-49,-59,-62,-61,-65,-68,-200,-61,-71,-58,-74,-69,-65,-61,-55,-73,-65,-70,-86,-200,-75,-200,-81,-63,-65,-200,-63,-67,-77,-64,-68,-73,-200,-78,-68,-78,-200,-87,-74,-200,-200,-200,-81,-200,-200,-200,-200,-200,-74,-200,-88,-80,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-68,-200,-91,-200,-200,-84,-74,-76,-86,-200,-81,-81,-200,-77,-200,-200,-86,-200,-86,-200,-200,-200
1526453153243,-42,-36,-39,-50,-74,-61,-58,-68,-54,-44,-56,-62,-61,-68,-68,-85,-66,-70,-59,-70,-69,-67,-61,-57,-200,-65,-68,-86,-70,-69,-72,-81,-64,-63,-200,-72,-67,-77,-68,-69,-69,-200,-83,-75,-78,-77,-82,-69,-200,-200,-200,-80,-200,-200,-200,-200,-81,-200,-81,-86,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-84,-74,-77,-86,-200,-200,-81,-200,-200,-200,-200,-200,-200,-86,-83,-86,-200
1526453156287,-44,-21,-37,-57,-73,-61,-51,-71,-54,-45,-56,-55,-60,-68,-200,-80,-59,-73,-63,-70,-200,-67,-58,-58,-72,-61,-70,-84,-70,-75,-72,-75,-67,-63,-200,-45,-200,-200,-71,-69,-72,-200,-83,-78,-74,-78,-82,-73,-200,-86,-200,-80,-86,-200,-88,-200,-82,-200,-81,-86,-74,-76,-200,-200,-200,-84,-200,-200,-200,-200,-200,-69,-200,-200,-200,-200,-200,-73,-77,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-83,-86,-200
1526453159363,-47,-35,-35,-56,-77,-200,-57,-63,-200,-45,-56,-58,-58,-200,-77,-80,-57,-73,-67,-200,-200,-67,-60,-78,-74,-61,-70,-84,-200,-74,-200,-75,-65,-64,-200,-61,-66,-200,-70,-64,-74,-71,-200,-79,-74,-81,-200,-88,-200,-86,-200,-200,-89,-200,-88,-81,-82,-200,-79,-84,-67,-76,-200,-200,-200,-84,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-76,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453162410,-45,-36,-41,-54,-77,-58,-52,-63,-200,-44,-57,-55,-63,-200,-77,-80,-62,-200,-62,-200,-200,-200,-60,-57,-74,-61,-68,-86,-68,-69,-200,-200,-62,-77,-200,-50,-75,-200,-70,-64,-74,-70,-200,-71,-76,-83,-200,-88,-200,-200,-200,-80,-88,-200,-200,-79,-200,-200,-79,-84,-70,-200,-200,-200,-200,-86,-200,-200,-64,-75,-200,-83,-200,-200,-79,-200,-200,-70,-81,-86,-85,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453165417,-39,-35,-37,-52,-77,-58,-52,-62,-50,-44,-56,-68,-68,-200,-200,-85,-63,-66,-59,-200,-200,-73,-61,-58,-200,-61,-67,-86,-66,-61,-200,-80,-62,-77,-84,-50,-75,-200,-200,-200,-74,-70,-200,-71,-77,-83,-200,-200,-200,-200,-200,-80,-88,-200,-200,-79,-200,-200,-200,-87,-66,-200,-200,-86,-81,-86,-200,-200,-64,-75,-86,-83,-200,-200,-79,-200,-200,-70,-81,-86,-85,-200,-76,-200,-73,-200,-200,-82,-200,-200,-200,-200,-200
1526453168478,-46,-64,-36,-53,-73,-58,-43,-60,-73,-39,-57,-56,-62,-66,-79,-85,-63,-80,-60,-72,-200,-73,-61,-58,-80,-59,-67,-85,-66,-54,-200,-80,-62,-66,-84,-79,-75,-200,-200,-81,-71,-70,-200,-71,-77,-83,-200,-200,-200,-200,-200,-85,-88,-200,-200,-79,-200,-200,-200,-84,-66,-200,-200,-86,-81,-86,-200,-200,-64,-74,-86,-73,-200,-200,-81,-200,-200,-70,-83,-87,-85,-200,-79,-200,-75,-84,-87,-85,-200,-200,-200,-200,-83
1526453171544,-46,-34,-36,-51,-79,-55,-48,-66,-54,-43,-53,-52,-62,-62,-79,-200,-59,-80,-65,-67,-200,-200,-60,-54,-80,-63,-68,-82,-200,-69,-74,-200,-49,-65,-200,-61,-70,-75,-71,-81,-51,-70,-200,-71,-75,-80,-200,-200,-200,-200,-200,-85,-200,-200,-200,-79,-200,-200,-200,-86,-70,-200,-82,-84,-200,-82,-86,-200,-200,-74,-89,-73,-200,-200,-78,-82,-200,-200,-78,-85,-83,-200,-79,-200,-75,-84,-76,-85,-200,-200,-200,-200,-83
