TimeStamp,e0:d1:73:a1:20:e1,e0:d1:73:a1:20:e5,e0:d1:73:a1:20:e0,54:78:1a:24:67:c5,54:78:1a:24:67:c0,54:78:1a:24:67:c4,e0:d1:73:a1:20:ec,e0:d1:73:a1:20:ea,e0:d1:73:a1:20:ef,e0:d1:73:a1:20:eb,54:78:1a:24:67:c2,e0:d1:73:a1:20:ed,e0:d1:73:a1:20:e4,54:78:1a:24:67:c1,e0:d1:73:a1:20:ee,cc:d5:39:24:a7:74,e0:d1:73:a1:20:e2,cc:d5:39:24:a7:72,84:78:ac:dc:d4:a0,84:78:ac:dc:d4:a5,84:78:ac:dc:d4:a1,84:78:ac:dc:d4:a4,20:3a:07:aa:41:30,20:3a:07:aa:41:35,e0:d1:73:d8:74:90,e0:d1:73:d8:74:94,e0:d1:73:d8:74:91,20:3a:07:aa:41:3b,e0:d1:73:d8:74:92,20:3a:07:aa:41:34,e0:d1:73:d8:74:95,20:3a:07:aa:41:31,20:3a:07:aa:41:3e,20:3a:07:aa:41:3f,20:3a:07:aa:41:32,20:3a:07:aa:41:3c,20:3a:07:aa:41:3d,20:3a:07:aa:41:3a,e0:d1:73:de:ac:10,e0:d1:73:de:ac:11,e0:d1:73:d8:74:9f,e0:d1:73:de:ac:15,e0:d1:73:d8:74:9d,e0:d1:73:d8:74:9e,e0:d1:73:d8:74:9b,e0:d1:73:d8:74:9a,e0:d1:73:d8:74:9c,e0:d1:73:de:ac:14,e0:d1:73:95:71:45,e0:d1:73:0f:2f:71,e0:d1:73:95:71:40,e0:d1:73:0f:2f:74,e0:d1:73:95:71:41,e0:d1:73:95:71:4b,e0:d1:73:0f:2f:70,e0:d1:73:95:71:4f,e0:d1:73:95:71:4e,e0:d1:73:95:71:4c,e0:d1:73:de:ac:12,e0:d1:73:0f:2f:72,e0:d1:73:95:71:4d,e0:d1:73:95:71:44,e0:d1:73:0f:2f:75,e0:d1:73:95:71:4a,e0:d1:73:0f:2f:7a,e0:d1:73:0f:2f:7f,e0:d1:73:0f:2f:7e,e0:d1:73:0f:2f:7c,e0:d1:73:95:71:42,e0:d1:73:0f:2f:7d,e0:d1:73:bd:c9:a4,e0:d1:73:bd:c9:a1,e0:d1:73:bd:c9:a2,e0:d1:73:bd:c9:a0,e0:d1:73:0f:2f:7b,e0:d1:73:bd:c9:a5,e0:d1:73:de:ac:1a,e0:d1:73:de:ac:1b,e0:d1:73:bd:c9:aa,e0:d1:73:de:ac:1f,e0:d1:73:de:ac:1d,e0:d1:73:de:ac:1e,e0:d1:73:bd:c9:ac,e0:d1:73:bd:c9:ab,e0:d1:73:bd:c9:af,e0:d1:73:bd:c9:ad,e0:d1:73:de:ac:1c,e0:d1:73:bd:c9:ae,54:78:1a:24:67:cf,84:78:ac:dc:d4:a2,cc:d5:39:9a:e4:80,cc:d5:39:9a:e4:85,cc:d5:39:9a:e4:81,cc:d5:39:9a:e4:84,cc:d5:39:9a:e4:82,34:a8:4e:29:3d:9f,34:a8:4e:29:3d:9a
1454081822168,,,,,,,,,,,,,,,,,,,,,,,-71,-71,-72,-74,-71,-83,-72,-71,-72,-71,-76,-81,-71,-79,-81,-78,-86,-87,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081825581,,,,,,,,,,,,,,,,,,,,,,,-83,-82,-63,-67,-69,,-63,-71,-63,-78,-76,-81,-71,-91,-88,-78,-86,-87,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081828973,,,,,,,,,,,,,,,,,,,,,,,-83,-82,-70,-71,-70,-86,-69,-71,-69,-78,-87,-89,-71,-91,-85,,-86,-87,-87,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081832388,,,,,,,,,,,,,,,,,,,,,,,-76,-77,-65,-66,-65,-86,-66,-75,-69,-78,-86,-89,-76,-88,-85,-83,,,-92,,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081835790,,,,,,,,,,,,,,,,,,,,,,,-81,-84,-66,-67,-65,-89,-69,-75,-66,,-86,-89,-83,-88,-90,-83,,,-90,,-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081839204,,,,,,,,,,,,,,,,,,,,,,,-81,-84,-66,-67,-69,-89,-70,-75,-66,,-86,-89,-83,-88,-90,-83,,,-90,,-93,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081842619,-84,,-88,,,,,,,,,,,,,,,,,,,,-81,-84,-67,-69,-64,-89,-68,,-66,,,,-83,,-90,,,,-90,,,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081846013,-84,,-85,,,,,,,,,,,,,,,,,,,,,,-69,-70,-64,,-71,,-66,,,,,,,,,,-91,,,-89,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081849457,-84,,-85,,,,,,,,,,,,,,,,,,,,,,-67,-65,-64,,-64,,-67,,,,,,,,,,-86,,-85,,-89,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081852859,,,-85,,,,,,,,,,,,,,,,,,,,,,-67,-64,-63,,-64,,-67,,,,,,,,,,-86,,-85,,-89,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081856262,-84,,,,,,,,,,,,-83,,,,-84,,,,,,,,-66,-67,-63,,-67,,-66,,,,,,,,,,-86,,-85,,,-86,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081859666,-84,-78,-78,,,,,,,,,,-79,,,,-79,,,,,,,,-66,-67,-79,,-80,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081863071,-80,-76,-78,,,,-83,-83,-83,-82,,-82,-79,,,,-79,,,,,,,,-66,-83,-86,,-80,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081866509,-67,-67,-78,,,,-91,-88,-83,-92,,-89,-79,,,,-67,,,,,,,,,-83,-86,,-87,,-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081869915,-77,-80,-78,,,,-91,-88,-83,-92,,-89,-79,,,,-81,,,,,,,,-76,-83,-86,,-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081873312,-75,-75,-75,,,,-87,-84,-85,-86,,-87,-79,,,,-81,,,,,,,,-76,-80,-81,,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081876724,-68,-75,-67,,,,-88,-86,-85,-86,,-89,-68,,-89,,-69,,,,,,,,-88,-87,-86,,-81,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081880122,-68,-72,-74,,,,-88,-86,-86,-86,,-88,-72,,-88,,-70,,,,,,,,-88,-87,-81,,-83,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081883568,-69,-72,-70,,,,-88,-89,-88,-86,,-90,-70,,-92,,-70,,,,,,,,-88,-87,-83,,-83,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081886968,-78,-72,-70,,,,,-89,-88,-86,,-90,-75,,-92,,-75,,,,,,,,-77,-76,-83,,-78,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081890372,-78,-86,-86,,,,,-89,-88,,,-90,-85,,-92,,-82,,,,,,,,-77,-76,-66,,-64,,-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081893778,-75,-75,-86,,,,,-91,-91,,,-93,-85,,,,-76,,,,,,,,-72,-71,-70,,-70,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081897178,-75,-76,-76,,,,,-91,-91,,,-93,-76,,,,-75,,,,,,,,-76,-77,-79,,-70,,-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081900618,-76,-76,-75,,,,,-91,-91,-94,,-93,-75,,,,-75,,,,,,,,-76,-77,-72,,-70,,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081904028,-79,-79,-78,,,,,,,-94,,,-75,,,,-75,,,,,,,,-65,-64,-67,,-64,,-71,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081907445,-79,-79,-78,,,,,,,-94,,,-75,,,,-75,,,,,,,,-67,-67,-67,,-67,,-67,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081910863,-79,-79,-87,,,,,,,,,,,,,,,,,,,,,,-83,-67,-76,,-76,,-75,,,,,,,,,,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081914257,,,-87,,,,,,,,,,,,,,,,,,,,,,-60,-60,-61,,-60,,-75,,,,,,,,,,,,,,-87,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081917705,,,-87,,,,,,,,,,,,,,,,,,,,,,-67,-60,-67,,-67,,-75,,,,,,,,,,-91,,,,-93,,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081921099,,,,,,,,,,,,,,,,,,,,,,,-75,,-65,-66,-65,-85,-65,-75,-66,-75,-85,-83,-75,,-82,,,,-91,,,,-93,-91,-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081924491,,,,,,,,,,,,,,,,,,,,,,,-71,-72,-81,-82,-81,-85,-81,-74,-66,-75,-85,-83,-71,,-82,,-77,,-91,-76,,,-93,-91,,-77,-82,-83,-83,-84,-84,-89,-85,-90,-90,-91,-77,-84,-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081927824,,,,,,,,,,,,,,,,,,,,,,,-75,-72,-83,-82,-81,-84,-81,-76,-82,-77,-85,-87,-75,,-92,,-83,-83,,-76,,,,-91,,-83,-81,-84,-80,-82,-81,-89,-82,-88,-89,-89,-83,-83,-87,-81,-83,-89,-89,-89,-89,-90,-80,-89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454081931178,,,,,,,,,,,,,,,,,,,,,,,-73,-72,-83,-82,-81,-92,-81,-73,-82,-77,-91,-87,-73,,-90,-89,-78,-78,,-76,,,,,,-78,-79,-79,-79,-82,-81,-88,-79,-90,-87,-89,-78,-83,-90,-80,-79,-89,-91,-90,-90,-88,-79,-86,-83,-86,-84,,,,,,,,,,,,,,,,,,,,,,,,
1454081934507,,,,,,,,,,,,,,,,,,,,,,,-72,,-86,-87,,-92,-86,-73,-86,-73,-86,-88,-73,,-87,-89,-78,-81,,,,,,,,-77,-78,-80,-79,-78,-81,-89,-78,-90,-89,-88,-78,-83,-88,-80,-78,-87,-81,-80,-79,-81,-80,-80,-85,-84,-85,-83,,,,,,,,,,,,,,,,,,,,,,,
1454081937827,-83,,-85,,,,-89,-89,-90,,,,-85,,-90,,-85,,,,,,-82,,-86,-87,,-92,-86,-82,-86,-78,-86,-88,-78,,-87,-89,-74,-74,,,,,,,,-75,-78,-69,-79,-78,-81,-80,-68,-79,-79,-79,-74,,-79,-77,-68,-79,-81,-74,-73,-74,-77,-74,-85,-84,-86,-84,-74,-84,,,,,,,,,,,,,,,,,,,,,
1454081941189,-83,-78,-77,,,,-89,-89,-90,,,,-77,,-90,,-78,,,,,,-82,,-86,-87,,,-86,-82,-86,-78,-86,-88,-78,,-87,,-76,-74,,-76,,,,,,-78,-73,-62,-72,-63,-73,-80,-68,-76,-77,-77,-76,-62,-77,-73,-68,-78,-81,-71,-70,-69,-77,-70,-79,-84,-79,-80,-71,-81,-90,-90,-90,-91,-92,,,,,,,,,,,,,,,,
1454081944513,-79,-79,-80,,,,-89,-89,-90,,,,-81,,-90,,-80,,,,,,-82,,,,,,,-82,,-78,,,-78,,,,-76,-76,,-76,,,,,,-77,-64,-60,-64,-63,-73,-68,-68,-69,-69,-69,-76,-61,-69,-64,-62,-69,,-68,-67,-67,-63,-68,-79,-79,-77,-77,-67,-77,-89,-89,-90,-88,-89,-86,-89,-89,-89,-88,,,,,,,,,,,
1454081947847,-79,-78,-79,,,,,,,,,,-78,,,,-79,,,,,,,,,,,,,,,,,,,,,,-79,-81,,-79,,,,,,-80,-66,-63,-65,-63,-66,-68,,-72,-71,-72,-80,-61,-71,-65,-61,-73,-69,-70,-69,-67,-63,-69,-79,-79,-71,-72,-69,-72,-90,-88,-88,-91,-88,-90,-89,-86,-88,-88,-88,-88,,,,,,,,,
1454081951177,-81,-82,-81,,,,-91,,-88,-89,,-89,-83,,-91,,-81,,,,,,,,,,,,,,,,,,,,,,-78,-81,,-78,,,,,,-78,-64,-66,-63,-64,-64,-68,-63,-71,-67,-68,-78,-61,-72,-63,-61,-68,-73,-73,-76,-73,-63,-73,-71,-79,-72,-71,-72,-71,-90,-90,-89,-89,-88,-90,-91,-86,-86,-88,-88,-90,,,,,,,,,
1454081954528,-77,-77,-77,,,,-89,,-88,-89,,-89,-83,,-89,,-76,,,,,,,,,,,,,,,,,,,,,,-85,-81,,-86,,,,,,-86,-62,-65,-61,-65,-62,-76,-65,-75,-76,-75,-85,-65,-75,-63,-61,-76,-79,-79,-77,-80,,-79,-72,-72,-72,-73,-78,-73,-90,-90,-89,-89,-88,-90,-88,-86,-86,-90,-88,-90,,,,,,,,,
1454081957867,-71,-71,-71,-82,-83,-83,-90,,-88,-89,-85,-90,-70,-84,-89,,-71,,,,,,,,,,,,,,,,,,,,,,-89,,,-88,,,,,,-88,-74,-72,-73,-74,-75,-76,-74,-75,-77,-75,-89,-74,-76,-63,,-76,-81,-81,-80,-81,,-81,-81,-72,-83,-82,-80,-82,-90,-90,-89,-89,-88,,-88,,-86,-90,,-90,,,,,,,,,
1454081961203,-74,-74,-74,-82,-83,-83,-90,,-89,-90,-85,-88,-75,-84,-90,,-73,,,,,,,,,,,,,,,,,,,,,,-89,,,-88,,,,,,-86,-70,-72,-70,-72,-70,-78,-72,-79,-79,-77,-87,-72,-78,,,-78,-82,-82,-83,-81,,-82,-81,-72,-83,-82,-84,-81,,,,,,,-92,,,-90,,,,,,,,,,,
1454081964555,-76,-73,-75,-80,-82,-81,-88,,-89,-90,-85,-89,-75,-84,-88,,-74,,,,,,,,,,,,,,,,,,,,,,-89,,,-88,,,,,,-86,-70,-72,-71,-72,-70,-81,-74,-82,-77,-78,-87,-71,-82,,,-79,-81,-81,-82,-81,,-81,-82,-83,-83,-84,-81,-81,,,,,,,-92,,,,,,,,,,,,,,
1454081967882,-76,-77,-75,-80,-82,-81,-85,,-86,-88,,-90,-74,,-90,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86,-70,-72,-70,-71,-67,-80,-69,-80,-79,-81,-87,-72,-80,,,-79,-82,-83,-84,-81,,-82,-83,-83,-81,-82,-82,-84,,,,,,,-92,,,,,,,,,,,,,,
1454081971203,-72,-69,-70,-81,-82,-81,-85,-88,-89,-89,-84,-88,-74,,-88,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,-76,-70,-74,-73,-80,-74,-78,-82,-82,,-74,-80,,-75,-79,-85,-81,-83,-84,,-84,-83,-87,-81,-82,-81,-84,,,,,,,,,,,,,,,,,,,,,
1454081974554,-70,-69,-69,-81,-80,-79,-85,-79,-76,-78,-84,-78,-70,-78,-78,,-70,,-87,-89,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,-70,-76,-76,-79,-74,-84,-79,-83,-80,-82,,-78,-83,-76,-78,-83,-86,-86,-84,-84,,-83,-83,-87,-81,-82,-85,-84,,,,,,,,,,,,,-94,-86,,,,,,,
1454081977886,-70,-69,-64,-80,-79,-78,,-90,-90,-90,-78,-89,-70,-78,-88,,-70,,-87,-89,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,-76,-76,-80,-79,-81,-80,-82,-85,-85,,-80,-82,-80,-80,-83,-85,-84,-86,-87,-78,-83,,-87,,,-83,,,,,,,,,,,,,,-94,-88,,,,,,,
1454081981233,-72,-75,-64,-82,-82,-82,,-88,-91,-88,-78,-84,-71,-81,-85,,-75,,-87,-89,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,-74,-73,-74,-82,-74,-85,-84,-85,,-73,-84,-74,-75,-84,-86,-87,-85,-85,-78,-85,,-83,-84,,-86,-85,,,,,,,,,,,,,-94,-88,-86,-87,-88,,,,
1454081984571,-74,-76,-64,-82,-83,-83,,-89,-91,-89,-78,-88,-71,-83,-90,,-72,,,,,-88,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,-74,-74,-75,-82,-74,-81,-79,-79,,-74,-82,-74,-75,-84,-85,-85,-84,-85,-73,-83,,-87,-84,,-83,-85,,,,,,,,,,,,,,-88,-86,-87,-88,,,,
1454081987914,-75,-74,,-84,-83,-87,,-88,-91,-88,,-88,-78,-83,-90,,-78,,,,,,,,,,,,,,,,,,,,,,,-89,,-88,,,,,,,,,-69,-69,-71,-79,-69,-75,-80,-79,-88,-69,-76,-70,-70,-76,-79,-79,-83,-79,-70,-82,,-87,-85,,-79,-81,,,,,,,,,,,,,,,-86,-87,-88,,,,
1454081991248,-75,-74,,-84,-83,-87,,-91,-91,-91,,-93,-73,-83,-91,,-74,,,,,,,,,,,,,,,,,,,,,,,-89,,-88,,,,,,,,,-75,-73,-74,-78,-74,-78,-77,-79,-88,-73,-77,-75,-74,-77,-84,-81,-82,-84,-75,-82,,-87,-85,,-84,-86,,,,,,,,,,,,,,,,,,,,,
1454081994558,-73,-74,-74,-87,-87,-87,-93,-91,-91,-92,,-90,-74,-88,-91,,-75,,,,,,,,,,,,,,,,,,,,,,,-89,,-88,,,,,,,,,-66,-68,-66,-71,-68,-74,-70,-74,-88,-73,-74,-66,-74,-75,-80,-81,-80,-79,-66,-80,-81,-79,-81,,-84,-80,,,,,,,,-91,,,,,,,,,,,,,
1454081997897,-73,-78,-79,-87,-87,,-93,-92,,-92,,-90,-78,-88,-92,,-78,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,-87,-65,-70,-64,-68,-66,-75,-68,-73,-73,-74,-87,-70,-73,-63,-70,-74,-80,-77,-78,-79,-62,-77,-79,-79,-80,-80,-75,-80,,,,,,,,-91,-91,,,,,,,,,,,,
1454082001230,-73,-80,-78,-87,-87,,-93,-94,-92,-92,,-90,-78,-88,-92,,-78,,,,,,,,,,,,,,,,,,,,,,-86,-89,,,,,,,,-86,-66,-72,-65,-68,-66,-72,-68,-73,-72,-73,-86,-70,-73,-65,-73,-73,-80,-77,-81,-79,-65,-77,-80,-78,-79,-80,-79,-83,,,-90,,,,,-91,-89,-91,,,,,,,,,,,
1454082004575,,-77,-79,,,,,-94,-90,,,,-80,,-90,,-79,,,,,,,,,,,,,,,,,,,,,,-82,-81,,-83,,,,,,-82,-61,-65,-60,-65,,-69,,-70,-70,-70,-82,-70,-69,-61,-73,-69,,-74,-74,-74,-61,-74,-77,-78,-77,-77,-74,-77,,,-88,,,,-90,-90,-88,-91,,-92,,,,,,,,,
1454082007906,,-77,-77,,,,,-94,-90,,,,-77,,-90,,-77,,,,,,,,,,,,,,,,,,,,,,-74,-75,,-74,,,,,,-74,-61,-64,-63,-64,,-69,,-66,-66,-66,-74,-64,-67,-63,-63,-69,-74,-74,-71,-74,-63,-74,-78,-78,-78,-77,-71,-77,-90,-88,-89,-90,-87,-88,-92,-90,-88,-91,-89,-90,,,,,,,,,
1454082011215,,-82,-81,,,,,,-90,,,,-81,,-90,,-81,,,,,,,,,,,,,,,,,,,,,,-86,-75,,-84,,,,,,-84,-62,-56,-61,-56,-60,-69,-56,-68,-68,-70,-83,-56,-67,-60,-63,-72,-67,-67,-66,-67,-63,-67,-75,,-75,-75,-67,-76,-90,-88,-84,-90,-87,-88,-85,-90,-83,,-89,-90,,,,,,,,,
