,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A28,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448474496,-32,-52,-49,-55,-56,-58,-48,-78,-64,-49,-76,-76,-71,-83,-69,-68,-71,-72,-200,-63,-70,-200,-64,-69,-75,-69,-75,-82,-200,-81,-79,-71,-73,-200,-73,-69,-200,-200,-85,-83,-200,-200,-200,-200,-79,-200,-200,-200,-85,-82,-200,-200,-200,-200,-81,-200,-88,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448477500,-37,-57,-53,-56,-57,-58,-48,-78,-86,-47,-76,-76,-71,-86,-69,-65,-71,-72,-72,-63,-79,-200,-64,-66,-75,-56,-70,-82,-85,-69,-78,-71,-73,-80,-77,-69,-200,-200,-82,-85,-200,-200,-200,-200,-80,-200,-200,-83,-85,-83,-200,-200,-200,-200,-81,-200,-88,-81,-200,-200,-200,-200,-77,-200,-200,-200,-85,-200,-85,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448480543,-76,-55,-53,-60,-57,-60,-47,-70,-59,-48,-70,-200,-73,-86,-71,-65,-71,-71,-70,-64,-74,-77,-69,-69,-200,-70,-84,-200,-85,-81,-78,-200,-74,-80,-76,-88,-200,-200,-83,-85,-200,-89,-200,-200,-80,-200,-200,-83,-200,-83,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-77,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448483586,-42,-51,-52,-55,-55,-62,-46,-71,-60,-48,-73,-78,-73,-200,-72,-65,-76,-71,-70,-68,-74,-77,-69,-64,-200,-73,-82,-200,-200,-83,-78,-74,-74,-200,-75,-89,-88,-200,-85,-83,-200,-89,-200,-200,-82,-200,-200,-200,-200,-84,-89,-91,-83,-200,-200,-200,-200,-84,-91,-200,-200,-200,-86,-200,-200,-200,-87,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448486634,-25,-39,-46,-54,-55,-57,-50,-56,-52,-49,-67,-59,-77,-200,-76,-61,-76,-72,-200,-55,-200,-200,-200,-68,-200,-70,-77,-200,-82,-78,-68,-55,-74,-83,-75,-88,-88,-200,-83,-87,-200,-200,-200,-87,-85,-200,-200,-200,-200,-84,-89,-91,-83,-200,-200,-86,-200,-72,-91,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-87,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448489686,-26,-34,-46,-55,-46,-57,-58,-56,-50,-47,-65,-59,-77,-74,-71,-58,-78,-74,-61,-68,-70,-200,-200,-59,-200,-71,-75,-88,-82,-74,-71,-59,-75,-83,-69,-85,-75,-200,-83,-87,-200,-200,-84,-87,-83,-200,-75,-200,-200,-82,-89,-91,-83,-200,-200,-79,-200,-72,-91,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-87,-85,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526448492697,-29,-35,-56,-59,-44,-62,-50,-61,-53,-46,-78,-71,-77,-74,-70,-64,-67,-74,-66,-60,-73,-200,-68,-63,-73,-71,-81,-75,-82,-74,-68,-63,-75,-78,-69,-84,-75,-90,-80,-87,-200,-200,-84,-87,-83,-200,-78,-200,-200,-81,-200,-200,-200,-200,-200,-79,-200,-78,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-86,-78,-200,-200,-200,-200,-200,-200,-200
1526448495753,-26,-32,-59,-50,-44,-62,-54,-76,-53,-49,-76,-71,-72,-200,-68,-63,-71,-83,-66,-61,-72,-74,-64,-60,-73,-71,-80,-75,-200,-75,-68,-60,-75,-78,-69,-84,-200,-89,-83,-200,-84,-200,-84,-89,-200,-200,-75,-200,-200,-81,-85,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-75,-85,-200,-78,-200,-200,-200,-200,-200,-200,-200
1526448498758,-14,-30,-48,-51,-44,-62,-51,-62,-56,-58,-69,-200,-76,-200,-72,-62,-70,-67,-70,-60,-72,-74,-64,-62,-75,-77,-50,-200,-200,-77,-71,-60,-75,-200,-69,-85,-200,-89,-82,-200,-84,-200,-84,-89,-200,-200,-75,-200,-200,-81,-85,-200,-200,-200,-200,-76,-200,-77,-200,-200,-200,-75,-77,-200,-200,-200,-91,-200,-78,-85,-75,-85,-200,-200,-86,-88,-90,-200,-200,-200,-200
1526448501806,-39,-37,-48,-48,-42,-59,-53,-57,-58,-53,-69,-74,-76,-68,-67,-66,-69,-67,-74,-66,-200,-200,-70,-62,-75,-74,-79,-75,-200,-81,-70,-60,-70,-200,-200,-85,-200,-88,-82,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-77,-81,-200,-200,-200,-200,-200,-200,-77,-200,-89,-81,-91,-200,-78,-85,-200,-85,-200,-200,-86,-88,-90,-79,-87,-90,-200
1526448504816,-28,-34,-54,-52,-68,-60,-55,-61,-59,-71,-69,-71,-76,-73,-69,-63,-76,-67,-66,-62,-67,-200,-70,-59,-73,-71,-70,-75,-77,-74,-71,-65,-71,-75,-200,-85,-200,-88,-81,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-77,-78,-200,-200,-200,-83,-200,-200,-77,-200,-89,-84,-91,-200,-78,-85,-200,-85,-200,-73,-86,-88,-90,-79,-87,-90,-200
1526448507863,-26,-33,-51,-59,-43,-66,-63,-58,-57,-71,-75,-71,-77,-72,-69,-62,-82,-62,-64,-62,-74,-72,-67,-67,-73,-78,-79,-75,-77,-78,-71,-57,-71,-75,-72,-85,-200,-88,-84,-86,-200,-200,-82,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-77,-78,-200,-81,-200,-83,-200,-200,-200,-200,-87,-84,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-85,-87,-90,-86
