,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A88,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,NETWORK
1526448799258,-22,-36,-46,-74,-55,-51,-45,-49,-55,-50,-65,-62,-59,-59,-76,-65,-81,-59,-77,-70,-63,-64,-67,-200,-65,-200,-73,-82,-74,-66,-74,-69,-200,-81,-75,-200,-82,-84,-200,-74,-200,-68,-200,-200,-200,-83,-200,-65,-200,-71,-85,-200,-200,-200,-200,-200,-83,-67,-200,-200,-200,-85,-80,-200,-200,-88,-89,-83,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448802304,-25,-37,-45,-57,-46,-51,-46,-49,-55,-50,-64,-59,-57,-61,-76,-65,-81,-71,-77,-70,-63,-64,-65,-200,-62,-63,-73,-79,-75,-66,-74,-69,-200,-81,-200,-200,-200,-200,-200,-73,-200,-68,-200,-200,-200,-83,-200,-82,-80,-73,-85,-200,-200,-200,-200,-200,-84,-66,-76,-200,-200,-200,-80,-200,-200,-200,-88,-83,-86,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448805364,-22,-36,-43,-55,-48,-53,-45,-49,-57,-50,-64,-71,-57,-56,-77,-65,-64,-58,-77,-66,-62,-64,-65,-200,-62,-63,-73,-82,-75,-66,-74,-77,-200,-81,-200,-200,-200,-200,-200,-49,-200,-68,-200,-200,-200,-83,-200,-82,-80,-73,-85,-86,-81,-200,-200,-200,-84,-68,-75,-200,-90,-200,-80,-200,-200,-200,-88,-83,-86,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448808405,-25,-35,-46,-55,-47,-54,-45,-48,-51,-51,-64,-61,-58,-57,-74,-65,-80,-58,-200,-66,-63,-63,-66,-76,-62,-63,-73,-82,-74,-60,-200,-71,-200,-73,-75,-200,-200,-200,-200,-73,-200,-68,-200,-200,-200,-200,-200,-85,-69,-73,-200,-86,-81,-200,-200,-200,-84,-68,-75,-200,-90,-200,-200,-200,-200,-200,-88,-89,-200,-82,-83,-86,-87,-200,-200,-200,-200,-200,-200
1526448811470,-21,-37,-44,-74,-47,-53,-47,-49,-53,-50,-200,-70,-58,-57,-70,-65,-80,-66,-200,-200,-63,-64,-66,-76,-63,-200,-73,-82,-75,-60,-75,-71,-200,-73,-75,-200,-200,-200,-200,-73,-200,-68,-200,-200,-200,-200,-200,-84,-72,-73,-200,-200,-78,-200,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-83,-86,-82,-77,-200,-200,-200,-200,-200
1526448814525,-25,-36,-43,-56,-47,-51,-44,-49,-54,-50,-65,-72,-55,-55,-70,-65,-80,-60,-200,-66,-63,-65,-200,-75,-64,-200,-71,-80,-75,-66,-75,-200,-200,-200,-200,-200,-76,-200,-200,-73,-200,-68,-200,-200,-200,-200,-200,-85,-72,-200,-200,-200,-78,-200,-200,-200,-200,-63,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-82,-77,-88,-200,-200,-200,-200
1526448817571,-22,-35,-46,-69,-47,-51,-65,-49,-55,-51,-68,-72,-60,-55,-77,-65,-80,-60,-75,-53,-61,-64,-66,-77,-63,-68,-73,-73,-74,-66,-200,-78,-200,-200,-75,-200,-76,-200,-200,-69,-200,-69,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-75,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-88,-83,-90,-200,-200
1526448820620,-21,-35,-47,-58,-48,-55,-44,-49,-55,-52,-62,-62,-60,-59,-75,-65,-81,-59,-73,-63,-64,-66,-66,-77,-62,-68,-73,-75,-74,-65,-75,-78,-200,-75,-75,-200,-200,-200,-200,-74,-200,-49,-200,-81,-200,-200,-200,-84,-200,-73,-200,-200,-78,-200,-91,-200,-200,-67,-73,-200,-200,-86,-82,-85,-86,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-83,-90,-200,-200
1526448823627,-22,-37,-49,-59,-47,-51,-45,-49,-54,-51,-63,-67,-58,-62,-71,-70,-67,-61,-70,-63,-62,-67,-79,-87,-62,-68,-73,-80,-74,-65,-75,-71,-200,-75,-75,-200,-200,-200,-200,-73,-200,-70,-200,-81,-200,-83,-91,-81,-86,-72,-200,-78,-78,-200,-91,-88,-200,-67,-73,-200,-200,-86,-82,-85,-86,-200,-200,-200,-200,-82,-200,-200,-200,-80,-200,-91,-90,-89,-200
1526448826694,-23,-35,-48,-58,-44,-49,-52,-49,-56,-59,-63,-60,-60,-59,-73,-65,-67,-65,-70,-64,-69,-66,-65,-73,-59,-67,-72,-73,-200,-64,-200,-74,-200,-80,-200,-200,-200,-200,-200,-73,-200,-68,-200,-200,-200,-83,-91,-81,-71,-72,-85,-75,-74,-200,-200,-88,-200,-67,-200,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-75,-200,-81,-200,-89,-89
1526448829712,-21,-36,-44,-54,-46,-53,-47,-49,-52,-50,-66,-69,-56,-57,-70,-65,-81,-62,-70,-70,-64,-65,-65,-76,-85,-66,-73,-83,-200,-66,-200,-70,-200,-80,-200,-200,-200,-81,-200,-65,-200,-68,-200,-200,-200,-83,-91,-84,-71,-72,-85,-75,-74,-200,-200,-88,-83,-67,-200,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-75,-200,-81,-200,-89,-89
1526448832758,-21,-30,-43,-54,-47,-72,-46,-49,-48,-51,-66,-59,-59,-58,-68,-65,-73,-74,-72,-79,-60,-65,-65,-76,-63,-74,-73,-80,-200,-66,-200,-70,-200,-74,-75,-200,-76,-81,-200,-49,-200,-69,-200,-77,-200,-200,-200,-84,-78,-75,-85,-75,-74,-200,-200,-200,-83,-66,-200,-200,-90,-84,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-79,-75,-200,-81,-200,-200,-89
