,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro
1526448699115,-23,-35,-44,-49,-44,-51,-68,-54,-42,-53,-48,-91,-71,-200,-72,-65,-63,-58,-67,-200,-56,-68,-70,-63,-62,-77,-83,-82,-70,-62,-81,-83,-200,-68,-71,-200,-200,-74,-83,-76,-200,-71,-90,-200,-200,-200,-200,-200,-69,-200,-200,-200,-75,-77,-83,-200,-200,-89,-63,-200,-200,-200,-200,-83,-200,-200,-200,-200,-81,-82,-87,-200,-200,-200,-200,-200,-200,-200
1526448702134,-23,-37,-44,-50,-43,-51,-68,-55,-42,-53,-52,-59,-76,-72,-72,-69,-73,-66,-200,-69,-57,-69,-70,-74,-67,-200,-200,-82,-73,-63,-81,-83,-200,-68,-71,-200,-200,-72,-83,-76,-200,-78,-90,-200,-200,-200,-200,-200,-76,-200,-200,-90,-75,-77,-200,-200,-200,-200,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-87,-83,-200,-200,-200,-200,-200,-200
1526448705194,-22,-36,-44,-48,-43,-50,-68,-55,-42,-53,-58,-59,-67,-72,-70,-69,-73,-66,-69,-68,-55,-67,-70,-75,-68,-76,-200,-82,-75,-62,-76,-83,-200,-68,-71,-200,-200,-76,-83,-76,-200,-72,-90,-200,-200,-200,-200,-200,-76,-200,-200,-90,-76,-77,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-87,-83,-200,-200,-200,-200,-200,-200
1526448708236,-22,-37,-47,-47,-46,-51,-68,-51,-39,-53,-52,-58,-71,-72,-72,-69,-73,-66,-65,-68,-57,-71,-70,-75,-68,-76,-200,-83,-75,-63,-81,-83,-200,-67,-71,-200,-81,-72,-83,-200,-200,-72,-90,-200,-200,-200,-200,-200,-77,-200,-200,-90,-76,-78,-200,-200,-200,-200,-70,-200,-200,-200,-86,-200,-200,-91,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526448711294,-23,-36,-44,-53,-43,-51,-68,-53,-40,-54,-54,-58,-76,-200,-72,-69,-65,-66,-54,-68,-52,-65,-77,-65,-200,-77,-200,-83,-200,-70,-81,-83,-200,-68,-74,-200,-81,-72,-83,-200,-200,-70,-200,-200,-200,-200,-200,-200,-76,-200,-200,-90,-74,-78,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-91,-80,-200,-200,-200,-86,-200,-80,-200,-200,-200,-200,-200
1526448714354,-23,-35,-45,-50,-44,-51,-68,-55,-37,-54,-53,-58,-72,-73,-200,-68,-62,-64,-68,-67,-56,-72,-77,-68,-71,-77,-200,-83,-68,-70,-83,-83,-83,-68,-69,-78,-200,-200,-83,-200,-200,-70,-200,-200,-200,-200,-73,-200,-76,-72,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-80,-200,-200,-200,-86,-200,-80,-87,-91,-200,-200,-200
1526448717397,-22,-35,-45,-49,-43,-51,-68,-54,-42,-53,-48,-58,-72,-73,-72,-68,-62,-68,-68,-67,-56,-72,-73,-68,-69,-200,-83,-82,-74,-62,-81,-83,-83,-67,-71,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-76,-72,-200,-200,-74,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-85,-200,-200,-200,-200,-89,-200,-200,-87,-91,-200,-200,-200
1526448720407,-30,-36,-43,-54,-46,-51,-68,-54,-41,-53,-53,-58,-73,-200,-67,-69,-62,-67,-68,-68,-55,-66,-73,-70,-67,-200,-83,-82,-74,-64,-81,-83,-200,-68,-71,-200,-200,-70,-200,-200,-200,-84,-200,-200,-200,-200,-73,-200,-76,-72,-200,-91,-74,-76,-200,-200,-200,-200,-68,-200,-200,-200,-85,-200,-200,-85,-200,-200,-200,-200,-89,-200,-200,-200,-200,-80,-200,-200
1526448723465,-31,-35,-59,-50,-45,-51,-68,-52,-42,-53,-49,-73,-73,-200,-72,-68,-200,-67,-67,-68,-56,-82,-70,-70,-67,-200,-80,-83,-73,-64,-200,-83,-200,-68,-68,-74,-200,-70,-82,-200,-84,-84,-200,-200,-200,-200,-200,-88,-69,-72,-200,-90,-74,-76,-200,-200,-200,-200,-83,-200,-200,-200,-85,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-90,-80,-200,-200
1526448726485,-31,-35,-46,-69,-42,-51,-68,-51,-39,-53,-49,-57,-72,-200,-72,-70,-200,-68,-67,-82,-59,-82,-70,-62,-66,-200,-80,-83,-73,-63,-200,-83,-200,-68,-70,-74,-200,-200,-82,-200,-84,-78,-200,-200,-200,-200,-200,-88,-77,-200,-200,-90,-76,-200,-200,-200,-200,-200,-83,-200,-200,-85,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-79,-200,-90,-77,-87,-200
1526448729534,-29,-35,-43,-50,-41,-50,-68,-55,-45,-200,-47,-53,-64,-200,-70,-70,-61,-61,-64,-74,-57,-200,-200,-67,-66,-200,-86,-82,-73,-62,-200,-83,-85,-68,-70,-200,-200,-73,-200,-200,-200,-77,-200,-200,-200,-200,-200,-70,-77,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-77,-87,-200
1526448732595,-22,-35,-43,-47,-45,-50,-68,-55,-38,-200,-54,-53,-69,-71,-70,-70,-65,-61,-64,-70,-54,-200,-200,-67,-66,-200,-86,-82,-86,-58,-82,-83,-85,-68,-72,-71,-200,-73,-83,-75,-200,-77,-200,-200,-200,-200,-200,-77,-77,-71,-200,-90,-75,-77,-200,-200,-200,-200,-65,-200,-200,-85,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-77,-87,-86
