,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309
1526456450254,-62,-33,-65,-78,-48,-74,-70,-73,-46,-63,-54,-63,-78,-83,-200,-75,-75,-75,-46,-82,-48,-65,-49,-71,-61,-69,-66,-91,-62,-72,-77,-86,-200,-80,-200,-79,-88,-88,-89,-200,-75,-67,-88,-93,-200,-72,-200,-73,-81,-82,-200,-62,-80,-76,-200,-78,-80,-87,-89,-79,-87,-75,-66,-200,-200,-93,-200,-70,-200,-87,-89,-200,-200,-200,-200,-79,-200,-200,-200,-87,-83,-76,-81,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-75,-74,-80,-87,-200,-88,-200,-89,-65,-69,-73,-200,-89,-86,-90,-90,-93,-90,-200,-84,-94,-200,-200,-200
1526456453289,-64,-34,-59,-78,-51,-69,-74,-70,-47,-64,-56,-57,-78,-82,-82,-46,-75,-75,-45,-80,-48,-65,-48,-71,-65,-70,-66,-91,-62,-72,-77,-86,-200,-80,-200,-79,-88,-200,-89,-200,-75,-67,-88,-93,-200,-74,-200,-69,-81,-82,-200,-60,-78,-76,-200,-70,-80,-85,-90,-83,-87,-76,-66,-200,-200,-93,-200,-71,-200,-87,-90,-200,-200,-200,-200,-81,-200,-200,-84,-87,-83,-76,-81,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200,-89,-200,-74,-78,-76,-78,-87,-81,-88,-87,-88,-65,-69,-73,-200,-89,-86,-90,-90,-85,-90,-200,-83,-94,-200,-200,-200
1526456456303,-65,-39,-59,-78,-49,-69,-75,-72,-48,-66,-54,-59,-72,-81,-82,-46,-200,-75,-44,-80,-50,-65,-52,-70,-58,-79,-61,-83,-62,-62,-82,-86,-200,-82,-200,-78,-88,-200,-200,-200,-75,-53,-200,-200,-200,-74,-200,-73,-83,-82,-200,-63,-84,-75,-200,-81,-80,-85,-90,-82,-87,-73,-66,-200,-200,-93,-200,-73,-200,-87,-92,-200,-200,-200,-200,-81,-200,-200,-84,-87,-81,-77,-81,-200,-200,-200,-200,-75,-200,-91,-200,-200,-200,-200,-200,-89,-200,-74,-78,-79,-78,-87,-81,-88,-87,-88,-59,-69,-74,-200,-89,-88,-88,-90,-85,-90,-200,-83,-94,-83,-200,-200
1526456459343,-61,-47,-56,-72,-48,-88,-74,-72,-56,-68,-57,-59,-75,-81,-82,-41,-200,-75,-45,-87,-51,-65,-52,-70,-70,-79,-71,-83,-66,-69,-84,-86,-200,-82,-200,-81,-88,-200,-200,-200,-75,-66,-200,-200,-200,-77,-200,-80,-82,-82,-200,-61,-84,-78,-84,-80,-80,-85,-90,-82,-200,-74,-67,-200,-200,-93,-200,-74,-200,-87,-92,-200,-200,-200,-200,-81,-200,-200,-87,-87,-84,-75,-200,-200,-200,-200,-200,-74,-200,-91,-200,-200,-200,-200,-200,-89,-200,-74,-81,-79,-81,-87,-81,-200,-87,-88,-62,-69,-73,-200,-89,-89,-88,-89,-81,-90,-89,-83,-94,-83,-200,-200
1526456462379,-61,-35,-56,-72,-52,-69,-69,-71,-47,-67,-51,-61,-75,-81,-82,-48,-200,-200,-48,-84,-48,-65,-48,-70,-63,-79,-70,-83,-67,-64,-81,-84,-200,-82,-200,-83,-88,-86,-200,-200,-200,-63,-200,-200,-200,-75,-200,-75,-81,-84,-200,-62,-76,-79,-84,-80,-83,-85,-91,-84,-89,-73,-75,-200,-200,-200,-200,-76,-200,-82,-89,-200,-200,-200,-200,-85,-200,-200,-87,-87,-84,-82,-200,-200,-200,-200,-200,-74,-200,-90,-200,-200,-200,-200,-200,-84,-200,-75,-77,-77,-81,-89,-81,-92,-87,-88,-66,-65,-73,-85,-87,-89,-88,-89,-83,-200,-89,-81,-200,-90,-200,-200
1526456465425,-65,-36,-55,-72,-51,-69,-77,-72,-48,-75,-55,-67,-77,-81,-200,-59,-200,-200,-52,-84,-46,-63,-59,-70,-63,-74,-67,-84,-67,-65,-81,-84,-200,-82,-200,-83,-200,-86,-87,-200,-80,-65,-88,-200,-200,-75,-200,-74,-77,-84,-200,-49,-78,-87,-84,-86,-84,-88,-91,-85,-89,-74,-73,-200,-200,-200,-200,-76,-200,-82,-89,-200,-200,-200,-200,-85,-200,-200,-87,-89,-82,-86,-86,-200,-200,-200,-200,-74,-200,-90,-200,-200,-200,-200,-200,-84,-200,-77,-74,-77,-84,-88,-87,-92,-200,-200,-66,-70,-73,-85,-94,-87,-88,-88,-91,-200,-89,-81,-200,-90,-200,-200
1526456468472,-61,-38,-51,-72,-46,-67,-77,-71,-49,-66,-51,-55,-77,-81,-200,-59,-80,-200,-52,-84,-49,-64,-50,-70,-61,-75,-68,-85,-63,-59,-81,-84,-200,-83,-200,-81,-89,-86,-87,-200,-79,-63,-88,-200,-200,-74,-200,-76,-79,-84,-200,-49,-78,-82,-84,-86,-84,-88,-91,-85,-89,-73,-66,-200,-200,-200,-200,-77,-200,-87,-89,-200,-200,-200,-200,-85,-200,-84,-87,-89,-82,-86,-87,-200,-200,-200,-200,-74,-200,-90,-200,-200,-200,-200,-200,-84,-200,-74,-78,-77,-84,-88,-87,-92,-200,-90,-65,-70,-69,-85,-94,-86,-200,-91,-85,-200,-89,-81,-200,-90,-92,-200
1526456471510,-69,-39,-64,-77,-76,-67,-81,-72,-48,-76,-53,-61,-76,-81,-200,-51,-80,-200,-49,-84,-50,-65,-57,-70,-61,-80,-68,-86,-66,-59,-82,-84,-200,-79,-200,-78,-89,-87,-87,-200,-80,-65,-88,-92,-200,-84,-200,-74,-75,-81,-200,-70,-78,-82,-81,-82,-87,-87,-91,-85,-89,-73,-74,-200,-200,-200,-200,-85,-200,-87,-89,-200,-200,-200,-200,-83,-200,-84,-200,-87,-81,-86,-87,-200,-200,-200,-200,-81,-200,-90,-200,-200,-200,-200,-200,-84,-200,-78,-78,-80,-84,-88,-87,-92,-200,-90,-68,-77,-79,-85,-94,-86,-200,-91,-85,-200,-200,-81,-200,-90,-92,-89
1526456474535,-75,-39,-55,-77,-57,-70,-72,-72,-46,-67,-59,-66,-75,-84,-200,-54,-65,-77,-48,-84,-46,-63,-49,-71,-70,-69,-73,-86,-66,-65,-82,-84,-200,-86,-200,-79,-89,-68,-87,-200,-79,-65,-88,-92,-200,-74,-200,-77,-77,-83,-200,-61,-81,-81,-81,-78,-87,-87,-92,-80,-200,-74,-67,-200,-200,-200,-200,-83,-200,-81,-89,-200,-200,-86,-200,-90,-200,-84,-200,-87,-79,-200,-87,-200,-200,-200,-200,-76,-200,-89,-200,-200,-200,-200,-200,-200,-200,-78,-79,-73,-81,-89,-200,-200,-200,-90,-63,-77,-79,-85,-86,-89,-200,-91,-88,-89,-87,-84,-200,-89,-92,-89
1526456477571,-63,-38,-59,-83,-46,-73,-72,-73,-46,-72,-50,-67,-77,-80,-200,-40,-65,-77,-47,-83,-49,-63,-51,-72,-66,-75,-69,-86,-64,-68,-82,-84,-200,-86,-200,-78,-200,-68,-87,-200,-79,-66,-88,-91,-200,-79,-68,-72,-78,-83,-200,-64,-77,-77,-81,-78,-83,-84,-90,-81,-88,-72,-64,-200,-200,-200,-200,-83,-200,-81,-89,-200,-200,-84,-200,-84,-200,-200,-200,-87,-83,-82,-82,-200,-200,-200,-200,-72,-200,-89,-200,-200,-200,-200,-200,-200,-200,-78,-79,-73,-81,-90,-200,-200,-88,-90,-61,-70,-79,-85,-86,-86,-89,-89,-85,-89,-87,-84,-200,-84,-200,-89
1526456480620,-63,-34,-60,-83,-57,-67,-70,-71,-45,-61,-58,-62,-77,-80,-92,-47,-65,-77,-48,-82,-52,-62,-49,-75,-63,-82,-71,-88,-64,-64,-83,-84,-200,-82,-200,-75,-200,-68,-200,-80,-80,-60,-200,-91,-200,-76,-70,-72,-80,-83,-200,-66,-78,-82,-200,-81,-85,-84,-90,-85,-88,-72,-65,-200,-200,-200,-200,-79,-200,-81,-91,-200,-200,-83,-200,-85,-200,-200,-85,-200,-82,-82,-82,-200,-200,-200,-200,-72,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-78,-76,-78,-85,-200,-200,-88,-92,-61,-71,-70,-85,-86,-88,-89,-89,-82,-89,-87,-84,-200,-87,-200,-200
1526456483659,-62,-38,-61,-83,-52,-66,-70,-75,-49,-71,-60,-62,-78,-80,-89,-52,-200,-77,-47,-82,-51,-63,-50,-70,-63,-81,-69,-88,-64,-69,-83,-84,-75,-81,-200,-73,-91,-200,-200,-80,-81,-62,-200,-91,-200,-76,-70,-73,-80,-79,-200,-62,-80,-82,-200,-79,-85,-85,-91,-84,-88,-72,-67,-200,-200,-200,-200,-79,-200,-86,-91,-200,-200,-83,-200,-84,-200,-200,-85,-200,-83,-79,-82,-200,-200,-200,-200,-77,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-77,-76,-77,-85,-200,-200,-91,-92,-61,-71,-71,-200,-87,-88,-89,-89,-82,-200,-200,-84,-200,-87,-200,-200
