,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526450833632,-48,-35,-37,-35,-38,-54,-35,-41,-74,-52,-56,-66,-58,-45,-50,-68,-200,-61,-46,-55,-67,-53,-200,-58,-55,-200,-200,-200,-59,-62,-45,-69,-60,-74,-81,-61,-66,-77,-70,-72,-77,-200,-85,-69,-82,-200,-81,-76,-77,-200,-88,-200,-46,-57,-53,-59,-51,-57,-65,-66,-200,-200,-80,-83,-87,-68,-200,-200,-200,-200,-200,-200,-200,-200
1526450836665,-48,-35,-40,-39,-37,-50,-36,-43,-74,-54,-56,-66,-54,-45,-200,-68,-200,-59,-44,-58,-64,-47,-200,-61,-58,-200,-200,-200,-57,-62,-48,-69,-64,-74,-80,-62,-66,-75,-70,-70,-80,-200,-85,-69,-81,-200,-80,-78,-77,-200,-88,-200,-48,-58,-53,-55,-54,-57,-65,-65,-67,-200,-80,-83,-87,-68,-90,-200,-200,-200,-200,-200,-200,-200
1526450839694,-48,-36,-40,-39,-38,-46,-36,-43,-72,-53,-56,-66,-54,-45,-53,-68,-200,-59,-55,-55,-64,-47,-200,-59,-57,-200,-200,-200,-57,-62,-48,-65,-62,-74,-73,-62,-66,-76,-70,-74,-74,-200,-84,-69,-80,-200,-80,-76,-78,-200,-88,-200,-48,-57,-55,-62,-54,-55,-65,-65,-67,-200,-200,-200,-200,-68,-91,-200,-200,-200,-200,-200,-200,-200
1526450842722,-50,-37,-47,-39,-42,-46,-39,-43,-72,-53,-53,-66,-54,-49,-57,-68,-200,-55,-47,-53,-66,-47,-200,-59,-57,-200,-60,-200,-63,-59,-48,-64,-62,-70,-69,-63,-66,-75,-70,-73,-76,-200,-88,-69,-77,-200,-81,-77,-78,-200,-88,-200,-51,-53,-53,-62,-54,-55,-65,-65,-74,-200,-200,-200,-200,-68,-91,-68,-200,-200,-200,-200,-200,-200
1526450845753,-47,-34,-43,-39,-42,-38,-39,-45,-76,-55,-53,-67,-50,-49,-57,-68,-200,-55,-48,-52,-66,-51,-200,-57,-60,-200,-60,-200,-63,-63,-52,-64,-63,-70,-65,-59,-66,-75,-74,-76,-75,-200,-85,-69,-77,-200,-85,-77,-78,-200,-88,-200,-51,-60,-54,-59,-54,-55,-65,-65,-74,-200,-200,-200,-200,-68,-91,-68,-75,-200,-200,-200,-200,-200
1526450848771,-51,-34,-39,-43,-38,-45,-36,-43,-76,-52,-53,-67,-50,-49,-57,-65,-200,-55,-45,-51,-65,-50,-200,-59,-58,-200,-60,-200,-59,-63,-48,-66,-63,-70,-72,-58,-200,-75,-74,-76,-74,-200,-87,-70,-82,-200,-81,-77,-78,-200,-88,-200,-49,-60,-50,-57,-55,-55,-65,-61,-70,-200,-200,-200,-200,-68,-91,-68,-75,-70,-200,-200,-200,-200
1526450851801,-50,-37,-40,-45,-37,-41,-36,-41,-76,-57,-53,-67,-50,-45,-57,-70,-200,-59,-45,-51,-65,-54,-200,-59,-59,-86,-60,-200,-64,-71,-45,-67,-63,-70,-75,-58,-200,-76,-74,-73,-76,-200,-83,-70,-83,-200,-83,-78,-78,-200,-88,-200,-49,-55,-54,-57,-55,-55,-65,-61,-70,-67,-78,-200,-200,-200,-91,-68,-74,-70,-80,-86,-88,-200
1526450854818,-50,-37,-42,-39,-36,-40,-34,-49,-77,-57,-53,-67,-53,-45,-57,-70,-200,-63,-45,-51,-66,-54,-76,-57,-55,-86,-60,-200,-61,-71,-47,-75,-60,-70,-74,-59,-69,-77,-74,-75,-73,-200,-86,-69,-79,-200,-83,-80,-78,-200,-200,-200,-57,-55,-54,-57,-55,-55,-200,-61,-70,-67,-78,-200,-200,-73,-91,-68,-74,-70,-80,-86,-88,-200
1526450857850,-48,-36,-45,-42,-36,-38,-34,-49,-77,-57,-56,-67,-53,-43,-57,-70,-200,-63,-45,-56,-65,-54,-73,-57,-60,-86,-60,-200,-61,-71,-43,-71,-64,-70,-73,-55,-69,-77,-81,-73,-74,-200,-83,-69,-79,-200,-83,-78,-78,-200,-88,-200,-51,-52,-55,-57,-59,-55,-200,-61,-70,-67,-78,-200,-200,-73,-91,-68,-74,-70,-80,-86,-88,-200
1526450860865,-51,-33,-42,-40,-36,-49,-32,-42,-76,-52,-56,-67,-53,-44,-57,-70,-200,-63,-45,-57,-65,-51,-76,-57,-60,-86,-60,-200,-61,-63,-46,-67,-62,-75,-75,-59,-66,-76,-73,-73,-78,-200,-86,-69,-81,-200,-86,-83,-200,-200,-88,-200,-48,-54,-55,-65,-52,-55,-200,-61,-70,-67,-78,-200,-200,-73,-200,-68,-74,-70,-80,-86,-88,-200
1526450863895,-51,-36,-41,-40,-35,-49,-33,-42,-76,-52,-56,-67,-53,-47,-200,-70,-200,-61,-46,-57,-67,-51,-65,-57,-58,-86,-200,-200,-69,-60,-53,-65,-64,-75,-76,-59,-63,-75,-73,-73,-77,-200,-86,-69,-81,-200,-84,-80,-200,-200,-88,-200,-55,-57,-57,-59,-52,-55,-200,-66,-74,-67,-76,-200,-200,-73,-200,-64,-74,-70,-80,-86,-88,-76
1526450866920,-51,-36,-41,-40,-35,-41,-31,-42,-74,-52,-56,-67,-53,-46,-200,-70,-200,-61,-49,-57,-67,-57,-65,-54,-59,-86,-200,-200,-62,-64,-43,-67,-65,-72,-72,-56,-63,-77,-73,-73,-76,-200,-83,-69,-83,-200,-85,-79,-200,-200,-87,-200,-49,-57,-57,-59,-52,-200,-200,-66,-74,-67,-72,-200,-200,-68,-200,-64,-74,-70,-80,-86,-88,-76
