,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8
1526450664117,-30,-35,-43,-44,-44,-42,-47,-49,-49,-48,-49,-53,-200,-46,-47,-49,-53,-51,-58,-55,-55,-60,-200,-54,-63,-58,-55,-200,-58,-57,-68,-65,-61,-62,-59,-71,-61,-64,-71,-62,-58,-65,-64,-71,-62,-75,-75,-75,-82,-80,-82,-77,-81,-85,-85,-83,-65,-87,-200,-90,-92,-63,-60,-200,-200,-200,-200,-200,-200,-200
1526450666371,-30,-35,-43,-40,-48,-42,-43,-51,-42,-44,-49,-45,-200,-51,-50,-48,-53,-51,-56,-63,-52,-60,-200,-54,-59,-56,-57,-200,-58,-56,-68,-65,-61,-62,-59,-66,-58,-64,-64,-65,-60,-65,-64,-71,-62,-77,-76,-200,-83,-81,-81,-78,-80,-85,-85,-83,-68,-200,-200,-200,-92,-63,-65,-74,-200,-200,-200,-200,-200,-200
1526450666853,-30,-35,-43,-40,-48,-42,-43,-51,-42,-44,-49,-45,-200,-51,-50,-48,-53,-51,-56,-63,-52,-60,-200,-54,-59,-56,-57,-200,-58,-56,-68,-65,-61,-62,-59,-66,-58,-64,-64,-65,-60,-65,-64,-71,-62,-77,-76,-200,-83,-81,-81,-78,-80,-85,-85,-83,-68,-200,-200,-200,-92,-63,-65,-74,-200,-200,-200,-200,-200,-200
1526450667133,-30,-35,-43,-40,-48,-42,-43,-51,-42,-44,-49,-45,-200,-51,-50,-48,-53,-51,-56,-63,-52,-60,-200,-54,-59,-56,-57,-200,-58,-56,-68,-65,-61,-62,-59,-66,-58,-64,-64,-65,-60,-65,-64,-71,-62,-77,-76,-200,-83,-81,-81,-78,-80,-85,-85,-83,-68,-200,-200,-200,-92,-63,-65,-74,-200,-200,-200,-200,-200,-200
1526450669404,-30,-35,-39,-40,-48,-42,-43,-51,-42,-43,-49,-47,-60,-46,-50,-48,-53,-52,-57,-63,-52,-60,-200,-54,-59,-56,-53,-200,-58,-56,-68,-65,-61,-62,-59,-70,-58,-64,-64,-65,-57,-65,-67,-71,-62,-73,-69,-200,-82,-82,-81,-79,-79,-84,-83,-83,-68,-200,-200,-200,-200,-63,-65,-74,-73,-200,-200,-200,-200,-200
1526450669881,-30,-35,-39,-40,-48,-42,-43,-51,-42,-43,-49,-47,-60,-46,-50,-48,-53,-52,-57,-63,-52,-60,-200,-54,-59,-56,-53,-200,-58,-56,-68,-65,-61,-62,-59,-70,-58,-64,-64,-65,-57,-65,-67,-71,-62,-73,-69,-200,-82,-82,-81,-79,-79,-84,-83,-83,-68,-200,-200,-200,-200,-63,-65,-74,-73,-200,-200,-200,-200,-200
1526450670167,-30,-35,-39,-40,-48,-42,-43,-51,-42,-43,-49,-47,-60,-46,-50,-48,-53,-52,-57,-63,-52,-60,-200,-54,-59,-56,-53,-200,-58,-56,-68,-65,-61,-62,-59,-70,-58,-64,-64,-65,-57,-65,-67,-71,-62,-73,-69,-200,-82,-82,-81,-79,-79,-84,-83,-83,-68,-200,-200,-200,-200,-63,-65,-74,-73,-200,-200,-200,-200,-200
1526450672434,-31,-35,-39,-44,-45,-38,-43,-48,-42,-46,-49,-45,-60,-46,-48,-47,-53,-52,-54,-63,-57,-60,-200,-54,-59,-64,-61,-200,-58,-59,-68,-65,-61,-62,-56,-69,-58,-64,-64,-65,-59,-65,-71,-71,-62,-75,-72,-200,-78,-80,-78,-77,-77,-82,-83,-200,-73,-200,-200,-200,-200,-63,-61,-74,-73,-75,-200,-200,-200,-200
1526450672911,-31,-35,-39,-44,-45,-38,-43,-48,-42,-46,-49,-45,-60,-46,-48,-47,-53,-52,-54,-63,-57,-60,-200,-54,-59,-64,-61,-200,-58,-59,-68,-65,-61,-62,-56,-69,-58,-64,-64,-65,-59,-65,-71,-71,-62,-75,-72,-200,-78,-80,-78,-77,-77,-82,-83,-200,-73,-200,-200,-200,-200,-63,-61,-74,-73,-75,-200,-200,-200,-200
1526450673197,-31,-35,-39,-44,-45,-38,-43,-48,-42,-46,-49,-45,-60,-46,-48,-47,-53,-52,-54,-63,-57,-60,-200,-54,-59,-64,-61,-200,-58,-59,-68,-65,-61,-62,-56,-69,-58,-64,-64,-65,-59,-65,-71,-71,-62,-75,-72,-200,-78,-80,-78,-77,-77,-82,-83,-200,-73,-200,-200,-200,-200,-63,-61,-74,-73,-75,-200,-200,-200,-200
1526450675459,-31,-34,-39,-43,-46,-41,-43,-53,-51,-44,-58,-45,-60,-44,-50,-51,-56,-51,-60,-59,-51,-60,-200,-54,-59,-64,-57,-64,-59,-65,-61,-66,-61,-200,-56,-67,-62,-64,-64,-65,-63,-65,-65,-74,-62,-75,-72,-200,-75,-80,-82,-80,-80,-79,-84,-200,-71,-200,-200,-200,-200,-63,-61,-74,-73,-75,-200,-200,-200,-200
1526450675927,-31,-34,-39,-43,-46,-41,-43,-53,-51,-44,-58,-45,-60,-44,-50,-51,-56,-51,-60,-59,-51,-60,-200,-54,-59,-64,-57,-64,-59,-65,-61,-66,-61,-200,-56,-67,-62,-64,-64,-65,-63,-65,-65,-74,-62,-75,-72,-200,-75,-80,-82,-80,-80,-79,-84,-200,-71,-200,-200,-200,-200,-63,-61,-74,-73,-75,-200,-200,-200,-200
1526450676217,-31,-34,-39,-43,-46,-41,-43,-53,-51,-44,-58,-45,-60,-44,-50,-51,-56,-51,-60,-59,-51,-60,-200,-54,-59,-64,-57,-64,-59,-65,-61,-66,-61,-200,-56,-67,-62,-64,-64,-65,-63,-65,-65,-74,-62,-75,-72,-200,-75,-80,-82,-80,-80,-79,-84,-200,-71,-200,-200,-200,-200,-63,-61,-74,-73,-75,-200,-200,-200,-200
1526450678491,-32,-34,-44,-43,-42,-38,-44,-49,-47,-44,-58,-45,-53,-52,-51,-51,-56,-50,-60,-59,-51,-58,-200,-57,-60,-60,-57,-64,-59,-66,-61,-66,-61,-200,-63,-67,-62,-64,-64,-62,-58,-200,-66,-74,-200,-75,-71,-200,-72,-76,-79,-86,-77,-85,-84,-200,-71,-200,-200,-200,-200,-63,-61,-74,-73,-76,-78,-200,-200,-200
1526450678940,-32,-34,-44,-43,-42,-38,-44,-49,-47,-44,-58,-45,-53,-52,-51,-51,-56,-50,-60,-59,-51,-58,-200,-57,-60,-60,-57,-64,-59,-66,-61,-66,-61,-200,-63,-67,-62,-64,-64,-62,-58,-200,-66,-74,-200,-75,-71,-200,-72,-76,-79,-86,-77,-85,-84,-200,-71,-200,-200,-200,-200,-63,-61,-74,-73,-76,-78,-200,-200,-200
1526450679239,-32,-34,-44,-43,-42,-38,-44,-49,-47,-44,-58,-45,-53,-52,-51,-51,-56,-50,-60,-59,-51,-58,-200,-57,-60,-60,-57,-64,-59,-66,-61,-66,-61,-200,-63,-67,-62,-64,-64,-62,-58,-200,-66,-74,-200,-75,-71,-200,-72,-76,-79,-86,-77,-85,-84,-200,-71,-200,-200,-200,-200,-63,-61,-74,-73,-76,-78,-200,-200,-200
1526450681519,-29,-34,-38,-39,-44,-38,-42,-51,-49,-48,-58,-46,-51,-49,-52,-51,-56,-52,-64,-54,-54,-58,-61,-57,-60,-60,-56,-64,-59,-66,-63,-66,-61,-200,-63,-68,-62,-64,-64,-62,-59,-200,-67,-74,-200,-75,-70,-200,-80,-78,-82,-80,-79,-85,-87,-200,-68,-200,-200,-200,-200,-200,-61,-74,-73,-76,-78,-200,-200,-200
1526450681971,-29,-34,-38,-39,-44,-38,-42,-51,-49,-48,-58,-46,-51,-49,-52,-51,-56,-52,-64,-54,-54,-58,-61,-57,-60,-60,-56,-64,-59,-66,-63,-66,-61,-200,-63,-68,-62,-64,-64,-62,-59,-200,-67,-74,-200,-75,-70,-200,-80,-78,-82,-80,-79,-85,-87,-200,-68,-200,-200,-200,-200,-200,-61,-74,-73,-76,-78,-200,-200,-200
1526450682249,-29,-34,-38,-39,-44,-38,-42,-51,-49,-48,-58,-46,-51,-49,-52,-51,-56,-52,-64,-54,-54,-58,-61,-57,-60,-60,-56,-64,-59,-66,-63,-66,-61,-200,-63,-68,-62,-64,-64,-62,-59,-200,-67,-74,-200,-75,-70,-200,-80,-78,-82,-80,-79,-85,-87,-200,-68,-200,-200,-200,-200,-200,-61,-74,-73,-76,-78,-200,-200,-200
1526450684551,-30,-29,-41,-41,-40,-38,-40,-49,-51,-50,-49,-48,-51,-49,-52,-52,-56,-51,-64,-50,-54,-58,-61,-53,-60,-56,-56,-64,-59,-63,-63,-73,-59,-200,-63,-68,-62,-200,-64,-62,-56,-200,-70,-74,-200,-75,-70,-200,-80,-79,-86,-78,-83,-81,-87,-200,-66,-200,-200,-200,-200,-200,-61,-74,-73,-76,-78,-200,-200,-200
1526450685001,-30,-29,-41,-41,-40,-38,-40,-49,-51,-50,-49,-48,-51,-49,-52,-52,-56,-51,-64,-50,-54,-58,-61,-53,-60,-56,-56,-64,-59,-63,-63,-73,-59,-200,-63,-68,-62,-200,-64,-62,-56,-200,-70,-74,-200,-75,-70,-200,-80,-79,-86,-78,-83,-81,-87,-200,-66,-200,-200,-200,-200,-200,-61,-74,-73,-76,-78,-200,-200,-200
1526450685278,-30,-29,-41,-41,-40,-38,-40,-49,-51,-50,-49,-48,-51,-49,-52,-52,-56,-51,-64,-50,-54,-58,-61,-53,-60,-56,-56,-64,-59,-63,-63,-73,-59,-200,-63,-68,-62,-200,-64,-62,-56,-200,-70,-74,-200,-75,-70,-200,-80,-79,-86,-78,-83,-81,-87,-200,-66,-200,-200,-200,-200,-200,-61,-74,-73,-76,-78,-200,-200,-200
1526450687575,-32,-31,-38,-41,-45,-38,-42,-46,-51,-47,-46,-49,-51,-49,-52,-51,-56,-51,-64,-54,-55,-56,-61,-53,-57,-56,-54,-64,-59,-62,-64,-73,-59,-200,-65,-72,-60,-64,-200,-60,-56,-71,-66,-74,-200,-75,-73,-200,-81,-82,-82,-78,-79,-89,-86,-200,-67,-200,-200,-200,-200,-200,-71,-200,-73,-76,-78,-200,-200,-200
1526450688012,-32,-31,-38,-41,-45,-38,-42,-46,-51,-47,-46,-49,-51,-49,-52,-51,-56,-51,-64,-54,-55,-56,-61,-53,-57,-56,-54,-64,-59,-62,-64,-73,-59,-200,-65,-72,-60,-64,-200,-60,-56,-71,-66,-74,-200,-75,-73,-200,-81,-82,-82,-78,-79,-89,-86,-200,-67,-200,-200,-200,-200,-200,-71,-200,-73,-76,-78,-200,-200,-200
1526450688288,-32,-31,-38,-41,-45,-38,-42,-46,-51,-47,-46,-49,-51,-49,-52,-51,-56,-51,-64,-54,-55,-56,-61,-53,-57,-56,-54,-64,-59,-62,-64,-73,-59,-200,-65,-72,-60,-64,-200,-60,-56,-71,-66,-74,-200,-75,-73,-200,-81,-82,-82,-78,-79,-89,-86,-200,-67,-200,-200,-200,-200,-200,-71,-200,-73,-76,-78,-200,-200,-200
1526450690599,-32,-32,-38,-39,-49,-46,-42,-48,-48,-46,-46,-49,-51,-48,-52,-43,-56,-51,-64,-51,-58,-56,-61,-53,-60,-56,-57,-64,-59,-60,-64,-63,-59,-200,-61,-68,-60,-64,-200,-57,-56,-71,-66,-74,-200,-76,-71,-200,-77,-81,-78,-78,-80,-81,-86,-200,-67,-200,-200,-200,-200,-200,-71,-200,-200,-76,-78,-60,-87,-200
1526450691026,-32,-32,-38,-39,-49,-46,-42,-48,-48,-46,-46,-49,-51,-48,-52,-43,-56,-51,-64,-51,-58,-56,-61,-53,-60,-56,-57,-64,-59,-60,-64,-63,-59,-200,-61,-68,-60,-64,-200,-57,-56,-71,-66,-74,-200,-76,-71,-200,-77,-81,-78,-78,-80,-81,-86,-200,-67,-200,-200,-200,-200,-200,-71,-200,-200,-76,-78,-60,-87,-200
1526450691314,-32,-32,-38,-39,-49,-46,-42,-48,-48,-46,-46,-49,-51,-48,-52,-43,-56,-51,-64,-51,-58,-56,-61,-53,-60,-56,-57,-64,-59,-60,-64,-63,-59,-200,-61,-68,-60,-64,-200,-57,-56,-71,-66,-74,-200,-76,-71,-200,-77,-81,-78,-78,-80,-81,-86,-200,-67,-200,-200,-200,-200,-200,-71,-200,-200,-76,-78,-60,-87,-200
1526450693609,-32,-32,-38,-42,-49,-46,-42,-49,-48,-48,-46,-54,-51,-48,-49,-50,-65,-51,-58,-47,-58,-56,-61,-53,-55,-56,-58,-62,-59,-61,-64,-63,-59,-200,-65,-68,-57,-64,-200,-60,-54,-71,-64,-74,-200,-76,-71,-200,-78,-82,-80,-77,-77,-85,-82,-200,-67,-200,-200,-200,-200,-200,-71,-200,-200,-76,-78,-60,-87,-200
1526450694039,-32,-32,-38,-42,-49,-46,-42,-49,-48,-48,-46,-54,-51,-48,-49,-50,-65,-51,-58,-47,-58,-56,-61,-53,-55,-56,-58,-62,-59,-61,-64,-63,-59,-200,-65,-68,-57,-64,-200,-60,-54,-71,-64,-74,-200,-76,-71,-200,-78,-82,-80,-77,-77,-85,-82,-200,-67,-200,-200,-200,-200,-200,-71,-200,-200,-76,-78,-60,-87,-200
1526450694324,-32,-32,-38,-42,-49,-46,-42,-49,-48,-48,-46,-54,-51,-48,-49,-50,-65,-51,-58,-47,-58,-56,-61,-53,-55,-56,-58,-62,-59,-61,-64,-63,-59,-200,-65,-68,-57,-64,-200,-60,-54,-71,-64,-74,-200,-76,-71,-200,-78,-82,-80,-77,-77,-85,-82,-200,-67,-200,-200,-200,-200,-200,-71,-200,-200,-76,-78,-60,-87,-200
1526450696623,-31,-32,-36,-43,-41,-38,-42,-52,-48,-48,-46,-44,-52,-51,-49,-46,-65,-50,-58,-51,-58,-55,-61,-53,-59,-56,-58,-62,-59,-63,-64,-63,-59,-200,-64,-69,-57,-64,-200,-60,-64,-70,-64,-200,-200,-76,-67,-200,-73,-79,-81,-81,-79,-85,-82,-200,-67,-200,-200,-200,-200,-60,-71,-200,-200,-76,-78,-60,-87,-90
1526450697051,-31,-32,-36,-43,-41,-38,-42,-52,-48,-48,-46,-44,-52,-51,-49,-46,-65,-50,-58,-51,-58,-55,-61,-53,-59,-56,-58,-62,-59,-63,-64,-63,-59,-200,-64,-69,-57,-64,-200,-60,-64,-70,-64,-200,-200,-76,-67,-200,-73,-79,-81,-81,-79,-85,-82,-200,-67,-200,-200,-200,-200,-60,-71,-200,-200,-76,-78,-60,-87,-90
1526450697335,-31,-32,-36,-43,-41,-38,-42,-52,-48,-48,-46,-44,-52,-51,-49,-46,-65,-50,-58,-51,-58,-55,-61,-53,-59,-56,-58,-62,-59,-63,-64,-63,-59,-200,-64,-69,-57,-64,-200,-60,-64,-70,-64,-200,-200,-76,-67,-200,-73,-79,-81,-81,-79,-85,-82,-200,-67,-200,-200,-200,-200,-60,-71,-200,-200,-76,-78,-60,-87,-90
1526450699638,-31,-37,-40,-37,-44,-37,-42,-45,-46,-63,-40,-59,-56,-55,-49,-46,-55,-54,-58,-52,-54,-57,-61,-49,-58,-56,-67,-62,-59,-59,-64,-76,-59,-200,-63,-67,-57,-79,-63,-60,-64,-70,-61,-200,-200,-75,-75,-200,-78,-81,-77,-80,-85,-84,-84,-200,-88,-200,-200,-200,-200,-60,-71,-200,-200,-200,-200,-60,-87,-90
1526450700067,-31,-37,-40,-37,-44,-37,-42,-45,-46,-63,-40,-59,-56,-55,-49,-46,-55,-54,-58,-52,-54,-57,-61,-49,-58,-56,-67,-62,-59,-59,-64,-76,-59,-200,-63,-67,-57,-79,-63,-60,-64,-70,-61,-200,-200,-75,-75,-200,-78,-81,-77,-80,-85,-84,-84,-200,-88,-200,-200,-200,-200,-60,-71,-200,-200,-200,-200,-60,-87,-90
1526450700358,-31,-37,-40,-37,-44,-37,-42,-45,-46,-63,-40,-59,-56,-55,-49,-46,-55,-54,-58,-52,-54,-57,-61,-49,-58,-56,-67,-62,-59,-59,-64,-76,-59,-200,-63,-67,-57,-79,-63,-60,-64,-70,-61,-200,-200,-75,-75,-200,-78,-81,-77,-80,-85,-84,-84,-200,-88,-200,-200,-200,-200,-60,-71,-200,-200,-200,-200,-60,-87,-90
1526450702655,-31,-37,-37,-37,-44,-37,-47,-45,-46,-53,-44,-45,-56,-48,-49,-46,-55,-54,-57,-52,-54,-57,-200,-49,-58,-56,-58,-62,-59,-60,-64,-66,-59,-200,-60,-70,-57,-79,-63,-60,-59,-70,-63,-200,-200,-78,-66,-70,-78,-83,-78,-74,-84,-84,-84,-200,-88,-200,-200,-200,-200,-60,-61,-77,-200,-75,-200,-60,-87,-90
1526450703081,-31,-37,-37,-37,-44,-37,-47,-45,-46,-53,-44,-45,-56,-48,-49,-46,-55,-54,-57,-52,-54,-57,-200,-49,-58,-56,-58,-62,-59,-60,-64,-66,-59,-200,-60,-70,-57,-79,-63,-60,-59,-70,-63,-200,-200,-78,-66,-70,-78,-83,-78,-74,-84,-84,-84,-200,-88,-200,-200,-200,-200,-60,-61,-77,-200,-75,-200,-60,-87,-90
1526450703373,-31,-37,-37,-37,-44,-37,-47,-45,-46,-53,-44,-45,-56,-48,-49,-46,-55,-54,-57,-52,-54,-57,-200,-49,-58,-56,-58,-62,-59,-60,-64,-66,-59,-200,-60,-70,-57,-79,-63,-60,-59,-70,-63,-200,-200,-78,-66,-70,-78,-83,-78,-74,-84,-84,-84,-200,-88,-200,-200,-200,-200,-60,-61,-77,-200,-75,-200,-60,-87,-90
1526450705669,-34,-33,-42,-37,-46,-42,-46,-53,-46,-54,-48,-49,-56,-48,-49,-42,-55,-54,-65,-52,-54,-57,-200,-49,-58,-56,-58,-62,-59,-57,-64,-68,-200,-200,-60,-69,-57,-74,-63,-60,-61,-70,-69,-200,-200,-78,-65,-70,-76,-78,-75,-73,-83,-85,-84,-200,-68,-200,-200,-200,-200,-60,-65,-77,-200,-75,-200,-60,-87,-90
