,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526452285183,-15,-42,-38,-42,-37,-41,-56,-50,-49,-46,-60,-52,-58,-50,-46,-86,-71,-60,-48,-58,-63,-68,-53,-200,-46,-61,-61,-60,-65,-67,-69,-57,-65,-74,-63,-85,-200,-70,-68,-62,-71,-70,-56,-81,-80,-65,-78,-80,-85,-85,-83,-73,-74,-77,-78,-78,-81,-70,-75,-77,-75,-81,-200,-87,-80,-70,-77,-81,-77,-200,-200,-200,-200,-88,-200,-91,-88,-86,-82,-87,-200,-82,-86,-86,-200,-89,-200,-200,-200,-86,-200,-200,-200,-80,-89,-200,-76,-82,-85,-87,-89,-65,-200,-200,-200,-200,-200,-78,-200,-200,-200,-87,-200,-74,-85,-200,-90,-91,-84,-64,-200,-200,-200,-200,-200
1526452288221,-28,-40,-38,-44,-38,-45,-57,-50,-48,-46,-62,-68,-59,-51,-47,-72,-74,-56,-47,-60,-63,-67,-51,-200,-58,-57,-63,-60,-67,-65,-69,-59,-67,-75,-67,-84,-200,-68,-68,-62,-69,-64,-52,-81,-80,-65,-80,-75,-87,-84,-83,-73,-76,-78,-78,-78,-80,-77,-74,-75,-70,-74,-200,-87,-77,-71,-77,-81,-73,-200,-200,-200,-200,-88,-200,-91,-200,-86,-78,-87,-200,-80,-86,-86,-200,-200,-85,-200,-200,-200,-200,-200,-200,-80,-89,-200,-76,-83,-84,-87,-89,-59,-200,-200,-200,-200,-200,-78,-200,-200,-200,-87,-200,-74,-200,-200,-200,-200,-84,-64,-90,-200,-200,-200,-200
1526452291268,-37,-39,-34,-45,-38,-43,-55,-49,-48,-48,-59,-54,-59,-56,-50,-72,-54,-56,-50,-59,-63,-67,-50,-69,-49,-64,-57,-62,-66,-70,-69,-56,-61,-73,-60,-84,-200,-68,-200,-63,-69,-64,-50,-84,-80,-66,-80,-82,-87,-84,-82,-200,-76,-78,-80,-80,-82,-69,-74,-79,-76,-77,-200,-87,-83,-71,-76,-81,-73,-200,-200,-200,-200,-88,-86,-91,-85,-86,-79,-200,-200,-80,-86,-200,-200,-200,-85,-200,-200,-200,-89,-200,-200,-81,-89,-200,-76,-83,-84,-200,-91,-65,-200,-200,-200,-200,-200,-78,-200,-200,-85,-87,-200,-74,-200,-200,-200,-200,-200,-64,-90,-92,-200,-200,-200
1526452294317,-30,-41,-40,-44,-36,-43,-56,-49,-49,-46,-57,-54,-59,-56,-46,-72,-70,-61,-48,-59,-62,-67,-53,-69,-45,-63,-63,-61,-65,-62,-69,-48,-67,-76,-62,-85,-200,-68,-200,-61,-72,-71,-54,-83,-80,-71,-80,-78,-87,-83,-85,-200,-75,-78,-79,-79,-82,-65,-73,-77,-75,-78,-200,-86,-80,-71,-75,-82,-73,-200,-200,-200,-200,-200,-86,-200,-85,-86,-81,-87,-200,-80,-85,-85,-200,-200,-87,-200,-200,-200,-89,-200,-200,-80,-87,-200,-75,-83,-84,-200,-91,-59,-200,-200,-200,-200,-200,-76,-200,-200,-85,-200,-200,-200,-200,-200,-200,-90,-200,-63,-90,-92,-200,-200,-200
1526452297356,-29,-47,-38,-43,-35,-42,-55,-49,-49,-44,-61,-55,-59,-52,-47,-72,-70,-48,-45,-59,-64,-67,-53,-69,-49,-61,-63,-59,-65,-62,-69,-61,-67,-74,-64,-84,-200,-70,-70,-62,-72,-73,-55,-82,-80,-67,-78,-78,-85,-84,-83,-200,-76,-78,-79,-81,-83,-69,-73,-75,-74,-78,-200,-87,-80,-71,-77,-70,-76,-200,-200,-200,-200,-200,-86,-200,-85,-85,-81,-87,-200,-200,-86,-85,-200,-200,-87,-200,-200,-200,-91,-200,-200,-81,-87,-200,-63,-200,-84,-200,-91,-66,-83,-200,-200,-200,-200,-77,-200,-200,-85,-200,-200,-200,-200,-200,-200,-90,-200,-63,-200,-92,-200,-200,-200
1526452300395,-33,-47,-46,-44,-43,-57,-57,-49,-57,-70,-62,-54,-59,-56,-49,-53,-70,-60,-53,-58,-64,-69,-52,-200,-53,-70,-63,-59,-64,-72,-69,-60,-67,-74,-67,-85,-200,-68,-70,-64,-72,-73,-55,-82,-80,-74,-78,-78,-86,-84,-83,-200,-43,-79,-79,-81,-82,-70,-73,-78,-73,-79,-200,-87,-80,-71,-75,-81,-76,-200,-200,-200,-200,-200,-86,-200,-200,-85,-78,-84,-200,-85,-86,-85,-200,-200,-87,-200,-200,-86,-91,-200,-200,-81,-89,-200,-77,-87,-84,-200,-200,-62,-83,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-63,-200,-200,-85,-200,-200
1526452303432,-30,-42,-39,-44,-38,-45,-56,-51,-49,-45,-56,-53,-59,-55,-49,-53,-70,-60,-46,-59,-62,-69,-54,-200,-46,-61,-63,-62,-64,-68,-69,-60,-64,-75,-68,-85,-200,-79,-69,-65,-72,-73,-55,-82,-80,-71,-81,-78,-86,-84,-84,-72,-76,-78,-79,-81,-82,-76,-76,-78,-74,-79,-200,-87,-80,-72,-75,-81,-72,-200,-200,-200,-200,-89,-86,-200,-200,-85,-79,-84,-200,-85,-86,-85,-200,-200,-88,-200,-89,-86,-91,-200,-200,-81,-89,-200,-71,-87,-85,-200,-200,-63,-83,-200,-200,-200,-200,-78,-200,-200,-200,-85,-200,-200,-200,-200,-200,-90,-200,-82,-200,-200,-85,-81,-200
1526452306478,-30,-42,-41,-44,-36,-46,-55,-50,-48,-46,-61,-53,-58,-51,-50,-53,-70,-53,-52,-50,-63,-68,-53,-200,-48,-64,-62,-62,-64,-62,-69,-50,-62,-74,-63,-86,-200,-79,-70,-62,-74,-70,-55,-81,-200,-72,-78,-80,-86,-84,-83,-71,-77,-78,-78,-78,-83,-71,-76,-78,-71,-80,-200,-88,-81,-72,-75,-80,-74,-200,-200,-200,-200,-89,-86,-87,-200,-85,-81,-84,-200,-85,-86,-83,-200,-200,-88,-200,-89,-86,-91,-200,-200,-81,-88,-200,-71,-87,-83,-200,-200,-63,-83,-200,-200,-200,-200,-78,-200,-200,-200,-85,-200,-81,-200,-200,-200,-200,-200,-82,-200,-200,-85,-81,-200
1526452309525,-30,-41,-39,-44,-34,-44,-56,-50,-48,-43,-61,-54,-57,-55,-45,-53,-70,-58,-52,-58,-63,-61,-52,-200,-45,-60,-60,-60,-64,-63,-69,-57,-62,-74,-68,-86,-200,-79,-70,-62,-71,-70,-51,-82,-200,-66,-78,-78,-86,-84,-83,-71,-76,-79,-79,-78,-83,-67,-76,-77,-71,-79,-200,-88,-81,-71,-76,-81,-76,-200,-200,-200,-200,-89,-87,-87,-200,-200,-81,-84,-200,-85,-86,-83,-200,-200,-88,-200,-89,-86,-200,-200,-200,-81,-88,-200,-71,-87,-84,-200,-90,-59,-200,-200,-200,-200,-200,-76,-200,-200,-200,-85,-200,-81,-200,-89,-87,-200,-200,-82,-200,-200,-85,-81,-200
1526452312544,-30,-41,-37,-44,-36,-45,-58,-50,-46,-44,-60,-53,-54,-54,-48,-200,-69,-57,-51,-60,-62,-63,-51,-200,-48,-60,-61,-60,-64,-66,-69,-64,-62,-75,-67,-86,-200,-79,-70,-61,-56,-71,-52,-82,-200,-66,-78,-79,-92,-83,-83,-72,-76,-79,-79,-82,-83,-68,-75,-76,-71,-80,-200,-86,-80,-70,-76,-81,-72,-200,-200,-200,-200,-89,-87,-87,-200,-200,-81,-88,-200,-200,-86,-83,-200,-200,-84,-200,-89,-200,-200,-200,-200,-200,-88,-200,-77,-200,-84,-200,-90,-50,-81,-200,-200,-200,-200,-76,-200,-200,-200,-85,-200,-81,-200,-89,-87,-200,-200,-82,-200,-200,-200,-79,-200
1526452315560,-33,-40,-46,-44,-44,-49,-59,-52,-50,-47,-70,-61,-52,-54,-48,-200,-69,-70,-59,-67,-63,-67,-53,-200,-57,-61,-67,-61,-64,-66,-70,-68,-62,-75,-69,-84,-200,-200,-70,-61,-56,-71,-57,-81,-200,-65,-79,-78,-92,-84,-83,-72,-77,-78,-79,-82,-82,-70,-75,-76,-73,-80,-200,-86,-82,-70,-76,-81,-72,-200,-200,-200,-200,-200,-87,-87,-200,-200,-80,-88,-200,-200,-86,-83,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-91,-200,-72,-90,-84,-200,-90,-67,-81,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-81,-200,-89,-87,-200,-200,-200,-200,-200,-200,-79,-200
1526452318573,-33,-40,-38,-44,-36,-41,-58,-51,-49,-45,-57,-54,-58,-53,-46,-72,-69,-57,-51,-58,-62,-64,-51,-200,-49,-61,-60,-63,-65,-66,-71,-60,-63,-74,-60,-84,-200,-67,-70,-59,-70,-71,-56,-81,-200,-71,-79,-77,-85,-84,-83,-78,-74,-77,-81,-82,-82,-70,-76,-76,-72,-81,-87,-86,-78,-68,-75,-81,-76,-200,-200,-200,-200,-200,-87,-200,-200,-86,-78,-88,-200,-85,-86,-87,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-91,-200,-73,-90,-85,-200,-88,-61,-81,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-76,-200,-89,-87,-200,-83,-200,-200,-200,-200,-79,-92
