,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452677106,-24,-51,-33,-46,-57,-46,-39,-55,-56,-54,-51,-56,-57,-46,-53,-49,-58,-56,-59,-52,-60,-60,-68,-58,-66,-58,-59,-71,-68,-74,-48,-64,-72,-76,-72,-200,-78,-72,-67,-75,-54,-74,-67,-200,-61,-73,-78,-77,-74,-72,-80,-82,-69,-85,-83,-80,-76,-79,-200,-72,-90,-79,-87,-78,-82,-79,-78,-73,-200,-78,-86,-86,-77,-75,-82,-81,-82,-88,-79,-85,-200,-90,-200,-88,-200,-85,-200,-88,-81,-73,-59,-83,-83,-84,-92,-74,-79,-83,-90,-89,-200,-200,-75,-65,-68,-200,-200,-200,-200,-200,-81,-62,-81,-86,-83,-89,-93,-200,-200,-200,-200,-200
1526452680133,-29,-59,-33,-46,-57,-47,-39,-52,-56,-63,-51,-66,-58,-48,-63,-48,-66,-55,-57,-52,-60,-62,-68,-60,-69,-58,-69,-72,-68,-74,-60,-59,-86,-80,-72,-200,-78,-80,-67,-75,-54,-79,-64,-200,-60,-73,-77,-77,-77,-72,-82,-82,-69,-85,-84,-80,-77,-79,-200,-68,-90,-79,-84,-78,-82,-79,-78,-73,-200,-77,-85,-86,-85,-200,-81,-81,-82,-88,-79,-84,-85,-86,-200,-88,-200,-85,-200,-88,-86,-73,-59,-83,-86,-200,-200,-200,-79,-82,-90,-89,-200,-200,-75,-65,-68,-200,-200,-200,-200,-200,-200,-62,-81,-86,-83,-89,-93,-200,-200,-200,-200,-200
1526452683173,-25,-55,-33,-45,-54,-46,-38,-53,-53,-55,-51,-56,-68,-52,-53,-50,-59,-55,-60,-54,-61,-62,-70,-58,-63,-57,-61,-71,-68,-74,-50,-59,-71,-76,-72,-79,-85,-74,-67,-78,-58,-77,-64,-200,-59,-72,-77,-77,-78,-70,-78,-81,-69,-81,-83,-80,-77,-69,-200,-66,-90,-79,-84,-200,-82,-79,-78,-200,-200,-79,-81,-86,-77,-200,-81,-80,-83,-200,-81,-84,-85,-88,-200,-88,-200,-85,-200,-200,-82,-73,-59,-86,-85,-200,-200,-200,-81,-82,-87,-89,-200,-91,-74,-65,-200,-73,-200,-200,-200,-200,-200,-200,-81,-200,-83,-89,-93,-82,-200,-200,-200,-200
1526452686212,-30,-51,-33,-46,-54,-47,-37,-53,-52,-54,-49,-56,-68,-53,-49,-46,-62,-56,-60,-55,-60,-63,-70,-58,-67,-58,-58,-72,-200,-73,-55,-59,-71,-76,-66,-79,-87,-67,-63,-77,-55,-75,-64,-200,-61,-72,-81,-77,-77,-72,-77,-81,-69,-80,-83,-80,-77,-74,-65,-65,-90,-200,-84,-200,-82,-79,-79,-200,-200,-78,-81,-85,-77,-200,-83,-81,-83,-90,-79,-84,-85,-88,-79,-88,-200,-200,-90,-200,-82,-70,-59,-84,-83,-200,-200,-69,-81,-82,-87,-89,-200,-91,-74,-65,-200,-73,-200,-200,-200,-200,-200,-64,-200,-200,-84,-89,-93,-82,-200,-200,-200,-200
1526452689257,-25,-51,-32,-51,-55,-46,-38,-55,-55,-54,-51,-49,-55,-50,-52,-46,-58,-55,-57,-56,-59,-62,-69,-57,-66,-59,-60,-72,-69,-74,-55,-62,-72,-76,-66,-79,-79,-75,-67,-79,-54,-77,-67,-200,-60,-73,-68,-79,-74,-77,-78,-82,-200,-82,-82,-79,-76,-75,-75,-71,-90,-200,-84,-200,-200,-79,-78,-200,-200,-78,-84,-85,-77,-71,-85,-84,-83,-90,-79,-84,-85,-88,-79,-88,-200,-200,-90,-84,-83,-74,-77,-83,-83,-200,-200,-69,-82,-84,-87,-200,-200,-93,-64,-200,-200,-73,-200,-200,-200,-200,-200,-64,-200,-200,-84,-200,-200,-82,-200,-200,-200,-200
1526452692296,-24,-52,-33,-45,-53,-47,-40,-54,-53,-51,-52,-53,-55,-50,-52,-49,-61,-56,-59,-56,-60,-59,-69,-58,-65,-55,-59,-72,-69,-74,-57,-64,-73,-70,-66,-74,-79,-74,-67,-78,-55,-75,-67,-200,-56,-73,-75,-79,-77,-79,-79,-82,-200,-82,-82,-79,-76,-78,-75,-68,-86,-200,-84,-200,-200,-79,-77,-200,-200,-75,-85,-88,-77,-71,-85,-82,-83,-90,-81,-84,-200,-89,-79,-88,-200,-200,-90,-84,-80,-73,-77,-83,-83,-84,-200,-69,-80,-85,-87,-200,-200,-93,-64,-70,-75,-73,-200,-200,-200,-200,-200,-64,-200,-200,-84,-89,-200,-82,-200,-200,-200,-200
1526452695339,-30,-55,-23,-46,-50,-47,-40,-54,-55,-58,-51,-65,-57,-51,-56,-49,-59,-59,-59,-53,-73,-55,-69,-53,-67,-65,-68,-71,-71,-74,-53,-64,-73,-70,-52,-74,-79,-74,-61,-78,-55,-75,-67,-200,-60,-73,-70,-83,-77,-72,-83,-89,-200,-85,-82,-80,-76,-76,-75,-70,-85,-200,-84,-200,-200,-80,-77,-200,-200,-78,-85,-88,-77,-71,-83,-81,-80,-90,-80,-83,-200,-89,-79,-200,-200,-200,-90,-84,-80,-73,-77,-83,-84,-84,-90,-69,-83,-80,-200,-200,-200,-93,-64,-70,-75,-200,-200,-200,-200,-200,-200,-64,-80,-200,-84,-90,-200,-200,-90,-200,-200,-200
1526452698377,-25,-53,-34,-45,-58,-47,-37,-56,-52,-50,-51,-53,-57,-50,-50,-50,-62,-56,-58,-56,-65,-60,-69,-59,-54,-65,-60,-71,-71,-74,-55,-64,-72,-79,-52,-77,-79,-74,-62,-75,-54,-75,-67,-200,-60,-73,-79,-83,-78,-72,-78,-89,-200,-80,-82,-79,-76,-76,-75,-66,-91,-200,-84,-200,-200,-79,-77,-76,-89,-78,-84,-88,-77,-71,-83,-80,-85,-200,-80,-83,-86,-89,-200,-85,-200,-200,-200,-84,-84,-72,-77,-82,-83,-85,-90,-200,-83,-80,-200,-200,-200,-91,-64,-66,-73,-200,-200,-88,-200,-200,-200,-200,-80,-200,-200,-90,-200,-200,-90,-200,-200,-200
1526452701423,-25,-50,-31,-45,-55,-47,-37,-57,-53,-49,-51,-48,-57,-45,-48,-47,-62,-57,-60,-56,-59,-58,-69,-59,-65,-59,-61,-71,-71,-74,-50,-62,-70,-74,-52,-74,-80,-74,-56,-79,-54,-72,-64,-200,-59,-74,-78,-78,-77,-78,-85,-82,-200,-80,-82,-80,-76,-79,-75,-66,-91,-200,-88,-200,-200,-80,-78,-69,-89,-75,-84,-87,-77,-72,-81,-81,-82,-200,-79,-82,-86,-89,-200,-84,-200,-200,-200,-200,-83,-72,-77,-83,-84,-85,-90,-200,-81,-80,-200,-200,-200,-91,-200,-66,-73,-200,-200,-88,-200,-200,-200,-200,-80,-200,-200,-90,-200,-82,-90,-92,-200,-200
1526452704476,-30,-53,-33,-48,-57,-47,-38,-57,-55,-57,-51,-55,-57,-51,-51,-48,-63,-57,-60,-52,-65,-61,-69,-57,-68,-59,-61,-71,-71,-74,-48,-64,-70,-71,-71,-74,-80,-200,-56,-79,-54,-78,-64,-200,-59,-74,-78,-78,-77,-72,-85,-82,-200,-80,-82,-79,-75,-79,-200,-69,-85,-200,-88,-200,-200,-79,-78,-68,-89,-78,-85,-85,-73,-73,-81,-81,-82,-87,-79,-82,-86,-200,-200,-83,-200,-88,-200,-200,-83,-72,-200,-83,-84,-85,-90,-200,-81,-80,-200,-200,-200,-91,-200,-67,-73,-200,-200,-88,-200,-90,-200,-200,-80,-200,-84,-90,-200,-82,-90,-92,-200,-200
1526452707518,-24,-52,-32,-46,-57,-47,-38,-57,-52,-54,-51,-51,-57,-50,-50,-47,-63,-57,-59,-56,-60,-63,-67,-56,-67,-58,-61,-71,-68,-74,-55,-59,-72,-71,-71,-74,-79,-200,-61,-78,-54,-78,-66,-200,-59,-74,-78,-78,-78,-72,-85,-82,-200,-76,-82,-80,-75,-79,-75,-68,-88,-200,-86,-78,-200,-81,-78,-73,-89,-78,-85,-86,-78,-73,-82,-81,-82,-87,-80,-82,-86,-86,-79,-84,-200,-88,-200,-200,-84,-72,-200,-87,-83,-85,-90,-200,-81,-200,-200,-200,-200,-91,-200,-67,-73,-200,-200,-88,-200,-90,-200,-200,-200,-200,-84,-81,-200,-82,-200,-92,-200,-200
1526452710561,-24,-55,-40,-54,-63,-46,-46,-63,-62,-63,-51,-52,-57,-48,-51,-50,-60,-57,-59,-52,-69,-63,-67,-64,-67,-61,-60,-71,-68,-74,-55,-59,-71,-71,-76,-74,-78,-200,-56,-78,-55,-74,-72,-200,-67,-81,-78,-77,-77,-72,-80,-79,-200,-76,-82,-79,-77,-69,-75,-67,-86,-200,-86,-78,-200,-80,-79,-73,-200,-78,-85,-86,-78,-73,-81,-82,-83,-87,-80,-82,-89,-87,-81,-89,-200,-88,-200,-200,-85,-73,-200,-87,-82,-85,-90,-200,-81,-83,-200,-200,-200,-91,-200,-67,-200,-90,-200,-87,-200,-90,-200,-200,-200,-84,-84,-81,-200,-84,-200,-92,-75,-89
