,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526453413181,-40,-42,-47,-56,-47,-44,-52,-41,-66,-53,-55,-50,-74,-53,-65,-59,-59,-52,-68,-58,-57,-60,-55,-50,-64,-60,-68,-60,-53,-62,-69,-74,-61,-55,-61,-69,-61,-200,-73,-200,-200,-68,-71,-78,-68,-63,-70,-76,-69,-84,-200,-73,-73,-78,-71,-71,-78,-200,-86,-75,-200,-78,-72,-80,-80,-77,-78,-81,-87,-86,-82,-85,-82,-85,-77,-89,-85,-85,-83,-83,-85,-85,-85,-200,-92,-83,-87,-91,-200,-200,-88,-88,-88,-200,-84,-88,-200,-92,-73,-67,-90,-91,-75,-85,-200,-69,-76,-77,-78,-93,-91,-82,-84,-84,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526453416217,-42,-39,-42,-51,-45,-46,-51,-40,-66,-47,-48,-53,-71,-53,-56,-59,-59,-55,-71,-52,-58,-54,-56,-51,-63,-62,-66,-58,-55,-63,-68,-74,-76,-55,-63,-69,-63,-200,-73,-200,-200,-200,-200,-72,-68,-65,-74,-76,-70,-81,-200,-73,-75,-78,-71,-71,-78,-200,-86,-75,-78,-78,-69,-42,-83,-76,-79,-81,-200,-87,-82,-200,-82,-84,-79,-200,-85,-85,-86,-85,-85,-85,-85,-200,-92,-81,-88,-200,-88,-200,-200,-88,-200,-200,-84,-88,-200,-89,-73,-68,-90,-200,-200,-85,-200,-200,-200,-200,-200,-93,-200,-82,-84,-84,-94,-200,-200,-200,-200,-200,-200,-200,-200
1526453419274,-39,-36,-47,-50,-43,-41,-53,-41,-67,-48,-51,-55,-71,-52,-59,-58,-58,-53,-71,-51,-57,-61,-58,-56,-64,-62,-66,-60,-53,-67,-60,-74,-59,-67,-63,-73,-59,-200,-72,-200,-200,-200,-200,-74,-63,-65,-74,-76,-70,-81,-90,-73,-69,-75,-69,-71,-75,-200,-78,-75,-78,-80,-69,-76,-83,-76,-74,-79,-200,-88,-82,-200,-82,-84,-79,-200,-85,-81,-86,-81,-85,-86,-85,-200,-92,-81,-85,-200,-88,-200,-200,-88,-200,-200,-200,-88,-200,-89,-77,-70,-90,-200,-200,-85,-200,-200,-74,-200,-200,-200,-200,-82,-84,-84,-94,-83,-91,-200,-200,-200,-200,-200,-200
1526453422322,-37,-47,-46,-59,-53,-47,-54,-42,-63,-48,-47,-57,-71,-56,-63,-57,-56,-50,-73,-54,-56,-60,-55,-52,-58,-61,-69,-57,-51,-66,-64,-74,-59,-68,-57,-57,-59,-200,-72,-200,-82,-200,-200,-71,-63,-61,-75,-76,-68,-81,-90,-73,-74,-76,-68,-71,-74,-200,-79,-77,-76,-81,-69,-79,-80,-78,-79,-82,-200,-88,-82,-88,-82,-84,-78,-200,-88,-81,-86,-81,-84,-86,-88,-200,-92,-85,-85,-87,-88,-200,-200,-88,-87,-200,-85,-88,-200,-89,-77,-70,-90,-200,-200,-85,-200,-200,-74,-200,-200,-89,-200,-200,-200,-84,-94,-83,-91,-88,-200,-200,-200,-200,-200
1526453425359,-40,-42,-45,-51,-45,-54,-54,-43,-63,-48,-47,-57,-74,-56,-88,-57,-57,-53,-73,-66,-58,-60,-59,-56,-63,-64,-77,-61,-50,-70,-68,-74,-59,-68,-64,-71,-62,-200,-73,-200,-82,-77,-200,-72,-75,-67,-73,-74,-69,-84,-90,-77,-73,-78,-70,-83,-80,-200,-89,-77,-80,-81,-69,-80,-82,-79,-78,-83,-200,-86,-86,-88,-82,-86,-75,-200,-88,-81,-82,-85,-84,-86,-88,-200,-90,-85,-85,-87,-90,-200,-200,-200,-87,-200,-82,-200,-200,-89,-77,-70,-90,-200,-200,-83,-200,-200,-74,-200,-200,-89,-200,-200,-200,-200,-200,-83,-91,-88,-200,-200,-200,-200,-200
1526453428408,-35,-44,-46,-53,-43,-47,-51,-55,-66,-47,-54,-50,-74,-56,-59,-54,-59,-52,-69,-59,-57,-59,-58,-54,-62,-58,-77,-61,-52,-62,-63,-74,-62,-68,-57,-69,-63,-200,-72,-200,-82,-77,-200,-69,-64,-62,-73,-74,-69,-86,-86,-77,-72,-75,-70,-83,-80,-200,-89,-76,-78,-76,-70,-80,-86,-76,-74,-83,-200,-86,-87,-88,-82,-86,-75,-200,-88,-82,-84,-82,-84,-86,-88,-200,-90,-85,-86,-88,-90,-200,-200,-87,-87,-200,-82,-200,-200,-200,-74,-69,-90,-200,-200,-83,-200,-200,-74,-200,-200,-89,-200,-200,-200,-200,-200,-83,-91,-88,-90,-200,-200,-200,-200
1526453431457,-34,-39,-47,-52,-43,-48,-58,-57,-64,-51,-44,-56,-74,-56,-55,-58,-54,-56,-73,-54,-58,-61,-56,-57,-62,-57,-71,-63,-50,-60,-63,-74,-74,-68,-65,-68,-63,-200,-69,-200,-82,-77,-71,-70,-64,-62,-73,-76,-68,-86,-86,-77,-77,-73,-63,-83,-80,-200,-80,-78,-78,-76,-71,-81,-86,-73,-76,-79,-200,-86,-87,-89,-85,-86,-75,-200,-88,-81,-83,-82,-86,-200,-88,-200,-90,-83,-87,-88,-90,-200,-200,-87,-87,-200,-82,-89,-200,-200,-74,-69,-90,-200,-66,-83,-90,-200,-200,-200,-200,-89,-89,-200,-82,-200,-200,-83,-200,-88,-90,-79,-88,-200,-200
1526453434499,-39,-41,-46,-51,-49,-47,-53,-52,-60,-46,-48,-58,-74,-54,-59,-56,-56,-55,-73,-51,-55,-62,-56,-56,-62,-60,-71,-61,-48,-68,-63,-71,-61,-200,-62,-71,-63,-200,-70,-74,-200,-77,-71,-74,-64,-64,-72,-76,-68,-86,-86,-77,-71,-76,-69,-83,-80,-200,-80,-75,-76,-80,-62,-77,-82,-73,-80,-82,-88,-86,-86,-89,-86,-86,-75,-200,-200,-83,-84,-82,-86,-200,-200,-200,-90,-87,-87,-88,-90,-200,-200,-87,-200,-200,-82,-89,-200,-200,-77,-69,-90,-200,-66,-83,-90,-200,-200,-200,-200,-200,-89,-200,-82,-200,-200,-83,-200,-200,-90,-79,-88,-89,-200
1526453437553,-37,-38,-46,-52,-45,-44,-53,-40,-64,-47,-50,-48,-200,-54,-54,-55,-57,-51,-72,-53,-57,-60,-59,-52,-61,-63,-66,-57,-51,-59,-60,-72,-61,-200,-59,-70,-63,-200,-72,-74,-200,-200,-74,-74,-64,-64,-75,-78,-72,-86,-89,-79,-71,-76,-71,-69,-200,-200,-85,-75,-79,-80,-67,-81,-81,-74,-86,-81,-88,-86,-83,-89,-84,-87,-80,-200,-88,-84,-84,-84,-86,-200,-200,-200,-89,-87,-86,-88,-200,-200,-89,-87,-200,-200,-83,-88,-200,-200,-77,-70,-200,-200,-66,-200,-90,-200,-200,-80,-200,-200,-89,-81,-82,-200,-200,-83,-200,-200,-90,-79,-88,-89,-200
1526453440596,-37,-37,-45,-55,-46,-46,-52,-41,-66,-52,-51,-51,-200,-64,-77,-61,-58,-54,-68,-62,-57,-60,-61,-62,-64,-58,-67,-61,-51,-67,-67,-69,-61,-68,-60,-71,-62,-200,-72,-74,-200,-200,-74,-71,-67,-64,-75,-78,-68,-200,-89,-79,-71,-74,-68,-69,-200,-200,-82,-75,-80,-80,-69,-79,-83,-80,-86,-81,-88,-84,-83,-89,-84,-86,-81,-200,-88,-84,-84,-84,-86,-200,-200,-200,-90,-84,-87,-89,-200,-200,-89,-87,-83,-200,-83,-88,-200,-200,-73,-70,-200,-200,-81,-200,-90,-200,-200,-80,-200,-200,-89,-81,-82,-200,-200,-83,-200,-200,-200,-79,-88,-89,-200
1526453443642,-37,-38,-46,-53,-43,-44,-51,-41,-64,-49,-50,-49,-200,-52,-59,-56,-58,-51,-72,-52,-56,-60,-62,-61,-62,-63,-66,-61,-54,-56,-66,-71,-64,-68,-59,-71,-62,-200,-72,-74,-200,-200,-75,-71,-67,-64,-73,-78,-70,-200,-89,-72,-71,-76,-71,-72,-200,-200,-83,-75,-80,-80,-71,-79,-83,-76,-80,-81,-88,-84,-86,-200,-87,-85,-81,-200,-88,-83,-85,-84,-200,-200,-200,-200,-87,-84,-87,-89,-88,-200,-89,-200,-83,-200,-83,-88,-200,-200,-73,-70,-200,-200,-81,-200,-200,-200,-200,-80,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-89
1526453446688,-38,-46,-54,-53,-53,-52,-53,-42,-64,-49,-50,-62,-200,-64,-58,-65,-56,-57,-71,-53,-63,-67,-60,-64,-62,-61,-66,-61,-67,-62,-68,-71,-61,-68,-58,-70,-61,-200,-73,-74,-200,-200,-76,-70,-67,-76,-71,-79,-70,-200,-89,-72,-200,-76,-71,-72,-76,-200,-85,-200,-80,-80,-70,-80,-84,-76,-81,-81,-200,-84,-86,-200,-84,-85,-81,-90,-88,-83,-85,-84,-200,-200,-200,-200,-86,-83,-87,-87,-88,-200,-87,-200,-82,-200,-83,-88,-200,-200,-73,-70,-200,-200,-81,-200,-200,-71,-200,-80,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89
