,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro
1526451826907,-38,-35,-44,-45,-38,-39,-46,-41,-48,-50,-54,-51,-60,-58,-52,-53,-63,-57,-56,-59,-51,-68,-80,-66,-59,-57,-60,-60,-69,-73,-77,-72,-71,-77,-72,-200,-77,-71,-68,-69,-200,-71,-69,-74,-70,-200,-74,-65,-73,-72,-81,-73,-86,-200,-77,-82,-73,-85,-88,-82,-81,-84,-84,-200,-87,-88,-89,-88,-89,-83,-200,-87,-64,-68,-73,-200,-75,-78,-75,-79,-82,-85,-89,-68,-200,-200,-200,-200,-87,-88,-200,-200,-89,-200,-200,-200,-92,-200,-68,-89,-90,-81,-78,-89,-90,-79,-82,-85,-91,-91,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451829949,-38,-33,-42,-46,-40,-56,-45,-41,-46,-49,-59,-52,-66,-57,-56,-55,-64,-56,-54,-62,-54,-74,-80,-62,-59,-57,-60,-64,-64,-73,-77,-75,-70,-77,-75,-200,-79,-71,-68,-46,-70,-71,-69,-77,-70,-200,-74,-67,-78,-67,-78,-76,-86,-75,-83,-82,-73,-85,-83,-83,-81,-86,-84,-200,-87,-86,-89,-88,-89,-84,-200,-200,-64,-69,-73,-200,-75,-78,-75,-77,-82,-84,-89,-65,-200,-200,-200,-200,-87,-88,-200,-200,-89,-200,-200,-200,-92,-200,-68,-89,-90,-81,-78,-89,-90,-79,-82,-85,-91,-91,-92,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526451832998,-40,-34,-41,-42,-33,-42,-44,-41,-46,-49,-63,-53,-74,-56,-56,-55,-64,-58,-52,-61,-58,-74,-80,-64,-61,-66,-61,-60,-67,-69,-72,-74,-70,-77,-74,-74,-79,-85,-70,-70,-70,-77,-72,-79,-58,-200,-73,-65,-79,-73,-78,-73,-80,-75,-79,-82,-73,-85,-69,-83,-81,-85,-87,-200,-87,-86,-89,-87,-88,-82,-200,-200,-64,-64,-68,-200,-200,-81,-73,-77,-82,-82,-89,-65,-200,-200,-200,-200,-86,-86,-200,-90,-86,-75,-200,-86,-92,-200,-200,-200,-90,-74,-78,-89,-90,-79,-82,-85,-91,-91,-92,-83,-92,-200,-200,-200,-200,-200,-200,-200
1526451836041,-48,-35,-60,-39,-32,-39,-49,-42,-48,-58,-56,-51,-61,-56,-50,-54,-62,-57,-52,-63,-58,-74,-80,-59,-59,-67,-61,-54,-69,-69,-70,-74,-71,-74,-74,-74,-79,-74,-70,-69,-70,-73,-69,-74,-73,-200,-76,-67,-74,-73,-80,-75,-78,-75,-75,-81,-73,-85,-88,-79,-81,-85,-87,-200,-85,-86,-80,-86,-89,-83,-200,-200,-64,-64,-66,-200,-75,-79,-76,-78,-82,-82,-89,-74,-200,-200,-200,-200,-85,-89,-200,-90,-87,-75,-200,-86,-200,-200,-200,-200,-200,-74,-200,-200,-200,-79,-82,-85,-91,-91,-92,-83,-92,-84,-91,-200,-200,-200,-200,-200
1526451839058,-36,-34,-42,-46,-37,-40,-48,-41,-47,-51,-53,-52,-62,-58,-53,-51,-63,-58,-57,-61,-52,-66,-200,-59,-62,-64,-61,-56,-70,-74,-70,-73,-71,-77,-74,-80,-74,-76,-74,-69,-70,-71,-73,-76,-73,-200,-75,-64,-74,-72,-80,-73,-84,-73,-73,-83,-73,-85,-88,-81,-80,-82,-87,-200,-85,-83,-80,-86,-89,-81,-200,-200,-55,-62,-65,-200,-75,-79,-74,-74,-200,-83,-89,-74,-200,-200,-200,-200,-87,-89,-88,-90,-86,-75,-82,-86,-200,-200,-69,-200,-93,-74,-200,-91,-200,-200,-200,-85,-200,-200,-200,-83,-92,-84,-91,-91,-200,-200,-200,-200
1526451842117,-23,-33,-40,-47,-38,-40,-44,-42,-46,-49,-54,-50,-64,-58,-56,-52,-64,-56,-57,-60,-52,-65,-79,-46,-61,-67,-57,-60,-66,-69,-72,-72,-71,-77,-72,-80,-74,-76,-74,-69,-200,-73,-72,-77,-73,-200,-76,-64,-72,-72,-79,-75,-79,-73,-73,-83,-73,-85,-88,-81,-79,-82,-87,-200,-84,-83,-80,-90,-89,-77,-200,-200,-67,-62,-65,-200,-75,-78,-77,-74,-200,-83,-200,-74,-200,-200,-200,-200,-87,-89,-88,-90,-86,-75,-82,-86,-200,-200,-69,-200,-93,-74,-200,-91,-200,-200,-81,-85,-200,-200,-200,-200,-92,-84,-91,-91,-200,-200,-200,-200
1526451845155,-38,-32,-52,-48,-38,-41,-45,-39,-47,-52,-69,-58,-64,-53,-54,-50,-63,-60,-57,-69,-52,-70,-79,-67,-60,-67,-60,-65,-69,-71,-73,-72,-66,-77,-74,-80,-74,-75,-80,-67,-76,-73,-69,-78,-74,-200,-74,-67,-72,-72,-79,-73,-85,-73,-74,-82,-72,-85,-88,-81,-81,-82,-200,-200,-87,-85,-80,-87,-88,-77,-200,-90,-67,-68,-64,-200,-75,-78,-77,-74,-200,-83,-88,-66,-200,-200,-200,-200,-87,-89,-88,-200,-91,-200,-82,-86,-200,-200,-69,-200,-93,-200,-200,-91,-200,-200,-81,-200,-200,-200,-200,-200,-200,-84,-91,-91,-89,-200,-200,-200
1526451848189,-35,-33,-39,-47,-37,-44,-44,-42,-47,-49,-57,-51,-57,-53,-52,-51,-62,-56,-53,-61,-53,-68,-79,-66,-59,-57,-60,-57,-68,-70,-70,-74,-70,-77,-72,-80,-74,-77,-74,-67,-76,-75,-68,-81,-72,-200,-79,-67,-74,-72,-79,-74,-85,-73,-75,-83,-73,-86,-85,-81,-81,-82,-200,-200,-87,-85,-87,-87,-90,-81,-200,-90,-64,-63,-64,-57,-76,-78,-72,-74,-200,-82,-88,-66,-200,-200,-200,-200,-86,-200,-88,-88,-88,-70,-82,-200,-200,-200,-71,-200,-92,-200,-200,-91,-200,-200,-81,-200,-200,-88,-91,-200,-200,-200,-200,-91,-89,-89,-200,-200
1526451851225,-38,-34,-38,-43,-38,-40,-47,-42,-48,-52,-53,-50,-62,-53,-49,-47,-64,-48,-56,-59,-56,-70,-79,-57,-61,-66,-60,-61,-70,-70,-70,-73,-71,-200,-73,-80,-75,-74,-76,-70,-76,-70,-67,-78,-72,-200,-75,-65,-70,-72,-81,-72,-85,-200,-76,-82,-73,-86,-85,-81,-81,-82,-200,-200,-89,-83,-88,-87,-88,-81,-200,-90,-64,-63,-67,-72,-76,-77,-74,-74,-200,-84,-88,-62,-200,-200,-200,-200,-86,-200,-90,-88,-86,-70,-200,-200,-200,-200,-61,-200,-92,-200,-200,-200,-200,-200,-81,-200,-200,-90,-91,-200,-200,-200,-200,-200,-90,-89,-200,-200
1526451854268,-42,-16,-40,-47,-38,-41,-48,-41,-45,-52,-56,-58,-71,-55,-54,-50,-64,-56,-54,-62,-53,-70,-79,-66,-59,-49,-61,-60,-70,-73,-72,-74,-70,-200,-71,-80,-74,-63,-76,-70,-76,-70,-67,-76,-71,-200,-80,-67,-75,-73,-81,-74,-85,-200,-76,-83,-71,-86,-85,-85,-80,-86,-83,-200,-86,-83,-88,-89,-88,-78,-200,-90,-63,-65,-70,-72,-82,-78,-76,-74,-200,-84,-88,-65,-200,-87,-200,-200,-81,-200,-90,-88,-86,-73,-84,-86,-200,-200,-61,-200,-92,-200,-200,-200,-200,-200,-200,-86,-200,-90,-91,-83,-200,-200,-200,-200,-90,-89,-69,-200
1526451857308,-39,-31,-41,-43,-40,-45,-50,-41,-46,-50,-54,-52,-71,-67,-58,-48,-66,-57,-54,-63,-53,-70,-79,-64,-61,-67,-61,-62,-53,-67,-72,-73,-72,-200,-72,-80,-74,-78,-71,-68,-200,-76,-67,-80,-71,-200,-76,-67,-79,-73,-76,-74,-79,-200,-80,-82,-73,-86,-85,-84,-80,-86,-83,-200,-86,-85,-88,-89,-89,-78,-200,-90,-56,-63,-70,-72,-82,-81,-70,-74,-200,-84,-200,-66,-200,-90,-200,-200,-87,-88,-89,-87,-86,-73,-84,-86,-200,-200,-68,-200,-92,-86,-200,-90,-200,-200,-200,-86,-200,-90,-91,-83,-200,-200,-200,-200,-90,-89,-69,-85
1526451860357,-39,-15,-45,-47,-38,-41,-49,-42,-46,-53,-66,-58,-71,-67,-58,-52,-71,-57,-53,-64,-55,-70,-79,-64,-59,-67,-66,-62,-69,-68,-76,-75,-72,-200,-75,-200,-74,-78,-72,-69,-70,-77,-67,-79,-71,-200,-74,-67,-79,-73,-80,-74,-85,-200,-76,-82,-75,-85,-200,-83,-81,-86,-87,-200,-92,-87,-88,-89,-89,-78,-200,-91,-56,-74,-73,-72,-82,-81,-74,-77,-200,-84,-200,-76,-200,-90,-200,-82,-87,-88,-89,-87,-89,-73,-84,-86,-200,-200,-68,-200,-200,-73,-200,-90,-200,-200,-200,-93,-200,-90,-200,-85,-200,-200,-200,-200,-90,-200,-78,-85
