,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526452527351,-32,-32,-40,-39,-56,-34,-45,-56,-60,-74,-53,-62,-55,-56,-44,-50,-50,-50,-57,-53,-57,-50,-73,-53,-64,-46,-77,-68,-73,-79,-80,-65,-71,-64,-72,-71,-69,-68,-69,-75,-68,-71,-75,-200,-77,-63,-76,-78,-72,-74,-76,-81,-81,-200,-79,-80,-82,-81,-80,-200,-74,-200,-74,-79,-200,-79,-84,-83,-85,-75,-200,-81,-84,-200,-80,-200,-200,-200,-200,-200,-55,-59,-73,-200,-75,-200,-200,-200,-84,-200,-200,-87,-200,-88,-91,-200,-200,-65,-200,-67,-200,-200,-200,-88,-90,-83,-200,-87,-88,-90,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452530400,-40,-39,-46,-39,-60,-41,-50,-56,-60,-55,-60,-63,-56,-56,-44,-83,-61,-48,-60,-53,-68,-54,-73,-75,-70,-52,-77,-66,-73,-79,-80,-71,-71,-90,-69,-68,-71,-76,-70,-74,-68,-71,-75,-200,-77,-63,-77,-78,-72,-74,-75,-81,-83,-200,-79,-79,-82,-84,-78,-200,-74,-200,-73,-77,-200,-78,-84,-83,-84,-73,-200,-81,-84,-200,-80,-200,-200,-200,-200,-200,-55,-68,-73,-87,-75,-200,-200,-200,-84,-200,-200,-87,-200,-88,-91,-200,-91,-65,-200,-65,-200,-200,-200,-88,-200,-85,-200,-87,-88,-90,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452533435,-31,-32,-38,-39,-56,-34,-40,-55,-56,-64,-50,-60,-57,-56,-46,-83,-51,-51,-50,-52,-51,-53,-73,-59,-70,-44,-65,-63,-73,-80,-80,-71,-71,-51,-69,-71,-70,-75,-70,-75,-69,-71,-200,-200,-74,-63,-77,-78,-77,-74,-75,-81,-77,-200,-77,-78,-78,-84,-77,-200,-200,-200,-72,-79,-200,-78,-88,-200,-84,-72,-200,-84,-84,-200,-200,-200,-200,-200,-200,-200,-57,-58,-73,-87,-75,-200,-200,-200,-84,-200,-200,-87,-200,-88,-91,-200,-91,-200,-82,-65,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452536473,-32,-39,-38,-47,-44,-34,-44,-55,-59,-63,-50,-63,-46,-56,-45,-50,-48,-51,-56,-52,-58,-55,-73,-59,-62,-47,-65,-63,-74,-80,-200,-62,-200,-65,-66,-72,-72,-75,-69,-75,-68,-72,-200,-71,-76,-63,-77,-78,-77,-67,-77,-81,-77,-200,-77,-79,-79,-84,-76,-200,-77,-200,-73,-77,-200,-80,-88,-200,-84,-73,-200,-84,-84,-200,-200,-200,-200,-81,-200,-200,-59,-62,-73,-87,-200,-200,-200,-200,-200,-200,-200,-200,-87,-88,-91,-200,-91,-200,-82,-62,-200,-88,-200,-200,-200,-85,-83,-200,-200,-200,-81,-89,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452539522,-31,-32,-38,-39,-54,-33,-41,-53,-60,-74,-52,-61,-52,-56,-44,-49,-49,-51,-51,-53,-58,-54,-200,-54,-61,-43,-65,-66,-72,-80,-200,-62,-200,-63,-66,-70,-71,-69,-70,-75,-68,-72,-75,-71,-76,-63,-77,-78,-77,-76,-69,-81,-77,-200,-77,-78,-79,-84,-76,-200,-77,-200,-73,-77,-200,-79,-88,-200,-84,-73,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-59,-60,-73,-87,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-91,-200,-82,-62,-200,-88,-200,-200,-200,-85,-83,-200,-200,-200,-200,-200,-73,-84,-91,-200,-200,-200,-200,-200,-200,-200
1526452542533,-33,-32,-38,-39,-56,-33,-39,-56,-59,-63,-52,-62,-52,-56,-44,-47,-51,-51,-53,-52,-57,-54,-200,-58,-62,-51,-65,-61,-70,-75,-77,-59,-200,-66,-66,-70,-72,-68,-70,-75,-63,-72,-75,-71,-73,-61,-76,-78,-77,-77,-76,-82,-77,-200,-77,-79,-79,-200,-77,-200,-78,-200,-73,-77,-200,-78,-85,-200,-200,-74,-200,-84,-200,-200,-200,-200,-200,-81,-200,-200,-56,-59,-73,-200,-200,-200,-200,-86,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-82,-62,-200,-88,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-73,-84,-91,-200,-200,-200,-200,-200,-200,-200
1526452545569,-32,-39,-39,-39,-59,-18,-43,-62,-59,-68,-61,-61,-58,-56,-40,-50,-50,-51,-59,-53,-58,-54,-71,-51,-64,-45,-200,-66,-73,-75,-77,-59,-200,-66,-66,-73,-72,-68,-69,-75,-76,-73,-75,-71,-76,-65,-77,-78,-200,-77,-76,-81,-83,-200,-77,-85,-79,-90,-77,-200,-78,-200,-74,-77,-200,-79,-84,-200,-84,-74,-200,-200,-200,-200,-200,-86,-91,-89,-200,-200,-56,-58,-73,-78,-77,-200,-83,-86,-200,-200,-200,-200,-87,-200,-87,-200,-200,-200,-83,-62,-200,-88,-200,-200,-88,-84,-83,-200,-200,-200,-200,-200,-73,-82,-91,-93,-200,-200,-200,-200,-200,-200
1526452548613,-32,-32,-39,-39,-58,-32,-43,-70,-43,-65,-49,-61,-57,-56,-46,-50,-51,-50,-51,-51,-59,-54,-72,-58,-63,-45,-200,-66,-73,-79,-77,-65,-200,-64,-68,-71,-72,-69,-70,-75,-69,-72,-74,-70,-73,-66,-74,-80,-76,-76,-74,-81,-83,-200,-78,-78,-80,-90,-79,-200,-78,-200,-73,-80,-200,-77,-86,-200,-84,-74,-200,-200,-200,-200,-200,-86,-91,-80,-200,-200,-56,-58,-73,-78,-77,-200,-83,-86,-85,-200,-200,-200,-200,-200,-87,-200,-200,-200,-82,-200,-200,-200,-200,-90,-88,-82,-200,-200,-88,-200,-200,-200,-200,-82,-91,-93,-200,-200,-200,-200,-200,-200
1526452551650,-17,-43,-39,-47,-59,-15,-50,-70,-62,-65,-58,-61,-51,-56,-44,-49,-58,-50,-61,-52,-57,-53,-72,-57,-66,-45,-200,-70,-73,-79,-77,-65,-80,-65,-70,-81,-71,-70,-70,-75,-76,-72,-74,-64,-82,-66,-76,-87,-77,-76,-75,-81,-83,-200,-78,-78,-79,-90,-84,-200,-77,-200,-73,-80,-200,-77,-86,-200,-84,-72,-200,-200,-200,-200,-200,-86,-91,-80,-200,-200,-56,-62,-73,-78,-77,-200,-83,-86,-85,-200,-200,-200,-200,-200,-87,-200,-200,-200,-82,-200,-200,-200,-200,-90,-90,-82,-200,-200,-88,-200,-200,-200,-75,-73,-200,-93,-78,-79,-200,-200,-200,-200
1526452554663,-33,-40,-39,-39,-59,-34,-43,-57,-61,-65,-54,-61,-56,-55,-44,-48,-51,-51,-54,-52,-54,-60,-70,-58,-62,-72,-200,-62,-74,-79,-77,-61,-80,-76,-67,-74,-72,-70,-70,-75,-69,-70,-74,-69,-72,-62,-71,-87,-74,-71,-76,-81,-200,-200,-79,-83,-79,-80,-78,-200,-77,-200,-73,-80,-200,-77,-85,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-81,-200,-89,-200,-58,-72,-200,-74,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-74,-200,-200,-200,-92,-85,-86,-200,-200,-88,-200,-200,-200,-75,-73,-200,-200,-78,-79,-84,-93,-200,-200
1526452557705,-32,-33,-39,-41,-56,-32,-44,-56,-59,-66,-53,-62,-58,-58,-44,-50,-51,-52,-58,-51,-57,-53,-66,-58,-63,-44,-69,-66,-74,-200,-77,-60,-70,-64,-69,-75,-72,-70,-70,-75,-70,-71,-74,-69,-72,-62,-80,-87,-74,-72,-74,-81,-200,-200,-77,-78,-78,-80,-78,-200,-77,-200,-73,-76,-200,-81,-85,-200,-200,-74,-200,-200,-200,-200,-87,-200,-200,-80,-200,-89,-200,-60,-72,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-66,-200,-200,-200,-92,-85,-86,-200,-200,-200,-200,-200,-200,-75,-73,-200,-200,-78,-79,-84,-93,-200,-200
1526452560739,-16,-33,-45,-44,-67,-34,-40,-47,-56,-59,-50,-63,-53,-56,-43,-56,-48,-48,-57,-51,-56,-56,-63,-58,-68,-45,-70,-66,-74,-74,-200,-73,-70,-67,-65,-67,-67,-73,-79,-76,-70,-77,-70,-69,-70,-62,-73,-79,-74,-72,-75,-84,-200,-200,-77,-75,-79,-78,-78,-78,-200,-200,-73,-76,-200,-76,-83,-200,-200,-71,-200,-200,-200,-200,-87,-200,-200,-81,-200,-89,-200,-67,-72,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-66,-200,-200,-200,-92,-85,-86,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-84,-93,-84,-88
