,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,DLINK_D02A30,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro
1526451505398,-26,-47,-46,-52,-53,-54,-53,-55,-57,-59,-64,-62,-58,-60,-61,-60,-63,-50,-49,-70,-55,-71,-76,-69,-74,-57,-66,-71,-67,-78,-71,-73,-76,-81,-75,-74,-84,-68,-68,-200,-74,-81,-79,-78,-84,-80,-200,-75,-200,-82,-72,-83,-200,-88,-200,-200,-200,-200,-200,-57,-68,-67,-79,-77,-80,-79,-77,-200,-81,-200,-200,-200,-95,-200,-91,-94,-96,-93,-200,-200,-200,-200,-76,-200,-85,-85,-92,-200,-93,-200,-93,-200,-200,-200,-70,-200,-80,-89,-66,-85,-86,-94,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451508451,-25,-50,-47,-52,-53,-53,-52,-56,-56,-60,-66,-61,-57,-66,-61,-61,-63,-50,-57,-60,-59,-73,-76,-69,-74,-59,-67,-72,-68,-200,-70,-73,-76,-81,-77,-75,-83,-73,-68,-200,-75,-81,-82,-78,-82,-79,-95,-73,-95,-80,-80,-81,-200,-90,-92,-200,-200,-200,-200,-59,-69,-69,-82,-72,-85,-82,-77,-88,-82,-200,-200,-200,-93,-200,-91,-92,-200,-93,-94,-200,-200,-200,-76,-200,-86,-87,-94,-200,-93,-79,-93,-200,-200,-200,-70,-200,-200,-200,-66,-85,-86,-94,-97,-94,-99,-200,-200,-200,-200,-200,-200,-200,-200
1526451511506,-26,-48,-46,-49,-54,-56,-54,-54,-56,-60,-64,-62,-59,-66,-62,-62,-63,-51,-54,-68,-66,-72,-77,-68,-74,-59,-63,-74,-67,-76,-69,-78,-77,-80,-75,-74,-84,-67,-68,-200,-74,-81,-84,-76,-84,-79,-95,-73,-95,-80,-80,-83,-200,-95,-92,-200,-200,-200,-97,-59,-69,-69,-82,-70,-85,-81,-77,-88,-82,-200,-200,-200,-93,-200,-91,-92,-200,-200,-97,-200,-200,-200,-200,-200,-87,-87,-94,-200,-93,-79,-93,-200,-96,-200,-70,-200,-200,-200,-66,-85,-86,-94,-98,-94,-99,-200,-200,-200,-200,-200,-200,-200,-200
1526451514556,-24,-46,-46,-47,-56,-54,-53,-58,-56,-62,-62,-61,-65,-68,-60,-58,-61,-53,-59,-62,-59,-73,-76,-68,-74,-59,-58,-75,-77,-80,-71,-78,-76,-82,-73,-75,-83,-66,-68,-200,-76,-80,-84,-79,-83,-78,-95,-73,-93,-81,-81,-83,-200,-89,-92,-90,-200,-200,-92,-59,-67,-69,-78,-73,-85,-82,-76,-88,-80,-97,-200,-200,-95,-200,-200,-95,-97,-200,-96,-200,-200,-200,-79,-77,-86,-89,-91,-200,-200,-80,-93,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-94,-99,-96,-200,-200,-200,-200,-200,-200,-200
1526451517612,-24,-46,-46,-49,-56,-54,-52,-54,-56,-58,-64,-63,-59,-64,-62,-56,-56,-50,-58,-62,-59,-72,-77,-69,-74,-59,-59,-69,-78,-78,-70,-71,-74,-79,-73,-68,-85,-66,-68,-200,-76,-80,-75,-78,-83,-79,-200,-73,-93,-80,-80,-83,-200,-90,-91,-90,-200,-200,-92,-58,-67,-68,-74,-70,-200,-82,-78,-200,-82,-97,-200,-200,-95,-200,-87,-95,-97,-200,-96,-93,-200,-200,-79,-77,-86,-89,-91,-200,-200,-78,-91,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200,-200,-96,-91,-92,-200,-200,-200,-200,-200
1526451520668,-24,-46,-46,-51,-52,-52,-51,-59,-57,-60,-66,-61,-58,-66,-64,-63,-60,-51,-51,-63,-67,-73,-77,-73,-74,-59,-59,-74,-78,-78,-71,-69,-75,-79,-67,-75,-83,-66,-64,-200,-78,-80,-86,-76,-82,-79,-200,-74,-95,-81,-80,-85,-200,-90,-91,-90,-200,-200,-92,-58,-67,-68,-79,-74,-200,-82,-78,-200,-81,-97,-200,-200,-94,-200,-85,-95,-97,-200,-96,-93,-200,-200,-82,-77,-86,-91,-91,-200,-200,-80,-93,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-91,-92,-80,-200,-200,-200,-200
1526451523716,-25,-49,-46,-49,-52,-53,-52,-56,-56,-57,-64,-61,-61,-59,-62,-61,-67,-51,-57,-68,-65,-72,-76,-67,-74,-59,-59,-74,-78,-78,-64,-71,-75,-81,-72,-75,-82,-200,-64,-200,-76,-81,-81,-76,-82,-79,-200,-73,-93,-81,-79,-83,-200,-90,-91,-200,-200,-200,-200,-58,-66,-68,-73,-71,-80,-80,-77,-200,-82,-200,-200,-200,-93,-200,-91,-200,-200,-200,-200,-97,-200,-200,-82,-200,-200,-91,-200,-200,-200,-81,-94,-200,-200,-200,-83,-200,-200,-200,-66,-200,-200,-200,-96,-200,-200,-98,-91,-92,-80,-200,-200,-200,-200
1526451526772,-25,-46,-46,-50,-50,-52,-52,-57,-58,-59,-65,-63,-61,-61,-62,-65,-64,-52,-56,-65,-65,-75,-75,-68,-74,-58,-61,-72,-65,-200,-70,-72,-75,-82,-74,-68,-84,-66,-69,-200,-73,-82,-81,-76,-83,-80,-95,-72,-95,-81,-79,-83,-200,-90,-200,-200,-200,-200,-200,-57,-69,-69,-73,-76,-80,-81,-78,-84,-84,-200,-200,-200,-93,-200,-91,-93,-200,-200,-200,-97,-200,-200,-82,-200,-82,-87,-91,-200,-200,-81,-93,-200,-200,-82,-83,-200,-200,-200,-66,-200,-200,-200,-96,-200,-200,-98,-200,-200,-80,-97,-200,-200,-200
1526451529830,-25,-46,-47,-52,-60,-51,-52,-55,-55,-59,-64,-62,-60,-62,-61,-61,-62,-52,-58,-64,-59,-68,-77,-67,-74,-59,-63,-72,-69,-81,-71,-72,-77,-82,-74,-75,-85,-68,-68,-200,-73,-82,-81,-77,-83,-80,-95,-70,-92,-82,-81,-81,-200,-89,-200,-200,-200,-200,-200,-59,-66,-63,-73,-77,-80,-81,-77,-87,-83,-200,-200,-200,-93,-200,-91,-94,-96,-84,-97,-97,-200,-200,-200,-73,-87,-87,-92,-200,-200,-76,-93,-200,-200,-87,-200,-200,-200,-200,-66,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200
1526451532883,-24,-50,-46,-51,-53,-59,-54,-58,-57,-58,-54,-64,-59,-62,-60,-61,-61,-50,-54,-65,-58,-71,-75,-68,-78,-58,-60,-74,-69,-71,-71,-69,-76,-79,-76,-70,-83,-66,-66,-200,-71,-81,-200,-76,-85,-79,-95,-72,-92,-71,-80,-81,-91,-90,-200,-200,-200,-200,-200,-52,-68,-69,-200,-76,-200,-79,-77,-87,-81,-200,-200,-200,-200,-200,-200,-94,-96,-84,-97,-200,-200,-200,-200,-74,-84,-88,-92,-95,-200,-82,-93,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-97,-200,-200
1526451535936,-24,-47,-46,-50,-53,-53,-51,-58,-55,-61,-64,-59,-59,-62,-61,-59,-61,-49,-55,-69,-66,-72,-76,-68,-76,-59,-59,-68,-69,-71,-70,-68,-75,-81,-76,-71,-82,-66,-68,-200,-71,-81,-79,-78,-82,-79,-200,-73,-92,-83,-80,-81,-91,-88,-200,-200,-200,-200,-93,-58,-66,-69,-200,-75,-83,-79,-77,-87,-82,-200,-200,-200,-200,-200,-200,-94,-96,-91,-98,-94,-200,-200,-80,-74,-86,-88,-92,-95,-95,-82,-95,-200,-200,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-92,-200
1526451538988,-24,-47,-44,-51,-56,-51,-52,-47,-55,-57,-62,-63,-58,-62,-63,-61,-61,-51,-55,-62,-61,-71,-77,-68,-76,-59,-60,-70,-200,-71,-71,-73,-79,-79,-76,-74,-81,-66,-68,-200,-70,-80,-82,-82,-82,-79,-93,-74,-94,-83,-80,-200,-91,-90,-200,-200,-200,-200,-93,-57,-66,-70,-200,-75,-82,-80,-77,-86,-82,-200,-200,-200,-93,-200,-200,-93,-200,-94,-98,-94,-200,-200,-80,-74,-86,-87,-200,-95,-95,-82,-94,-200,-200,-83,-84,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-97,-92,-87
