,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526452426421,-32,-50,-46,-52,-59,-48,-59,-68,-55,-53,-64,-67,-63,-59,-58,-73,-79,-61,-55,-69,-77,-63,-41,-65,-72,-63,-67,-63,-200,-68,-74,-200,-71,-68,-200,-79,-74,-90,-200,-66,-200,-81,-200,-66,-83,-89,-200,-81,-200,-81,-200,-82,-200,-80,-72,-77,-80,-84,-80,-83,-200,-200,-200,-79,-85,-91,-91,-80,-88,-200,-200,-200,-200,-200,-87,-94,-87,-200,-200,-200,-83,-200,-200,-86,-93,-200,-200,-85,-200,-200,-200,-200,-81,-94,-200,-200,-200,-200,-80,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526452429466,-34,-49,-46,-55,-53,-45,-60,-68,-56,-53,-62,-65,-62,-60,-46,-72,-76,-67,-56,-68,-77,-64,-54,-68,-72,-63,-67,-61,-76,-69,-74,-200,-69,-70,-200,-79,-74,-89,-200,-66,-200,-81,-200,-66,-84,-89,-81,-87,-200,-81,-200,-200,-200,-82,-73,-77,-80,-84,-87,-85,-200,-84,-200,-78,-85,-92,-200,-80,-89,-200,-87,-87,-200,-200,-87,-95,-87,-200,-200,-200,-83,-200,-200,-86,-200,-200,-83,-85,-200,-200,-200,-200,-81,-94,-94,-200,-200,-200,-80,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526452432515,-32,-50,-53,-51,-60,-48,-61,-68,-56,-53,-61,-68,-64,-58,-64,-74,-75,-61,-59,-68,-77,-61,-57,-68,-68,-65,-68,-62,-76,-71,-73,-200,-68,-68,-80,-82,-75,-89,-200,-73,-82,-81,-200,-66,-83,-89,-81,-87,-85,-81,-200,-200,-200,-82,-73,-74,-80,-84,-87,-83,-88,-86,-88,-80,-85,-92,-200,-80,-89,-200,-88,-87,-200,-200,-200,-95,-200,-200,-200,-83,-83,-200,-200,-86,-200,-200,-84,-87,-200,-200,-200,-200,-81,-96,-94,-200,-200,-93,-80,-84,-200,-200,-93,-89,-95,-200,-200,-200
1526452435566,-32,-49,-48,-49,-59,-46,-60,-68,-51,-53,-60,-65,-59,-58,-64,-74,-75,-59,-55,-69,-77,-64,-51,-67,-67,-64,-67,-64,-76,-73,-73,-200,-68,-74,-80,-79,-73,-88,-200,-72,-82,-81,-84,-66,-83,-89,-80,-87,-85,-81,-200,-200,-200,-82,-73,-76,-78,-84,-87,-82,-88,-86,-88,-78,-85,-92,-200,-80,-90,-90,-86,-87,-91,-200,-200,-93,-200,-200,-200,-83,-84,-200,-200,-86,-95,-200,-84,-86,-200,-92,-93,-200,-81,-96,-96,-200,-200,-90,-200,-84,-200,-200,-200,-89,-95,-200,-200,-200
1526452438619,-33,-50,-45,-50,-58,-49,-59,-67,-56,-53,-60,-65,-64,-59,-63,-71,-78,-66,-55,-69,-76,-64,-51,-68,-67,-63,-68,-62,-76,-73,-71,-200,-69,-70,-80,-83,-75,-88,-200,-75,-82,-81,-83,-65,-83,-89,-81,-200,-85,-82,-200,-84,-200,-80,-73,-76,-78,-84,-80,-82,-90,-86,-88,-78,-85,-200,-200,-79,-90,-90,-89,-200,-91,-200,-82,-93,-200,-200,-200,-83,-84,-200,-200,-87,-95,-200,-92,-86,-200,-92,-93,-200,-78,-95,-96,-200,-200,-92,-200,-84,-200,-200,-200,-89,-95,-99,-200,-200
1526452441673,-32,-50,-47,-54,-59,-44,-59,-67,-55,-53,-60,-65,-62,-53,-57,-72,-77,-60,-56,-68,-79,-65,-54,-68,-71,-64,-68,-62,-75,-73,-72,-200,-68,-69,-200,-83,-75,-88,-200,-72,-200,-80,-83,-66,-83,-90,-81,-87,-200,-81,-200,-84,-200,-82,-200,-76,-82,-83,-87,-82,-90,-200,-200,-80,-86,-200,-96,-80,-89,-90,-89,-89,-91,-200,-82,-93,-200,-200,-200,-83,-82,-200,-200,-86,-95,-200,-92,-86,-200,-92,-93,-200,-80,-95,-96,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-99,-200,-200
1526452444728,-33,-50,-47,-54,-55,-48,-59,-67,-51,-53,-63,-65,-60,-59,-64,-72,-77,-66,-57,-69,-77,-61,-56,-68,-72,-63,-66,-62,-75,-74,-71,-200,-69,-68,-200,-83,-75,-200,-200,-73,-82,-80,-83,-66,-84,-89,-81,-87,-200,-81,-200,-84,-200,-82,-200,-81,-79,-84,-87,-86,-93,-84,-200,-80,-86,-92,-97,-80,-93,-90,-88,-89,-200,-200,-82,-94,-200,-200,-200,-83,-83,-200,-200,-86,-200,-200,-91,-85,-200,-200,-200,-200,-80,-95,-200,-200,-200,-92,-78,-200,-200,-200,-200,-200,-200,-99,-200,-200
1526452447776,-31,-51,-46,-51,-58,-42,-59,-68,-50,-53,-61,-68,-63,-59,-64,-67,-82,-59,-61,-68,-79,-61,-52,-67,-67,-64,-66,-62,-75,-71,-75,-200,-69,-71,-200,-200,-74,-200,-200,-75,-82,-81,-83,-66,-83,-90,-81,-87,-86,-79,-200,-200,-200,-82,-200,-81,-79,-84,-87,-86,-92,-84,-200,-80,-85,-90,-97,-79,-90,-200,-88,-89,-200,-200,-83,-93,-88,-200,-200,-81,-83,-200,-200,-86,-200,-200,-91,-86,-200,-200,-89,-200,-81,-200,-200,-200,-200,-92,-78,-200,-200,-90,-200,-200,-200,-200,-200,-200
1526452450820,-31,-48,-48,-51,-57,-44,-58,-67,-52,-53,-58,-56,-62,-59,-64,-70,-75,-65,-55,-68,-78,-63,-55,-66,-67,-65,-68,-62,-200,-72,-75,-200,-69,-71,-200,-200,-74,-90,-200,-75,-82,-81,-75,-67,-84,-89,-200,-200,-86,-77,-200,-85,-200,-82,-73,-82,-79,-83,-86,-86,-91,-84,-200,-80,-86,-90,-91,-79,-89,-93,-88,-200,-200,-200,-83,-95,-88,-200,-200,-81,-83,-200,-200,-86,-94,-200,-84,-87,-95,-94,-89,-200,-81,-200,-200,-200,-200,-88,-78,-200,-200,-90,-200,-200,-200,-200,-96,-200
1526452453870,-32,-49,-47,-54,-59,-44,-60,-66,-56,-53,-63,-64,-62,-60,-58,-71,-77,-61,-56,-67,-76,-58,-55,-66,-67,-64,-67,-62,-200,-71,-71,-200,-69,-70,-200,-200,-74,-88,-200,-74,-82,-81,-75,-67,-83,-89,-81,-200,-86,-80,-200,-81,-200,-82,-74,-79,-200,-84,-80,-82,-91,-200,-200,-77,-87,-90,-95,-79,-93,-91,-87,-200,-200,-200,-83,-95,-74,-200,-95,-79,-200,-200,-200,-86,-97,-200,-84,-86,-95,-94,-100,-200,-84,-95,-200,-200,-200,-88,-78,-200,-200,-90,-200,-200,-200,-200,-96,-200
1526452456920,-31,-50,-46,-53,-58,-44,-60,-68,-52,-53,-63,-64,-62,-60,-61,-65,-72,-59,-55,-68,-76,-64,-54,-68,-72,-65,-67,-62,-200,-75,-70,-200,-69,-65,-81,-200,-74,-89,-200,-74,-82,-81,-81,-66,-83,-88,-81,-200,-88,-79,-200,-81,-200,-81,-70,-79,-78,-84,-80,-82,-91,-200,-200,-80,-85,-92,-95,-79,-90,-91,-87,-200,-200,-200,-200,-95,-74,-200,-95,-82,-200,-200,-200,-86,-94,-200,-90,-86,-95,-94,-100,-200,-80,-94,-200,-200,-200,-88,-78,-200,-200,-200,-200,-200,-200,-200,-96,-77
1526452459976,-33,-49,-52,-51,-59,-49,-62,-68,-51,-53,-62,-65,-62,-55,-62,-71,-78,-66,-55,-67,-77,-63,-53,-67,-72,-64,-64,-62,-200,-73,-71,-200,-68,-70,-81,-200,-75,-89,-200,-74,-82,-81,-81,-67,-83,-88,-81,-200,-87,-80,-200,-81,-200,-82,-74,-79,-78,-83,-80,-84,-200,-200,-200,-78,-86,-92,-95,-79,-90,-91,-87,-200,-200,-200,-200,-94,-74,-200,-95,-80,-200,-200,-200,-87,-97,-200,-84,-87,-200,-200,-100,-200,-81,-94,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-77
