,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526452856077,-47,-43,-32,-59,-58,-57,-60,-55,-73,-73,-68,-64,-55,-51,-59,-62,-59,-75,-66,-66,-53,-67,-71,-69,-68,-76,-74,-81,-59,-68,-93,-88,-72,-75,-88,-82,-76,-77,-71,-82,-83,-200,-81,-81,-200,-74,-88,-81,-94,-91,-85,-71,-87,-83,-90,-86,-86,-200,-75,-95,-200,-82,-84,-87,-200,-93,-200,-200,-200,-94,-200,-89,-88,-88,-93,-200,-200,-200,-200,-57,-200,-87,-85,-78,-83,-96,-200,-200,-78,-200,-200,-86,-200,-200,-200,-94,-77,-200,-200
1526452859121,-47,-41,-33,-58,-58,-52,-60,-55,-70,-70,-70,-64,-55,-52,-60,-61,-57,-73,-67,-63,-54,-70,-68,-69,-68,-76,-72,-80,-59,-74,-93,-88,-73,-75,-85,-82,-76,-74,-70,-82,-85,-81,-80,-81,-200,-73,-200,-82,-94,-90,-85,-71,-88,-83,-93,-85,-86,-84,-75,-95,-200,-82,-84,-87,-200,-90,-88,-200,-200,-95,-200,-89,-88,-89,-93,-200,-94,-200,-200,-72,-200,-87,-86,-78,-83,-96,-200,-200,-78,-200,-96,-200,-200,-200,-200,-200,-77,-96,-200
1526452862178,-47,-44,-32,-57,-58,-54,-61,-55,-71,-69,-68,-63,-55,-53,-59,-62,-59,-73,-66,-63,-53,-66,-64,-74,-72,-78,-77,-81,-63,-70,-95,-88,-73,-77,-85,-82,-76,-76,-71,-80,-85,-79,-80,-81,-200,-75,-88,-83,-93,-90,-92,-71,-88,-87,-91,-85,-85,-82,-83,-95,-200,-82,-84,-87,-200,-91,-88,-200,-200,-95,-200,-92,-88,-87,-91,-200,-94,-200,-200,-61,-200,-85,-83,-83,-83,-93,-200,-200,-80,-200,-96,-200,-200,-200,-200,-200,-200,-96,-96
1526452865222,-46,-46,-38,-56,-58,-52,-63,-55,-70,-69,-69,-72,-55,-51,-61,-65,-54,-74,-66,-65,-53,-67,-65,-74,-69,-79,-73,-81,-62,-73,-94,-88,-73,-74,-85,-84,-76,-74,-69,-80,-85,-79,-83,-82,-200,-75,-89,-81,-93,-93,-92,-71,-87,-87,-91,-85,-82,-84,-83,-94,-200,-81,-200,-87,-200,-91,-88,-200,-200,-95,-200,-90,-200,-89,-91,-200,-94,-200,-200,-73,-200,-85,-83,-84,-83,-93,-200,-200,-79,-200,-96,-200,-200,-77,-200,-200,-200,-96,-96
1526452868267,-45,-46,-38,-63,-58,-55,-63,-55,-71,-68,-69,-71,-55,-55,-56,-65,-52,-74,-68,-65,-52,-68,-67,-75,-69,-77,-84,-81,-63,-65,-93,-89,-73,-76,-85,-84,-76,-74,-70,-80,-84,-79,-81,-83,-200,-74,-88,-83,-94,-93,-92,-71,-88,-88,-91,-86,-82,-84,-74,-94,-200,-82,-200,-88,-200,-93,-93,-200,-200,-200,-200,-90,-200,-87,-91,-200,-200,-200,-200,-58,-200,-85,-83,-84,-84,-93,-200,-200,-85,-200,-200,-200,-200,-77,-200,-200,-200,-200,-96
1526452871315,-46,-43,-38,-63,-58,-53,-61,-55,-69,-70,-69,-65,-55,-51,-60,-61,-59,-73,-68,-63,-52,-68,-64,-68,-73,-77,-82,-80,-62,-68,-97,-89,-73,-69,-85,-84,-76,-74,-71,-200,-85,-200,-80,-83,-200,-74,-88,-81,-92,-93,-200,-71,-88,-88,-200,-86,-82,-84,-84,-95,-200,-82,-200,-88,-200,-93,-93,-200,-200,-200,-200,-89,-200,-87,-200,-200,-200,-200,-200,-73,-200,-85,-200,-84,-84,-92,-200,-200,-85,-200,-200,-200,-200,-75,-200,-200,-82,-200,-96
1526452874358,-46,-47,-35,-57,-59,-53,-60,-55,-71,-70,-69,-64,-55,-53,-59,-59,-57,-67,-64,-66,-53,-70,-68,-68,-73,-77,-75,-81,-61,-74,-97,-88,-73,-74,-84,-200,-76,-78,-71,-200,-85,-200,-80,-82,-200,-73,-87,-83,-93,-91,-200,-70,-88,-87,-200,-86,-200,-83,-84,-95,-200,-82,-84,-88,-200,-92,-93,-200,-200,-200,-200,-88,-200,-88,-200,-200,-200,-200,-200,-59,-77,-85,-84,-85,-84,-94,-200,-200,-85,-91,-200,-200,-94,-75,-200,-200,-82,-200,-96
1526452877404,-46,-48,-39,-58,-57,-54,-62,-55,-70,-69,-66,-64,-55,-51,-60,-61,-59,-63,-65,-66,-53,-68,-70,-74,-73,-78,-72,-81,-61,-75,-95,-88,-73,-74,-84,-200,-76,-76,-71,-200,-81,-79,-84,-83,-200,-75,-86,-82,-94,-91,-200,-72,-87,-88,-92,-86,-85,-83,-84,-94,-200,-82,-84,-87,-200,-90,-93,-200,-200,-200,-200,-89,-95,-92,-200,-200,-200,-96,-200,-60,-77,-85,-87,-84,-84,-96,-200,-200,-82,-91,-200,-200,-94,-75,-200,-200,-82,-200,-96
1526452880451,-47,-47,-33,-57,-57,-54,-59,-55,-71,-69,-68,-64,-55,-51,-59,-62,-57,-70,-66,-67,-53,-71,-67,-74,-71,-78,-73,-80,-60,-73,-91,-88,-73,-75,-86,-82,-76,-74,-70,-79,-86,-79,-82,-81,-82,-74,-88,-81,-94,-91,-200,-76,-88,-89,-92,-86,-85,-83,-200,-92,-200,-83,-83,-87,-200,-91,-93,-200,-200,-200,-200,-89,-95,-92,-200,-200,-200,-95,-200,-60,-77,-87,-84,-84,-84,-94,-200,-200,-80,-91,-200,-200,-92,-200,-200,-200,-77,-200,-200
1526452883501,-47,-43,-38,-57,-58,-53,-61,-55,-70,-70,-71,-64,-55,-52,-59,-60,-59,-73,-64,-64,-51,-66,-65,-74,-71,-78,-79,-80,-62,-73,-95,-87,-73,-74,-78,-82,-77,-77,-69,-79,-86,-79,-82,-83,-82,-73,-88,-81,-93,-200,-200,-71,-88,-89,-90,-86,-85,-83,-200,-94,-200,-82,-82,-88,-200,-91,-200,-200,-200,-97,-200,-89,-95,-90,-200,-200,-200,-95,-200,-74,-200,-87,-84,-83,-84,-94,-200,-200,-80,-200,-200,-200,-92,-76,-200,-200,-78,-200,-200
1526452886549,-46,-47,-33,-62,-58,-55,-57,-55,-71,-69,-68,-64,-55,-55,-59,-62,-59,-74,-65,-64,-51,-65,-67,-75,-70,-78,-79,-81,-62,-73,-93,-87,-73,-74,-83,-79,-77,-74,-70,-80,-84,-81,-84,-83,-82,-74,-86,-83,-96,-200,-200,-72,-88,-91,-90,-86,-85,-83,-200,-94,-88,-82,-82,-87,-200,-90,-200,-200,-93,-97,-200,-90,-200,-88,-200,-200,-200,-95,-200,-73,-77,-87,-85,-83,-84,-94,-200,-200,-77,-200,-200,-200,-92,-76,-200,-200,-78,-200,-200
1526452889604,-47,-44,-33,-59,-57,-52,-61,-55,-71,-70,-68,-65,-55,-51,-59,-63,-60,-74,-65,-64,-53,-66,-65,-69,-70,-77,-72,-81,-60,-200,-92,-91,-72,-74,-84,-79,-76,-76,-70,-82,-82,-81,-85,-82,-200,-75,-86,-83,-92,-200,-200,-71,-87,-87,-90,-86,-85,-82,-85,-95,-88,-82,-82,-87,-200,-92,-200,-200,-93,-97,-200,-89,-200,-87,-200,-200,-200,-200,-200,-59,-77,-87,-85,-86,-83,-94,-200,-200,-80,-200,-200,-200,-200,-76,-200,-200,-77,-200,-200
