,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,DLINK_D02A10,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A68,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526451584363,-57,-19,-51,-57,-61,-41,-48,-65,-61,-68,-53,-59,-63,-79,-53,-63,-74,-200,-66,-73,-52,-64,-63,-85,-54,-60,-63,-74,-83,-76,-65,-77,-76,-70,-74,-84,-89,-71,-77,-84,-79,-69,-67,-92,-72,-87,-80,-75,-88,-80,-78,-91,-200,-200,-82,-75,-84,-88,-86,-78,-87,-200,-89,-200,-200,-200,-200,-94,-97,-86,-200,-200,-200,-200,-200,-200,-200,-200,-91,-98,-94,-84,-71,-85,-78,-92,-92,-200,-200,-200,-83,-90,-96,-76,-96,-91,-82,-200,-88,-96,-200,-97,-83,-98,-86,-200,-200,-200
1526451587416,-59,-20,-51,-56,-49,-37,-49,-59,-59,-68,-49,-59,-63,-76,-54,-62,-71,-200,-50,-74,-50,-65,-62,-85,-56,-59,-65,-78,-85,-75,-70,-77,-76,-74,-72,-200,-88,-71,-76,-84,-77,-68,-71,-89,-69,-88,-79,-71,-88,-85,-79,-91,-200,-200,-82,-73,-75,-87,-86,-79,-87,-200,-89,-200,-200,-200,-200,-94,-95,-86,-200,-200,-200,-200,-95,-200,-200,-94,-88,-200,-94,-84,-71,-85,-78,-91,-92,-200,-200,-200,-83,-91,-96,-77,-96,-94,-82,-200,-88,-96,-200,-200,-87,-200,-86,-200,-200,-200
1526451590470,-57,-19,-52,-60,-62,-38,-47,-64,-59,-69,-56,-59,-68,-79,-56,-63,-74,-200,-69,-73,-53,-67,-65,-85,-55,-59,-61,-75,-85,-74,-66,-75,-76,-70,-73,-200,-92,-70,-77,-87,-76,-71,-73,-90,-74,-88,-81,-72,-89,-82,-78,-90,-200,-200,-82,-76,-72,-87,-87,-78,-87,-200,-89,-200,-80,-200,-200,-95,-95,-93,-200,-200,-200,-200,-95,-200,-200,-94,-90,-200,-94,-84,-70,-85,-85,-91,-90,-97,-200,-200,-81,-91,-97,-77,-96,-94,-200,-200,-88,-96,-200,-200,-87,-200,-86,-97,-200,-200
1526451593532,-58,-20,-51,-56,-57,-42,-49,-59,-62,-69,-54,-59,-62,-78,-56,-63,-71,-78,-65,-74,-53,-65,-63,-85,-53,-66,-64,-77,-84,-79,-65,-76,-81,-69,-73,-87,-89,-73,-77,-87,-76,-60,-72,-88,-70,-87,-81,-72,-89,-83,-79,-89,-200,-85,-80,-74,-83,-87,-86,-78,-82,-200,-90,-200,-80,-200,-200,-95,-95,-92,-200,-200,-200,-200,-95,-93,-200,-93,-90,-200,-92,-84,-70,-85,-85,-91,-91,-96,-200,-97,-88,-95,-96,-77,-96,-94,-79,-200,-200,-200,-200,-200,-87,-200,-200,-97,-200,-200
1526451596579,-59,-19,-50,-59,-47,-37,-48,-56,-64,-70,-56,-59,-63,-77,-57,-64,-74,-78,-67,-70,-55,-64,-63,-84,-52,-68,-64,-74,-83,-77,-68,-77,-75,-69,-72,-87,-86,-68,-77,-85,-76,-71,-72,-88,-74,-89,-81,-72,-91,-80,-78,-89,-73,-85,-82,-74,-74,-90,-86,-78,-87,-200,-90,-200,-80,-200,-200,-95,-95,-92,-200,-200,-200,-200,-200,-93,-200,-93,-89,-200,-94,-84,-69,-85,-85,-91,-91,-96,-200,-97,-83,-89,-96,-80,-200,-200,-79,-200,-200,-200,-200,-200,-88,-200,-200,-97,-200,-200
1526451599632,-55,-19,-50,-55,-57,-37,-46,-63,-65,-70,-55,-59,-64,-78,-54,-65,-73,-80,-62,-73,-54,-67,-63,-84,-54,-60,-59,-72,-84,-78,-65,-76,-82,-71,-73,-87,-87,-68,-76,-89,-76,-67,-72,-89,-70,-88,-81,-72,-90,-85,-79,-91,-73,-85,-82,-76,-82,-87,-86,-78,-87,-200,-89,-84,-200,-200,-200,-95,-200,-91,-200,-200,-200,-200,-200,-93,-200,-93,-89,-96,-93,-200,-72,-85,-200,-91,-91,-96,-200,-97,-83,-89,-96,-78,-200,-200,-81,-87,-88,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526451602685,-57,-20,-52,-54,-62,-42,-47,-59,-54,-74,-56,-59,-66,-78,-55,-64,-68,-80,-62,-73,-54,-67,-65,-84,-55,-59,-64,-71,-84,-77,-66,-75,-73,-63,-73,-200,-86,-71,-77,-83,-77,-68,-72,-93,-73,-88,-74,-73,-91,-85,-76,-90,-73,-85,-80,-77,-82,-87,-86,-79,-85,-200,-88,-84,-200,-200,-200,-93,-95,-91,-200,-200,-200,-200,-200,-200,-200,-200,-93,-96,-93,-85,-68,-84,-200,-91,-91,-200,-200,-200,-83,-87,-200,-78,-200,-93,-81,-87,-88,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526451605738,-59,-19,-54,-61,-57,-38,-47,-63,-67,-66,-52,-56,-66,-78,-55,-64,-74,-83,-67,-75,-54,-67,-63,-200,-53,-70,-63,-74,-84,-74,-66,-78,-73,-68,-72,-200,-88,-76,-79,-83,-77,-69,-71,-90,-75,-88,-78,-73,-91,-85,-79,-90,-80,-85,-80,-77,-82,-87,-86,-78,-87,-200,-88,-83,-200,-200,-200,-94,-95,-91,-200,-200,-200,-200,-200,-96,-200,-94,-93,-95,-93,-72,-68,-84,-83,-91,-93,-96,-200,-200,-80,-92,-200,-78,-200,-93,-81,-87,-88,-200,-200,-200,-200,-200,-200,-200,-96,-200
1526451608792,-60,-20,-55,-59,-59,-38,-46,-59,-62,-66,-54,-59,-68,-79,-53,-62,-72,-83,-67,-73,-54,-68,-65,-200,-55,-67,-65,-73,-86,-76,-63,-77,-76,-68,-73,-200,-88,-71,-78,-83,-77,-71,-70,-90,-71,-88,-80,-73,-91,-200,-80,-83,-80,-85,-82,-77,-84,-88,-87,-79,-89,-200,-88,-83,-83,-200,-200,-94,-95,-200,-200,-200,-200,-200,-200,-96,-200,-94,-93,-95,-93,-72,-69,-84,-85,-92,-91,-96,-200,-200,-80,-91,-200,-77,-200,-93,-82,-86,-200,-200,-200,-200,-200,-200,-85,-200,-96,-200
1526451611839,-60,-19,-55,-55,-57,-37,-48,-57,-62,-66,-53,-59,-62,-78,-54,-64,-72,-83,-64,-74,-53,-67,-62,-200,-58,-67,-65,-78,-86,-76,-67,-77,-76,-71,-72,-200,-88,-74,-77,-84,-80,-70,-69,-93,-70,-88,-80,-70,-91,-200,-80,-94,-75,-85,-81,-76,-75,-88,-85,-78,-87,-200,-90,-83,-83,-200,-200,-96,-95,-91,-200,-200,-200,-200,-200,-96,-200,-92,-90,-95,-93,-89,-70,-200,-85,-89,-91,-96,-96,-200,-80,-91,-200,-77,-200,-93,-82,-86,-200,-200,-200,-200,-200,-200,-85,-200,-98,-96
