,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526451798077,-33,-38,-46,-50,-58,-47,-60,-54,-66,-48,-60,-56,-73,-63,-67,-63,-52,-60,-79,-51,-68,-70,-58,-46,-56,-76,-59,-69,-69,-81,-200,-76,-69,-79,-67,-200,-76,-79,-74,-200,-70,-200,-77,-69,-79,-68,-82,-80,-80,-76,-86,-79,-81,-81,-82,-79,-88,-200,-86,-200,-59,-90,-89,-200,-88,-200,-80,-78,-86,-89,-84,-83,-87,-78,-80,-85,-85,-95,-94,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-75,-72,-73,-200,-92,-93,-200,-83,-85,-86,-200,-200,-200,-95,-200,-96,-200,-98,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526451801120,-34,-37,-48,-49,-61,-46,-56,-52,-64,-46,-58,-61,-67,-63,-65,-64,-54,-60,-80,-52,-68,-70,-58,-43,-64,-73,-58,-69,-60,-80,-200,-77,-65,-80,-68,-200,-76,-79,-79,-200,-71,-200,-77,-69,-79,-70,-86,-79,-81,-82,-89,-80,-80,-200,-200,-77,-88,-200,-81,-200,-76,-89,-91,-200,-88,-200,-78,-79,-87,-89,-85,-83,-88,-83,-77,-86,-85,-96,-91,-92,-91,-97,-200,-200,-200,-200,-200,-200,-75,-75,-74,-76,-76,-88,-92,-200,-83,-85,-81,-200,-200,-200,-200,-200,-96,-88,-98,-92,-200,-97,-87,-94,-200,-200,-200,-200,-200,-200
1526451804175,-37,-35,-47,-48,-58,-50,-57,-52,-64,-50,-63,-58,-68,-63,-65,-65,-52,-60,-77,-52,-73,-70,-57,-44,-62,-73,-60,-69,-68,-81,-200,-76,-70,-80,-69,-200,-200,-79,-79,-60,-71,-89,-76,-66,-79,-68,-86,-79,-81,-76,-86,-78,-81,-200,-200,-79,-88,-200,-83,-200,-76,-89,-86,-200,-88,-97,-79,-79,-87,-89,-84,-83,-89,-78,-78,-83,-85,-93,-91,-91,-89,-97,-200,-200,-200,-200,-200,-200,-75,-76,-72,-76,-76,-79,-96,-200,-83,-87,-87,-200,-200,-200,-200,-200,-200,-88,-200,-92,-200,-200,-87,-94,-200,-200,-200,-200,-200,-200
1526451807235,-32,-35,-47,-50,-60,-51,-58,-55,-65,-50,-60,-60,-67,-64,-64,-64,-55,-58,-79,-51,-66,-67,-57,-46,-64,-74,-57,-68,-68,-81,-200,-76,-67,-79,-68,-200,-77,-76,-79,-60,-71,-91,-77,-74,-79,-68,-84,-78,-74,-78,-87,-78,-81,-83,-200,-78,-88,-200,-84,-200,-67,-90,-86,-200,-200,-97,-80,-79,-86,-88,-84,-83,-87,-83,-75,-84,-84,-93,-87,-91,-91,-97,-200,-200,-200,-200,-200,-200,-74,-79,-75,-74,-76,-89,-96,-83,-83,-87,-87,-200,-200,-200,-200,-200,-200,-88,-200,-92,-96,-200,-87,-94,-91,-200,-200,-200,-200,-200
1526451810294,-34,-34,-46,-49,-52,-53,-60,-59,-63,-50,-59,-59,-65,-64,-65,-64,-55,-59,-78,-53,-67,-71,-58,-42,-65,-74,-59,-68,-74,-79,-200,-77,-75,-80,-70,-200,-77,-76,-76,-75,-71,-91,-82,-70,-79,-70,-87,-72,-80,-74,-85,-78,-82,-83,-200,-78,-200,-87,-84,-200,-59,-86,-86,-200,-200,-97,-77,-77,-85,-88,-84,-85,-87,-78,-78,-84,-84,-93,-87,-91,-90,-200,-200,-200,-200,-200,-200,-200,-74,-75,-69,-74,-78,-89,-96,-83,-85,-87,-87,-200,-200,-200,-200,-200,-200,-89,-200,-200,-96,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526451813348,-34,-37,-47,-50,-52,-53,-60,-55,-67,-48,-59,-62,-69,-63,-65,-63,-54,-56,-78,-48,-73,-69,-58,-46,-64,-74,-60,-68,-67,-80,-200,-75,-66,-79,-70,-200,-77,-73,-76,-75,-71,-91,-81,-70,-79,-68,-84,-81,-81,-74,-86,-79,-73,-92,-200,-79,-200,-87,-82,-200,-77,-88,-200,-200,-200,-200,-80,-80,-87,-90,-83,-86,-86,-79,-78,-84,-84,-94,-87,-90,-89,-200,-200,-200,-200,-200,-97,-200,-75,-75,-71,-74,-76,-91,-92,-83,-83,-85,-200,-200,-200,-200,-200,-200,-200,-89,-200,-94,-96,-200,-200,-200,-94,-94,-200,-200,-200,-200
1526451816407,-37,-35,-47,-47,-52,-52,-58,-60,-67,-46,-73,-61,-68,-62,-65,-63,-52,-57,-77,-50,-74,-70,-60,-43,-65,-76,-60,-72,-74,-79,-200,-76,-73,-79,-69,-200,-72,-76,-76,-75,-71,-86,-81,-70,-80,-69,-82,-80,-82,-80,-87,-75,-83,-92,-200,-73,-200,-87,-81,-200,-63,-85,-89,-87,-91,-200,-82,-77,-88,-90,-83,-83,-85,-81,-76,-88,-92,-94,-200,-92,-90,-200,-200,-200,-200,-200,-97,-200,-75,-76,-72,-200,-79,-91,-92,-83,-83,-87,-200,-200,-200,-200,-200,-200,-200,-89,-200,-95,-200,-200,-85,-200,-95,-95,-91,-200,-200,-200
1526451819465,-39,-38,-47,-47,-54,-51,-57,-56,-67,-50,-62,-61,-67,-63,-62,-64,-55,-58,-77,-50,-69,-70,-60,-45,-65,-74,-62,-71,-74,-79,-200,-79,-71,-79,-69,-200,-74,-76,-200,-77,-71,-86,-76,-70,-80,-69,-82,-80,-80,-78,-85,-77,-82,-92,-200,-78,-200,-200,-82,-200,-63,-88,-89,-87,-91,-200,-81,-77,-86,-90,-85,-85,-89,-79,-76,-88,-88,-94,-200,-91,-90,-200,-200,-200,-200,-200,-97,-200,-75,-76,-71,-78,-77,-91,-92,-200,-81,-87,-200,-200,-95,-200,-92,-95,-200,-87,-200,-93,-200,-200,-85,-200,-95,-95,-91,-91,-200,-200
1526451822523,-34,-36,-46,-45,-56,-51,-56,-59,-68,-48,-72,-61,-68,-61,-65,-63,-55,-58,-78,-50,-69,-69,-62,-44,-59,-75,-59,-69,-74,-81,-200,-76,-71,-79,-69,-200,-76,-76,-74,-77,-71,-88,-79,-69,-80,-70,-82,-78,-80,-78,-85,-80,-84,-200,-84,-77,-200,-200,-81,-200,-63,-85,-90,-87,-91,-200,-79,-77,-86,-90,-82,-86,-89,-81,-72,-88,-88,-200,-200,-93,-88,-200,-200,-200,-200,-200,-200,-200,-73,-75,-73,-78,-78,-200,-200,-200,-81,-87,-200,-200,-95,-200,-92,-95,-200,-87,-200,-93,-200,-200,-85,-200,-95,-95,-91,-91,-200,-200
1526451825577,-36,-36,-46,-49,-56,-54,-57,-54,-69,-47,-72,-63,-66,-61,-67,-63,-56,-56,-78,-52,-64,-72,-59,-46,-62,-74,-60,-69,-69,-77,-200,-79,-68,-78,-65,-200,-76,-200,-74,-77,-71,-87,-79,-66,-78,-70,-83,-76,-80,-76,-86,-79,-83,-200,-84,-79,-200,-200,-82,-200,-200,-88,-90,-200,-200,-200,-79,-79,-87,-90,-83,-86,-91,-72,-77,-87,-88,-95,-95,-92,-91,-200,-200,-200,-200,-200,-200,-200,-73,-75,-71,-78,-78,-85,-200,-200,-81,-200,-88,-200,-95,-200,-92,-95,-200,-87,-200,-93,-200,-200,-200,-200,-93,-94,-200,-91,-200,-200
1526451828638,-33,-39,-46,-50,-49,-49,-59,-53,-71,-49,-71,-63,-63,-65,-65,-65,-57,-59,-77,-51,-69,-69,-59,-45,-62,-74,-60,-69,-76,-77,-200,-74,-66,-80,-68,-77,-81,-200,-62,-79,-71,-87,-76,-71,-80,-69,-86,-80,-80,-79,-86,-80,-81,-200,-84,-74,-200,-200,-84,-200,-200,-88,-90,-200,-88,-200,-79,-81,-86,-94,-82,-86,-88,-78,-76,-87,-86,-95,-92,-92,-88,-200,-200,-200,-96,-200,-200,-200,-68,-75,-73,-84,-78,-85,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-93,-94,-200,-200,-94,-200
1526451831685,-33,-44,-45,-47,-47,-47,-57,-56,-67,-48,-75,-63,-72,-63,-64,-62,-52,-55,-76,-54,-67,-70,-57,-42,-63,-73,-59,-63,-62,-78,-200,-75,-66,-79,-68,-77,-75,-200,-74,-79,-70,-87,-75,-68,-80,-70,-84,-78,-80,-79,-87,-77,-82,-200,-200,-76,-200,-200,-84,-200,-200,-88,-200,-200,-83,-200,-78,-79,-86,-92,-83,-86,-85,-77,-76,-87,-79,-95,-92,-91,-89,-200,-200,-200,-96,-200,-200,-200,-68,-200,-73,-84,-77,-85,-94,-87,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-93,-94,-200,-200,-94,-90
