,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,null,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526446783946,-200,-58,-200,-59,-200,-200,-82,-200,-62,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446784056,-81,-200,-200,-200,-200,-200,-83,-200,-62,-69,-200,-200,-74,-87,-200,-200,-200,-200,-87,-200,-200
1526446784162,-81,-58,-87,-200,-200,-200,-82,-200,-62,-69,-200,-68,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526446788940,-200,-62,-80,-200,-200,-200,-200,-81,-82,-82,-80,-200,-200,-92,-200,-80,-200,-200,-86,-200,-200
1526446789051,-200,-62,-79,-200,-200,-65,-88,-200,-79,-200,-79,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526446789136,-200,-62,-79,-200,-200,-66,-200,-82,-200,-82,-78,-200,-200,-91,-200,-80,-200,-200,-200,-200,-200
1526446789256,-200,-200,-79,-57,-200,-200,-88,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-87,-200,-200
1526446793841,-200,-200,-83,-53,-200,-200,-200,-200,-61,-75,-78,-75,-200,-200,-200,-83,-200,-200,-200,-200,-200
1526446793962,-200,-58,-200,-200,-200,-67,-200,-200,-200,-200,-79,-200,-76,-200,-200,-86,-200,-200,-200,-200,-200
1526446794066,-86,-200,-200,-200,-200,-66,-200,-200,-200,-68,-80,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200
1526446794170,-84,-59,-200,-56,-200,-69,-200,-88,-200,-200,-200,-200,-75,-94,-99,-84,-200,-200,-200,-99,-200
1526446798888,-87,-61,-79,-200,-200,-64,-200,-200,-67,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446798989,-200,-60,-200,-61,-200,-64,-200,-200,-67,-200,-68,-200,-75,-200,-200,-85,-200,-200,-200,-200,-200
1526446799082,-200,-60,-200,-61,-200,-64,-200,-89,-200,-200,-69,-200,-75,-200,-200,-200,-200,-200,-83,-200,-200
1526446799193,-200,-60,-200,-200,-200,-200,-200,-82,-68,-200,-200,-200,-75,-95,-200,-84,-200,-200,-200,-200,-89
1526446803843,-200,-200,-200,-200,-200,-68,-200,-200,-71,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-94
1526446803965,-200,-63,-200,-61,-200,-70,-200,-200,-73,-76,-200,-200,-200,-96,-200,-92,-200,-200,-200,-200,-92
1526446804066,-200,-63,-200,-200,-200,-70,-200,-200,-200,-75,-200,-76,-85,-94,-200,-200,-200,-200,-88,-200,-84
1526446804194,-200,-61,-78,-200,-200,-67,-200,-200,-200,-74,-200,-200,-84,-96,-200,-200,-200,-200,-200,-200,-200
1526446808842,-200,-62,-78,-57,-200,-77,-84,-82,-200,-69,-200,-84,-77,-97,-200,-82,-200,-200,-200,-200,-200
1526446808952,-200,-62,-78,-57,-200,-78,-200,-83,-64,-69,-80,-86,-77,-96,-200,-82,-200,-200,-84,-200,-200
1526446809051,-200,-62,-78,-57,-200,-200,-200,-82,-200,-69,-200,-88,-77,-95,-200,-82,-200,-200,-200,-200,-89
1526446809172,-200,-62,-79,-200,-200,-200,-84,-82,-68,-74,-82,-75,-77,-200,-97,-82,-200,-200,-84,-200,-200
1526446813937,-200,-62,-200,-57,-200,-68,-200,-200,-68,-200,-200,-74,-200,-99,-200,-88,-200,-200,-86,-200,-200
1526446814025,-200,-200,-80,-58,-200,-69,-200,-84,-69,-200,-200,-78,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526446814156,-200,-62,-79,-58,-200,-69,-200,-84,-69,-77,-200,-75,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526446814250,-200,-200,-200,-200,-200,-200,-200,-200,-68,-200,-200,-200,-200,-101,-200,-200,-200,-200,-200,-200,-200
