,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,ez-hr-honglianhu-1,D-Link_DIR-823Pro,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526462390498,-35,-47,-45,-54,-51,-55,-50,-53,-51,-60,-71,-79,-72,-66,-70,-67,-76,-61,-81,-84,-72,-77,-84,-82,-86,-79,-69,-87,-85,-62,-83,-74,-200,-81,-90,-93,-90,-81,-92,-90,-95,-80,-88,-92,-83,-91,-90,-92,-93,-95,-84,-200,-94,-95,-86,-88,-86,-93,-86,-87,-90,-200,-96,-95,-94,-200,-200,-95,-200,-96,-200,-58,-87,-91,-93,-200,-94,-85,-200,-94,-200,-200,-200,-200,-88,-64,-92,-94,-98,-200,-200,-200,-200,-200,-200
1526462393546,-38,-43,-43,-53,-52,-55,-48,-47,-53,-60,-74,-65,-70,-62,-71,-68,-78,-60,-73,-82,-72,-74,-86,-80,-83,-79,-69,-84,-85,-64,-83,-74,-200,-82,-86,-200,-90,-86,-92,-87,-95,-79,-83,-200,-86,-91,-90,-86,-94,-89,-84,-200,-94,-95,-87,-92,-88,-86,-95,-87,-90,-90,-94,-95,-95,-200,-200,-92,-200,-96,-200,-61,-87,-91,-93,-200,-95,-85,-200,-94,-200,-200,-200,-200,-200,-50,-92,-94,-98,-99,-200,-200,-200,-200,-200
1526462396600,-38,-41,-42,-52,-53,-59,-50,-46,-52,-61,-74,-66,-67,-67,-70,-71,-79,-62,-72,-82,-72,-75,-86,-80,-83,-79,-69,-87,-84,-64,-82,-74,-200,-83,-89,-95,-90,-83,-91,-87,-200,-79,-83,-88,-81,-90,-93,-87,-94,-89,-82,-200,-93,-97,-87,-85,-87,-88,-95,-87,-90,-90,-94,-96,-95,-94,-200,-92,-200,-200,-80,-67,-200,-91,-93,-97,-95,-85,-200,-200,-200,-200,-200,-93,-200,-49,-92,-94,-98,-99,-91,-97,-200,-200,-200
1526462399654,-36,-43,-41,-52,-57,-59,-52,-49,-51,-61,-76,-68,-68,-66,-76,-75,-78,-61,-77,-82,-200,-75,-86,-80,-82,-80,-70,-87,-82,-63,-81,-200,-200,-81,-88,-95,-92,-83,-91,-86,-200,-81,-83,-88,-81,-90,-91,-87,-93,-94,-81,-200,-93,-96,-90,-85,-87,-89,-90,-89,-90,-93,-94,-96,-95,-96,-200,-92,-200,-200,-80,-61,-200,-91,-200,-97,-94,-200,-200,-200,-200,-200,-200,-93,-200,-48,-200,-200,-200,-99,-91,-97,-81,-200,-200
1526462402708,-36,-46,-40,-55,-56,-56,-48,-48,-49,-61,-78,-67,-68,-65,-69,-73,-79,-66,-72,-84,-200,-75,-82,-82,-84,-82,-71,-87,-83,-63,-81,-200,-200,-83,-88,-92,-91,-80,-91,-86,-200,-80,-83,-88,-79,-89,-91,-87,-93,-92,-83,-200,-94,-96,-87,-85,-89,-89,-90,-88,-90,-93,-94,-92,-95,-96,-200,-200,-200,-200,-80,-61,-200,-200,-94,-96,-97,-200,-200,-95,-200,-200,-200,-93,-200,-59,-200,-200,-200,-200,-93,-97,-81,-88,-96
1526462405758,-35,-44,-38,-52,-58,-55,-52,-49,-52,-61,-74,-77,-68,-66,-67,-76,-77,-68,-70,-84,-83,-77,-80,-84,-81,-79,-71,-93,-83,-62,-81,-76,-200,-82,-88,-93,-93,-81,-91,-92,-200,-79,-85,-93,-79,-90,-91,-200,-90,-92,-83,-200,-96,-96,-89,-84,-87,-89,-83,-88,-90,-93,-95,-92,-200,-91,-200,-200,-200,-200,-200,-62,-200,-200,-94,-96,-96,-87,-200,-96,-200,-200,-200,-93,-200,-67,-200,-200,-200,-200,-93,-97,-81,-88,-96
1526462408809,-35,-40,-41,-51,-57,-55,-50,-47,-53,-62,-74,-64,-67,-65,-68,-69,-79,-64,-69,-87,-83,-77,-85,-81,-83,-79,-69,-89,-83,-62,-81,-76,-200,-84,-88,-93,-92,-81,-200,-89,-200,-80,-81,-93,-80,-91,-91,-96,-93,-95,-82,-200,-96,-200,-91,-84,-85,-91,-85,-89,-90,-200,-94,-94,-96,-93,-200,-200,-200,-200,-200,-61,-95,-200,-94,-96,-94,-87,-200,-96,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-93,-96,-80,-88,-96
1526462411864,-34,-45,-39,-54,-67,-55,-50,-46,-52,-61,-79,-67,-68,-66,-62,-70,-78,-63,-75,-91,-83,-75,-83,-85,-83,-79,-70,-90,-84,-60,-83,-76,-200,-82,-89,-92,-92,-83,-92,-92,-200,-80,-83,-93,-80,-86,-89,-96,-91,-95,-85,-200,-96,-200,-87,-83,-85,-89,-86,-91,-90,-200,-94,-95,-95,-93,-200,-92,-200,-200,-200,-61,-89,-200,-94,-97,-94,-87,-200,-96,-200,-200,-200,-200,-200,-50,-200,-200,-200,-200,-200,-96,-81,-200,-200
1526462414911,-38,-41,-39,-51,-52,-57,-51,-52,-52,-63,-77,-77,-66,-66,-66,-69,-76,-61,-69,-91,-200,-78,-87,-82,-83,-79,-70,-90,-81,-62,-84,-76,-200,-84,-90,-92,-92,-86,-91,-88,-200,-80,-87,-92,-80,-87,-89,-91,-90,-94,-84,-200,-200,-200,-89,-82,-85,-92,-86,-90,-91,-89,-94,-96,-93,-93,-200,-92,-200,-200,-200,-59,-89,-200,-95,-92,-95,-200,-200,-98,-200,-95,-200,-200,-200,-50,-200,-200,-200,-200,-200,-96,-82,-200,-200
1526462417959,-35,-38,-41,-51,-56,-55,-49,-49,-54,-65,-77,-77,-68,-64,-74,-66,-76,-61,-78,-91,-200,-78,-87,-82,-74,-77,-73,-90,-78,-63,-85,-73,-200,-83,-90,-92,-91,-86,-90,-88,-94,-81,-83,-93,-83,-87,-89,-91,-88,-94,-86,-200,-200,-200,-91,-82,-86,-94,-84,-91,-86,-89,-92,-97,-95,-200,-200,-92,-200,-96,-200,-58,-89,-97,-95,-92,-93,-200,-200,-98,-200,-95,-200,-200,-200,-50,-200,-200,-200,-200,-200,-96,-88,-200,-200
1526462421005,-35,-45,-40,-55,-52,-56,-49,-45,-51,-61,-74,-69,-70,-67,-70,-73,-76,-60,-70,-85,-200,-77,-85,-81,-84,-80,-69,-90,-81,-64,-85,-73,-200,-83,-87,-92,-92,-86,-90,-92,-94,-80,-83,-91,-80,-87,-93,-89,-92,-94,-84,-200,-200,-200,-88,-84,-87,-94,-84,-94,-92,-90,-96,-97,-94,-200,-200,-200,-200,-96,-79,-60,-88,-91,-93,-95,-94,-200,-95,-94,-200,-95,-200,-95,-200,-68,-200,-200,-200,-200,-91,-96,-80,-200,-200
1526462424053,-35,-44,-39,-54,-53,-56,-49,-45,-52,-61,-76,-68,-66,-64,-63,-72,-77,-60,-73,-83,-200,-76,-87,-84,-83,-79,-71,-88,-81,-63,-83,-73,-200,-83,-86,-200,-92,-87,-87,-92,-93,-78,-84,-91,-82,-200,-91,-89,-93,-200,-84,-200,-200,-200,-89,-84,-84,-94,-84,-92,-94,-91,-96,-97,-94,-200,-200,-96,-200,-96,-78,-59,-88,-91,-93,-96,-94,-200,-95,-94,-200,-200,-200,-95,-200,-68,-200,-200,-200,-200,-91,-200,-81,-200,-200
