,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526449608834,-200,-200,-200,-200,-200,-200,-79,-200,-85,-200,-200,-200,-200,-200
1526449608952,-75,-200,-200,-200,-200,-75,-79,-83,-87,-200,-65,-200,-200,-200
1526449613498,-66,-200,-65,-200,-87,-68,-92,-200,-87,-200,-66,-200,-200,-200
1526449613589,-66,-200,-64,-91,-86,-69,-91,-82,-86,-200,-200,-200,-90,-90
1526449613696,-66,-200,-65,-200,-200,-68,-200,-200,-89,-200,-65,-200,-200,-200
1526449613789,-67,-200,-68,-91,-200,-68,-92,-200,-88,-200,-200,-200,-90,-200
1526449618486,-66,-200,-200,-200,-200,-200,-82,-78,-83,-200,-68,-200,-200,-200
1526449618575,-65,-200,-64,-79,-200,-77,-200,-78,-82,-200,-68,-90,-200,-200
1526449618679,-200,-200,-200,-79,-200,-77,-81,-78,-82,-200,-200,-200,-200,-200
1526449618785,-66,-200,-65,-79,-200,-200,-81,-78,-83,-200,-68,-200,-200,-200
1526449623499,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526449623603,-200,-200,-200,-200,-200,-200,-200,-84,-88,-200,-200,-200,-200,-200
1526449623703,-68,-200,-64,-92,-200,-66,-89,-200,-85,-200,-64,-200,-90,-200
1526449623800,-200,-200,-200,-82,-88,-200,-78,-200,-87,-200,-66,-200,-200,-92
1526449628546,-200,-200,-65,-200,-88,-200,-200,-200,-80,-200,-66,-200,-200,-200
1526449628749,-200,-200,-65,-81,-90,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526449628860,-200,-200,-200,-200,-200,-89,-78,-200,-81,-200,-66,-200,-91,-200
1526449633488,-200,-200,-200,-200,-200,-200,-79,-200,-84,-200,-200,-200,-200,-200
1526449633589,-200,-200,-200,-80,-200,-200,-80,-200,-86,-200,-200,-200,-200,-200
1526449633847,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526449633955,-72,-200,-63,-200,-85,-200,-79,-74,-200,-85,-74,-88,-83,-200
1526449638556,-71,-200,-64,-83,-85,-200,-76,-74,-86,-85,-200,-200,-200,-200
1526449638660,-200,-200,-63,-200,-86,-200,-75,-74,-86,-85,-74,-200,-83,-200
1526449638763,-69,-200,-200,-83,-85,-200,-200,-74,-85,-85,-75,-88,-82,-200
1526449638905,-200,-200,-200,-200,-89,-75,-89,-74,-200,-200,-74,-88,-200,-200
1526449643522,-62,-200,-68,-200,-200,-200,-90,-81,-90,-200,-200,-200,-92,-200
1526449643713,-62,-200,-68,-200,-88,-70,-89,-80,-89,-200,-65,-200,-92,-200
1526449643804,-62,-200,-68,-87,-89,-75,-88,-200,-90,-200,-200,-200,-200,-200
1526449648464,-61,-200,-66,-200,-200,-80,-79,-79,-200,-200,-200,-88,-200,-200
1526449648563,-61,-200,-67,-200,-200,-80,-79,-79,-200,-200,-200,-88,-200,-200
1526449648666,-61,-200,-66,-81,-200,-81,-200,-200,-200,-200,-68,-200,-200,-200
1526449648763,-61,-200,-67,-200,-200,-81,-79,-78,-200,-200,-200,-200,-200,-200
1526449648868,-61,-200,-200,-81,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200
