,null,null,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450028849,-200,-85,-200,-67,-200,-82,-200,-84,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526450033471,-200,-86,-200,-63,-200,-77,-200,-200,-200,-200,-200,-91,-200,-89,-200,-200,-83
1526450033562,-200,-86,-200,-200,-200,-77,-69,-76,-200,-200,-200,-89,-200,-200,-94,-200,-82
1526450033683,-200,-200,-200,-63,-200,-78,-69,-76,-200,-200,-200,-90,-200,-89,-94,-200,-82
1526450033773,-200,-200,-102,-200,-200,-78,-69,-76,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526450033879,-200,-85,-200,-64,-200,-78,-69,-200,-200,-200,-200,-200,-200,-200,-93,-200,-83
1526450038562,-200,-86,-200,-64,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-89,-200,-200
1526450038668,-200,-86,-99,-200,-200,-79,-200,-85,-200,-86,-200,-200,-89,-89,-90,-200,-200
1526450038792,-200,-85,-102,-64,-200,-79,-200,-86,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526450043464,-200,-88,-200,-67,-200,-80,-200,-79,-200,-88,-83,-200,-200,-200,-94,-200,-200
1526450043555,-200,-87,-200,-67,-200,-200,-200,-79,-91,-88,-83,-92,-200,-200,-93,-200,-200
1526450043662,-200,-87,-200,-67,-200,-81,-200,-79,-200,-88,-200,-200,-200,-200,-93,-200,-200
1526450043767,-200,-88,-200,-67,-200,-200,-63,-80,-200,-88,-83,-200,-200,-200,-200,-200,-200
1526450043868,-200,-89,-200,-67,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82
1526450048561,-200,-86,-200,-63,-200,-76,-69,-75,-200,-200,-200,-200,-200,-200,-94,-200,-82
1526450048701,-200,-87,-200,-62,-200,-200,-69,-70,-200,-200,-200,-92,-89,-88,-200,-200,-200
1526450048797,-200,-87,-99,-62,-200,-77,-69,-200,-200,-88,-200,-200,-200,-200,-93,-200,-200
1526450048897,-200,-86,-200,-62,-200,-77,-200,-200,-200,-84,-200,-200,-89,-200,-96,-200,-200
1526450053542,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200
1526450053647,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526450053752,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526450053871,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450053979,-200,-89,-200,-200,-200,-200,-200,-200,-200,-85,-85,-200,-200,-200,-200,-200,-200
1526450058481,-200,-88,-200,-66,-200,-200,-64,-80,-200,-85,-200,-200,-200,-200,-200,-200,-200
1526450058584,-200,-89,-200,-66,-200,-81,-64,-200,-200,-85,-85,-200,-200,-200,-200,-200,-200
1526450058688,-200,-89,-200,-66,-200,-200,-64,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526450058866,-103,-89,-200,-200,-200,-77,-64,-81,-200,-200,-85,-200,-200,-200,-200,-200,-200
1526450063479,-200,-86,-200,-65,-200,-77,-73,-85,-200,-84,-89,-200,-200,-200,-200,-200,-200
1526450063951,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450064050,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450064252,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200
1526450064375,-200,-87,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-86,-200,-200
1526450064486,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200
