,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451296029,-42,-46,-35,-44,-46,-42,-59,-54,-55,-50,-56,-59,-65,-61,-49,-60,-47,-65,-47,-67,-59,-59,-61,-67,-67,-200,-75,-69,-200,-200,-63,-66,-74,-69,-200,-200,-76,-79,-76,-77,-79,-85,-200,-83,-200,-80,-87,-200,-91,-80,-75,-78,-84,-74,-70,-66,-68,-200,-200,-200
1526451299044,-41,-46,-35,-44,-46,-42,-59,-54,-55,-50,-56,-59,-65,-61,-49,-60,-47,-65,-47,-67,-59,-59,-61,-67,-67,-200,-75,-69,-200,-200,-63,-66,-74,-69,-200,-200,-76,-79,-76,-77,-79,-85,-200,-83,-200,-80,-87,-200,-91,-80,-75,-78,-84,-74,-70,-66,-68,-200,-200,-200
1526451302062,-40,-40,-31,-47,-45,-55,-60,-54,-54,-46,-56,-59,-65,-61,-50,-59,-47,-66,-46,-68,-59,-59,-63,-67,-67,-58,-75,-69,-200,-200,-63,-69,-76,-67,-200,-200,-71,-76,-76,-75,-79,-200,-200,-83,-200,-81,-87,-200,-91,-200,-75,-78,-82,-74,-70,-66,-66,-87,-200,-200
1526451305080,-43,-36,-33,-47,-48,-43,-57,-54,-47,-46,-56,-55,-200,-61,-50,-59,-45,-68,-43,-69,-52,-59,-61,-200,-200,-56,-78,-69,-200,-200,-63,-69,-76,-67,-200,-200,-71,-76,-77,-75,-78,-200,-200,-83,-200,-81,-87,-200,-91,-200,-200,-78,-83,-74,-70,-66,-66,-87,-200,-200
1526451308101,-43,-36,-33,-47,-48,-43,-57,-54,-47,-46,-56,-55,-200,-61,-50,-59,-45,-68,-43,-69,-52,-59,-61,-200,-200,-56,-78,-69,-200,-200,-63,-69,-76,-67,-200,-200,-71,-76,-77,-75,-78,-200,-200,-83,-200,-81,-87,-200,-91,-200,-200,-78,-83,-74,-70,-66,-66,-87,-200,-200
1526451311122,-42,-34,-33,-48,-50,-43,-61,-54,-47,-46,-55,-60,-200,-62,-51,-59,-47,-67,-48,-70,-51,-59,-61,-200,-200,-54,-78,-69,-200,-64,-60,-72,-76,-67,-200,-200,-78,-79,-74,-79,-78,-200,-200,-82,-200,-83,-87,-200,-91,-200,-200,-78,-83,-74,-70,-66,-66,-85,-51,-200
1526451314132,-42,-34,-33,-48,-50,-43,-61,-54,-47,-46,-55,-60,-200,-62,-51,-59,-47,-67,-48,-70,-51,-59,-61,-200,-200,-54,-78,-69,-200,-64,-60,-72,-76,-67,-200,-200,-78,-79,-74,-79,-78,-200,-200,-82,-200,-83,-87,-200,-91,-200,-200,-78,-83,-74,-200,-66,-66,-85,-51,-200
1526451317149,-42,-34,-31,-48,-50,-42,-57,-55,-47,-46,-56,-60,-200,-62,-49,-61,-47,-67,-48,-69,-51,-59,-57,-200,-65,-54,-78,-69,-200,-64,-59,-72,-76,-67,-200,-200,-78,-79,-78,-78,-82,-200,-200,-82,-200,-82,-87,-200,-91,-200,-200,-78,-83,-71,-200,-66,-66,-85,-51,-76
1526451320161,-40,-34,-31,-48,-50,-42,-57,-55,-47,-46,-56,-60,-200,-62,-49,-61,-47,-67,-48,-69,-51,-200,-57,-200,-65,-54,-78,-69,-200,-64,-59,-72,-76,-67,-200,-200,-78,-79,-78,-78,-82,-200,-200,-82,-200,-82,-87,-200,-200,-200,-200,-78,-83,-71,-200,-200,-66,-85,-51,-76
1526451323175,-40,-31,-34,-48,-50,-39,-58,-55,-47,-51,-53,-60,-200,-63,-49,-61,-47,-67,-47,-68,-51,-200,-58,-200,-65,-53,-78,-69,-200,-64,-59,-71,-76,-68,-200,-200,-78,-79,-75,-77,-80,-200,-200,-81,-200,-82,-86,-200,-91,-200,-200,-73,-83,-71,-70,-200,-66,-87,-51,-76
1526451326189,-39,-31,-34,-48,-50,-39,-58,-55,-47,-51,-53,-60,-200,-63,-49,-61,-47,-67,-47,-68,-51,-200,-58,-200,-65,-53,-78,-69,-200,-64,-59,-71,-76,-68,-200,-200,-78,-79,-75,-77,-80,-200,-200,-81,-200,-82,-86,-200,-91,-200,-200,-73,-83,-71,-70,-200,-66,-87,-51,-76
1526451329207,-39,-31,-34,-48,-50,-50,-58,-56,-54,-51,-58,-60,-200,-64,-49,-61,-47,-67,-46,-69,-51,-200,-58,-200,-65,-53,-71,-69,-200,-64,-59,-71,-200,-69,-200,-200,-78,-82,-71,-77,-78,-200,-200,-85,-200,-82,-86,-200,-91,-200,-200,-73,-83,-71,-70,-200,-200,-87,-51,-76
