,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00ED0,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526450354753,-44,-43,-45,-45,-59,-60,-59,-62,-69,-200,-85,-65,-82,-66,-76,-70,-200,-74,-200,-77,-64,-200,-79,-86,-80,-74,-87,-77,-81,-200,-78,-78,-77,-200,-200,-200,-80,-82,-89,-73,-86,-81,-200,-200,-200,-89,-200,-200,-81,-90,-84,-200,-200,-200,-200,-200,-200,-74,-84,-200,-84,-90,-200,-89,-200,-82,-200,-200,-200,-200,-89,-85,-200,-200,-75,-86,-86,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450357793,-44,-42,-45,-45,-60,-71,-62,-73,-72,-200,-85,-62,-82,-90,-200,-70,-200,-83,-200,-75,-64,-200,-79,-83,-80,-76,-81,-86,-82,-200,-200,-75,-77,-200,-200,-200,-74,-82,-200,-70,-200,-200,-200,-200,-200,-200,-200,-200,-66,-90,-77,-200,-200,-200,-200,-200,-200,-74,-77,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450360844,-44,-43,-44,-44,-59,-72,-66,-65,-72,-200,-66,-64,-82,-65,-200,-70,-76,-83,-200,-81,-65,-200,-73,-78,-77,-76,-81,-81,-85,-200,-76,-78,-84,-200,-200,-200,-74,-82,-86,-70,-200,-76,-200,-200,-200,-200,-82,-200,-67,-90,-87,-200,-200,-200,-200,-200,-200,-74,-77,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-89,-85,-200,-200,-200,-200,-200,-85,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526450363898,-45,-42,-45,-50,-60,-71,-56,-72,-72,-84,-70,-63,-85,-66,-200,-70,-89,-200,-200,-80,-65,-200,-85,-78,-77,-200,-200,-80,-82,-200,-76,-82,-75,-200,-89,-200,-74,-200,-86,-200,-200,-78,-200,-200,-200,-200,-82,-200,-64,-200,-87,-200,-87,-200,-90,-200,-200,-75,-78,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-84,-91,-200,-200,-200,-200,-200,-200,-200
1526450366943,-44,-42,-45,-44,-57,-69,-56,-69,-68,-69,-70,-62,-85,-65,-81,-200,-75,-76,-200,-80,-73,-200,-69,-78,-200,-76,-200,-82,-84,-200,-200,-79,-75,-200,-89,-200,-74,-200,-84,-73,-200,-78,-200,-200,-200,-88,-200,-200,-64,-200,-200,-200,-87,-200,-90,-200,-200,-75,-79,-200,-200,-90,-200,-200,-76,-84,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200,-200,-200
1526450369994,-44,-42,-44,-44,-57,-58,-64,-71,-70,-69,-68,-63,-200,-65,-81,-72,-76,-76,-200,-200,-73,-200,-72,-78,-200,-76,-200,-82,-83,-200,-200,-78,-200,-200,-200,-200,-75,-200,-84,-74,-200,-200,-200,-200,-200,-88,-200,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-84,-200,-90,-200,-200,-71,-84,-200,-200,-200,-200,-88,-86,-200,-200,-200,-86,-200,-200,-200,-200,-88,-74,-89,-200,-200,-200,-200
1526450373008,-42,-42,-47,-41,-60,-69,-50,-59,-65,-69,-82,-65,-200,-69,-81,-74,-74,-76,-200,-200,-71,-200,-72,-79,-200,-76,-83,-82,-78,-200,-200,-77,-200,-200,-200,-200,-75,-84,-84,-75,-88,-200,-200,-200,-200,-88,-200,-90,-70,-200,-200,-200,-200,-200,-200,-200,-73,-200,-79,-84,-200,-90,-200,-200,-71,-84,-200,-200,-200,-88,-88,-86,-200,-200,-200,-86,-200,-200,-200,-82,-88,-74,-89,-200,-200,-200,-200
1526450376058,-44,-42,-47,-41,-59,-70,-50,-58,-59,-200,-82,-76,-88,-69,-77,-71,-74,-200,-200,-200,-69,-200,-76,-79,-200,-77,-83,-70,-78,-200,-76,-79,-81,-84,-200,-82,-200,-84,-91,-67,-88,-200,-200,-200,-200,-200,-200,-90,-64,-90,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-91,-200,-200,-200
1526450379113,-44,-42,-47,-41,-59,-69,-54,-58,-62,-200,-69,-66,-88,-71,-77,-77,-73,-77,-200,-200,-71,-200,-76,-81,-89,-77,-200,-59,-77,-200,-80,-78,-81,-84,-200,-86,-84,-200,-91,-74,-200,-82,-200,-200,-200,-200,-83,-91,-64,-90,-200,-200,-200,-200,-91,-200,-78,-78,-200,-86,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-86,-200,-200
1526450382154,-44,-42,-47,-40,-58,-69,-49,-58,-62,-200,-70,-59,-88,-68,-75,-77,-73,-77,-200,-200,-70,-200,-200,-81,-89,-77,-200,-58,-79,-200,-82,-80,-200,-200,-200,-86,-84,-82,-200,-65,-200,-82,-200,-200,-200,-200,-83,-90,-200,-200,-200,-200,-200,-200,-91,-90,-78,-78,-86,-86,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-91,-200
1526450385217,-45,-43,-47,-41,-58,-69,-49,-59,-63,-200,-69,-59,-88,-66,-75,-74,-68,-74,-200,-200,-71,-200,-74,-81,-89,-77,-200,-74,-79,-200,-82,-79,-76,-200,-200,-82,-84,-84,-200,-76,-200,-82,-200,-200,-200,-200,-83,-90,-200,-200,-90,-200,-200,-200,-89,-90,-78,-78,-84,-86,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-91,-200
1526450388286,-48,-44,-49,-42,-57,-68,-56,-52,-65,-200,-70,-59,-200,-67,-75,-74,-73,-79,-200,-80,-71,-200,-72,-200,-200,-72,-200,-74,-80,-200,-82,-78,-77,-82,-200,-82,-78,-84,-200,-71,-200,-77,-90,-200,-200,-200,-200,-90,-71,-200,-85,-200,-200,-200,-89,-90,-73,-200,-84,-86,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-89
