,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A88,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro
1526450987083,-49,-43,-56,-45,-39,-62,-62,-57,-55,-53,-70,-53,-55,-52,-62,-58,-73,-47,-51,-62,-67,-67,-67,-60,-61,-61,-91,-80,-70,-73,-89,-200,-65,-77,-66,-85,-200,-63,-75,-200,-200,-67,-200,-62,-200,-73,-81,-75,-74,-200,-78,-86,-200,-200,-200,-200,-200,-200,-200,-88,-89,-68,-63,-79,-80,-68,-73,-76,-75,-80,-84,-200,-200,-76,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-80,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450990137,-42,-46,-55,-45,-42,-55,-60,-54,-77,-53,-70,-56,-58,-53,-62,-58,-66,-45,-50,-65,-67,-72,-67,-70,-73,-59,-65,-80,-72,-75,-66,-200,-65,-77,-70,-85,-200,-67,-87,-200,-200,-65,-200,-68,-200,-77,-80,-79,-74,-200,-78,-80,-200,-200,-200,-200,-200,-200,-200,-90,-89,-68,-59,-79,-80,-66,-73,-75,-75,-68,-84,-200,-200,-76,-200,-200,-200,-200,-82,-71,-200,-200,-200,-200,-200,-80,-89,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526450993203,-43,-43,-55,-46,-42,-62,-61,-53,-77,-54,-70,-58,-69,-52,-63,-58,-66,-45,-50,-63,-67,-72,-62,-63,-69,-59,-65,-66,-72,-63,-66,-200,-65,-77,-70,-85,-83,-67,-87,-200,-200,-64,-200,-68,-200,-77,-82,-79,-200,-200,-78,-80,-200,-200,-85,-200,-200,-200,-200,-86,-89,-65,-58,-79,-80,-67,-73,-73,-75,-68,-84,-200,-200,-76,-200,-200,-200,-200,-82,-71,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526450996208,-50,-42,-58,-48,-41,-54,-60,-56,-54,-54,-70,-54,-59,-61,-59,-55,-200,-48,-55,-63,-62,-80,-62,-62,-72,-71,-65,-66,-200,-72,-73,-200,-81,-200,-67,-200,-83,-68,-74,-200,-200,-66,-200,-68,-81,-78,-81,-200,-200,-200,-200,-84,-200,-200,-85,-200,-200,-200,-200,-86,-200,-65,-63,-200,-200,-71,-87,-77,-200,-80,-200,-200,-200,-200,-200,-200,-200,-76,-200,-70,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450999267,-47,-43,-61,-47,-43,-55,-59,-57,-53,-54,-68,-60,-68,-53,-79,-54,-66,-48,-55,-64,-64,-80,-79,-67,-70,-58,-71,-200,-200,-71,-69,-200,-66,-200,-69,-200,-200,-55,-74,-200,-200,-65,-82,-68,-81,-76,-81,-81,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-86,-200,-68,-64,-200,-200,-71,-87,-77,-200,-79,-81,-200,-200,-79,-200,-200,-200,-76,-200,-68,-89,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451002334,-43,-41,-58,-49,-40,-50,-58,-57,-58,-200,-68,-52,-56,-50,-79,-54,-70,-62,-55,-62,-64,-200,-64,-72,-69,-66,-66,-200,-200,-74,-79,-200,-66,-200,-73,-200,-80,-57,-200,-200,-200,-65,-83,-68,-200,-75,-84,-80,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-86,-200,-70,-63,-200,-82,-200,-200,-82,-200,-82,-81,-200,-200,-79,-75,-200,-200,-200,-200,-68,-89,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526451005348,-45,-41,-58,-49,-40,-50,-59,-56,-62,-54,-64,-58,-53,-51,-79,-54,-64,-47,-50,-61,-64,-200,-64,-72,-60,-66,-68,-200,-200,-72,-79,-200,-64,-200,-69,-83,-80,-62,-200,-200,-200,-64,-83,-69,-200,-76,-83,-81,-200,-200,-78,-85,-78,-200,-200,-200,-200,-200,-200,-86,-200,-63,-64,-200,-82,-81,-200,-82,-200,-82,-81,-200,-200,-79,-75,-200,-200,-200,-200,-71,-89,-200,-200,-200,-200,-200,-200,-200,-81,-81,-200,-200,-200,-200,-200,-200
1526451008356,-47,-40,-200,-47,-42,-52,-58,-52,-53,-52,-70,-53,-55,-50,-200,-53,-68,-43,-50,-61,-63,-66,-64,-200,-70,-63,-69,-200,-200,-71,-64,-89,-66,-200,-67,-78,-200,-62,-200,-200,-200,-65,-200,-69,-200,-75,-80,-81,-200,-200,-77,-85,-78,-200,-200,-89,-200,-200,-200,-200,-200,-67,-64,-200,-200,-81,-200,-80,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-73,-78,-79,-200,-200,-200
1526451011422,-33,-47,-200,-45,-38,-51,-52,-54,-53,-52,-60,-68,-55,-55,-200,-53,-65,-59,-58,-200,-63,-66,-64,-59,-62,-64,-87,-200,-200,-73,-66,-89,-56,-200,-64,-78,-200,-57,-200,-200,-200,-67,-200,-62,-200,-73,-68,-71,-200,-200,-77,-76,-200,-200,-200,-89,-200,-84,-200,-200,-89,-68,-59,-76,-200,-70,-200,-74,-200,-83,-87,-200,-200,-82,-82,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-78,-79,-88,-200,-200
1526451014484,-37,-56,-59,-42,-44,-40,-49,-63,-56,-52,-56,-57,-55,-53,-63,-49,-65,-52,-55,-59,-63,-66,-64,-73,-66,-82,-67,-69,-200,-66,-71,-78,-61,-200,-64,-78,-200,-57,-73,-200,-200,-66,-200,-70,-200,-83,-80,-75,-200,-200,-77,-83,-78,-200,-200,-89,-200,-85,-86,-200,-89,-70,-59,-76,-91,-79,-200,-73,-87,-77,-84,-200,-200,-82,-82,-200,-82,-70,-200,-70,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-73,-78,-79,-88,-85,-89
1526451017544,-34,-49,-59,-39,-39,-48,-49,-58,-62,-57,-56,-55,-52,-51,-63,-46,-65,-61,-56,-58,-200,-200,-200,-66,-64,-66,-70,-69,-70,-66,-71,-80,-61,-200,-200,-78,-200,-200,-75,-200,-200,-66,-200,-64,-200,-79,-66,-70,-200,-200,-77,-86,-78,-200,-200,-89,-200,-84,-86,-200,-200,-71,-62,-200,-91,-63,-200,-73,-87,-75,-84,-200,-200,-200,-200,-200,-200,-70,-200,-70,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-89
