,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,DLINK_D02A10,DLINK_D02A98,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526452893624,-38,-20,-56,-49,-52,-56,-63,-52,-66,-51,-52,-58,-82,-59,-60,-66,-64,-74,-200,-82,-55,-74,-83,-70,-66,-58,-80,-68,-73,-58,-87,-62,-85,-200,-72,-77,-77,-200,-66,-200,-74,-200,-83,-90,-84,-200,-200,-200,-87,-90,-86,-200,-89,-89,-67,-200,-200,-75,-200,-67,-200,-83,-200,-87,-200,-88,-84,-200,-89,-74,-79,-200,-200,-200,-200,-200,-200,-200,-200,-90,-86,-80,-86,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452896675,-39,-36,-56,-52,-50,-53,-63,-52,-55,-51,-57,-57,-68,-62,-59,-66,-58,-77,-78,-68,-58,-74,-83,-70,-69,-56,-81,-68,-73,-57,-73,-62,-82,-200,-72,-76,-77,-81,-81,-83,-74,-200,-81,-90,-84,-200,-200,-200,-87,-90,-86,-81,-89,-89,-200,-200,-200,-75,-200,-200,-200,-83,-200,-87,-200,-88,-84,-200,-90,-72,-79,-200,-200,-200,-200,-200,-200,-200,-200,-90,-87,-80,-86,-90,-84,-79,-87,-200,-200,-200,-200,-200,-200
1526452899684,-46,-37,-55,-51,-50,-53,-52,-49,-60,-52,-70,-56,-70,-58,-54,-66,-63,-77,-78,-69,-58,-73,-83,-69,-68,-54,-81,-68,-73,-55,-73,-62,-85,-200,-72,-77,-79,-81,-66,-83,-74,-200,-81,-90,-84,-200,-200,-200,-87,-90,-86,-81,-89,-89,-74,-200,-200,-75,-200,-70,-200,-83,-200,-83,-80,-88,-84,-88,-90,-72,-79,-200,-200,-200,-200,-200,-200,-200,-200,-90,-87,-80,-86,-90,-82,-79,-87,-200,-200,-200,-200,-200,-200
1526452902724,-40,-36,-58,-52,-51,-56,-56,-50,-60,-51,-70,-55,-70,-61,-55,-68,-63,-72,-200,-72,-58,-77,-77,-61,-58,-58,-200,-68,-73,-54,-69,-63,-79,-200,-200,-76,-78,-200,-81,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-81,-200,-200,-67,-200,-200,-200,-83,-80,-200,-200,-88,-200,-200,-200,-200,-200,-200,-80,-200,-86,-200,-200,-81,-200,-200,-200,-200,-82,-200,-200,-86,-200,-200,-200,-200,-200
1526452905782,-38,-37,-57,-51,-52,-57,-52,-51,-200,-51,-61,-59,-70,-82,-53,-66,-63,-72,-70,-71,-54,-77,-77,-64,-68,-57,-200,-68,-75,-54,-73,-63,-79,-200,-200,-76,-79,-200,-81,-200,-200,-200,-82,-78,-200,-200,-200,-200,-83,-83,-200,-200,-200,-200,-200,-68,-81,-200,-200,-67,-79,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-77,-77,-200,-80,-200,-86,-200,-200,-81,-86,-200,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200,-200
1526452908836,-39,-37,-56,-48,-52,-71,-56,-52,-62,-52,-51,-52,-69,-61,-69,-66,-63,-200,-70,-71,-56,-73,-200,-69,-68,-57,-80,-72,-76,-56,-72,-64,-200,-200,-200,-76,-79,-200,-68,-200,-82,-75,-84,-78,-81,-90,-200,-200,-83,-83,-85,-200,-200,-200,-67,-82,-90,-72,-92,-84,-79,-91,-81,-200,-200,-79,-83,-200,-200,-84,-65,-88,-89,-90,-200,-200,-88,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-87,-88,-88,-90,-200,-200
1526452911893,-46,-37,-56,-51,-51,-56,-61,-53,-58,-51,-58,-57,-69,-58,-53,-66,-63,-200,-200,-68,-58,-73,-200,-69,-66,-57,-80,-68,-76,-74,-72,-64,-200,-200,-200,-77,-78,-200,-82,-200,-82,-75,-84,-200,-81,-90,-200,-200,-200,-83,-85,-200,-200,-200,-66,-82,-80,-72,-92,-84,-200,-91,-81,-200,-200,-79,-83,-200,-89,-71,-65,-88,-89,-90,-200,-200,-88,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-87,-200,-88,-90,-90,-200
1526452914963,-47,-34,-55,-51,-51,-54,-57,-50,-62,-52,-50,-54,-69,-59,-53,-66,-55,-81,-200,-68,-59,-73,-78,-69,-66,-58,-80,-68,-76,-57,-72,-62,-200,-200,-200,-77,-77,-79,-56,-200,-68,-75,-81,-200,-81,-90,-200,-200,-200,-83,-85,-200,-200,-200,-66,-82,-80,-72,-92,-72,-200,-91,-81,-200,-200,-79,-83,-200,-89,-71,-72,-88,-89,-90,-200,-200,-88,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-87,-200,-88,-90,-90,-91
1526452918004,-39,-37,-41,-54,-51,-54,-73,-53,-61,-52,-51,-56,-67,-58,-54,-66,-62,-79,-200,-71,-59,-74,-78,-69,-68,-56,-200,-70,-200,-56,-200,-62,-200,-200,-200,-77,-78,-79,-66,-200,-68,-200,-81,-83,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-72,-200,-80,-200,-200,-200,-200,-200,-200,-200,-71,-72,-200,-200,-200,-200,-200,-89,-200,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91
1526452921015,-39,-37,-56,-50,-52,-54,-54,-52,-59,-51,-59,-53,-68,-58,-53,-66,-64,-73,-69,-70,-58,-74,-200,-200,-56,-56,-200,-68,-200,-56,-200,-79,-76,-200,-200,-77,-78,-200,-82,-200,-68,-200,-81,-79,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-67,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-89,-200,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89
1526452924029,-38,-37,-56,-53,-52,-54,-56,-53,-58,-51,-76,-54,-68,-58,-53,-66,-64,-73,-69,-70,-58,-200,-77,-72,-68,-58,-81,-81,-200,-54,-71,-79,-80,-200,-72,-77,-79,-200,-83,-200,-68,-77,-81,-79,-82,-83,-200,-200,-200,-200,-86,-200,-200,-200,-67,-83,-88,-82,-200,-70,-200,-84,-200,-200,-200,-200,-200,-200,-88,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89
1526452927035,-38,-37,-56,-52,-52,-57,-56,-53,-59,-52,-51,-57,-68,-57,-53,-66,-62,-200,-200,-200,-58,-75,-77,-72,-67,-57,-85,-69,-74,-57,-75,-63,-80,-200,-72,-77,-66,-200,-83,-200,-68,-77,-200,-200,-82,-83,-200,-200,-85,-200,-86,-200,-90,-90,-200,-83,-88,-82,-200,-70,-77,-84,-87,-200,-200,-200,-200,-200,-88,-200,-71,-200,-200,-81,-200,-200,-200,-200,-200,-76,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
