,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A98,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A30
1526452686010,-32,-44,-44,-56,-51,-60,-56,-62,-56,-53,-65,-68,-56,-200,-67,-67,-72,-58,-66,-84,-62,-56,-67,-70,-67,-71,-200,-57,-73,-69,-62,-86,-73,-65,-69,-75,-79,-67,-200,-85,-200,-79,-200,-85,-200,-84,-200,-200,-59,-72,-66,-200,-200,-200,-70,-78,-85,-200,-200,-73,-200,-200,-200,-72,-75,-200,-200,-89,-65,-82,-200,-200,-79,-84,-86,-200,-84,-200,-82,-87,-81,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452689074,-31,-44,-43,-56,-84,-59,-56,-62,-56,-52,-63,-59,-56,-71,-67,-67,-72,-58,-59,-84,-79,-56,-67,-71,-67,-71,-200,-59,-88,-69,-62,-75,-73,-65,-69,-74,-79,-85,-200,-85,-200,-88,-200,-85,-200,-56,-84,-200,-56,-72,-66,-200,-200,-200,-70,-78,-85,-200,-200,-73,-200,-200,-200,-68,-71,-200,-200,-89,-80,-82,-200,-200,-79,-84,-86,-200,-84,-200,-82,-87,-81,-85,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452692133,-32,-44,-44,-57,-52,-61,-56,-61,-88,-62,-61,-61,-57,-70,-67,-200,-71,-59,-59,-85,-65,-58,-200,-70,-200,-71,-200,-57,-88,-68,-200,-75,-73,-69,-67,-74,-200,-68,-200,-200,-200,-88,-200,-200,-200,-83,-71,-200,-59,-200,-67,-200,-200,-200,-200,-200,-85,-200,-200,-74,-200,-85,-200,-68,-71,-200,-200,-200,-66,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-82,-85,-86,-200,-200,-200,-200,-200,-200,-200
1526452695185,-31,-44,-44,-56,-52,-62,-56,-62,-60,-55,-59,-61,-57,-71,-68,-200,-67,-62,-65,-85,-65,-55,-76,-70,-67,-70,-69,-58,-88,-68,-200,-85,-73,-65,-67,-74,-200,-84,-200,-200,-200,-88,-200,-85,-200,-85,-71,-200,-56,-53,-59,-200,-200,-200,-75,-200,-85,-200,-200,-74,-200,-85,-200,-73,-71,-200,-200,-200,-65,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-82,-85,-86,-88,-200,-200,-200,-200,-200,-200
1526452698253,-32,-44,-43,-57,-52,-58,-56,-58,-59,-54,-65,-59,-56,-70,-68,-69,-67,-58,-63,-83,-65,-58,-67,-200,-70,-56,-65,-60,-200,-69,-75,-200,-78,-64,-72,-200,-80,-84,-200,-200,-200,-200,-200,-85,-83,-89,-88,-91,-57,-54,-75,-200,-200,-200,-84,-200,-200,-200,-200,-78,-200,-200,-200,-67,-73,-200,-88,-89,-66,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-86,-87,-90,-200,-200,-200
1526452701263,-32,-44,-43,-57,-52,-58,-56,-61,-59,-54,-62,-62,-56,-70,-67,-63,-67,-58,-63,-83,-65,-54,-66,-200,-70,-71,-65,-61,-200,-68,-75,-200,-78,-64,-72,-200,-80,-84,-200,-86,-200,-200,-200,-85,-83,-89,-70,-91,-56,-54,-68,-200,-200,-200,-73,-200,-86,-200,-200,-74,-87,-200,-200,-67,-72,-200,-88,-90,-83,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-86,-200,-88,-86,-87,-90,-200,-200,-200
1526452704313,-34,-44,-44,-57,-52,-56,-56,-60,-59,-77,-61,-62,-56,-70,-67,-69,-75,-62,-66,-81,-65,-59,-64,-200,-70,-71,-68,-61,-76,-56,-62,-200,-79,-64,-72,-200,-80,-83,-200,-86,-200,-200,-200,-85,-83,-84,-71,-91,-58,-59,-68,-200,-78,-200,-73,-81,-86,-200,-200,-74,-88,-200,-200,-67,-72,-200,-88,-90,-63,-78,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-84,-200,-200,-86,-200,-88,-86,-87,-90,-86,-200,-200
1526452707374,-34,-44,-43,-57,-52,-61,-56,-59,-56,-60,-66,-62,-56,-70,-67,-69,-75,-62,-66,-81,-81,-60,-66,-200,-70,-71,-68,-200,-76,-69,-62,-200,-79,-69,-66,-200,-200,-83,-200,-200,-200,-200,-200,-84,-200,-84,-71,-200,-58,-59,-67,-200,-78,-200,-68,-82,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-91,-63,-79,-200,-200,-88,-200,-86,-200,-86,-88,-200,-87,-200,-84,-200,-200,-200,-200,-88,-200,-200,-200,-86,-87,-200
1526452710390,-34,-44,-44,-58,-56,-59,-56,-59,-80,-54,-66,-79,-56,-70,-73,-66,-200,-58,-66,-200,-68,-59,-67,-200,-68,-70,-200,-71,-74,-68,-63,-200,-78,-87,-66,-200,-200,-84,-200,-200,-200,-200,-200,-84,-200,-84,-200,-91,-56,-58,-67,-200,-200,-200,-68,-82,-200,-200,-200,-74,-200,-200,-200,-200,-71,-200,-200,-91,-200,-79,-200,-200,-88,-200,-200,-200,-86,-88,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200
1526452713455,-19,-44,-46,-58,-52,-78,-56,-76,-62,-57,-62,-62,-56,-70,-67,-68,-70,-58,-78,-200,-65,-58,-69,-73,-70,-70,-66,-64,-73,-68,-65,-200,-73,-69,-68,-77,-200,-57,-85,-200,-200,-200,-200,-200,-200,-85,-200,-91,-73,-56,-81,-200,-200,-200,-69,-200,-200,-200,-200,-74,-200,-200,-200,-87,-73,-200,-200,-91,-200,-200,-91,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-87
1526452716523,-31,-45,-45,-57,-52,-78,-56,-61,-62,-63,-64,-62,-56,-70,-67,-68,-69,-58,-65,-200,-65,-60,-69,-73,-70,-71,-66,-58,-73,-69,-62,-74,-73,-65,-69,-77,-200,-57,-85,-200,-200,-200,-200,-200,-200,-71,-200,-200,-73,-58,-66,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-72,-73,-200,-200,-91,-66,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-88,-200,-88,-200,-200,-200,-87,-200,-87
1526452719585,-31,-44,-43,-57,-52,-63,-56,-65,-59,-62,-63,-60,-56,-73,-68,-70,-69,-61,-65,-200,-65,-57,-76,-71,-64,-71,-66,-62,-72,-68,-62,-75,-78,-65,-69,-77,-200,-84,-84,-85,-200,-200,-200,-200,-200,-68,-200,-200,-59,-58,-66,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-72,-73,-200,-200,-91,-66,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-88,-200,-88,-200,-200,-200,-87,-200,-87
