,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,whu2011309,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,DLINK_D00E98,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A60,DLINK_D00EB8
1526453364964,-40,-50,-34,-58,-65,-56,-53,-59,-63,-63,-69,-59,-58,-52,-81,-73,-69,-74,-200,-62,-70,-53,-63,-74,-86,-77,-70,-82,-86,-79,-85,-82,-200,-87,-200,-200,-82,-82,-200,-75,-200,-82,-200,-200,-84,-200,-200,-85,-200,-59,-67,-77,-73,-200,-80,-82,-77,-80,-73,-77,-87,-200,-71,-200,-200,-200,-81,-89,-76,-200,-80,-71,-87,-200,-200,-82,-78,-83,-89,-89,-200,-200,-200,-200,-200,-200
1526453367969,-41,-50,-36,-58,-67,-56,-55,-59,-62,-59,-55,-59,-63,-52,-77,-74,-75,-75,-200,-62,-74,-53,-62,-75,-86,-200,-68,-78,-200,-79,-83,-82,-200,-87,-200,-200,-82,-83,-84,-74,-200,-82,-200,-200,-84,-200,-200,-78,-200,-59,-68,-77,-73,-200,-80,-82,-77,-77,-73,-77,-200,-200,-70,-200,-200,-200,-75,-200,-73,-200,-80,-71,-87,-200,-200,-82,-78,-83,-89,-89,-79,-200,-200,-200,-200,-200
1526453370973,-41,-48,-41,-55,-55,-60,-54,-59,-62,-57,-56,-54,-56,-52,-58,-69,-68,-74,-68,-63,-73,-62,-62,-75,-200,-200,-69,-76,-200,-79,-83,-84,-200,-87,-88,-200,-200,-74,-85,-79,-200,-82,-200,-200,-84,-200,-200,-78,-200,-70,-63,-74,-75,-200,-78,-83,-200,-77,-73,-77,-200,-200,-70,-200,-200,-200,-75,-200,-73,-200,-200,-80,-200,-200,-200,-82,-200,-200,-200,-89,-79,-88,-200,-200,-200,-200
1526453374004,-43,-49,-44,-55,-58,-66,-53,-60,-65,-59,-56,-56,-59,-52,-58,-69,-68,-73,-68,-82,-73,-51,-200,-200,-200,-82,-79,-90,-200,-200,-200,-84,-200,-200,-88,-200,-200,-81,-85,-79,-200,-200,-200,-200,-86,-200,-200,-200,-200,-59,-65,-74,-75,-200,-83,-55,-200,-200,-76,-200,-82,-80,-63,-200,-200,-200,-61,-200,-200,-200,-200,-89,-90,-200,-200,-80,-200,-86,-92,-200,-81,-88,-83,-88,-200,-200
1526453377009,-44,-53,-33,-54,-63,-53,-64,-60,-65,-61,-60,-53,-59,-52,-64,-61,-82,-80,-200,-82,-71,-52,-65,-200,-84,-82,-69,-79,-200,-200,-84,-85,-200,-80,-200,-200,-82,-81,-80,-75,-200,-200,-200,-200,-86,-200,-200,-200,-200,-59,-65,-200,-200,-200,-78,-83,-200,-82,-74,-200,-82,-80,-66,-200,-200,-87,-61,-200,-200,-200,-200,-89,-90,-200,-200,-80,-200,-86,-92,-200,-81,-200,-77,-88,-200,-200
1526453380014,-42,-52,-31,-56,-59,-58,-62,-60,-62,-88,-61,-56,-57,-52,-64,-61,-64,-81,-69,-65,-70,-52,-65,-200,-81,-82,-68,-79,-84,-200,-83,-85,-200,-80,-87,-200,-83,-81,-81,-75,-200,-86,-200,-89,-86,-82,-200,-200,-200,-57,-65,-68,-75,-200,-76,-83,-70,-82,-74,-200,-82,-80,-64,-200,-200,-87,-71,-80,-76,-87,-200,-75,-90,-200,-200,-80,-200,-87,-92,-200,-81,-200,-76,-88,-200,-200
1526453383022,-42,-50,-37,-56,-64,-58,-61,-68,-62,-88,-66,-52,-63,-64,-64,-65,-68,-77,-75,-65,-71,-53,-65,-78,-81,-78,-70,-79,-84,-82,-86,-81,-200,-80,-87,-200,-81,-84,-83,-68,-200,-86,-200,-86,-200,-82,-200,-200,-200,-57,-200,-52,-75,-200,-76,-83,-68,-82,-78,-71,-200,-200,-65,-200,-200,-87,-71,-80,-76,-87,-200,-75,-200,-200,-200,-82,-200,-87,-200,-200,-200,-200,-76,-200,-200,-200
1526453386027,-36,-48,-42,-57,-63,-52,-54,-64,-63,-88,-66,-50,-63,-58,-200,-60,-68,-78,-75,-65,-72,-54,-60,-78,-81,-78,-74,-76,-84,-82,-86,-84,-200,-200,-87,-200,-81,-82,-83,-85,-200,-88,-200,-86,-84,-82,-84,-71,-200,-59,-67,-52,-75,-83,-71,-83,-69,-200,-78,-71,-200,-200,-74,-200,-200,-200,-75,-80,-76,-81,-79,-75,-200,-200,-200,-82,-200,-87,-200,-200,-200,-200,-76,-200,-200,-200
1526453389032,-37,-49,-40,-57,-63,-52,-56,-70,-66,-200,-200,-62,-63,-60,-200,-59,-82,-78,-71,-67,-72,-57,-61,-200,-86,-200,-68,-76,-200,-200,-200,-85,-200,-200,-200,-200,-200,-81,-83,-75,-200,-88,-200,-200,-87,-200,-84,-72,-200,-81,-67,-200,-85,-83,-74,-58,-71,-79,-200,-200,-81,-200,-74,-200,-200,-200,-75,-78,-200,-81,-79,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453392036,-41,-42,-42,-58,-54,-50,-56,-68,-65,-200,-61,-51,-62,-60,-68,-59,-82,-76,-69,-85,-72,-52,-62,-200,-86,-200,-59,-200,-200,-200,-200,-85,-200,-84,-200,-200,-200,-83,-200,-77,-200,-200,-200,-200,-87,-200,-200,-71,-200,-65,-200,-75,-85,-200,-74,-84,-71,-79,-80,-200,-81,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-88,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200
1526453395040,-37,-44,-38,-65,-54,-52,-54,-68,-63,-56,-63,-53,-62,-62,-71,-62,-71,-74,-69,-84,-68,-62,-62,-200,-83,-74,-72,-75,-200,-200,-200,-85,-200,-84,-200,-200,-200,-83,-73,-77,-200,-200,-200,-200,-87,-200,-87,-71,-200,-70,-200,-90,-85,-200,-77,-84,-71,-79,-80,-73,-81,-76,-75,-84,-200,-87,-200,-78,-200,-200,-200,-88,-86,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-82,-87
1526453398044,-41,-47,-36,-60,-200,-50,-60,-200,-62,-56,-63,-55,-200,-57,-71,-59,-75,-89,-66,-69,-72,-54,-62,-86,-81,-75,-72,-75,-200,-200,-200,-84,-200,-200,-200,-200,-200,-82,-84,-200,-200,-89,-200,-200,-200,-200,-87,-80,-200,-57,-200,-90,-72,-200,-77,-84,-76,-200,-200,-73,-200,-76,-68,-84,-200,-87,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-87
