,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526453217397,-40,-37,-37,-59,-67,-51,-49,-73,-67,-66,-50,-77,-66,-63,-67,-58,-61,-68,-66,-67,-71,-75,-83,-200,-80,-82,-200,-68,-200,-74,-52,-75,-66,-200,-49,-200,-79,-79,-78,-79,-80,-200,-200,-86,-200,-79,-92,-200,-85,-200,-200,-86,-200,-77,-74,-200,-200,-84,-76,-88,-200,-200,-80,-83,-200,-83,-200,-68,-200,-81,-200,-200,-84,-80,-84,-200,-88,-200,-200,-82,-85,-90,-85,-77,-87,-88,-88,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453220407,-38,-35,-39,-57,-68,-48,-52,-74,-66,-62,-56,-77,-67,-63,-65,-56,-58,-68,-66,-200,-69,-200,-200,-200,-200,-200,-200,-67,-200,-200,-72,-75,-68,-200,-73,-200,-53,-80,-75,-75,-80,-90,-87,-86,-82,-57,-200,-200,-85,-200,-83,-89,-200,-77,-74,-200,-200,-84,-76,-88,-200,-200,-80,-83,-200,-82,-200,-68,-78,-81,-200,-200,-200,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-77,-87,-88,-88,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453223412,-41,-36,-48,-70,-68,-54,-50,-65,-64,-70,-53,-82,-67,-62,-65,-67,-73,-66,-66,-69,-67,-88,-80,-200,-82,-200,-78,-68,-200,-200,-69,-86,-68,-200,-73,-200,-83,-80,-74,-75,-80,-90,-87,-200,-82,-53,-200,-200,-200,-200,-83,-89,-200,-200,-77,-74,-200,-78,-200,-200,-200,-200,-83,-81,-200,-82,-86,-81,-77,-200,-79,-200,-86,-200,-84,-86,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453226455,-42,-41,-51,-69,-200,-56,-51,-64,-64,-70,-52,-82,-200,-63,-67,-58,-58,-62,-200,-69,-70,-88,-80,-75,-82,-200,-81,-71,-200,-200,-69,-86,-200,-200,-71,-200,-82,-200,-80,-75,-80,-200,-200,-200,-200,-57,-200,-86,-83,-200,-83,-200,-200,-71,-77,-74,-200,-78,-78,-200,-200,-200,-83,-81,-200,-200,-86,-81,-77,-200,-78,-80,-86,-200,-84,-86,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-90,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453229466,-42,-39,-47,-67,-68,-57,-51,-63,-64,-61,-52,-66,-200,-66,-66,-59,-59,-66,-70,-68,-68,-88,-80,-75,-82,-200,-81,-70,-200,-200,-52,-73,-200,-200,-69,-200,-82,-200,-76,-76,-81,-200,-200,-82,-80,-59,-85,-86,-83,-200,-83,-200,-200,-67,-77,-74,-200,-74,-77,-200,-200,-200,-83,-86,-200,-82,-86,-81,-77,-200,-78,-80,-86,-87,-84,-86,-200,-200,-200,-200,-85,-200,-85,-79,-200,-200,-200,-200,-200,-90,-83,-80,-82,-88,-88,-200,-200,-200,-200,-200
1526453232513,-44,-38,-47,-65,-65,-57,-51,-66,-200,-62,-51,-66,-200,-66,-64,-60,-58,-67,-70,-69,-68,-200,-84,-84,-200,-200,-200,-91,-200,-200,-72,-72,-73,-88,-68,-200,-85,-200,-69,-69,-81,-200,-200,-82,-80,-63,-85,-88,-72,-200,-200,-200,-200,-67,-81,-200,-200,-74,-77,-200,-200,-90,-200,-86,-200,-82,-200,-200,-76,-200,-76,-200,-88,-87,-200,-200,-200,-200,-90,-200,-85,-200,-84,-79,-200,-200,-200,-81,-200,-200,-200,-80,-82,-88,-88,-86,-88,-200,-200,-200
1526453235584,-43,-43,-50,-71,-65,-57,-49,-66,-200,-59,-60,-200,-75,-70,-64,-61,-59,-69,-63,-69,-69,-200,-84,-84,-79,-200,-200,-70,-200,-75,-70,-70,-73,-88,-71,-200,-85,-200,-75,-75,-74,-200,-81,-83,-200,-63,-200,-88,-86,-200,-200,-200,-200,-67,-78,-67,-200,-75,-78,-200,-200,-90,-200,-200,-200,-200,-83,-74,-79,-200,-76,-200,-88,-200,-200,-200,-200,-200,-90,-87,-200,-200,-84,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-86,-88,-200,-200,-200
1526453238637,-42,-40,-43,-65,-65,-54,-54,-59,-63,-73,-53,-73,-84,-71,-64,-57,-60,-66,-63,-200,-88,-84,-92,-200,-79,-200,-200,-69,-85,-75,-73,-70,-66,-200,-69,-200,-83,-200,-43,-43,-74,-200,-79,-91,-200,-58,-200,-200,-85,-200,-90,-200,-200,-200,-78,-68,-200,-75,-78,-200,-200,-200,-200,-200,-200,-89,-85,-78,-79,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-87,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-88,-200,-200,-200
1526453241682,-41,-40,-44,-65,-200,-57,-55,-59,-64,-62,-53,-73,-72,-67,-64,-56,-58,-67,-200,-200,-70,-73,-92,-200,-200,-200,-200,-72,-87,-200,-70,-70,-65,-200,-69,-200,-81,-200,-75,-74,-84,-200,-80,-84,-200,-58,-200,-86,-77,-200,-90,-87,-200,-69,-200,-68,-200,-200,-200,-86,-200,-200,-200,-200,-200,-89,-85,-71,-200,-72,-200,-76,-200,-200,-200,-200,-200,-200,-200,-85,-87,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200,-200,-200,-200
1526453244736,-44,-40,-53,-71,-82,-56,-51,-65,-61,-62,-51,-73,-72,-67,-64,-63,-61,-67,-64,-74,-70,-73,-92,-78,-200,-200,-200,-72,-87,-200,-72,-68,-68,-200,-71,-200,-81,-200,-77,-74,-79,-200,-80,-87,-200,-60,-200,-86,-77,-200,-90,-87,-200,-69,-76,-68,-70,-200,-200,-86,-200,-200,-85,-82,-200,-89,-85,-71,-200,-79,-200,-76,-89,-85,-80,-200,-200,-200,-200,-85,-87,-200,-91,-79,-91,-200,-200,-200,-200,-200,-200,-89,-90,-200,-200,-200,-200,-86,-200,-200
1526453247794,-43,-40,-43,-67,-68,-86,-51,-61,-62,-59,-56,-200,-72,-72,-64,-61,-62,-79,-66,-74,-67,-71,-82,-78,-82,-200,-200,-72,-85,-200,-72,-68,-65,-200,-70,-200,-85,-200,-75,-75,-79,-83,-81,-87,-200,-59,-200,-200,-85,-200,-75,-200,-200,-72,-79,-200,-70,-200,-79,-200,-200,-200,-85,-82,-200,-200,-200,-200,-200,-79,-200,-200,-90,-85,-82,-200,-200,-200,-200,-200,-200,-200,-200,-79,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-82,-91,-200
1526453250863,-42,-36,-47,-66,-70,-56,-50,-67,-62,-61,-56,-200,-200,-72,-64,-59,-64,-68,-64,-200,-67,-71,-82,-78,-78,-200,-200,-76,-85,-200,-73,-200,-65,-200,-52,-200,-81,-200,-75,-75,-200,-83,-76,-85,-200,-68,-84,-200,-52,-200,-75,-200,-200,-72,-79,-88,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-80,-81,-90,-82,-83,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-87,-82,-91,-89
