,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,DLINK_D02A28,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452595759,-34,-42,-200,-43,-51,-61,-200,-51,-54,-200,-50,-57,-67,-55,-62,-52,-200,-200,-87,-65,-76,-89,-71,-55,-74,-68,-59,-56,-71,-65,-79,-81,-50,-200,-68,-200,-80,-83,-72,-54,-200,-83,-85,-71,-67,-200,-82,-91,-200,-200,-69,-71,-81,-200,-64,-200,-88,-200,-200,-74,-83,-200,-200,-200,-74,-79,-200,-76,-82,-88,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452596296,-34,-42,-200,-43,-51,-61,-200,-51,-54,-200,-50,-57,-67,-55,-62,-52,-200,-200,-87,-65,-76,-89,-71,-55,-74,-68,-59,-56,-71,-65,-79,-81,-50,-200,-68,-200,-80,-83,-72,-54,-200,-83,-85,-71,-67,-200,-82,-91,-200,-200,-69,-71,-81,-200,-64,-200,-88,-200,-200,-74,-83,-200,-200,-200,-74,-79,-200,-76,-82,-88,-82,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452598773,-33,-42,-200,-41,-51,-62,-200,-52,-60,-200,-50,-57,-67,-55,-60,-52,-200,-84,-73,-66,-76,-63,-71,-55,-76,-200,-88,-74,-71,-65,-200,-80,-78,-80,-75,-200,-80,-80,-90,-54,-200,-70,-85,-71,-74,-200,-84,-200,-200,-200,-67,-200,-77,-200,-61,-200,-200,-200,-200,-74,-82,-200,-200,-200,-74,-79,-200,-76,-82,-88,-82,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452599332,-33,-42,-200,-41,-51,-62,-200,-52,-60,-200,-50,-57,-67,-55,-60,-52,-200,-84,-73,-66,-76,-63,-71,-55,-76,-200,-88,-74,-71,-65,-200,-80,-78,-80,-75,-200,-80,-80,-90,-54,-200,-70,-85,-71,-74,-200,-84,-200,-200,-200,-67,-200,-77,-200,-61,-200,-200,-200,-200,-74,-82,-200,-200,-200,-74,-79,-200,-76,-82,-88,-82,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452601777,-34,-42,-200,-43,-52,-62,-200,-50,-54,-72,-50,-59,-69,-55,-62,-51,-200,-84,-72,-65,-76,-64,-52,-59,-75,-68,-58,-58,-200,-200,-78,-80,-50,-82,-75,-80,-80,-80,-73,-55,-200,-70,-200,-71,-70,-200,-80,-200,-200,-200,-67,-74,-77,-200,-79,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452602367,-34,-42,-200,-43,-52,-62,-200,-50,-54,-72,-50,-59,-69,-55,-62,-51,-200,-84,-72,-65,-76,-64,-52,-59,-75,-68,-58,-58,-200,-200,-78,-80,-50,-82,-75,-80,-80,-80,-73,-55,-200,-70,-200,-71,-70,-200,-80,-200,-200,-200,-67,-74,-77,-200,-79,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452604781,-31,-42,-57,-43,-51,-62,-67,-51,-54,-72,-50,-57,-69,-55,-62,-52,-200,-84,-72,-65,-76,-58,-72,-58,-75,-68,-60,-54,-70,-200,-78,-80,-77,-82,-77,-80,-51,-80,-73,-52,-200,-70,-72,-69,-67,-200,-80,-200,-200,-200,-65,-76,-77,-200,-59,-200,-200,-66,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-85,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452605404,-31,-42,-57,-43,-51,-62,-67,-51,-54,-72,-50,-57,-69,-55,-62,-52,-200,-84,-72,-65,-76,-58,-72,-58,-75,-68,-60,-54,-70,-200,-78,-80,-77,-82,-77,-80,-51,-80,-73,-52,-200,-70,-72,-69,-67,-200,-80,-200,-200,-200,-65,-76,-77,-200,-59,-200,-200,-66,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-85,-83,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452607790,-33,-42,-56,-40,-51,-81,-68,-49,-54,-72,-50,-56,-68,-55,-63,-52,-69,-200,-71,-65,-76,-58,-70,-57,-74,-68,-58,-59,-81,-200,-200,-200,-51,-200,-69,-200,-50,-81,-76,-54,-200,-200,-72,-71,-67,-200,-82,-200,-200,-200,-65,-77,-200,-72,-70,-200,-86,-63,-200,-200,-200,-200,-200,-89,-73,-75,-200,-77,-200,-90,-82,-200,-85,-83,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526452608447,-33,-42,-56,-40,-51,-81,-68,-49,-54,-72,-50,-56,-68,-55,-63,-52,-69,-200,-71,-65,-76,-58,-70,-57,-74,-68,-58,-59,-81,-200,-200,-200,-51,-200,-69,-200,-50,-81,-76,-54,-200,-200,-72,-71,-67,-200,-82,-200,-200,-200,-65,-77,-200,-72,-70,-200,-86,-63,-200,-200,-200,-200,-200,-89,-73,-75,-200,-77,-200,-90,-82,-200,-85,-83,-84,-83,-200,-200,-200,-200,-200,-200,-200,-200
1526452610795,-32,-42,-56,-41,-50,-66,-65,-52,-53,-72,-50,-58,-70,-55,-63,-49,-69,-200,-71,-66,-75,-63,-71,-57,-74,-67,-58,-59,-81,-200,-200,-80,-77,-200,-75,-200,-79,-81,-76,-54,-200,-200,-85,-71,-74,-200,-82,-200,-200,-200,-66,-77,-200,-72,-58,-200,-86,-65,-200,-200,-200,-200,-200,-89,-77,-75,-200,-76,-83,-90,-81,-200,-85,-200,-200,-83,-80,-200,-200,-200,-200,-200,-200,-200
1526452611495,-32,-42,-56,-41,-50,-66,-65,-52,-53,-72,-50,-58,-70,-55,-63,-49,-69,-200,-71,-66,-75,-63,-71,-57,-74,-67,-58,-59,-81,-200,-200,-80,-77,-200,-75,-200,-79,-81,-76,-54,-200,-200,-85,-71,-74,-200,-82,-200,-200,-200,-66,-77,-200,-72,-58,-200,-86,-65,-200,-200,-200,-200,-200,-89,-77,-75,-200,-76,-83,-90,-81,-200,-85,-200,-200,-83,-80,-200,-200,-200,-200,-200,-200,-200
1526452613799,-34,-43,-56,-43,-52,-66,-65,-48,-54,-72,-50,-59,-70,-55,-60,-49,-69,-200,-84,-66,-75,-59,-71,-66,-70,-68,-60,-73,-81,-200,-200,-80,-78,-200,-66,-200,-79,-81,-86,-55,-200,-200,-85,-72,-81,-200,-82,-200,-200,-200,-64,-85,-200,-72,-75,-200,-86,-65,-200,-81,-200,-200,-92,-89,-87,-75,-200,-76,-84,-90,-81,-200,-85,-200,-200,-83,-80,-91,-200,-200,-200,-200,-200,-200
1526452614550,-34,-43,-56,-43,-52,-66,-65,-48,-54,-72,-50,-59,-70,-55,-60,-49,-69,-200,-84,-66,-75,-59,-71,-66,-70,-68,-60,-73,-81,-200,-200,-80,-78,-200,-66,-200,-79,-81,-86,-55,-200,-200,-85,-72,-81,-200,-82,-200,-200,-200,-64,-85,-200,-72,-75,-200,-86,-65,-200,-81,-200,-200,-92,-89,-87,-75,-200,-76,-84,-90,-81,-200,-85,-200,-200,-83,-80,-91,-200,-200,-200,-200,-200,-200
1526452616808,-32,-42,-57,-43,-50,-62,-68,-50,-64,-200,-50,-58,-200,-55,-60,-49,-200,-200,-84,-66,-76,-59,-69,-66,-75,-67,-58,-59,-200,-200,-81,-80,-77,-200,-66,-200,-79,-200,-72,-54,-200,-200,-85,-72,-68,-80,-200,-200,-200,-200,-66,-85,-200,-200,-63,-200,-200,-66,-200,-81,-200,-200,-92,-200,-87,-76,-200,-200,-84,-200,-82,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200,-200
1526452617603,-32,-42,-57,-43,-50,-62,-68,-50,-64,-200,-50,-58,-200,-55,-60,-49,-200,-200,-84,-66,-76,-59,-69,-66,-75,-67,-58,-59,-200,-200,-81,-80,-77,-200,-66,-200,-79,-200,-72,-54,-200,-200,-85,-72,-68,-80,-200,-200,-200,-200,-66,-85,-200,-200,-63,-200,-200,-66,-200,-81,-200,-200,-92,-200,-87,-76,-200,-200,-84,-200,-82,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200,-200
1526452619815,-34,-43,-59,-42,-50,-62,-67,-52,-60,-74,-50,-57,-200,-55,-60,-52,-69,-200,-75,-66,-72,-59,-71,-59,-72,-68,-61,-55,-200,-200,-81,-80,-77,-200,-75,-200,-79,-200,-75,-54,-200,-200,-85,-72,-68,-80,-81,-200,-200,-200,-65,-74,-200,-200,-59,-200,-200,-80,-200,-76,-81,-78,-86,-200,-87,-76,-200,-200,-84,-89,-82,-81,-200,-200,-200,-200,-77,-82,-88,-200,-200,-200,-200,-200
1526452620644,-34,-43,-59,-42,-50,-62,-67,-52,-60,-74,-50,-57,-200,-55,-60,-52,-69,-200,-75,-66,-72,-59,-71,-59,-72,-68,-61,-55,-200,-200,-81,-80,-77,-200,-75,-200,-79,-200,-75,-54,-200,-200,-85,-72,-68,-80,-81,-200,-200,-200,-65,-74,-200,-200,-59,-200,-200,-80,-200,-76,-81,-78,-86,-200,-87,-76,-200,-200,-84,-89,-82,-81,-200,-200,-200,-200,-77,-82,-88,-200,-200,-200,-200,-200
1526452622834,-34,-42,-55,-43,-50,-200,-63,-49,-51,-74,-50,-56,-200,-55,-200,-50,-69,-200,-72,-65,-76,-200,-71,-56,-75,-68,-57,-59,-69,-200,-200,-80,-77,-200,-71,-200,-76,-84,-75,-54,-200,-84,-89,-71,-68,-200,-81,-200,-200,-200,-67,-79,-80,-72,-59,-200,-200,-63,-200,-76,-81,-77,-86,-89,-200,-200,-200,-77,-200,-89,-200,-83,-200,-200,-84,-200,-77,-83,-200,-84,-200,-200,-200,-200
1526452623688,-34,-42,-55,-43,-50,-200,-63,-49,-51,-74,-50,-56,-200,-55,-200,-50,-69,-200,-72,-65,-76,-200,-71,-56,-75,-68,-57,-59,-69,-200,-200,-80,-77,-200,-71,-200,-76,-84,-75,-54,-200,-84,-89,-71,-68,-200,-81,-200,-200,-200,-67,-79,-80,-72,-59,-200,-200,-63,-200,-76,-81,-77,-86,-89,-200,-200,-200,-77,-200,-89,-200,-83,-200,-200,-84,-200,-77,-83,-200,-84,-200,-200,-200,-200
1526452625887,-32,-43,-57,-43,-47,-60,-63,-52,-51,-200,-50,-58,-200,-55,-200,-51,-200,-200,-72,-55,-50,-62,-71,-58,-75,-66,-58,-55,-69,-64,-200,-83,-78,-200,-71,-200,-80,-84,-200,-55,-200,-84,-85,-71,-69,-200,-200,-200,-200,-200,-64,-79,-80,-72,-64,-200,-200,-63,-200,-200,-200,-77,-84,-89,-70,-200,-80,-77,-83,-200,-200,-83,-81,-200,-84,-200,-77,-83,-200,-84,-200,-200,-200,-200
1526452626753,-32,-43,-57,-43,-47,-60,-63,-52,-51,-200,-50,-58,-200,-55,-200,-51,-200,-200,-72,-55,-50,-62,-71,-58,-75,-66,-58,-55,-69,-64,-200,-83,-78,-200,-71,-200,-80,-84,-200,-55,-200,-84,-85,-71,-69,-200,-200,-200,-200,-200,-64,-79,-80,-72,-64,-200,-200,-63,-200,-200,-200,-77,-84,-89,-70,-200,-80,-77,-83,-200,-200,-83,-81,-200,-84,-200,-77,-83,-200,-84,-200,-200,-200,-200
1526452628894,-34,-42,-57,-44,-58,-59,-63,-50,-54,-72,-50,-74,-68,-55,-60,-51,-200,-200,-86,-79,-50,-58,-71,-58,-75,-66,-73,-59,-70,-65,-200,-79,-78,-200,-71,-200,-80,-84,-89,-53,-200,-84,-84,-71,-68,-88,-200,-200,-200,-200,-67,-79,-80,-72,-63,-200,-200,-66,-200,-200,-88,-77,-84,-89,-70,-200,-80,-77,-83,-200,-200,-83,-81,-200,-84,-200,-77,-83,-200,-84,-200,-200,-200,-200
1526452629827,-34,-42,-57,-44,-58,-59,-63,-50,-54,-72,-50,-74,-68,-55,-60,-51,-200,-200,-86,-79,-50,-58,-71,-58,-75,-66,-73,-59,-70,-65,-200,-79,-78,-200,-71,-200,-80,-84,-89,-53,-200,-84,-84,-71,-68,-88,-200,-200,-200,-200,-67,-79,-80,-72,-63,-200,-200,-66,-200,-200,-88,-77,-84,-89,-70,-200,-80,-77,-83,-200,-200,-83,-81,-200,-84,-200,-77,-83,-200,-84,-200,-200,-200,-200
1526452631942,-34,-44,-57,-42,-52,-61,-200,-53,-55,-72,-49,-57,-74,-55,-63,-54,-200,-70,-86,-79,-75,-59,-72,-56,-200,-69,-63,-54,-70,-66,-200,-79,-77,-200,-200,-200,-78,-82,-71,-53,-200,-200,-84,-70,-69,-88,-200,-200,-200,-200,-67,-200,-200,-200,-69,-200,-200,-66,-81,-73,-82,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526452632831,-34,-44,-57,-42,-52,-61,-200,-53,-55,-72,-49,-57,-74,-55,-63,-54,-200,-70,-86,-79,-75,-59,-72,-56,-200,-69,-63,-54,-70,-66,-200,-79,-77,-200,-200,-200,-78,-82,-71,-53,-200,-200,-84,-70,-69,-88,-200,-200,-200,-200,-67,-200,-200,-200,-69,-200,-200,-66,-81,-73,-82,-200,-200,-89,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526452634993,-33,-41,-57,-45,-53,-61,-68,-49,-59,-72,-50,-57,-74,-55,-63,-50,-200,-70,-86,-79,-75,-59,-70,-61,-75,-69,-60,-61,-70,-66,-78,-79,-77,-78,-74,-200,-79,-82,-71,-56,-200,-200,-75,-71,-69,-88,-82,-87,-200,-200,-65,-200,-200,-200,-69,-200,-200,-65,-81,-73,-81,-200,-200,-89,-200,-200,-80,-200,-81,-90,-200,-200,-200,-200,-200,-200,-78,-84,-200,-200,-87,-200,-200,-200
1526452635835,-33,-41,-57,-45,-53,-61,-68,-49,-59,-72,-50,-57,-74,-55,-63,-50,-200,-70,-86,-79,-75,-59,-70,-61,-75,-69,-60,-61,-70,-66,-78,-79,-77,-78,-74,-200,-79,-82,-71,-56,-200,-200,-75,-71,-69,-88,-82,-87,-200,-200,-65,-200,-200,-200,-69,-200,-200,-65,-81,-73,-81,-200,-200,-89,-200,-200,-80,-200,-81,-90,-200,-200,-200,-200,-200,-200,-78,-84,-200,-200,-87,-200,-200,-200
1526452638018,-33,-43,-56,-43,-51,-62,-200,-51,-69,-200,-50,-60,-69,-56,-66,-52,-71,-200,-71,-66,-78,-58,-69,-64,-74,-68,-57,-54,-200,-65,-80,-200,-52,-78,-75,-200,-79,-200,-73,-54,-92,-88,-85,-72,-74,-200,-82,-200,-200,-200,-67,-79,-200,-67,-90,-79,-200,-65,-75,-200,-82,-200,-200,-200,-200,-75,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-78,-86,-88
1526452638840,-33,-43,-56,-43,-51,-62,-200,-51,-69,-200,-50,-60,-69,-56,-66,-52,-71,-200,-71,-66,-78,-58,-69,-64,-74,-68,-57,-54,-200,-65,-80,-200,-52,-78,-75,-200,-79,-200,-73,-54,-92,-88,-85,-72,-74,-200,-82,-200,-200,-200,-67,-79,-200,-67,-90,-79,-200,-65,-75,-200,-82,-200,-200,-200,-200,-75,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-78,-86,-88
1526452641064,-34,-44,-56,-42,-53,-62,-200,-54,-53,-200,-50,-83,-69,-55,-66,-48,-71,-200,-72,-66,-79,-64,-50,-56,-72,-68,-55,-55,-200,-65,-80,-200,-77,-78,-75,-200,-50,-83,-73,-54,-92,-88,-77,-71,-69,-200,-82,-88,-200,-200,-65,-79,-70,-72,-59,-79,-200,-65,-75,-200,-80,-200,-200,-200,-200,-75,-85,-77,-200,-89,-81,-200,-200,-200,-200,-200,-200,-200,-81,-200,-83,-78,-86,-88
1526452641886,-34,-44,-56,-42,-53,-62,-200,-54,-53,-200,-50,-83,-69,-55,-66,-48,-71,-200,-72,-66,-79,-64,-50,-56,-72,-68,-55,-55,-200,-65,-80,-200,-77,-78,-75,-200,-50,-83,-73,-54,-92,-88,-77,-71,-69,-200,-82,-88,-200,-200,-65,-79,-70,-72,-59,-79,-200,-65,-75,-200,-80,-200,-200,-200,-200,-75,-85,-77,-200,-89,-81,-200,-200,-200,-200,-200,-200,-200,-81,-200,-83,-78,-86,-88
