,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526451971428,-32,-42,-32,-45,-53,-57,-57,-58,-50,-44,-50,-51,-53,-49,-56,-67,-53,-54,-65,-200,-200,-65,-62,-200,-65,-65,-200,-200,-73,-200,-71,-69,-200,-74,-200,-70,-70,-200,-74,-64,-72,-89,-81,-200,-74,-200,-200,-61,-200,-200,-200,-70,-65,-72,-200,-79,-85,-78,-200,-200,-81,-200,-200,-77,-70,-76,-200,-89,-200,-200,-83,-82,-86,-200,-200,-200,-70,-59,-200,-84,-74,-74,-79,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451974495,-32,-44,-32,-46,-56,-46,-57,-54,-47,-45,-61,-54,-48,-50,-51,-67,-58,-58,-62,-200,-71,-64,-62,-77,-58,-66,-68,-73,-74,-200,-72,-61,-200,-77,-74,-70,-70,-200,-74,-67,-72,-89,-81,-200,-74,-200,-200,-73,-200,-200,-200,-70,-65,-72,-200,-79,-85,-78,-200,-200,-81,-200,-200,-77,-70,-76,-200,-89,-200,-68,-83,-82,-88,-200,-200,-200,-70,-59,-200,-84,-74,-70,-79,-81,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451977566,-32,-46,-34,-44,-53,-46,-200,-55,-49,-52,-52,-54,-52,-49,-51,-64,-59,-58,-62,-69,-71,-64,-62,-77,-57,-46,-68,-73,-75,-200,-72,-58,-73,-79,-74,-72,-73,-200,-200,-67,-76,-200,-200,-200,-200,-200,-83,-58,-200,-200,-200,-61,-60,-66,-200,-200,-69,-200,-200,-200,-200,-200,-200,-68,-70,-200,-200,-87,-200,-68,-200,-81,-88,-200,-200,-200,-200,-59,-200,-200,-200,-77,-200,-200,-200,-77,-82,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451980634,-31,-40,-31,-43,-60,-50,-200,-48,-50,-44,-53,-57,-52,-46,-50,-64,-53,-60,-58,-69,-71,-64,-64,-200,-59,-67,-200,-72,-68,-61,-200,-60,-73,-79,-200,-68,-68,-200,-200,-67,-76,-200,-200,-200,-200,-200,-83,-59,-72,-200,-200,-61,-58,-68,-74,-200,-69,-200,-200,-200,-200,-200,-200,-62,-72,-200,-200,-87,-200,-200,-200,-76,-88,-87,-200,-200,-76,-54,-90,-200,-71,-77,-200,-200,-200,-75,-82,-87,-88,-91,-85,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451983654,-30,-44,-35,-48,-46,-50,-200,-53,-49,-63,-73,-57,-54,-47,-50,-200,-67,-67,-59,-69,-67,-64,-75,-200,-66,-67,-200,-66,-75,-80,-200,-67,-200,-84,-85,-73,-74,-200,-200,-70,-200,-72,-200,-76,-200,-200,-200,-74,-74,-200,-200,-53,-59,-77,-80,-85,-76,-78,-81,-200,-200,-200,-200,-62,-73,-200,-200,-200,-200,-200,-200,-76,-88,-87,-200,-200,-74,-54,-90,-200,-86,-84,-200,-200,-200,-75,-200,-82,-200,-200,-85,-89,-86,-88,-92,-200,-200,-200,-200,-200,-200,-200
1526451986720,-28,-50,-28,-48,-45,-53,-50,-52,-49,-48,-59,-79,-55,-56,-200,-200,-51,-71,-70,-200,-72,-200,-75,-63,-67,-67,-200,-68,-67,-66,-71,-63,-200,-84,-85,-76,-72,-76,-67,-76,-80,-72,-200,-76,-200,-78,-200,-56,-74,-200,-200,-53,-59,-77,-80,-74,-76,-78,-81,-200,-200,-200,-200,-200,-73,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-76,-62,-200,-200,-73,-84,-200,-82,-200,-200,-200,-82,-200,-200,-200,-83,-86,-88,-92,-91,-200,-200,-200,-200,-200,-200
1526451989737,-27,-47,-38,-45,-42,-46,-54,-46,-52,-40,-68,-55,-50,-64,-200,-64,-56,-72,-68,-200,-67,-69,-67,-63,-67,-72,-69,-72,-71,-60,-71,-56,-75,-74,-85,-67,-73,-76,-66,-77,-80,-72,-200,-76,-200,-78,-200,-55,-74,-200,-200,-53,-60,-73,-80,-80,-76,-78,-81,-200,-200,-200,-200,-200,-73,-76,-200,-90,-69,-200,-200,-84,-200,-200,-200,-200,-76,-62,-200,-200,-73,-74,-200,-82,-200,-200,-200,-82,-200,-200,-200,-83,-86,-88,-92,-91,-69,-89,-200,-200,-200,-200
1526451992742,-32,-45,-32,-37,-48,-48,-200,-51,-49,-49,-59,-62,-59,-45,-52,-66,-62,-61,-62,-65,-200,-67,-200,-68,-66,-73,-72,-74,-69,-66,-68,-59,-77,-71,-200,-48,-76,-200,-200,-67,-77,-200,-200,-77,-200,-200,-200,-56,-200,-200,-200,-200,-59,-78,-200,-200,-74,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-77,-200,-75,-90,-85,-200,-200,-200,-55,-200,-200,-200,-200,-75,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451995747,-30,-46,-33,-43,-48,-47,-58,-57,-51,-47,-62,-58,-57,-45,-53,-66,-62,-59,-58,-65,-200,-65,-200,-68,-59,-72,-72,-78,-71,-66,-68,-62,-77,-71,-200,-68,-73,-200,-68,-64,-88,-200,-200,-77,-200,-200,-200,-55,-200,-200,-200,-200,-63,-73,-72,-200,-74,-76,-200,-200,-200,-200,-200,-62,-200,-200,-200,-85,-200,-77,-200,-75,-90,-85,-200,-200,-200,-55,-90,-200,-200,-200,-75,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451998804,-28,-45,-39,-37,-54,-48,-57,-49,-58,-70,-62,-58,-55,-45,-53,-67,-61,-59,-58,-65,-82,-69,-200,-68,-59,-70,-86,-71,-69,-60,-68,-62,-76,-71,-200,-70,-67,-72,-68,-77,-88,-74,-79,-73,-200,-90,-200,-71,-200,-200,-200,-200,-67,-84,-72,-73,-74,-79,-83,-200,-74,-200,-200,-62,-200,-200,-200,-85,-200,-77,-85,-75,-90,-86,-200,-200,-90,-75,-90,-65,-200,-81,-75,-84,-200,-78,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-82,-86,-92
1526452001864,-28,-41,-41,-35,-69,-48,-57,-52,-48,-39,-53,-200,-54,-47,-58,-63,-54,-59,-61,-200,-82,-69,-200,-200,-64,-73,-86,-75,-70,-57,-68,-68,-76,-72,-75,-69,-74,-72,-200,-64,-77,-74,-86,-73,-200,-90,-200,-71,-200,-200,-200,-200,-65,-84,-72,-73,-200,-78,-83,-200,-74,-200,-200,-200,-200,-200,-200,-85,-200,-200,-85,-200,-200,-86,-200,-200,-90,-75,-200,-65,-200,-81,-200,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-82,-86,-92
1526452004927,-32,-42,-37,-43,-57,-51,-58,-40,-52,-54,-56,-200,-55,-71,-53,-63,-53,-62,-68,-200,-75,-68,-65,-65,-64,-72,-86,-75,-70,-64,-68,-65,-76,-73,-70,-73,-72,-72,-200,-68,-77,-74,-86,-73,-200,-90,-200,-54,-200,-200,-200,-200,-57,-71,-71,-73,-200,-76,-83,-200,-74,-200,-200,-200,-200,-200,-200,-85,-200,-73,-85,-200,-200,-86,-200,-200,-90,-66,-200,-65,-200,-81,-200,-84,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-82,-86,-92
