,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,WHU-2018,DLINK_D02A58,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro
1526452533972,-42,-33,-67,-35,-45,-58,-46,-62,-50,-56,-50,-64,-64,-61,-59,-54,-76,-200,-58,-63,-82,-62,-75,-72,-200,-56,-64,-86,-69,-74,-86,-78,-73,-70,-67,-70,-83,-71,-76,-200,-79,-79,-65,-73,-89,-200,-73,-200,-88,-79,-89,-75,-200,-72,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-76,-66,-71,-200,-85,-200,-92,-200,-200,-72,-200,-200,-200,-52,-85,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452537025,-41,-38,-55,-35,-47,-55,-44,-62,-49,-54,-55,-54,-60,-55,-56,-54,-62,-77,-51,-63,-65,-62,-75,-71,-63,-58,-68,-69,-67,-74,-73,-200,-73,-68,-200,-64,-83,-68,-76,-200,-79,-200,-65,-73,-200,-78,-200,-200,-81,-78,-200,-75,-200,-71,-200,-200,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-76,-68,-200,-200,-200,-200,-92,-200,-200,-72,-200,-200,-200,-200,-85,-92,-79,-83,-200,-200,-200,-200,-200,-200,-200
1526452540047,-41,-32,-64,-35,-46,-54,-46,-63,-52,-54,-55,-55,-59,-57,-58,-56,-58,-77,-51,-63,-67,-62,-75,-71,-63,-63,-67,-81,-65,-74,-75,-200,-73,-64,-200,-64,-74,-77,-74,-200,-80,-200,-82,-72,-200,-76,-200,-200,-80,-79,-200,-75,-200,-70,-200,-200,-200,-200,-69,-200,-200,-71,-200,-200,-200,-200,-200,-72,-68,-200,-200,-200,-200,-92,-200,-200,-77,-200,-200,-200,-200,-85,-92,-79,-83,-200,-200,-200,-200,-200,-200,-200
1526452543075,-40,-35,-64,-38,-46,-53,-52,-57,-44,-57,-51,-55,-59,-53,-58,-58,-55,-76,-55,-53,-67,-200,-79,-71,-69,-67,-68,-84,-66,-200,-73,-77,-200,-64,-82,-73,-74,-79,-74,-200,-80,-200,-77,-76,-200,-76,-200,-200,-80,-79,-200,-200,-200,-71,-200,-200,-200,-79,-72,-200,-200,-73,-200,-200,-200,-200,-200,-72,-70,-200,-200,-200,-200,-200,-200,-67,-78,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452546136,-39,-35,-62,-34,-48,-53,-47,-67,-53,-54,-46,-62,-71,-54,-200,-56,-57,-73,-55,-75,-67,-65,-75,-71,-63,-59,-68,-83,-74,-200,-73,-82,-200,-200,-74,-71,-200,-82,-76,-200,-81,-78,-77,-73,-200,-79,-200,-200,-200,-74,-200,-77,-200,-71,-200,-200,-200,-79,-70,-78,-200,-73,-200,-82,-77,-86,-200,-62,-70,-75,-200,-200,-200,-200,-200,-62,-78,-200,-200,-200,-86,-200,-200,-200,-200,-84,-89,-200,-200,-200,-200,-200
1526452549207,-39,-38,-61,-36,-44,-53,-47,-61,-53,-57,-44,-54,-58,-54,-200,-57,-60,-76,-65,-75,-67,-65,-74,-74,-61,-68,-66,-67,-69,-200,-74,-82,-77,-200,-74,-66,-200,-78,-79,-200,-81,-78,-77,-73,-76,-79,-200,-200,-200,-72,-200,-77,-200,-71,-89,-200,-200,-79,-70,-78,-89,-75,-82,-82,-73,-86,-200,-64,-70,-75,-200,-200,-200,-200,-200,-62,-78,-200,-200,-200,-86,-200,-200,-200,-200,-84,-89,-200,-200,-200,-200,-200
1526452552275,-36,-33,-61,-39,-47,-82,-47,-58,-51,-56,-48,-52,-62,-67,-61,-54,-58,-76,-65,-75,-66,-200,-71,-71,-61,-68,-69,-67,-67,-71,-74,-200,-76,-73,-69,-66,-200,-77,-79,-200,-77,-78,-76,-200,-76,-74,-200,-200,-200,-72,-200,-200,-77,-71,-89,-200,-200,-74,-200,-200,-89,-76,-82,-200,-73,-200,-200,-64,-75,-74,-82,-200,-200,-200,-200,-65,-70,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-85,-85,-90,-200,-200
1526452555315,-37,-34,-58,-38,-43,-82,-48,-58,-53,-56,-46,-57,-57,-64,-61,-55,-55,-200,-200,-200,-66,-61,-71,-71,-200,-64,-71,-200,-69,-71,-72,-200,-76,-73,-69,-200,-200,-77,-200,-200,-77,-78,-77,-200,-200,-80,-200,-200,-200,-75,-200,-200,-77,-200,-200,-200,-200,-74,-200,-200,-200,-76,-200,-200,-200,-200,-200,-61,-75,-74,-82,-200,-200,-200,-200,-65,-70,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-85,-85,-90,-200,-200
1526452558367,-37,-31,-91,-36,-51,-200,-55,-58,-53,-57,-56,-47,-65,-52,-77,-57,-55,-200,-200,-200,-65,-61,-69,-72,-200,-55,-69,-80,-64,-200,-62,-86,-71,-77,-200,-200,-73,-81,-77,-200,-72,-200,-77,-200,-200,-80,-200,-200,-200,-75,-200,-200,-200,-76,-200,-200,-200,-200,-200,-79,-200,-65,-200,-200,-200,-200,-200,-69,-200,-74,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-79,-88
1526452561387,-32,-33,-91,-39,-60,-52,-48,-200,-200,-58,-55,-49,-59,-55,-77,-61,-56,-200,-70,-50,-78,-200,-69,-72,-200,-61,-73,-80,-70,-200,-66,-86,-71,-77,-200,-200,-73,-78,-77,-80,-84,-74,-77,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-76,-200,-200,-200,-74,-200,-80,-91,-65,-200,-200,-200,-200,-200,-83,-71,-200,-200,-200,-200,-86,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-88
1526452564445,-33,-35,-56,-40,-49,-54,-49,-200,-59,-54,-49,-50,-63,-53,-77,-59,-59,-73,-64,-50,-78,-58,-69,-72,-200,-62,-72,-86,-70,-73,-66,-79,-71,-70,-68,-62,-73,-72,-77,-80,-63,-74,-81,-200,-200,-88,-200,-200,-200,-77,-200,-69,-200,-76,-200,-200,-200,-70,-68,-80,-91,-65,-200,-200,-200,-200,-200,-63,-71,-200,-200,-200,-200,-86,-200,-200,-67,-200,-200,-200,-200,-79,-200,-77,-200,-200,-200,-200,-200,-200,-79,-88
1526452567506,-32,-35,-56,-37,-47,-54,-49,-60,-58,-54,-48,-59,-61,-53,-200,-57,-59,-73,-62,-54,-70,-53,-200,-200,-200,-70,-69,-69,-67,-73,-67,-82,-86,-70,-74,-63,-71,-80,-200,-200,-83,-200,-81,-75,-200,-88,-200,-200,-200,-77,-91,-71,-200,-200,-200,-200,-200,-70,-72,-200,-87,-64,-200,-200,-200,-200,-200,-64,-73,-200,-200,-200,-200,-200,-200,-62,-67,-200,-200,-200,-200,-79,-200,-77,-200,-200,-200,-200,-200,-64,-200,-200
