,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526446235060,-200,-200,-84,-82,-200,-67,-200,-200,-200,-200,-200,-84,-200,-83,-75,-76,-200,-68,-200,-76,-200
1526446239709,-200,-68,-200,-78,-200,-66,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-62,-200,-200,-200
1526446239810,-96,-68,-200,-200,-200,-66,-85,-200,-200,-64,-200,-200,-200,-84,-87,-76,-200,-62,-200,-75,-88
1526446239915,-200,-68,-200,-79,-74,-66,-86,-81,-200,-63,-200,-200,-82,-84,-87,-76,-83,-62,-200,-75,-200
1526446240034,-200,-68,-200,-200,-200,-67,-85,-81,-76,-64,-200,-200,-81,-84,-200,-200,-200,-200,-97,-75,-89
1526446244694,-200,-200,-200,-200,-200,-68,-78,-86,-80,-64,-78,-80,-200,-200,-200,-73,-200,-64,-200,-67,-200
1526446244816,-94,-61,-200,-79,-200,-68,-78,-200,-80,-64,-78,-80,-200,-89,-81,-200,-200,-64,-97,-68,-200
1526446244966,-200,-200,-88,-78,-200,-67,-78,-87,-200,-64,-77,-80,-200,-88,-200,-200,-200,-64,-200,-200,-200
1526446245076,-200,-200,-200,-80,-200,-67,-78,-200,-200,-200,-78,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446249722,-94,-200,-200,-94,-200,-71,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-72,-200,-200,-200
1526446249836,-94,-200,-200,-84,-200,-68,-200,-200,-75,-62,-80,-77,-200,-200,-200,-200,-84,-200,-200,-76,-200
1526446249935,-92,-66,-200,-200,-200,-200,-200,-80,-200,-200,-200,-83,-83,-200,-77,-200,-84,-68,-200,-75,-200
1526446250088,-200,-200,-200,-200,-200,-200,-83,-81,-76,-62,-80,-200,-83,-200,-200,-75,-200,-68,-200,-74,-200
1526446254686,-200,-83,-85,-200,-74,-66,-200,-200,-200,-200,-200,-86,-200,-83,-200,-74,-80,-200,-200,-77,-200
1526446254785,-200,-200,-200,-81,-74,-200,-85,-80,-77,-63,-200,-200,-200,-83,-200,-74,-200,-64,-99,-76,-200
1526446254893,-200,-200,-85,-81,-74,-66,-85,-200,-77,-64,-200,-86,-200,-83,-200,-74,-200,-64,-200,-76,-200
1526446255003,-94,-81,-200,-80,-200,-66,-200,-200,-77,-63,-200,-86,-80,-200,-200,-74,-200,-64,-200,-76,-88
1526446259695,-94,-200,-88,-77,-74,-200,-78,-86,-200,-200,-200,-83,-200,-200,-200,-73,-200,-62,-98,-67,-200
1526446259827,-200,-61,-200,-77,-74,-68,-78,-200,-200,-64,-77,-83,-200,-89,-82,-200,-200,-62,-200,-67,-200
1526446259935,-200,-61,-200,-77,-74,-200,-200,-200,-200,-63,-200,-200,-200,-88,-82,-73,-200,-62,-200,-68,-200
1526446260034,-95,-61,-88,-87,-74,-70,-200,-200,-200,-200,-200,-200,-84,-200,-200,-76,-200,-62,-97,-68,-200
1526446264767,-200,-200,-89,-200,-82,-200,-200,-200,-200,-67,-200,-200,-85,-200,-72,-200,-200,-72,-200,-72,-200
1526446264926,-94,-69,-97,-200,-200,-71,-200,-200,-65,-66,-200,-200,-86,-200,-86,-200,-200,-200,-200,-200,-200
1526446265102,-200,-200,-84,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-90,-200,-96,-200,-200,-200,-200
1526446269719,-95,-84,-85,-200,-74,-66,-89,-81,-77,-63,-200,-200,-81,-83,-200,-75,-200,-65,-200,-76,-200
1526446269837,-97,-200,-200,-79,-74,-200,-200,-200,-78,-63,-80,-200,-81,-200,-200,-74,-80,-65,-200,-76,-88
1526446269927,-96,-83,-85,-79,-74,-66,-200,-80,-77,-63,-80,-200,-85,-200,-200,-74,-80,-200,-100,-76,-88
1526446270050,-200,-200,-200,-80,-74,-65,-200,-81,-77,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526446274690,-200,-200,-200,-80,-200,-200,-76,-87,-200,-63,-78,-83,-200,-88,-81,-200,-200,-200,-200,-200,-200
1526446274788,-94,-61,-89,-80,-200,-200,-76,-87,-200,-64,-78,-85,-200,-200,-200,-74,-200,-62,-97,-69,-200
1526446274920,-200,-200,-200,-77,-200,-68,-200,-200,-200,-63,-200,-84,-200,-88,-82,-200,-200,-200,-200,-200,-200
1526446275008,-200,-61,-200,-200,-75,-200,-77,-200,-200,-63,-78,-86,-200,-200,-82,-200,-200,-62,-200,-200,-200
