,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,WHU-2018,DLINK_D02A28,DLINK_D02A20,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526456398782,-44,-32,-44,-36,-55,-62,-58,-53,-67,-53,-59,-65,-58,-61,-66,-61,-63,-70,-69,-72,-61,-63,-63,-77,-76,-66,-78,-62,-73,-75,-65,-200,-74,-81,-88,-74,-86,-78,-200,-74,-71,-78,-76,-78,-67,-83,-71,-85,-88,-74,-92,-91,-77,-79,-80,-74,-72,-200,-91,-200,-85,-90,-92,-84,-89,-86,-93,-200,-200,-200,-93,-200,-79,-200,-200,-90,-93,-200,-200,-94,-73,-200,-88,-80,-94,-200,-93,-200,-71,-93,-200,-96,-200,-96,-94,-96,-95,-200,-200,-200,-94,-200,-97,-82,-92,-200,-200,-200,-200,-200,-200
1526456401834,-42,-31,-49,-53,-55,-62,-51,-54,-64,-46,-62,-64,-60,-64,-67,-63,-62,-67,-69,-80,-59,-63,-63,-72,-76,-73,-75,-62,-73,-66,-64,-200,-73,-78,-91,-80,-84,-74,-87,-74,-71,-74,-74,-73,-69,-83,-74,-75,-88,-79,-86,-92,-77,-79,-67,-75,-60,-200,-91,-200,-86,-88,-92,-85,-200,-86,-93,-200,-200,-200,-200,-200,-79,-200,-200,-90,-93,-200,-200,-96,-73,-200,-88,-80,-94,-200,-200,-200,-69,-93,-200,-96,-200,-96,-94,-200,-97,-200,-200,-200,-92,-200,-200,-82,-92,-200,-200,-200,-200,-200,-200
1526456404896,-34,-31,-50,-48,-58,-55,-53,-54,-63,-46,-58,-67,-57,-57,-72,-62,-66,-74,-65,-80,-66,-68,-55,-74,-81,-76,-69,-62,-73,-74,-66,-66,-71,-83,-91,-78,-84,-88,-80,-77,-69,-79,-84,-73,-70,-84,-77,-79,-200,-79,-91,-92,-76,-81,-80,-75,-71,-84,-94,-200,-86,-82,-89,-85,-200,-86,-93,-200,-77,-200,-92,-200,-79,-200,-200,-200,-93,-200,-200,-96,-78,-200,-88,-85,-90,-200,-200,-200,-71,-94,-200,-96,-200,-96,-94,-200,-97,-96,-200,-200,-92,-200,-200,-200,-92,-90,-95,-97,-200,-200,-200
1526456407951,-36,-33,-45,-47,-50,-68,-56,-65,-65,-52,-55,-65,-57,-62,-73,-62,-62,-83,-71,-80,-64,-69,-60,-73,-78,-70,-73,-63,-200,-77,-69,-70,-78,-83,-86,-59,-84,-76,-80,-77,-71,-76,-67,-70,-72,-84,-80,-79,-85,-79,-91,-92,-75,-79,-80,-69,-74,-84,-94,-200,-88,-82,-87,-88,-88,-200,-200,-200,-86,-200,-92,-200,-200,-200,-200,-200,-91,-200,-200,-92,-78,-85,-200,-87,-92,-200,-93,-200,-70,-92,-200,-96,-200,-93,-200,-200,-97,-96,-200,-200,-92,-200,-200,-200,-200,-90,-95,-97,-200,-200,-200
1526456411002,-37,-33,-43,-48,-52,-64,-52,-59,-70,-49,-54,-65,-57,-60,-71,-61,-70,-71,-70,-72,-65,-70,-62,-72,-75,-73,-73,-67,-200,-73,-67,-76,-74,-80,-79,-78,-200,-77,-80,-77,-71,-76,-72,-70,-72,-84,-75,-79,-85,-85,-91,-95,-75,-79,-80,-68,-71,-84,-93,-200,-86,-82,-89,-85,-83,-85,-200,-200,-89,-200,-91,-200,-200,-200,-200,-200,-91,-200,-200,-92,-85,-86,-200,-92,-89,-200,-93,-200,-70,-92,-200,-200,-200,-93,-200,-200,-97,-96,-200,-200,-96,-200,-200,-200,-200,-90,-95,-97,-90,-200,-200
1526456414055,-49,-24,-52,-43,-49,-64,-57,-58,-66,-48,-52,-64,-52,-62,-70,-64,-59,-70,-70,-67,-60,-65,-55,-82,-75,-66,-74,-66,-200,-69,-68,-76,-76,-71,-77,-71,-81,-73,-200,-77,-72,-76,-75,-76,-64,-86,-76,-74,-85,-79,-88,-95,-78,-81,-80,-76,-71,-200,-91,-200,-86,-90,-90,-75,-83,-85,-200,-200,-89,-200,-91,-76,-80,-200,-200,-200,-91,-200,-200,-92,-85,-86,-200,-87,-92,-93,-93,-200,-69,-91,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200
1526456417119,-45,-31,-47,-45,-56,-64,-54,-61,-63,-53,-58,-64,-52,-59,-67,-57,-67,-66,-62,-71,-66,-60,-63,-77,-78,-75,-77,-65,-200,-67,-68,-76,-71,-85,-84,-57,-89,-79,-200,-72,-77,-73,-72,-64,-69,-84,-68,-79,-200,-83,-88,-92,-70,-77,-80,-76,-66,-200,-90,-200,-86,-90,-90,-78,-83,-81,-200,-200,-89,-200,-91,-79,-80,-200,-200,-200,-92,-200,-93,-200,-77,-86,-200,-86,-92,-94,-200,-200,-72,-88,-200,-200,-200,-200,-200,-200,-96,-200,-200,-93,-90,-200,-200,-200,-93,-200,-200,-200,-90,-200,-200
1526456420171,-46,-30,-46,-43,-53,-200,-54,-64,-62,-50,-54,-64,-51,-58,-63,-64,-62,-63,-65,-64,-66,-59,-65,-74,-74,-68,-77,-63,-200,-70,-63,-69,-70,-87,-79,-77,-87,-77,-200,-76,-67,-73,-71,-72,-69,-86,-72,-76,-81,-81,-88,-91,-73,-75,-200,-76,-66,-82,-90,-200,-86,-85,-90,-76,-200,-86,-200,-200,-200,-200,-200,-79,-78,-200,-200,-96,-89,-200,-95,-91,-77,-200,-85,-86,-92,-94,-91,-200,-66,-88,-200,-200,-200,-200,-200,-95,-96,-200,-200,-93,-91,-200,-200,-200,-93,-200,-200,-200,-200,-96,-200
1526456423221,-48,-31,-44,-47,-55,-60,-55,-57,-73,-52,-52,-64,-52,-59,-68,-61,-60,-74,-64,-69,-61,-59,-59,-80,-77,-67,-77,-60,-200,-74,-63,-62,-69,-78,-83,-71,-87,-79,-200,-76,-68,-71,-72,-74,-70,-86,-72,-76,-81,-81,-89,-91,-72,-74,-200,-75,-70,-87,-90,-200,-86,-88,-200,-76,-91,-86,-200,-200,-88,-200,-200,-79,-78,-200,-200,-96,-93,-96,-92,-90,-77,-200,-91,-93,-90,-94,-91,-200,-70,-92,-200,-200,-200,-200,-200,-95,-97,-200,-200,-93,-94,-200,-200,-200,-93,-90,-200,-200,-200,-96,-200
1526456426276,-49,-31,-50,-46,-55,-60,-53,-53,-73,-43,-57,-65,-48,-62,-63,-62,-64,-63,-67,-74,-66,-60,-61,-76,-77,-76,-77,-60,-200,-62,-68,-68,-70,-86,-83,-77,-83,-80,-200,-74,-71,-72,-73,-77,-68,-86,-70,-76,-81,-81,-86,-94,-72,-77,-200,-75,-69,-87,-92,-200,-91,-85,-90,-78,-91,-86,-200,-200,-88,-200,-93,-200,-78,-200,-200,-96,-90,-96,-92,-90,-200,-200,-91,-93,-90,-200,-91,-200,-76,-92,-88,-200,-200,-96,-200,-95,-97,-96,-200,-93,-94,-200,-200,-200,-200,-90,-200,-200,-200,-96,-95
1526456429330,-41,-25,-49,-44,-61,-59,-57,-51,-59,-50,-54,-64,-52,-66,-67,-64,-65,-73,-67,-74,-63,-59,-61,-78,-76,-69,-77,-64,-200,-71,-65,-71,-68,-83,-83,-78,-83,-81,-200,-76,-71,-78,-73,-74,-68,-200,-71,-76,-200,-79,-95,-92,-70,-74,-200,-72,-69,-81,-92,-200,-85,-87,-90,-78,-91,-200,-200,-200,-88,-200,-93,-200,-200,-200,-200,-200,-94,-96,-92,-94,-200,-200,-91,-93,-90,-200,-200,-200,-76,-91,-88,-200,-200,-96,-200,-200,-97,-96,-200,-93,-94,-200,-200,-200,-200,-90,-200,-200,-200,-200,-95
1526456432385,-38,-31,-46,-44,-64,-59,-58,-52,-68,-48,-56,-63,-52,-65,-62,-60,-57,-63,-65,-74,-65,-60,-63,-75,-77,-76,-200,-64,-200,-70,-66,-74,-68,-82,-91,-78,-84,-83,-200,-72,-74,-77,-71,-74,-68,-200,-70,-76,-84,-79,-94,-92,-77,-76,-200,-78,-72,-84,-93,-200,-88,-87,-90,-82,-200,-200,-200,-96,-200,-200,-93,-79,-81,-200,-200,-200,-94,-200,-200,-94,-81,-200,-200,-200,-90,-200,-200,-200,-76,-91,-88,-200,-200,-96,-200,-200,-200,-96,-200,-200,-96,-200,-200,-200,-95,-200,-200,-200,-200,-200,-95
