,DLINK_D02A58,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A88,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018
1526456011370,-49,-53,-65,-52,-42,-58,-51,-59,-62,-58,-55,-200,-57,-84,-61,-62,-73,-61,-63,-78,-71,-73,-76,-82,-69,-75,-71,-69,-87,-78,-80,-85,-80,-76,-76,-83,-80,-65,-91,-78,-89,-79,-77,-81,-74,-67,-200,-74,-81,-200,-81,-84,-89,-80,-91,-77,-83,-82,-77,-83,-84,-200,-73,-200,-200,-89,-88,-89,-61,-200,-200,-200,-94,-93,-85,-200,-200,-200,-94,-94,-200,-200,-98,-93,-95,-200,-200,-78,-200,-200,-200,-200,-92,-98,-200,-200,-91,-91,-81,-200,-200,-200,-200,-200,-200,-200
1526456011577,-49,-53,-65,-52,-42,-58,-51,-59,-62,-58,-55,-200,-57,-84,-61,-62,-73,-61,-63,-78,-71,-73,-76,-82,-69,-75,-71,-69,-87,-78,-80,-85,-80,-76,-76,-83,-80,-65,-91,-78,-89,-79,-77,-81,-74,-67,-200,-74,-81,-200,-81,-84,-89,-80,-91,-77,-83,-82,-77,-83,-84,-200,-73,-200,-200,-89,-88,-89,-61,-200,-200,-200,-94,-93,-85,-200,-200,-200,-94,-94,-200,-200,-98,-93,-95,-200,-200,-78,-200,-200,-200,-200,-92,-98,-200,-200,-91,-91,-81,-200,-200,-200,-200,-200,-200,-200
1526456014418,-49,-53,-58,-51,-42,-58,-56,-66,-58,-56,-54,-200,-58,-78,-62,-61,-72,-60,-68,-74,-79,-71,-78,-77,-70,-73,-73,-68,-83,-78,-72,-86,-69,-76,-76,-69,-77,-69,-93,-80,-90,-79,-79,-82,-75,-65,-200,-79,-81,-200,-77,-83,-89,-82,-93,-77,-84,-87,-78,-84,-84,-200,-70,-97,-90,-89,-200,-89,-61,-200,-81,-200,-93,-88,-82,-200,-200,-200,-200,-93,-200,-200,-95,-93,-95,-200,-200,-200,-200,-200,-200,-200,-92,-98,-200,-200,-86,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526456014639,-49,-53,-58,-51,-42,-58,-56,-66,-58,-56,-54,-200,-58,-78,-62,-61,-72,-60,-68,-74,-79,-71,-78,-77,-70,-73,-73,-68,-83,-78,-72,-86,-69,-76,-76,-69,-77,-69,-93,-80,-90,-79,-79,-82,-75,-65,-200,-79,-81,-200,-77,-83,-89,-82,-93,-77,-84,-87,-78,-84,-84,-200,-70,-97,-90,-89,-200,-89,-61,-200,-81,-200,-93,-88,-82,-200,-200,-200,-200,-93,-200,-200,-95,-93,-95,-200,-200,-200,-200,-200,-200,-200,-92,-98,-200,-200,-86,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526456017468,-48,-54,-60,-51,-42,-57,-55,-56,-63,-55,-53,-62,-56,-78,-62,-60,-72,-60,-65,-79,-79,-75,-77,-79,-70,-75,-74,-68,-83,-78,-76,-82,-86,-200,-77,-85,-77,-67,-90,-79,-91,-79,-77,-80,-76,-65,-200,-75,-200,-200,-78,-84,-89,-82,-91,-76,-83,-84,-78,-85,-80,-200,-74,-97,-90,-92,-93,-92,-200,-200,-88,-98,-96,-88,-84,-200,-200,-200,-82,-93,-200,-93,-95,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-92,-200,-81,-96,-200,-200,-200,-200,-200,-200
1526456017680,-48,-54,-60,-51,-42,-57,-55,-56,-63,-55,-53,-62,-56,-78,-62,-60,-72,-60,-65,-79,-79,-75,-77,-79,-70,-75,-74,-68,-83,-78,-76,-82,-86,-200,-77,-85,-77,-67,-90,-79,-91,-79,-77,-80,-76,-65,-200,-75,-200,-200,-78,-84,-89,-82,-91,-76,-83,-84,-78,-85,-80,-200,-74,-97,-90,-92,-93,-92,-200,-200,-88,-98,-96,-88,-84,-200,-200,-200,-82,-93,-200,-93,-95,-97,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-92,-200,-81,-96,-200,-200,-200,-200,-200,-200
1526456020517,-41,-53,-62,-51,-41,-59,-53,-61,-65,-54,-57,-62,-57,-77,-59,-62,-72,-61,-62,-75,-78,-71,-76,-81,-70,-75,-73,-66,-83,-79,-76,-82,-83,-83,-80,-85,-79,-72,-93,-80,-89,-78,-78,-79,-74,-65,-200,-81,-84,-200,-81,-84,-89,-79,-91,-78,-84,-84,-78,-86,-81,-200,-72,-200,-90,-92,-92,-92,-91,-200,-82,-98,-93,-72,-84,-200,-200,-200,-92,-92,-200,-93,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-92,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526456020739,-41,-53,-62,-51,-41,-59,-53,-61,-65,-54,-57,-62,-57,-77,-59,-62,-72,-61,-62,-75,-78,-71,-76,-81,-70,-75,-73,-66,-83,-79,-76,-82,-83,-83,-80,-85,-79,-72,-93,-80,-89,-78,-78,-79,-74,-65,-200,-81,-84,-200,-81,-84,-89,-79,-91,-78,-84,-84,-78,-86,-81,-200,-72,-200,-90,-92,-92,-92,-91,-200,-82,-98,-93,-72,-84,-200,-200,-200,-92,-92,-200,-93,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-92,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526456023570,-40,-52,-61,-50,-43,-58,-54,-53,-64,-54,-55,-64,-59,-77,-59,-61,-73,-60,-73,-75,-76,-71,-73,-78,-70,-76,-72,-68,-83,-79,-79,-81,-77,-83,-79,-84,-78,-72,-92,-82,-88,-78,-78,-79,-74,-65,-94,-81,-84,-200,-86,-83,-89,-79,-93,-76,-82,-86,-77,-85,-81,-200,-72,-200,-200,-92,-93,-91,-88,-200,-82,-98,-93,-87,-87,-200,-200,-200,-94,-93,-200,-200,-97,-200,-200,-200,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526456023785,-40,-52,-61,-50,-43,-58,-54,-53,-64,-54,-55,-64,-59,-77,-59,-61,-73,-60,-73,-75,-76,-71,-73,-78,-70,-76,-72,-68,-83,-79,-79,-81,-77,-83,-79,-84,-78,-72,-92,-82,-88,-78,-78,-79,-74,-65,-94,-81,-84,-200,-86,-83,-89,-79,-93,-76,-82,-86,-77,-85,-81,-200,-72,-200,-200,-92,-93,-91,-88,-200,-82,-98,-93,-87,-87,-200,-200,-200,-94,-93,-200,-200,-97,-200,-200,-200,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-200
1526456026625,-42,-53,-60,-51,-41,-58,-56,-55,-63,-55,-54,-64,-58,-77,-63,-61,-76,-60,-70,-80,-79,-71,-76,-77,-68,-77,-73,-68,-84,-79,-79,-82,-82,-80,-80,-84,-78,-63,-92,-79,-87,-79,-79,-78,-74,-66,-94,-76,-85,-200,-86,-83,-89,-79,-93,-76,-84,-86,-79,-84,-83,-200,-74,-200,-200,-87,-93,-92,-88,-200,-81,-200,-97,-68,-82,-200,-200,-200,-94,-92,-200,-200,-97,-97,-200,-200,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-96,-200,-200,-200,-200,-200,-200
1526456026845,-42,-53,-60,-51,-41,-58,-56,-55,-63,-55,-54,-64,-58,-77,-63,-61,-76,-60,-70,-80,-79,-71,-76,-77,-68,-77,-73,-68,-84,-79,-79,-82,-82,-80,-80,-84,-78,-63,-92,-79,-87,-79,-79,-78,-74,-66,-94,-76,-85,-200,-86,-83,-89,-79,-93,-76,-84,-86,-79,-84,-83,-200,-74,-200,-200,-87,-93,-92,-88,-200,-81,-200,-97,-68,-82,-200,-200,-200,-94,-92,-200,-200,-97,-97,-200,-200,-200,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-96,-200,-200,-200,-200,-200,-200
1526456029676,-41,-53,-61,-50,-41,-60,-56,-61,-63,-57,-56,-64,-52,-77,-62,-61,-73,-60,-68,-74,-77,-74,-76,-82,-70,-77,-74,-76,-84,-79,-200,-82,-82,-80,-78,-80,-77,-71,-90,-78,-88,-78,-79,-79,-73,-65,-94,-77,-85,-200,-79,-80,-89,-80,-94,-77,-82,-86,-78,-89,-84,-200,-72,-96,-91,-87,-91,-89,-88,-200,-82,-200,-95,-86,-83,-200,-200,-200,-93,-92,-200,-200,-97,-97,-97,-200,-99,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-97,-200,-200,-200,-200,-200,-200
1526456029896,-41,-53,-61,-50,-41,-60,-56,-61,-63,-57,-56,-64,-52,-77,-62,-61,-73,-60,-68,-74,-77,-74,-76,-82,-70,-77,-74,-76,-84,-79,-200,-82,-82,-80,-78,-80,-77,-71,-90,-78,-88,-78,-79,-79,-73,-65,-94,-77,-85,-200,-79,-80,-89,-80,-94,-77,-82,-86,-78,-89,-84,-200,-72,-96,-91,-87,-91,-89,-88,-200,-82,-200,-95,-86,-83,-200,-200,-200,-93,-92,-200,-200,-97,-97,-97,-200,-99,-79,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-97,-200,-200,-200,-200,-200,-200
1526456032731,-48,-52,-60,-49,-41,-59,-54,-62,-62,-55,-59,-64,-59,-77,-61,-63,-76,-60,-71,-73,-71,-70,-77,-83,-72,-75,-73,-68,-84,-79,-200,-82,-84,-80,-78,-79,-77,-68,-91,-81,-87,-78,-82,-79,-76,-66,-200,-76,-82,-200,-79,-81,-90,-80,-94,-77,-82,-83,-78,-84,-84,-200,-72,-96,-91,-89,-91,-91,-200,-200,-81,-200,-94,-87,-83,-200,-200,-200,-94,-92,-200,-95,-97,-97,-97,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-97,-94,-200,-200,-200,-200,-200
1526456032931,-48,-52,-60,-49,-41,-59,-54,-62,-62,-55,-59,-64,-59,-77,-61,-63,-76,-60,-71,-73,-71,-70,-77,-83,-72,-75,-73,-68,-84,-79,-200,-82,-84,-80,-78,-79,-77,-68,-91,-81,-87,-78,-82,-79,-76,-66,-200,-76,-82,-200,-79,-81,-90,-80,-94,-77,-82,-83,-78,-84,-84,-200,-72,-96,-91,-89,-91,-91,-200,-200,-81,-200,-94,-87,-83,-200,-200,-200,-94,-92,-200,-95,-97,-97,-97,-200,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-97,-94,-200,-200,-200,-200,-200
1526456035779,-49,-54,-62,-53,-42,-58,-53,-54,-61,-54,-56,-66,-60,-77,-57,-59,-72,-60,-64,-75,-79,-70,-76,-83,-70,-77,-73,-68,-84,-80,-200,-88,-77,-76,-78,-80,-79,-72,-95,-77,-90,-79,-82,-78,-75,-67,-200,-76,-82,-95,-79,-82,-90,-79,-95,-77,-82,-85,-77,-84,-83,-95,-67,-96,-91,-90,-92,-91,-200,-200,-88,-200,-94,-73,-83,-96,-200,-200,-93,-93,-200,-95,-200,-97,-96,-200,-200,-81,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-97,-94,-200,-200,-200,-200,-200
1526456036004,-49,-54,-62,-53,-42,-58,-53,-54,-61,-54,-56,-66,-60,-77,-57,-59,-72,-60,-64,-75,-79,-70,-76,-83,-70,-77,-73,-68,-84,-80,-200,-88,-77,-76,-78,-80,-79,-72,-95,-77,-90,-79,-82,-78,-75,-67,-200,-76,-82,-95,-79,-82,-90,-79,-95,-77,-82,-85,-77,-84,-83,-95,-67,-96,-91,-90,-92,-91,-200,-200,-88,-200,-94,-73,-83,-96,-200,-200,-93,-93,-200,-95,-200,-97,-96,-200,-200,-81,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-97,-94,-200,-200,-200,-200,-200
1526456038835,-41,-53,-62,-50,-44,-58,-56,-55,-61,-55,-57,-69,-58,-76,-58,-59,-75,-62,-64,-76,-74,-71,-77,-82,-68,-77,-72,-69,-84,-79,-77,-82,-85,-76,-79,-80,-79,-67,-92,-81,-86,-80,-81,-79,-76,-65,-200,-75,-85,-95,-85,-82,-90,-79,-95,-80,-82,-84,-78,-81,-83,-95,-71,-96,-93,-91,-92,-91,-200,-200,-89,-200,-200,-88,-82,-96,-200,-200,-93,-95,-200,-95,-97,-97,-96,-200,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-96,-200,-200,-200,-200
1526456039055,-41,-53,-62,-50,-44,-58,-56,-55,-61,-55,-57,-69,-58,-76,-58,-59,-75,-62,-64,-76,-74,-71,-77,-82,-68,-77,-72,-69,-84,-79,-77,-82,-85,-76,-79,-80,-79,-67,-92,-81,-86,-80,-81,-79,-76,-65,-200,-75,-85,-95,-85,-82,-90,-79,-95,-80,-82,-84,-78,-81,-83,-95,-71,-96,-93,-91,-92,-91,-200,-200,-89,-200,-200,-88,-82,-96,-200,-200,-93,-95,-200,-95,-97,-97,-96,-200,-200,-79,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-200,-96,-200,-200,-200,-200
1526456041885,-49,-54,-60,-50,-42,-59,-58,-54,-61,-57,-54,-69,-59,-78,-59,-58,-74,-54,-65,-76,-74,-73,-78,-76,-67,-77,-73,-67,-84,-80,-77,-83,-76,-200,-79,-85,-79,-73,-94,-80,-86,-80,-80,-79,-74,-63,-200,-78,-80,-95,-85,-82,-90,-80,-92,-81,-84,-82,-79,-84,-83,-95,-72,-96,-93,-89,-92,-93,-200,-200,-82,-200,-94,-70,-84,-96,-200,-200,-85,-95,-200,-200,-96,-200,-96,-200,-200,-79,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-94,-200,-96,-200,-200,-200,-200
