,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526442227669,-66,-200,-200,-74,-200,-90,-78,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442227787,-65,-200,-200,-75,-200,-90,-81,-75,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526442227880,-65,-73,-93,-75,-200,-90,-81,-75,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526442227983,-64,-71,-92,-75,-200,-90,-81,-74,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526442228096,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442232529,-59,-80,-200,-200,-200,-200,-79,-74,-90,-200,-94,-200,-200,-200,-200,-93,-200
1526442232635,-61,-95,-200,-84,-200,-200,-83,-74,-88,-200,-94,-200,-200,-200,-200,-200,-200
1526442232763,-60,-90,-200,-82,-200,-200,-83,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442232867,-200,-84,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-93,-200
1526442232969,-61,-81,-200,-200,-200,-200,-200,-75,-89,-200,-200,-200,-200,-93,-200,-92,-200
1526442233069,-61,-81,-200,-82,-97,-94,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442237572,-68,-73,-200,-90,-200,-200,-81,-78,-87,-200,-200,-96,-200,-200,-200,-200,-200
1526442237681,-67,-76,-200,-89,-200,-200,-80,-76,-84,-98,-96,-98,-200,-94,-200,-200,-200
1526442237827,-66,-76,-200,-92,-200,-200,-77,-79,-85,-98,-96,-200,-200,-200,-200,-200,-200
1526442237955,-66,-75,-200,-91,-200,-200,-79,-80,-84,-97,-96,-200,-200,-200,-200,-200,-200
1526442238057,-200,-75,-200,-200,-200,-95,-79,-82,-200,-98,-96,-200,-200,-95,-200,-200,-200
1526442242560,-200,-200,-200,-82,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442242661,-62,-90,-200,-82,-200,-200,-82,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442242797,-63,-85,-200,-83,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442242892,-63,-200,-200,-82,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442242998,-63,-82,-200,-82,-200,-94,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442243112,-63,-200,-200,-81,-200,-200,-200,-200,-97,-96,-200,-200,-200,-90,-200,-200,-200
1526442247625,-61,-69,-200,-200,-200,-93,-200,-80,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526442247732,-62,-69,-200,-200,-200,-200,-200,-200,-85,-200,-95,-200,-200,-89,-200,-200,-200
1526442247850,-61,-68,-200,-80,-99,-200,-200,-200,-200,-95,-200,-200,-200,-89,-200,-200,-200
1526442247958,-200,-68,-200,-80,-200,-200,-200,-83,-200,-95,-96,-200,-200,-91,-200,-200,-200
1526442248050,-70,-68,-200,-87,-200,-93,-81,-79,-200,-200,-200,-200,-200,-89,-200,-96,-200
1526442252648,-200,-200,-200,-87,-200,-200,-82,-79,-88,-200,-200,-97,-200,-200,-200,-97,-200
1526442252735,-70,-200,-200,-86,-200,-92,-81,-80,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526442252836,-200,-200,-200,-87,-200,-200,-200,-200,-87,-200,-100,-98,-200,-200,-200,-95,-200
1526442252949,-70,-75,-200,-86,-200,-93,-200,-78,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526442253061,-70,-75,-200,-86,-200,-200,-80,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442257607,-63,-71,-200,-85,-200,-200,-200,-70,-200,-200,-200,-200,-200,-88,-200,-200,-200
1526442257702,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442257806,-63,-200,-200,-84,-200,-200,-92,-70,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442257908,-63,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200
1526442258015,-63,-200,-200,-83,-200,-200,-87,-71,-200,-200,-200,-200,-200,-89,-200,-200,-200
1526442258106,-64,-200,-200,-84,-200,-87,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526442262624,-61,-70,-200,-200,-200,-87,-82,-71,-85,-200,-90,-93,-200,-200,-200,-95,-200
1526442262723,-61,-69,-98,-80,-98,-87,-81,-200,-85,-200,-89,-200,-200,-90,-92,-200,-200
1526442262829,-62,-69,-200,-200,-200,-87,-83,-200,-200,-200,-90,-94,-200,-200,-92,-94,-200
1526442262933,-62,-69,-200,-200,-200,-86,-82,-72,-86,-200,-89,-91,-200,-89,-200,-200,-200
1526442263066,-62,-200,-98,-200,-200,-200,-82,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526442267571,-66,-71,-200,-83,-200,-96,-82,-200,-200,-94,-200,-200,-200,-97,-200,-97,-96
1526442267695,-200,-71,-200,-200,-200,-95,-82,-92,-200,-200,-200,-200,-200,-200,-92,-98,-200
1526442267802,-66,-72,-200,-84,-200,-96,-200,-92,-88,-200,-200,-200,-200,-200,-93,-100,-200
1526442267907,-66,-72,-200,-200,-200,-95,-82,-89,-200,-93,-200,-200,-200,-200,-93,-200,-200
1526442268011,-66,-71,-200,-84,-200,-94,-81,-90,-87,-92,-200,-200,-200,-200,-92,-98,-200
1526442268117,-200,-71,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200
