,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526461497204,-15,-39,-51,-54,-48,-58,-62,-58,-52,-57,-51,-62,-60,-71,-52,-83,-88,-70,-71,-69,-85,-65,-71,-83,-74,-59,-82,-84,-77,-78,-70,-83,-200,-81,-200,-87,-79,-82,-81,-84,-80,-200,-77,-84,-81,-200,-89,-88,-82,-91,-200,-84,-200,-200,-82,-200,-200,-91,-75,-200,-90,-84,-90,-85,-200,-93,-200,-87,-200,-200,-200,-92,-88,-83,-90,-87,-200,-200,-200,-200,-200,-200,-200
1526461500214,-7,-40,-52,-46,-50,-52,-61,-53,-51,-48,-51,-47,-72,-65,-55,-83,-56,-80,-200,-59,-85,-64,-70,-82,-74,-60,-80,-85,-77,-82,-65,-82,-88,-81,-200,-81,-200,-82,-81,-200,-82,-200,-77,-84,-84,-200,-200,-88,-84,-91,-200,-85,-200,-200,-82,-200,-89,-91,-75,-80,-83,-83,-90,-85,-200,-92,-75,-87,-92,-200,-200,-200,-200,-83,-90,-92,-83,-90,-200,-200,-200,-200,-200
1526461503247,-23,-38,-52,-44,-49,-59,-62,-57,-51,-45,-54,-52,-62,-63,-56,-73,-56,-71,-200,-62,-79,-65,-72,-82,-74,-60,-83,-84,-77,-79,-59,-83,-88,-81,-200,-81,-200,-200,-77,-87,-79,-90,-77,-84,-84,-82,-200,-200,-84,-200,-200,-85,-200,-200,-82,-200,-89,-91,-72,-80,-83,-83,-90,-89,-89,-94,-79,-87,-92,-200,-200,-200,-200,-83,-200,-92,-83,-90,-83,-200,-200,-200,-200
1526461506287,-22,-38,-47,-43,-49,-58,-63,-57,-52,-49,-55,-53,-63,-64,-54,-73,-58,-66,-200,-61,-78,-66,-72,-82,-74,-60,-82,-84,-78,-79,-64,-83,-88,-81,-89,-81,-200,-62,-81,-87,-81,-90,-77,-84,-84,-82,-200,-87,-83,-200,-200,-85,-200,-200,-85,-200,-89,-200,-73,-79,-83,-83,-200,-89,-89,-94,-79,-80,-92,-200,-200,-200,-200,-83,-200,-92,-83,-90,-83,-91,-200,-200,-200
1526461509327,-22,-38,-47,-43,-49,-52,-63,-59,-52,-49,-50,-53,-61,-63,-56,-74,-55,-66,-72,-61,-86,-66,-72,-82,-74,-61,-82,-84,-77,-79,-61,-82,-88,-77,-89,-80,-81,-83,-70,-87,-82,-92,-77,-86,-81,-80,-89,-88,-84,-200,-200,-85,-200,-200,-83,-200,-200,-200,-73,-79,-200,-83,-200,-89,-89,-94,-79,-82,-91,-200,-200,-200,-200,-82,-200,-92,-83,-88,-83,-91,-200,-200,-200
1526461512366,-23,-38,-47,-46,-47,-57,-63,-58,-51,-48,-56,-52,-60,-64,-56,-74,-53,-72,-72,-61,-85,-67,-71,-82,-74,-59,-71,-84,-76,-78,-65,-83,-200,-76,-89,-84,-78,-83,-81,-87,-81,-92,-75,-86,-80,-81,-89,-88,-86,-200,-200,-200,-200,-200,-85,-200,-200,-200,-74,-81,-200,-83,-89,-89,-88,-94,-79,-82,-91,-200,-200,-200,-200,-82,-200,-200,-200,-88,-83,-91,-90,-200,-200
1526461515407,-15,-9,-54,-42,-59,-58,-63,-58,-46,-49,-57,-53,-65,-72,-57,-74,-53,-72,-72,-69,-79,-64,-71,-82,-74,-62,-83,-200,-76,-78,-62,-83,-200,-76,-89,-84,-78,-83,-80,-87,-81,-92,-81,-85,-81,-80,-89,-88,-86,-90,-88,-200,-200,-200,-82,-200,-200,-200,-69,-89,-200,-83,-91,-200,-88,-91,-200,-80,-91,-200,-200,-200,-200,-82,-200,-200,-200,-88,-200,-91,-90,-200,-200
1526461518444,-22,-36,-53,-46,-49,-57,-68,-58,-51,-48,-56,-48,-63,-63,-55,-74,-57,-66,-75,-60,-86,-65,-72,-82,-74,-60,-72,-200,-76,-79,-64,-83,-200,-77,-89,-84,-78,-81,-79,-83,-80,-92,-81,-85,-81,-81,-89,-88,-86,-88,-88,-200,-200,-200,-82,-200,-200,-200,-75,-80,-200,-83,-91,-87,-88,-92,-200,-80,-91,-200,-200,-200,-200,-83,-200,-200,-200,-88,-200,-200,-90,-89,-200
1526461521484,-22,-38,-47,-43,-46,-59,-65,-57,-50,-48,-54,-53,-63,-64,-53,-76,-57,-72,-75,-57,-79,-64,-72,-83,-74,-60,-82,-200,-79,-78,-61,-83,-200,-78,-90,-81,-81,-83,-79,-83,-80,-200,-81,-87,-78,-82,-200,-200,-83,-88,-88,-80,-200,-200,-82,-200,-200,-200,-72,-79,-81,-84,-90,-86,-88,-92,-200,-80,-200,-200,-200,-200,-200,-83,-200,-200,-83,-200,-200,-200,-90,-89,-200
1526461524519,-24,-38,-55,-46,-48,-58,-58,-54,-51,-49,-52,-53,-61,-63,-53,-81,-57,-66,-72,-68,-85,-64,-72,-83,-72,-62,-82,-200,-77,-77,-61,-85,-200,-78,-88,-81,-79,-78,-77,-83,-81,-200,-76,-87,-78,-80,-200,-93,-85,-89,-89,-79,-200,-200,-83,-200,-200,-200,-72,-79,-81,-84,-91,-86,-200,-92,-200,-80,-200,-200,-200,-200,-200,-83,-200,-200,-83,-200,-200,-200,-200,-89,-200
1526461527551,-23,-40,-48,-42,-52,-58,-58,-59,-50,-47,-52,-48,-61,-63,-55,-74,-56,-66,-72,-61,-85,-65,-72,-84,-74,-59,-82,-200,-77,-77,-62,-85,-85,-81,-88,-81,-84,-78,-81,-83,-79,-200,-76,-87,-78,-82,-90,-93,-84,-89,-89,-79,-200,-91,-83,-200,-200,-200,-72,-79,-81,-84,-91,-88,-87,-92,-200,-200,-92,-200,-200,-89,-200,-83,-200,-200,-83,-200,-200,-200,-200,-89,-200
1526461530586,-15,-40,-50,-46,-49,-54,-58,-59,-51,-55,-53,-53,-69,-64,-53,-76,-57,-66,-71,-64,-85,-64,-71,-84,-74,-66,-82,-200,-77,-79,-65,-83,-85,-78,-88,-81,-84,-82,-78,-88,-80,-94,-76,-87,-80,-83,-90,-93,-84,-89,-87,-79,-200,-91,-83,-200,-200,-200,-72,-80,-81,-83,-91,-88,-87,-200,-200,-200,-89,-200,-200,-89,-200,-200,-90,-200,-83,-89,-200,-200,-200,-200,-92
