,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526446240185,-49,-36,-48,-47,-39,-51,-48,-45,-51,-58,-52,-54,-43,-53,-52,-55,-70,-64,-61,-200,-200,-67,-63,-70,-73,-200,-72,-79,-66,-73,-81,-67,-79,-73,-73,-200,-200,-76,-79,-76,-80,-85,-76,-66,-80,-200,-86,-87,-86,-200,-200,-200,-200,-76,-200,-89,-200,-200,-200,-200,-78,-85,-85,-81,-80,-85,-200,-81,-86,-81,-86,-200,-200,-200
1526446243249,-45,-40,-48,-42,-39,-54,-42,-41,-51,-54,-56,-56,-43,-53,-52,-56,-70,-67,-61,-76,-200,-67,-200,-79,-72,-200,-72,-79,-66,-72,-81,-67,-200,-73,-73,-85,-200,-75,-79,-75,-80,-79,-76,-66,-78,-200,-85,-87,-86,-200,-200,-200,-200,-76,-200,-89,-200,-200,-90,-200,-78,-85,-85,-80,-80,-85,-200,-81,-86,-81,-86,-200,-200,-200
1526446246311,-48,-36,-48,-45,-45,-48,-48,-49,-51,-55,-53,-51,-43,-53,-55,-54,-68,-67,-61,-76,-200,-67,-200,-79,-72,-77,-70,-79,-66,-72,-81,-68,-200,-73,-71,-85,-200,-75,-79,-75,-80,-79,-76,-66,-79,-200,-85,-87,-86,-200,-200,-200,-69,-76,-200,-88,-200,-200,-86,-87,-77,-85,-85,-84,-80,-85,-200,-81,-89,-81,-86,-200,-200,-200
1526446249392,-46,-32,-46,-44,-38,-49,-50,-51,-50,-57,-51,-55,-45,-59,-51,-54,-68,-67,-61,-76,-200,-67,-69,-83,-72,-77,-70,-79,-66,-74,-200,-68,-200,-73,-73,-85,-200,-75,-79,-74,-80,-84,-76,-200,-79,-200,-85,-87,-86,-200,-200,-200,-69,-76,-200,-88,-200,-86,-86,-87,-77,-200,-86,-80,-80,-85,-200,-200,-89,-81,-86,-200,-200,-200
1526446252446,-43,-32,-47,-44,-42,-51,-57,-42,-50,-56,-51,-55,-44,-59,-53,-51,-70,-68,-61,-77,-200,-67,-66,-83,-72,-77,-70,-200,-68,-75,-200,-71,-200,-69,-73,-85,-200,-75,-200,-74,-82,-81,-76,-200,-79,-200,-85,-200,-200,-85,-200,-200,-70,-200,-200,-87,-200,-86,-86,-87,-78,-200,-86,-79,-80,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526446255489,-45,-32,-47,-44,-41,-51,-59,-46,-51,-55,-52,-53,-42,-56,-55,-54,-69,-69,-61,-77,-65,-67,-67,-74,-68,-77,-70,-200,-67,-72,-83,-68,-200,-78,-73,-85,-200,-75,-200,-74,-82,-82,-75,-67,-79,-200,-85,-200,-200,-85,-85,-200,-70,-75,-200,-87,-200,-86,-86,-87,-78,-200,-86,-79,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200
1526446258545,-47,-37,-49,-44,-41,-52,-47,-41,-50,-57,-56,-56,-44,-56,-55,-55,-69,-68,-61,-72,-65,-69,-67,-74,-68,-77,-70,-200,-67,-73,-83,-68,-200,-74,-73,-85,-200,-75,-78,-74,-82,-84,-75,-69,-79,-200,-200,-200,-200,-85,-85,-200,-70,-75,-200,-87,-200,-85,-86,-87,-79,-83,-86,-79,-200,-93,-200,-200,-89,-200,-200,-80,-200,-200
1526446261600,-47,-33,-47,-44,-40,-52,-47,-49,-50,-51,-56,-56,-44,-56,-55,-55,-69,-68,-60,-72,-65,-67,-67,-74,-68,-69,-70,-200,-67,-73,-83,-68,-200,-74,-73,-85,-200,-75,-78,-74,-82,-84,-75,-69,-79,-200,-200,-200,-200,-85,-86,-89,-70,-75,-200,-87,-200,-85,-86,-200,-79,-83,-86,-79,-200,-93,-200,-200,-200,-81,-200,-80,-200,-200
1526446264654,-41,-37,-45,-44,-39,-52,-44,-49,-50,-54,-52,-56,-45,-58,-55,-55,-69,-68,-60,-67,-67,-68,-69,-70,-71,-69,-70,-200,-64,-73,-83,-70,-200,-70,-73,-85,-200,-75,-78,-78,-82,-82,-75,-69,-79,-200,-85,-200,-200,-85,-86,-89,-70,-69,-200,-87,-200,-85,-85,-200,-79,-83,-200,-79,-82,-93,-200,-200,-200,-81,-200,-80,-200,-200
1526446267711,-45,-35,-48,-44,-44,-56,-53,-41,-50,-54,-51,-56,-41,-58,-56,-56,-69,-68,-60,-67,-67,-68,-66,-70,-67,-69,-70,-200,-64,-73,-78,-72,-200,-70,-73,-85,-200,-75,-73,-77,-82,-80,-76,-70,-79,-200,-84,-200,-200,-200,-86,-89,-200,-69,-200,-200,-200,-85,-85,-200,-79,-83,-200,-200,-82,-93,-200,-200,-200,-81,-200,-80,-90,-200
1526446270774,-46,-35,-45,-44,-40,-53,-53,-41,-50,-51,-51,-56,-45,-59,-55,-55,-69,-65,-60,-67,-67,-71,-66,-70,-67,-69,-70,-200,-64,-73,-81,-71,-200,-72,-73,-85,-200,-200,-73,-77,-81,-80,-77,-70,-79,-200,-84,-200,-200,-86,-86,-89,-200,-69,-200,-200,-200,-85,-86,-200,-79,-80,-200,-81,-82,-93,-200,-200,-200,-81,-200,-80,-90,-84
1526446273838,-45,-35,-57,-44,-41,-52,-50,-40,-51,-55,-57,-56,-42,-55,-56,-55,-68,-65,-61,-67,-64,-70,-66,-70,-67,-72,-71,-200,-68,-74,-81,-71,-200,-73,-74,-200,-200,-200,-73,-77,-81,-82,-77,-70,-80,-200,-84,-88,-200,-86,-88,-89,-200,-69,-200,-200,-200,-85,-87,-200,-78,-80,-200,-83,-80,-200,-200,-200,-200,-81,-200,-200,-90,-84
