,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526448878993,-79,-69,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-82,-70,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-86,-200,-74,-200,-92,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200
1526448882251,-200,-200,-81,-74,-70,-86,-200,-200,-200,-200,-70,-84,-200,-200,-200,-73,-82,-200,-200,-200,-200,-92,-200,-200,-90,-200,-200,-200,-92,-200,-200,-200,-73,-200,-91,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200
1526448883366,-200,-200,-67,-200,-66,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-71,-75,-200,-200,-73,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-73,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448884460,-77,-200,-78,-200,-200,-200,-200,-200,-200,-87,-74,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526448886672,-75,-200,-200,-200,-200,-200,-200,-200,-89,-200,-74,-200,-200,-200,-200,-200,-90,-200,-200,-83,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-88,-94,-200,-200,-200,-200
1526448887768,-75,-200,-84,-200,-200,-200,-75,-200,-200,-200,-70,-200,-200,-200,-93,-74,-79,-75,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-80,-200,-73,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526448888897,-200,-75,-200,-72,-66,-200,-86,-200,-94,-200,-73,-200,-200,-200,-87,-200,-200,-200,-90,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200
1526448889995,-200,-68,-85,-72,-200,-90,-200,-200,-200,-80,-75,-200,-200,-200,-88,-200,-200,-200,-200,-70,-200,-89,-200,-74,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526448892145,-75,-200,-78,-200,-200,-200,-200,-90,-200,-200,-71,-86,-75,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-76,-200,-200,-87,-97,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448894349,-200,-71,-200,-200,-67,-89,-76,-90,-88,-200,-200,-90,-75,-200,-200,-200,-200,-200,-200,-75,-84,-200,-200,-76,-200,-81,-87,-93,-86,-200,-200,-200,-200,-200,-90,-89,-85,-200,-200,-89,-200,-200,-200,-200,-200
1526448896567,-77,-75,-70,-200,-67,-200,-200,-86,-200,-200,-74,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-74,-200,-76,-80,-200,-200,-200,-86,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448896706,-200,-75,-200,-74,-200,-200,-200,-200,-89,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-73,-200,-200,-78,-74,-200,-81,-200,-94,-90,-200,-200,-91,-74,-94,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526448897798,-200,-200,-200,-200,-69,-200,-200,-85,-200,-200,-73,-200,-74,-200,-200,-200,-200,-78,-92,-200,-82,-200,-86,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-95,-92,-200,-200
1526448899951,-200,-73,-200,-200,-200,-200,-76,-200,-92,-200,-200,-86,-75,-90,-200,-200,-200,-82,-200,-200,-82,-200,-80,-74,-200,-200,-86,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
1526448901083,-200,-200,-200,-200,-74,-200,-200,-84,-200,-200,-200,-200,-75,-200,-200,-200,-81,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448902161,-200,-200,-200,-73,-70,-200,-200,-200,-88,-200,-200,-200,-76,-200,-200,-74,-200,-71,-200,-70,-80,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-72,-200,-200,-200,-85,-200,-76,-200,-200,-200,-200,-92,-200
1526448904359,-80,-77,-71,-200,-68,-200,-200,-84,-200,-78,-200,-200,-200,-200,-200,-71,-200,-200,-200,-200,-83,-200,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200
1526448905468,-200,-75,-200,-200,-200,-200,-200,-200,-200,-83,-69,-200,-200,-200,-83,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448906553,-200,-200,-80,-74,-200,-200,-78,-200,-200,-200,-69,-200,-200,-200,-200,-72,-80,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-77,-200,-200,-200,-200,-200,-200
1526448907765,-200,-73,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-76,-200,-200,-69,-200,-200,-200,-82,-200,-200,-78,-73,-200,-81,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-91,-200
1526448908852,-200,-200,-70,-200,-74,-200,-200,-83,-200,-200,-200,-84,-200,-200,-200,-72,-78,-200,-200,-200,-200,-200,-200,-74,-200,-200,-80,-92,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448909948,-200,-200,-200,-200,-70,-200,-200,-200,-200,-86,-70,-200,-200,-200,-200,-200,-200,-200,-200,-70,-200,-200,-200,-71,-200,-76,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448911055,-200,-200,-200,-76,-68,-200,-86,-200,-200,-200,-72,-85,-200,-200,-82,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-92
1526448912150,-77,-200,-200,-200,-200,-200,-77,-200,-200,-200,-68,-200,-75,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-72,-200,-200,-200,-200,-85,-200,-200,-200,-80,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526448914352,-79,-70,-200,-76,-200,-200,-200,-200,-94,-200,-70,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448915466,-200,-200,-200,-200,-200,-200,-76,-200,-200,-84,-200,-86,-74,-200,-200,-70,-77,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-89,-90,-76,-90,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526448916661,-200,-72,-200,-75,-200,-200,-200,-200,-200,-83,-70,-200,-76,-200,-200,-69,-91,-200,-92,-200,-200,-200,-200,-73,-200,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97
1526448917761,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-68,-200,-200,-95,-200,-72,-200,-72,-200,-200,-77,-200,-200,-72,-88,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-82,-86,-200,-200,-200,-200,-200
1526448919952,-200,-200,-200,-76,-200,-200,-200,-200,-200,-82,-70,-83,-200,-200,-83,-68,-200,-88,-200,-200,-200,-200,-200,-73,-200,-81,-81,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200
1526448921053,-78,-200,-88,-74,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-76,-200,-200,-84,-200,-200,-200,-73,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-84,-200,-200,-200,-200,-200,-200
1526448922164,-200,-200,-71,-72,-200,-200,-78,-200,-200,-88,-200,-200,-200,-200,-85,-200,-200,-200,-200,-70,-77,-200,-200,-200,-200,-200,-200,-200,-200,-92,-82,-200,-79,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200
1526448923328,-200,-200,-200,-200,-200,-200,-200,-84,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-79,-200,-200,-200,-96,-200,-200
1526448924375,-76,-200,-200,-200,-200,-90,-200,-200,-200,-85,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-83,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200
1526448925452,-200,-67,-200,-72,-71,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-68,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
