,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,whjx-xiaozhuyang-1,D-Link_DIR-823Pro,,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68
1526455875018,-35,-42,-40,-40,-57,-46,-52,-56,-53,-57,-60,-59,-59,-57,-60,-54,-68,-62,-60,-68,-59,-74,-73,-65,-73,-74,-76,-71,-63,-60,-76,-200,-82,-76,-76,-82,-82,-75,-85,-79,-78,-69,-81,-84,-81,-200,-80,-77,-87,-90,-91,-82,-200,-84,-90,-84,-95,-200,-200,-92,-200,-200,-200,-62,-200,-77,-200,-83,-200,-84,-91,-93,-200,-71,-86,-80,-80,-200,-92,-200,-200,-91,-95,-200,-76,-86,-200,-96,-75,-82,-91,-94,-96,-97,-77,-94,-95,-84,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455878070,-33,-40,-36,-46,-49,-49,-51,-61,-50,-59,-58,-61,-61,-61,-61,-58,-68,-60,-60,-67,-60,-71,-65,-65,-71,-71,-76,-79,-56,-57,-76,-77,-78,-72,-76,-200,-80,-79,-84,-77,-77,-72,-81,-87,-85,-200,-90,-76,-83,-200,-91,-87,-200,-86,-90,-90,-93,-94,-200,-94,-200,-96,-200,-64,-200,-73,-200,-83,-200,-75,-200,-91,-98,-70,-82,-87,-83,-200,-96,-200,-91,-90,-93,-83,-77,-200,-200,-96,-200,-200,-92,-95,-200,-97,-200,-200,-200,-80,-94,-87,-89,-94,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455881120,-32,-42,-37,-40,-57,-51,-58,-57,-53,-56,-55,-59,-63,-56,-63,-52,-76,-67,-58,-67,-59,-65,-68,-60,-74,-69,-77,-79,-56,-65,-77,-77,-84,-72,-74,-80,-76,-76,-85,-77,-79,-87,-78,-82,-86,-200,-82,-73,-83,-89,-91,-84,-200,-84,-88,-90,-93,-92,-200,-92,-200,-96,-200,-64,-74,-73,-200,-84,-200,-74,-200,-91,-95,-70,-86,-87,-83,-200,-96,-84,-91,-89,-93,-85,-77,-200,-200,-96,-200,-200,-92,-95,-200,-97,-200,-93,-200,-81,-94,-87,-89,-94,-98,-92,-99,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455884174,-34,-40,-38,-40,-49,-47,-52,-58,-50,-60,-63,-60,-61,-66,-59,-52,-66,-67,-64,-69,-57,-75,-61,-64,-71,-66,-78,-72,-61,-65,-77,-78,-77,-72,-79,-83,-79,-77,-83,-77,-74,-74,-78,-84,-84,-200,-91,-74,-86,-93,-90,-88,-200,-86,-91,-85,-90,-96,-200,-94,-200,-96,-200,-63,-74,-78,-200,-89,-90,-86,-200,-93,-95,-70,-84,-87,-85,-200,-96,-84,-91,-89,-93,-85,-77,-200,-200,-200,-200,-200,-92,-95,-200,-97,-200,-93,-200,-81,-200,-95,-89,-94,-98,-92,-99,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455887223,-34,-47,-35,-45,-55,-49,-52,-58,-54,-60,-58,-60,-61,-66,-70,-51,-74,-67,-65,-69,-61,-74,-61,-65,-74,-77,-74,-72,-71,-62,-79,-73,-80,-75,-76,-73,-79,-81,-80,-77,-71,-74,-78,-82,-87,-200,-88,-74,-86,-93,-90,-82,-200,-86,-85,-85,-91,-96,-200,-94,-200,-200,-200,-66,-74,-78,-200,-76,-90,-67,-200,-90,-95,-200,-76,-200,-85,-200,-81,-84,-200,-89,-93,-83,-200,-200,-200,-200,-66,-200,-200,-200,-200,-200,-200,-86,-200,-81,-200,-95,-93,-95,-200,-92,-99,-98,-93,-94,-98,-200,-200,-200,-200,-200,-200
1526455890274,-32,-44,-36,-39,-46,-50,-57,-62,-55,-55,-51,-60,-64,-56,-65,-54,-69,-66,-68,-75,-63,-74,-70,-63,-79,-71,-78,-71,-60,-59,-76,-72,-85,-83,-81,-79,-82,-79,-83,-75,-76,-74,-78,-82,-87,-200,-88,-74,-87,-93,-90,-83,-200,-86,-86,-85,-91,-97,-200,-96,-200,-200,-200,-66,-200,-78,-200,-78,-90,-83,-200,-91,-200,-200,-74,-81,-85,-200,-81,-200,-200,-88,-93,-83,-200,-200,-95,-200,-66,-200,-200,-200,-200,-200,-87,-86,-200,-75,-95,-95,-93,-95,-200,-200,-200,-98,-93,-94,-98,-85,-89,-97,-200,-200,-200
1526455893323,-34,-47,-38,-39,-50,-49,-62,-58,-55,-56,-51,-64,-68,-56,-69,-52,-67,-66,-67,-75,-61,-74,-70,-64,-73,-74,-77,-76,-58,-71,-81,-69,-76,-79,-77,-82,-73,-76,-77,-78,-76,-200,-200,-82,-90,-200,-86,-80,-87,-200,-200,-84,-200,-87,-89,-200,-94,-97,-200,-95,-200,-95,-200,-63,-200,-79,-82,-81,-200,-85,-200,-91,-95,-200,-77,-81,-85,-200,-81,-200,-200,-85,-200,-85,-200,-200,-95,-200,-66,-200,-91,-200,-200,-200,-87,-86,-200,-72,-95,-200,-93,-95,-200,-200,-200,-97,-93,-94,-95,-85,-89,-97,-200,-200,-200
1526455896368,-32,-45,-37,-40,-49,-46,-58,-62,-54,-55,-58,-60,-72,-60,-65,-51,-68,-64,-65,-73,-69,-62,-74,-64,-75,-72,-77,-75,-56,-65,-75,-69,-87,-84,-79,-83,-76,-69,-77,-74,-76,-200,-200,-84,-88,-200,-85,-80,-85,-200,-200,-83,-200,-87,-89,-200,-93,-97,-200,-96,-200,-95,-200,-65,-200,-79,-82,-73,-85,-79,-200,-89,-95,-200,-80,-79,-200,-200,-200,-86,-200,-84,-95,-85,-200,-200,-95,-200,-69,-76,-91,-200,-200,-200,-87,-200,-200,-72,-95,-200,-200,-200,-200,-200,-200,-97,-200,-200,-95,-85,-89,-97,-96,-200,-200
1526455899414,-32,-47,-39,-39,-48,-50,-58,-62,-54,-57,-54,-60,-66,-59,-65,-49,-67,-61,-62,-69,-62,-71,-67,-64,-72,-70,-78,-75,-57,-64,-75,-76,-86,-82,-79,-83,-74,-74,-75,-74,-80,-75,-83,-85,-90,-87,-85,-84,-90,-200,-200,-83,-200,-89,-90,-88,-92,-97,-200,-94,-200,-95,-200,-63,-78,-77,-82,-75,-90,-85,-200,-90,-86,-200,-80,-79,-200,-200,-200,-86,-200,-87,-95,-85,-200,-200,-200,-200,-69,-76,-91,-200,-200,-200,-200,-200,-200,-72,-96,-200,-200,-200,-200,-200,-200,-97,-200,-200,-95,-200,-200,-200,-96,-95,-200
1526455902460,-34,-46,-37,-43,-50,-46,-57,-63,-52,-61,-54,-60,-63,-61,-68,-49,-67,-62,-69,-72,-62,-71,-65,-67,-74,-73,-78,-80,-60,-67,-75,-76,-77,-79,-80,-80,-75,-80,-78,-74,-80,-87,-83,-85,-89,-87,-88,-76,-87,-200,-200,-82,-200,-89,-91,-90,-91,-97,-200,-94,-200,-200,-200,-66,-78,-75,-200,-87,-90,-71,-200,-87,-86,-200,-79,-79,-200,-200,-92,-79,-90,-87,-91,-200,-200,-200,-200,-200,-69,-76,-200,-96,-200,-200,-200,-200,-200,-78,-96,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-95,-95,-200
1526455905493,-34,-40,-43,-45,-49,-46,-57,-56,-67,-56,-52,-59,-63,-60,-61,-57,-67,-61,-59,-71,-62,-70,-65,-67,-82,-68,-71,-80,-57,-66,-79,-76,-80,-81,-76,-85,-77,-76,-83,-75,-79,-73,-83,-83,-89,-87,-89,-64,-84,-200,-200,-90,-200,-85,-87,-90,-90,-93,-200,-94,-200,-94,-200,-64,-78,-77,-200,-79,-81,-71,-200,-92,-86,-200,-80,-200,-82,-200,-91,-79,-90,-87,-94,-200,-82,-200,-200,-200,-69,-80,-200,-96,-200,-98,-200,-200,-200,-73,-96,-93,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-95,-95,-200
1526455908547,-32,-42,-43,-40,-48,-46,-58,-61,-56,-56,-54,-55,-63,-55,-68,-55,-69,-62,-59,-68,-61,-71,-69,-58,-75,-75,-77,-80,-55,-66,-77,-78,-84,-82,-77,-85,-79,-77,-81,-74,-73,-79,-80,-83,-83,-200,-89,-78,-84,-200,-94,-83,-200,-87,-87,-90,-90,-95,-200,-93,-200,-94,-200,-67,-75,-76,-200,-79,-81,-87,-92,-92,-200,-200,-80,-200,-84,-200,-91,-83,-90,-87,-94,-85,-82,-200,-200,-200,-200,-80,-200,-96,-200,-98,-85,-200,-200,-78,-200,-92,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-94,-200,-93
