,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,DLINK_D02A60,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,WHU-2018,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018
1526456104937,-41,-47,-56,-49,-55,-55,-62,-54,-66,-58,-59,-62,-62,-77,-64,-73,-79,-72,-72,-68,-70,-82,-76,-68,-69,-84,-75,-75,-70,-59,-73,-68,-75,-80,-78,-73,-79,-78,-77,-81,-78,-79,-81,-86,-87,-79,-85,-81,-200,-91,-92,-85,-76,-82,-87,-200,-92,-200,-90,-200,-94,-89,-84,-93,-98,-93,-88,-200,-200,-200,-96,-200,-200,-94,-200,-76,-73,-82,-84,-87,-83,-91,-86,-95,-200,-200,-96,-84,-94,-200,-82,-97,-95,-200,-200,-200,-200,-200,-200
1526456107989,-41,-46,-54,-49,-56,-55,-62,-59,-58,-60,-67,-63,-59,-76,-64,-68,-85,-64,-73,-69,-71,-200,-74,-72,-67,-87,-75,-77,-72,-59,-73,-68,-200,-75,-79,-73,-200,-79,-77,-80,-78,-76,-79,-86,-200,-77,-85,-81,-200,-91,-200,-88,-84,-87,-88,-200,-92,-200,-90,-200,-95,-89,-85,-92,-94,-93,-200,-200,-200,-200,-200,-200,-200,-96,-200,-76,-73,-86,-84,-200,-86,-91,-91,-96,-200,-200,-200,-84,-200,-200,-82,-97,-95,-94,-200,-200,-200,-200,-200
1526456111038,-36,-47,-54,-48,-55,-63,-63,-59,-66,-60,-67,-55,-61,-77,-64,-73,-85,-75,-72,-68,-71,-85,-74,-72,-68,-87,-75,-76,-72,-59,-75,-68,-75,-75,-79,-75,-200,-78,-77,-80,-83,-84,-79,-86,-87,-82,-82,-200,-200,-91,-200,-88,-84,-87,-88,-200,-200,-200,-90,-200,-95,-89,-90,-92,-94,-93,-92,-200,-97,-95,-96,-200,-200,-95,-200,-73,-73,-86,-84,-85,-86,-91,-89,-96,-200,-200,-200,-200,-200,-200,-82,-200,-95,-94,-200,-200,-200,-200,-200
1526456114085,-35,-48,-53,-51,-55,-55,-62,-54,-59,-57,-63,-57,-61,-74,-63,-76,-85,-72,-73,-68,-70,-82,-75,-72,-67,-88,-76,-76,-69,-56,-74,-69,-75,-76,-85,-76,-200,-78,-80,-80,-82,-78,-80,-87,-87,-76,-82,-82,-200,-200,-200,-88,-86,-87,-87,-200,-200,-200,-89,-200,-95,-89,-90,-93,-96,-93,-92,-200,-97,-95,-96,-200,-200,-95,-200,-73,-73,-82,-83,-85,-86,-91,-89,-96,-200,-200,-200,-200,-200,-200,-200,-97,-200,-94,-78,-92,-95,-96,-200
1526456117139,-42,-48,-53,-49,-55,-54,-63,-56,-57,-58,-61,-55,-61,-77,-63,-73,-200,-75,-72,-68,-70,-82,-74,-68,-67,-84,-72,-77,-73,-61,-74,-69,-75,-78,-85,-76,-200,-78,-82,-80,-80,-76,-79,-87,-87,-83,-86,-82,-200,-200,-93,-87,-86,-87,-87,-200,-200,-200,-91,-200,-93,-89,-85,-93,-96,-200,-92,-200,-97,-95,-96,-200,-200,-95,-200,-73,-73,-80,-83,-87,-88,-91,-89,-200,-200,-200,-200,-200,-200,-200,-80,-97,-200,-200,-78,-92,-95,-96,-200
1526456120193,-35,-48,-54,-48,-57,-56,-61,-53,-58,-58,-55,-63,-61,-75,-65,-74,-80,-69,-72,-65,-70,-82,-76,-73,-69,-82,-72,-74,-74,-60,-74,-72,-200,-75,-80,-73,-200,-78,-82,-80,-85,-77,-81,-87,-87,-84,-82,-82,-200,-89,-93,-87,-85,-200,-87,-200,-200,-200,-91,-200,-93,-200,-85,-93,-96,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-75,-80,-81,-86,-88,-91,-92,-93,-200,-200,-200,-200,-200,-200,-80,-97,-200,-200,-78,-92,-95,-96,-92
1526456123242,-41,-48,-53,-49,-56,-52,-63,-54,-59,-59,-66,-56,-61,-73,-64,-75,-80,-75,-72,-68,-71,-85,-76,-68,-68,-81,-76,-76,-74,-57,-71,-68,-200,-74,-80,-73,-200,-78,-82,-80,-83,-84,-81,-200,-200,-84,-86,-200,-200,-93,-93,-87,-83,-83,-87,-200,-200,-200,-91,-200,-94,-88,-85,-92,-96,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-74,-84,-83,-86,-86,-89,-90,-92,-200,-200,-200,-200,-200,-200,-80,-97,-200,-200,-78,-200,-200,-200,-92
1526456126290,-36,-48,-52,-49,-53,-61,-62,-59,-57,-59,-60,-58,-60,-77,-64,-74,-79,-71,-72,-66,-70,-60,-76,-67,-64,-81,-76,-75,-71,-59,-74,-67,-74,-81,-80,-73,-200,-78,-81,-79,-82,-83,-79,-85,-88,-78,-84,-200,-200,-93,-92,-88,-85,-86,-87,-200,-200,-200,-200,-200,-91,-88,-200,-92,-96,-200,-200,-200,-200,-200,-96,-200,-200,-96,-200,-200,-74,-82,-83,-86,-86,-93,-90,-92,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93
1526456129334,-36,-48,-53,-49,-55,-55,-62,-54,-57,-60,-65,-55,-60,-74,-63,-76,-80,-74,-72,-70,-69,-85,-76,-69,-58,-81,-76,-77,-73,-58,-74,-67,-72,-75,-200,-200,-200,-78,-83,-80,-82,-78,-78,-85,-88,-82,-81,-80,-200,-93,-92,-88,-85,-86,-88,-93,-200,-200,-200,-200,-96,-88,-89,-92,-96,-200,-200,-200,-200,-200,-96,-200,-200,-96,-200,-200,-73,-85,-83,-85,-86,-91,-91,-92,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93
1526456132384,-36,-48,-51,-49,-55,-57,-62,-59,-66,-59,-60,-58,-61,-77,-63,-73,-78,-74,-72,-67,-71,-83,-73,-72,-61,-84,-74,-76,-72,-61,-74,-69,-72,-77,-81,-74,-200,-78,-82,-80,-81,-78,-79,-86,-88,-77,-87,-83,-200,-200,-92,-88,-86,-86,-86,-93,-200,-92,-200,-200,-91,-88,-94,-200,-96,-93,-200,-200,-200,-200,-96,-200,-200,-96,-200,-73,-73,-85,-200,-85,-90,-91,-91,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93
1526456135436,-36,-48,-54,-49,-55,-51,-60,-53,-57,-56,-60,-58,-60,-75,-64,-73,-79,-72,-73,-73,-71,-83,-74,-72,-66,-89,-77,-76,-73,-60,-73,-68,-63,-82,-79,-74,-200,-78,-80,-80,-84,-79,-79,-86,-88,-74,-87,-82,-200,-90,-200,-87,-85,-88,-87,-93,-200,-92,-200,-200,-94,-88,-84,-92,-95,-93,-200,-200,-200,-200,-95,-200,-200,-95,-200,-73,-73,-84,-200,-85,-88,-91,-91,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456138489,-36,-47,-53,-47,-57,-61,-63,-59,-58,-59,-66,-56,-61,-74,-64,-74,-78,-71,-73,-68,-70,-84,-74,-73,-69,-82,-78,-77,-71,-58,-73,-67,-79,-74,-79,-76,-200,-78,-80,-80,-84,-77,-79,-82,-88,-75,-86,-80,-200,-91,-200,-87,-85,-88,-86,-92,-200,-92,-200,-200,-94,-88,-84,-92,-95,-93,-200,-200,-200,-200,-93,-200,-200,-94,-95,-73,-73,-81,-200,-88,-86,-91,-90,-200,-200,-200,-200,-93,-93,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200
