,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526456253799,-22,-75,-46,-34,-54,-54,-50,-53,-64,-48,-50,-53,-73,-69,-56,-74,-61,-75,-57,-66,-82,-65,-77,-69,-82,-66,-62,-81,-200,-70,-69,-71,-76,-83,-65,-76,-73,-76,-77,-76,-82,-89,-77,-75,-73,-76,-85,-77,-78,-85,-200,-92,-92,-77,-86,-77,-200,-87,-86,-82,-75,-87,-75,-84,-200,-87,-84,-200,-200,-89,-200,-200,-94,-88,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-87,-200,-93,-94,-97,-97,-200,-200,-98,-200,-97,-200,-98,-76,-88,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456256848,-31,-60,-45,-39,-52,-55,-49,-57,-71,-53,-54,-50,-65,-67,-59,-70,-58,-76,-56,-57,-82,-68,-67,-72,-79,-66,-57,-83,-81,-71,-69,-68,-76,-83,-72,-75,-73,-75,-75,-76,-84,-86,-78,-72,-73,-82,-83,-77,-76,-84,-92,-92,-92,-76,-85,-77,-200,-85,-87,-82,-75,-87,-75,-84,-98,-90,-84,-200,-200,-87,-200,-88,-93,-95,-86,-200,-200,-200,-200,-200,-200,-200,-200,-72,-89,-200,-200,-200,-90,-200,-97,-200,-200,-98,-200,-97,-200,-98,-200,-86,-90,-92,-85,-93,-200,-200,-200,-200,-200,-200,-200
1526456259899,-31,-56,-48,-38,-55,-54,-48,-57,-62,-54,-54,-57,-65,-70,-57,-70,-64,-75,-57,-57,-82,-68,-68,-66,-85,-200,-58,-82,-81,-69,-82,-68,-77,-83,-70,-75,-73,-75,-76,-76,-84,-86,-78,-70,-200,-82,-83,-75,-77,-76,-92,-200,-91,-76,-89,-77,-200,-85,-87,-84,-75,-88,-75,-200,-98,-91,-86,-200,-200,-87,-200,-88,-93,-95,-86,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-85,-93,-200,-200,-200,-200,-200,-200,-200
1526456262958,-23,-68,-46,-39,-52,-52,-64,-55,-63,-51,-52,-58,-65,-69,-57,-68,-62,-75,-56,-55,-200,-71,-68,-68,-77,-200,-63,-81,-81,-68,-82,-73,-76,-82,-72,-71,-74,-79,-81,-90,-82,-86,-78,-74,-70,-88,-83,-75,-77,-77,-92,-200,-93,-76,-89,-200,-200,-80,-93,-84,-75,-88,-72,-200,-98,-91,-87,-200,-200,-90,-200,-87,-94,-95,-86,-96,-200,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-85,-93,-85,-200,-200,-200,-200,-200,-200
1526456266003,-23,-71,-49,-38,-51,-53,-62,-50,-65,-51,-49,-57,-71,-69,-58,-69,-58,-76,-58,-59,-71,-68,-73,-66,-77,-79,-62,-81,-200,-70,-68,-73,-79,-82,-72,-73,-74,-79,-73,-85,-82,-200,-77,-76,-70,-88,-81,-75,-77,-76,-200,-200,-88,-200,-87,-200,-200,-82,-93,-83,-200,-88,-72,-200,-200,-91,-87,-200,-83,-91,-200,-84,-95,-200,-88,-96,-200,-200,-200,-200,-200,-200,-200,-74,-85,-200,-200,-200,-93,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-95,-200,-200,-200,-200,-200
1526456269058,-24,-63,-47,-31,-53,-53,-59,-52,-57,-52,-49,-56,-68,-68,-58,-68,-62,-78,-56,-54,-69,-69,-74,-68,-75,-79,-64,-80,-79,-73,-70,-73,-86,-80,-74,-68,-76,-77,-77,-87,-82,-200,-77,-76,-71,-88,-81,-200,-200,-75,-93,-200,-88,-75,-87,-92,-91,-82,-88,-83,-65,-200,-73,-200,-200,-200,-87,-200,-83,-90,-200,-85,-94,-95,-86,-96,-200,-200,-200,-200,-200,-96,-200,-74,-90,-200,-200,-200,-93,-95,-96,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-95,-95,-200,-200,-200,-200
1526456272107,-25,-62,-48,-41,-53,-52,-58,-50,-63,-51,-51,-59,-68,-73,-60,-69,-59,-78,-62,-60,-69,-70,-68,-68,-76,-79,-65,-84,-79,-70,-73,-73,-82,-80,-68,-73,-76,-78,-76,-84,-82,-200,-77,-76,-70,-86,-83,-200,-79,-78,-93,-200,-88,-74,-87,-92,-91,-78,-88,-83,-66,-200,-73,-83,-200,-88,-200,-200,-83,-90,-200,-85,-95,-97,-88,-200,-200,-200,-200,-200,-200,-98,-200,-73,-90,-88,-200,-200,-91,-95,-96,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-95,-95,-200,-200,-200,-200
1526456275155,-23,-69,-48,-40,-56,-60,-57,-56,-64,-49,-54,-58,-68,-69,-58,-64,-62,-80,-56,-60,-69,-68,-68,-74,-76,-200,-62,-79,-87,-72,-77,-68,-79,-82,-68,-70,-80,-78,-74,-77,-88,-88,-80,-69,-70,-82,-84,-76,-78,-79,-93,-200,-88,-74,-87,-93,-91,-78,-88,-90,-75,-200,-71,-84,-200,-88,-200,-200,-89,-90,-200,-85,-95,-97,-89,-200,-200,-200,-200,-200,-200,-98,-200,-73,-90,-88,-200,-200,-91,-95,-200,-200,-94,-200,-97,-200,-200,-200,-200,-200,-200,-200,-86,-200,-82,-200,-95,-84,-200,-200,-200
1526456278201,-22,-57,-47,-37,-61,-57,-46,-53,-62,-50,-50,-54,-200,-73,-55,-78,-62,-72,-61,-62,-77,-70,-68,-66,-84,-200,-55,-83,-87,-69,-77,-64,-74,-85,-69,-73,-69,-78,-74,-73,-85,-88,-80,-67,-70,-85,-84,-76,-78,-75,-200,-200,-87,-76,-87,-92,-80,-83,-86,-90,-75,-200,-77,-88,-97,-88,-82,-200,-89,-78,-200,-200,-92,-93,-89,-92,-200,-92,-200,-200,-200,-98,-200,-73,-93,-88,-92,-87,-91,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-200,-82,-200,-200,-84,-89,-94,-200
1526456281247,-22,-55,-49,-40,-59,-58,-44,-56,-56,-52,-56,-53,-77,-67,-56,-69,-65,-72,-59,-62,-77,-65,-200,-70,-83,-73,-52,-79,-83,-69,-79,-67,-65,-88,-66,-80,-69,-79,-78,-86,-85,-88,-79,-66,-200,-85,-85,-75,-78,-77,-200,-200,-94,-76,-88,-92,-80,-81,-87,-90,-76,-200,-79,-82,-97,-88,-82,-200,-89,-78,-200,-200,-94,-94,-89,-91,-200,-92,-200,-200,-200,-96,-200,-78,-93,-200,-92,-87,-96,-200,-94,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-85,-200,-200,-84,-89,-94,-200
1526456284302,-22,-56,-48,-37,-50,-50,-46,-56,-68,-48,-53,-52,-77,-68,-57,-68,-64,-75,-64,-66,-77,-69,-200,-67,-78,-70,-61,-82,-83,-68,-80,-68,-76,-85,-66,-76,-77,-80,-78,-71,-86,-200,-85,-61,-72,-82,-85,-73,-79,-79,-89,-200,-94,-76,-87,-92,-84,-81,-86,-200,-76,-89,-77,-82,-96,-87,-82,-200,-200,-90,-200,-86,-97,-97,-200,-91,-200,-92,-200,-200,-200,-96,-200,-78,-93,-86,-92,-96,-96,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-83,-200,-85,-200,-200,-200,-89,-94,-200
1526456287359,-29,-62,-46,-42,-56,-55,-58,-58,-64,-46,-51,-57,-79,-69,-59,-68,-73,-76,-60,-59,-200,-64,-73,-73,-78,-71,-61,-81,-83,-70,-68,-71,-76,-85,-71,-73,-77,-80,-75,-71,-85,-82,-83,-82,-74,-77,-83,-73,-81,-78,-87,-200,-94,-76,-91,-200,-84,-81,-86,-84,-76,-94,-68,-82,-96,-87,-200,-200,-200,-90,-200,-86,-97,-94,-200,-96,-200,-94,-200,-200,-200,-96,-200,-78,-200,-86,-200,-96,-96,-200,-94,-200,-200,-200,-95,-200,-200,-200,-200,-200,-96,-200,-81,-200,-85,-200,-200,-200,-200,-200,-82
