,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D00EB8,WHU-2018,WHU-2018,DLINK_D02A60,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526456327114,-37,-25,-33,-53,-53,-63,-49,-51,-64,-41,-57,-62,-68,-62,-56,-61,-55,-73,-66,-67,-68,-69,-77,-78,-76,-77,-74,-77,-72,-67,-64,-74,-73,-87,-70,-71,-80,-200,-88,-76,-72,-82,-78,-85,-74,-92,-200,-200,-87,-73,-200,-76,-200,-200,-90,-86,-80,-200,-74,-83,-200,-90,-78,-89,-81,-200,-93,-200,-200,-93,-200,-200,-91,-200,-200,-200,-200,-200,-87,-200,-61,-94,-200,-76,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-96,-97,-200,-86,-99,-200,-200
1526456330163,-41,-23,-32,-57,-49,-56,-50,-52,-64,-39,-59,-62,-76,-62,-55,-57,-57,-73,-65,-71,-67,-69,-82,-81,-74,-68,-93,-77,-72,-67,-73,-72,-68,-79,-80,-71,-80,-200,-91,-76,-73,-82,-75,-85,-76,-92,-200,-200,-87,-75,-200,-76,-200,-200,-90,-90,-84,-200,-82,-82,-200,-88,-87,-89,-81,-200,-92,-200,-200,-93,-200,-200,-89,-200,-200,-200,-200,-200,-87,-200,-61,-94,-200,-80,-200,-200,-200,-96,-200,-200,-200,-200,-76,-200,-200,-200,-200,-92,-96,-97,-200,-86,-99,-89,-200
1526456333212,-39,-22,-36,-57,-50,-61,-48,-48,-59,-44,-55,-62,-76,-67,-57,-66,-56,-71,-59,-71,-67,-79,-61,-81,-66,-68,-87,-76,-76,-67,-75,-72,-72,-85,-74,-65,-79,-200,-85,-79,-74,-86,-72,-200,-72,-89,-200,-200,-85,-76,-200,-81,-89,-200,-200,-90,-82,-200,-82,-83,-200,-88,-85,-89,-80,-90,-92,-200,-200,-93,-200,-200,-89,-200,-200,-200,-200,-200,-87,-200,-77,-200,-200,-80,-200,-200,-91,-93,-200,-200,-200,-200,-76,-200,-93,-200,-200,-87,-96,-97,-200,-200,-99,-89,-94
1526456336262,-39,-22,-31,-58,-50,-55,-52,-49,-66,-45,-53,-62,-70,-66,-57,-68,-52,-68,-63,-74,-67,-73,-78,-78,-70,-72,-81,-78,-82,-76,-82,-72,-72,-90,-74,-66,-79,-200,-88,-75,-79,-86,-71,-84,-72,-89,-200,-200,-85,-76,-200,-81,-89,-200,-200,-81,-83,-200,-79,-88,-200,-88,-85,-93,-80,-90,-93,-200,-90,-94,-200,-95,-89,-200,-200,-88,-200,-200,-85,-200,-77,-200,-95,-79,-200,-200,-91,-94,-200,-200,-200,-200,-76,-200,-93,-200,-200,-93,-200,-200,-200,-200,-200,-89,-94
1526456339310,-40,-22,-33,-59,-49,-57,-51,-49,-57,-40,-53,-64,-79,-66,-62,-62,-58,-71,-65,-68,-68,-73,-78,-77,-69,-67,-84,-73,-85,-76,-72,-200,-74,-85,-74,-64,-79,-200,-88,-79,-79,-81,-71,-76,-73,-89,-200,-200,-85,-73,-200,-81,-89,-200,-200,-79,-81,-200,-80,-83,-200,-200,-83,-93,-78,-90,-93,-200,-91,-94,-200,-95,-200,-200,-200,-88,-94,-200,-88,-200,-78,-200,-95,-79,-200,-88,-91,-93,-200,-200,-200,-200,-78,-200,-93,-200,-200,-93,-200,-200,-200,-200,-200,-200,-94
1526456342362,-42,-24,-34,-61,-50,-57,-53,-46,-54,-36,-60,-64,-79,-65,-63,-63,-55,-71,-61,-68,-65,-68,-78,-77,-70,-67,-84,-76,-73,-76,-71,-200,-77,-84,-75,-64,-200,-200,-86,-79,-81,-81,-71,-76,-69,-200,-200,-200,-200,-71,-200,-200,-200,-200,-200,-79,-77,-200,-78,-80,-200,-200,-82,-93,-84,-91,-93,-200,-91,-96,-200,-95,-200,-200,-200,-88,-94,-200,-88,-200,-74,-200,-95,-79,-200,-89,-200,-93,-200,-200,-200,-200,-80,-94,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200
1526456345407,-43,-22,-32,-57,-58,-60,-51,-55,-65,-52,-61,-60,-72,-65,-63,-62,-51,-71,-62,-72,-73,-69,-75,-83,-75,-67,-85,-75,-75,-72,-77,-200,-78,-79,-75,-64,-200,-200,-81,-75,-85,-80,-71,-76,-72,-200,-200,-200,-200,-73,-200,-78,-200,-200,-87,-86,-83,-200,-80,-82,-200,-200,-90,-93,-74,-91,-93,-200,-91,-96,-200,-200,-200,-200,-200,-90,-94,-200,-94,-200,-61,-200,-200,-75,-200,-89,-92,-93,-97,-200,-200,-200,-80,-94,-200,-200,-200,-81,-200,-200,-200,-200,-95,-200,-200
1526456348453,-41,-23,-37,-55,-50,-62,-51,-50,-61,-46,-56,-67,-74,-59,-61,-68,-55,-72,-63,-72,-72,-73,-74,-76,-78,-67,-85,-75,-74,-72,-77,-200,-78,-85,-83,-72,-200,-200,-83,-75,-75,-86,-73,-80,-66,-91,-200,-200,-83,-80,-200,-77,-81,-200,-87,-82,-75,-200,-82,-85,-200,-200,-90,-91,-74,-91,-94,-200,-200,-97,-93,-200,-200,-200,-200,-90,-200,-200,-94,-200,-61,-93,-97,-81,-200,-89,-94,-200,-97,-200,-200,-200,-80,-95,-200,-200,-200,-81,-200,-200,-200,-200,-95,-200,-200
1526456351503,-39,-23,-33,-58,-52,-59,-57,-52,-61,-44,-58,-58,-72,-65,-62,-65,-57,-68,-64,-69,-67,-71,-68,-76,-76,-72,-87,-75,-73,-72,-77,-200,-74,-82,-70,-70,-74,-200,-83,-75,-74,-88,-69,-82,-70,-94,-200,-85,-83,-79,-200,-77,-81,-200,-87,-80,-76,-200,-81,-83,-200,-200,-90,-91,-74,-95,-95,-200,-200,-97,-93,-200,-200,-200,-200,-90,-200,-200,-90,-200,-61,-96,-97,-83,-200,-95,-95,-200,-97,-200,-200,-200,-200,-95,-86,-200,-200,-97,-200,-200,-200,-200,-95,-200,-200
1526456354554,-42,-23,-30,-65,-48,-55,-57,-49,-62,-39,-60,-58,-72,-67,-57,-69,-58,-68,-62,-74,-67,-79,-68,-71,-70,-72,-87,-85,-73,-72,-75,-200,-75,-83,-69,-72,-74,-200,-90,-80,-74,-85,-71,-82,-72,-94,-200,-85,-83,-79,-200,-82,-81,-200,-200,-81,-76,-200,-79,-80,-200,-200,-85,-87,-84,-91,-95,-200,-200,-97,-93,-200,-94,-200,-200,-200,-200,-200,-86,-200,-74,-96,-97,-83,-200,-95,-95,-200,-200,-200,-200,-200,-200,-94,-86,-200,-91,-97,-200,-200,-200,-200,-200,-200,-200
1526456357609,-39,-24,-36,-64,-50,-60,-56,-50,-63,-42,-62,-59,-70,-67,-57,-73,-59,-70,-66,-74,-69,-76,-68,-71,-75,-71,-83,-85,-71,-200,-73,-200,-73,-83,-68,-72,-74,-200,-89,-79,-74,-84,-74,-86,-69,-94,-200,-85,-83,-80,-200,-79,-200,-200,-89,-80,-83,-200,-79,-81,-200,-200,-85,-87,-77,-91,-95,-200,-200,-200,-93,-200,-94,-200,-200,-200,-200,-200,-91,-200,-74,-96,-200,-82,-200,-95,-95,-200,-200,-200,-200,-200,-200,-94,-86,-200,-91,-97,-200,-200,-200,-200,-200,-200,-200
1526456360652,-41,-22,-36,-62,-53,-58,-54,-42,-64,-44,-64,-65,-76,-65,-59,-71,-56,-69,-61,-74,-69,-71,-66,-76,-75,-71,-81,-78,-80,-73,-78,-200,-74,-87,-68,-69,-76,-200,-87,-79,-67,-84,-72,-80,-72,-200,-200,-200,-92,-76,-94,-86,-87,-200,-87,-82,-81,-200,-81,-84,-200,-200,-85,-87,-77,-91,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-91,-200,-74,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-94,-88,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200
