,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A20,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whjx-gaofeng-13,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526455935848,-33,-44,-48,-48,-45,-53,-58,-58,-56,-65,-63,-56,-74,-75,-48,-74,-58,-59,-54,-72,-68,-68,-79,-200,-72,-59,-65,-82,-67,-67,-88,-80,-90,-86,-73,-77,-84,-72,-83,-85,-83,-77,-75,-78,-82,-200,-69,-77,-79,-80,-87,-89,-79,-81,-84,-200,-89,-200,-82,-82,-92,-79,-79,-200,-87,-200,-200,-200,-200,-95,-88,-85,-90,-95,-92,-93,-97,-200,-96,-95,-200,-89,-200,-90,-76,-86,-90,-78,-200,-200,-200,-92,-95,-200,-95,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455936342,-33,-44,-48,-48,-45,-53,-58,-58,-56,-65,-63,-56,-74,-75,-48,-74,-58,-59,-54,-72,-68,-68,-79,-200,-72,-59,-65,-82,-67,-67,-88,-80,-90,-86,-73,-77,-84,-72,-83,-85,-83,-77,-75,-78,-82,-200,-69,-77,-79,-80,-87,-89,-79,-81,-84,-200,-89,-200,-82,-82,-92,-79,-79,-200,-87,-200,-200,-200,-200,-95,-88,-85,-90,-95,-92,-93,-97,-200,-96,-95,-200,-89,-200,-90,-76,-86,-90,-78,-200,-200,-200,-92,-95,-200,-95,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455938898,-32,-41,-49,-48,-43,-50,-58,-56,-57,-65,-61,-55,-200,-75,-48,-74,-57,-50,-56,-76,-62,-65,-78,-78,-71,-61,-65,-82,-68,-76,-88,-80,-92,-86,-73,-77,-82,-80,-79,-79,-83,-77,-74,-88,-82,-200,-69,-82,-79,-79,-88,-83,-78,-81,-84,-86,-89,-88,-80,-200,-200,-76,-79,-200,-88,-200,-200,-200,-200,-200,-87,-86,-91,-95,-92,-94,-97,-200,-96,-95,-200,-84,-200,-96,-69,-87,-89,-78,-200,-200,-200,-92,-95,-200,-95,-98,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455939424,-32,-41,-49,-48,-43,-50,-58,-56,-57,-65,-61,-55,-200,-75,-48,-74,-57,-50,-56,-76,-62,-65,-78,-78,-71,-61,-65,-82,-68,-76,-88,-80,-92,-86,-73,-77,-82,-80,-79,-79,-83,-77,-74,-88,-82,-200,-69,-82,-79,-79,-88,-83,-78,-81,-84,-86,-89,-88,-80,-200,-200,-76,-79,-200,-88,-200,-200,-200,-200,-200,-87,-86,-91,-95,-92,-94,-97,-200,-96,-95,-200,-84,-200,-96,-69,-87,-89,-78,-200,-200,-200,-92,-95,-200,-95,-98,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455941947,-33,-44,-48,-47,-42,-49,-58,-58,-54,-65,-60,-62,-200,-76,-47,-69,-56,-57,-53,-72,-70,-64,-82,-79,-67,-59,-67,-82,-68,-59,-87,-79,-92,-87,-77,-74,-85,-80,-80,-78,-83,-77,-73,-88,-84,-200,-71,-77,-80,-79,-88,-89,-78,-81,-200,-71,-80,-88,-79,-85,-94,-74,-77,-200,-86,-200,-200,-200,-200,-200,-86,-84,-90,-94,-92,-94,-97,-200,-96,-95,-200,-84,-200,-93,-74,-93,-89,-200,-200,-200,-200,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455942474,-33,-44,-48,-47,-42,-49,-58,-58,-54,-65,-60,-62,-200,-76,-47,-69,-56,-57,-53,-72,-70,-64,-82,-79,-67,-59,-67,-82,-68,-59,-87,-79,-92,-87,-77,-74,-85,-80,-80,-78,-83,-77,-73,-88,-84,-200,-71,-77,-80,-79,-88,-89,-78,-81,-200,-71,-80,-88,-79,-85,-94,-74,-77,-200,-86,-200,-200,-200,-200,-200,-86,-84,-90,-94,-92,-94,-97,-200,-96,-95,-200,-84,-200,-93,-74,-93,-89,-200,-200,-200,-200,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455945001,-34,-42,-48,-48,-34,-55,-59,-59,-55,-67,-61,-55,-200,-77,-46,-74,-56,-60,-55,-73,-70,-67,-83,-76,-72,-59,-67,-200,-70,-60,-87,-80,-89,-87,-74,-81,-84,-79,-79,-83,-82,-77,-75,-80,-82,-200,-70,-77,-80,-80,-87,-90,-85,-81,-90,-68,-90,-88,-79,-85,-91,-77,-78,-82,-86,-93,-200,-200,-200,-200,-86,-87,-90,-95,-93,-94,-95,-200,-96,-200,-200,-84,-200,-93,-71,-88,-88,-200,-200,-95,-93,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455945540,-34,-42,-48,-48,-34,-55,-59,-59,-55,-67,-61,-55,-200,-77,-46,-74,-56,-60,-55,-73,-70,-67,-83,-76,-72,-59,-67,-200,-70,-60,-87,-80,-89,-87,-74,-81,-84,-79,-79,-83,-82,-77,-75,-80,-82,-200,-70,-77,-80,-80,-87,-90,-85,-81,-90,-68,-90,-88,-79,-85,-91,-77,-78,-82,-86,-93,-200,-200,-200,-200,-86,-87,-90,-95,-93,-94,-95,-200,-96,-200,-200,-84,-200,-93,-71,-88,-88,-200,-200,-95,-93,-96,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526455948059,-35,-40,-49,-47,-43,-50,-59,-59,-55,-64,-61,-55,-200,-74,-48,-73,-57,-60,-55,-71,-62,-61,-78,-81,-71,-58,-66,-200,-66,-60,-87,-79,-92,-87,-75,-74,-80,-80,-79,-81,-83,-77,-74,-82,-88,-83,-70,-79,-81,-80,-88,-88,-85,-200,-90,-68,-90,-200,-80,-82,-94,-75,-79,-82,-88,-93,-200,-200,-94,-200,-86,-85,-91,-95,-92,-94,-96,-96,-200,-200,-200,-89,-95,-94,-75,-92,-90,-200,-200,-94,-95,-200,-200,-200,-96,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526455948581,-35,-40,-49,-47,-43,-50,-59,-59,-55,-64,-61,-55,-200,-74,-48,-73,-57,-60,-55,-71,-62,-61,-78,-81,-71,-58,-66,-200,-66,-60,-87,-79,-92,-87,-75,-74,-80,-80,-79,-81,-83,-77,-74,-82,-88,-83,-70,-79,-81,-80,-88,-88,-85,-200,-90,-68,-90,-200,-80,-82,-94,-75,-79,-82,-88,-93,-200,-200,-94,-200,-86,-85,-91,-95,-92,-94,-96,-96,-200,-200,-200,-89,-95,-94,-75,-92,-90,-200,-200,-94,-95,-200,-200,-200,-96,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526455951108,-33,-44,-48,-48,-41,-49,-59,-59,-54,-65,-61,-54,-61,-75,-47,-74,-58,-59,-54,-73,-67,-62,-78,-78,-71,-54,-66,-200,-69,-60,-200,-80,-90,-200,-76,-81,-80,-79,-74,-84,-82,-77,-74,-81,-83,-83,-72,-77,-81,-80,-87,-90,-79,-200,-200,-200,-90,-200,-80,-82,-91,-79,-77,-82,-87,-200,-200,-200,-94,-200,-86,-88,-91,-95,-95,-96,-96,-93,-200,-200,-200,-88,-95,-92,-75,-87,-89,-200,-200,-94,-95,-200,-200,-200,-96,-200,-200,-87,-84,-87,-200,-200,-200,-200,-200,-200
1526455951646,-33,-44,-48,-48,-41,-49,-59,-59,-54,-65,-61,-54,-61,-75,-47,-74,-58,-59,-54,-73,-67,-62,-78,-78,-71,-54,-66,-200,-69,-60,-200,-80,-90,-200,-76,-81,-80,-79,-74,-84,-82,-77,-74,-81,-83,-83,-72,-77,-81,-80,-87,-90,-79,-200,-200,-200,-90,-200,-80,-82,-91,-79,-77,-82,-87,-200,-200,-200,-94,-200,-86,-88,-91,-95,-95,-96,-96,-93,-200,-200,-200,-88,-95,-92,-75,-87,-89,-200,-200,-94,-95,-200,-200,-200,-96,-200,-200,-87,-84,-87,-200,-200,-200,-200,-200,-200
1526455954160,-34,-43,-48,-48,-42,-54,-59,-62,-55,-65,-61,-54,-63,-74,-48,-70,-56,-60,-51,-72,-68,-64,-82,-79,-72,-59,-65,-200,-73,-60,-85,-81,-90,-86,-74,-81,-80,-80,-80,-79,-82,-77,-76,-78,-84,-86,-72,-78,-81,-80,-87,-94,-78,-82,-200,-85,-90,-87,-78,-82,-91,-76,-78,-85,-87,-200,-95,-200,-94,-200,-86,-85,-91,-200,-93,-95,-96,-93,-200,-96,-200,-84,-96,-92,-82,-87,-90,-78,-200,-94,-95,-200,-200,-200,-97,-200,-200,-87,-84,-87,-90,-200,-200,-200,-200,-200
1526455954700,-34,-43,-48,-48,-42,-54,-59,-62,-55,-65,-61,-54,-63,-74,-48,-70,-56,-60,-51,-72,-68,-64,-82,-79,-72,-59,-65,-200,-73,-60,-85,-81,-90,-86,-74,-81,-80,-80,-80,-79,-82,-77,-76,-78,-84,-86,-72,-78,-81,-80,-87,-94,-78,-82,-200,-85,-90,-87,-78,-82,-91,-76,-78,-85,-87,-200,-95,-200,-94,-200,-86,-85,-91,-200,-93,-95,-96,-93,-200,-96,-200,-84,-96,-92,-82,-87,-90,-78,-200,-94,-95,-200,-200,-200,-97,-200,-200,-87,-84,-87,-90,-200,-200,-200,-200,-200
1526455957210,-33,-42,-47,-44,-42,-55,-59,-58,-54,-64,-61,-62,-62,-73,-49,-72,-58,-60,-52,-70,-70,-64,-81,-78,-72,-61,-66,-200,-68,-75,-74,-79,-94,-86,-77,-79,-80,-79,-79,-76,-83,-78,-76,-89,-85,-84,-71,-78,-80,-80,-87,-88,-78,-81,-200,-88,-90,-86,-79,-82,-91,-76,-77,-86,-87,-200,-95,-200,-200,-200,-86,-86,-91,-93,-93,-96,-96,-93,-200,-96,-200,-84,-96,-90,-82,-87,-92,-78,-200,-93,-95,-200,-200,-200,-97,-200,-200,-200,-84,-87,-90,-200,-200,-200,-200,-200
1526455957761,-33,-42,-47,-44,-42,-55,-59,-58,-54,-64,-61,-62,-62,-73,-49,-72,-58,-60,-52,-70,-70,-64,-81,-78,-72,-61,-66,-200,-68,-75,-74,-79,-94,-86,-77,-79,-80,-79,-79,-76,-83,-78,-76,-89,-85,-84,-71,-78,-80,-80,-87,-88,-78,-81,-200,-88,-90,-86,-79,-82,-91,-76,-77,-86,-87,-200,-95,-200,-200,-200,-86,-86,-91,-93,-93,-96,-96,-93,-200,-96,-200,-84,-96,-90,-82,-87,-92,-78,-200,-93,-95,-200,-200,-200,-97,-200,-200,-200,-84,-87,-90,-200,-200,-200,-200,-200
1526455960261,-35,-45,-47,-48,-43,-49,-60,-59,-54,-65,-61,-54,-63,-75,-49,-68,-58,-59,-59,-66,-69,-64,-82,-83,-71,-62,-66,-200,-69,-70,-84,-80,-94,-87,-76,-80,-200,-79,-80,-81,-82,-77,-76,-88,-82,-82,-71,-77,-81,-81,-87,-90,-78,-83,-200,-86,-91,-85,-79,-82,-91,-76,-77,-86,-87,-94,-95,-200,-200,-95,-86,-86,-91,-94,-91,-93,-96,-200,-200,-96,-200,-87,-85,-94,-82,-94,-89,-200,-200,-93,-94,-94,-200,-200,-97,-200,-200,-200,-200,-87,-200,-97,-200,-200,-200,-200
1526455960819,-35,-45,-47,-48,-43,-49,-60,-59,-54,-65,-61,-54,-63,-75,-49,-68,-58,-59,-59,-66,-69,-64,-82,-83,-71,-62,-66,-200,-69,-70,-84,-80,-94,-87,-76,-80,-200,-79,-80,-81,-82,-77,-76,-88,-82,-82,-71,-77,-81,-81,-87,-90,-78,-83,-200,-86,-91,-85,-79,-82,-91,-76,-77,-86,-87,-94,-95,-200,-200,-95,-86,-86,-91,-94,-91,-93,-96,-200,-200,-96,-200,-87,-85,-94,-82,-94,-89,-200,-200,-93,-94,-94,-200,-200,-97,-200,-200,-200,-200,-87,-200,-97,-200,-200,-200,-200
1526455963315,-35,-46,-49,-47,-42,-55,-59,-57,-55,-66,-61,-61,-72,-74,-46,-72,-58,-59,-55,-70,-70,-64,-81,-82,-72,-57,-66,-200,-72,-68,-86,-80,-94,-87,-75,-80,-200,-81,-82,-80,-83,-76,-75,-79,-83,-85,-72,-77,-81,-80,-86,-88,-78,-81,-200,-89,-90,-84,-79,-200,-200,-77,-79,-200,-87,-94,-95,-200,-200,-95,-86,-86,-91,-94,-94,-94,-200,-91,-200,-200,-200,-89,-85,-95,-76,-85,-91,-200,-200,-93,-95,-94,-200,-200,-97,-200,-200,-200,-200,-87,-200,-97,-200,-200,-200,-200
1526455963870,-35,-46,-49,-47,-42,-55,-59,-57,-55,-66,-61,-61,-72,-74,-46,-72,-58,-59,-55,-70,-70,-64,-81,-82,-72,-57,-66,-200,-72,-68,-86,-80,-94,-87,-75,-80,-200,-81,-82,-80,-83,-76,-75,-79,-83,-85,-72,-77,-81,-80,-86,-88,-78,-81,-200,-89,-90,-84,-79,-200,-200,-77,-79,-200,-87,-94,-95,-200,-200,-95,-86,-86,-91,-94,-94,-94,-200,-91,-200,-200,-200,-89,-85,-95,-76,-85,-91,-200,-200,-93,-95,-94,-200,-200,-97,-200,-200,-200,-200,-87,-200,-97,-200,-200,-200,-200
1526455966367,-36,-45,-49,-47,-42,-49,-60,-58,-52,-63,-60,-62,-72,-74,-48,-73,-58,-59,-52,-71,-71,-68,-77,-78,-72,-59,-65,-200,-69,-60,-85,-79,-87,-87,-76,-73,-200,-79,-80,-79,-85,-76,-77,-81,-83,-86,-71,-78,-82,-80,-87,-88,-79,-81,-200,-89,-89,-85,-78,-200,-200,-76,-79,-200,-88,-200,-95,-200,-200,-95,-86,-84,-90,-94,-95,-94,-200,-91,-200,-95,-200,-88,-85,-95,-76,-96,-90,-62,-200,-200,-95,-200,-200,-200,-95,-200,-200,-89,-200,-87,-200,-97,-200,-200,-200,-200
