,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A48,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whjx-gaofeng-13,D-Link_DIR-823Pro,WHU-2018,ez-hr-honglianhu-1,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,whu2011314,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,Lixiaocui,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526456471385,-38,-36,-42,-56,-46,-53,-50,-61,-64,-49,-64,-70,-76,-69,-66,-69,-68,-62,-64,-64,-62,-56,-66,-77,-69,-76,-73,-75,-77,-79,-73,-80,-81,-70,-83,-80,-74,-85,-75,-73,-73,-85,-78,-90,-76,-200,-75,-81,-82,-200,-83,-86,-88,-200,-85,-200,-77,-91,-200,-80,-90,-77,-87,-93,-200,-94,-95,-200,-91,-90,-200,-200,-200,-200,-200,-200,-95,-200,-96,-200,-90,-87,-86,-86,-200,-200,-93,-92,-200,-200,-200,-200,-88,-200,-200,-200,-76,-75,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200
1526456474432,-46,-37,-45,-52,-50,-56,-52,-60,-66,-50,-63,-69,-70,-69,-75,-66,-78,-60,-68,-65,-65,-51,-64,-77,-71,-76,-73,-75,-72,-70,-70,-77,-80,-67,-76,-80,-71,-84,-78,-82,-76,-85,-77,-90,-77,-200,-79,-81,-82,-200,-62,-83,-88,-200,-85,-200,-67,-91,-89,-81,-90,-77,-84,-93,-200,-89,-95,-200,-91,-200,-200,-200,-200,-200,-200,-200,-95,-97,-96,-200,-90,-200,-86,-200,-200,-200,-93,-92,-200,-97,-200,-200,-200,-200,-200,-200,-76,-75,-200,-200,-200,-76,-200,-200,-200,-200,-91,-200,-200,-200
1526456477486,-37,-36,-45,-51,-51,-59,-50,-62,-66,-51,-63,-67,-72,-63,-75,-74,-66,-63,-65,-68,-63,-59,-68,-77,-66,-76,-72,-75,-79,-66,-73,-77,-81,-73,-74,-80,-74,-77,-78,-82,-68,-87,-77,-84,-74,-200,-79,-200,-82,-87,-81,-83,-88,-82,-85,-89,-67,-91,-89,-84,-90,-81,-84,-93,-91,-89,-92,-200,-93,-200,-97,-200,-200,-200,-87,-200,-95,-97,-96,-200,-90,-200,-82,-200,-97,-200,-93,-92,-200,-97,-95,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-76,-200,-200,-200,-200,-90,-82,-200,-200
1526456480533,-44,-38,-52,-55,-46,-53,-51,-63,-69,-52,-60,-68,-66,-63,-75,-74,-71,-67,-66,-68,-64,-56,-66,-76,-63,-72,-75,-65,-76,-77,-76,-77,-75,-74,-74,-200,-74,-79,-82,-71,-73,-80,-77,-84,-72,-75,-76,-200,-200,-87,-81,-83,-200,-82,-200,-89,-77,-88,-89,-81,-88,-77,-84,-200,-91,-95,-92,-200,-94,-200,-97,-92,-200,-200,-87,-200,-200,-97,-200,-200,-200,-86,-82,-200,-97,-200,-91,-200,-200,-97,-95,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-76,-91,-200,-200,-200,-90,-82,-200,-200
1526456483589,-42,-38,-49,-52,-59,-58,-48,-62,-60,-49,-62,-66,-66,-60,-75,-69,-66,-54,-69,-66,-71,-58,-70,-76,-64,-72,-77,-63,-75,-83,-76,-77,-74,-74,-73,-74,-77,-80,-82,-73,-74,-82,-200,-85,-76,-75,-78,-200,-200,-87,-84,-80,-79,-82,-200,-89,-76,-89,-200,-82,-90,-78,-200,-90,-91,-95,-92,-200,-94,-93,-97,-92,-200,-200,-87,-91,-200,-97,-200,-200,-200,-85,-87,-200,-97,-200,-91,-200,-200,-200,-95,-200,-200,-200,-200,-200,-64,-200,-200,-200,-96,-200,-91,-200,-200,-200,-90,-82,-82,-200
1526456486642,-39,-40,-47,-55,-48,-54,-56,-61,-65,-49,-65,-69,-75,-60,-80,-65,-71,-58,-65,-66,-67,-56,-70,-80,-69,-72,-70,-63,-74,-77,-72,-86,-74,-69,-83,-86,-76,-88,-76,-74,-70,-82,-77,-90,-84,-75,-75,-200,-200,-200,-85,-83,-81,-85,-200,-200,-75,-91,-88,-79,-95,-76,-200,-90,-200,-95,-92,-200,-93,-93,-200,-92,-200,-200,-90,-94,-200,-97,-200,-96,-200,-92,-87,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-96,-200,-91,-200,-200,-200,-200,-200,-82,-200
1526456489697,-44,-52,-46,-49,-52,-55,-60,-64,-60,-52,-59,-64,-78,-63,-77,-62,-71,-62,-66,-67,-67,-55,-64,-77,-66,-200,-73,-63,-71,-73,-78,-74,-75,-72,-78,-75,-77,-90,-76,-74,-79,-83,-75,-80,-80,-75,-74,-200,-200,-200,-83,-84,-88,-85,-200,-200,-77,-91,-89,-82,-95,-76,-200,-90,-92,-200,-92,-96,-94,-93,-200,-200,-200,-200,-90,-94,-200,-200,-200,-96,-86,-92,-87,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-200,-200,-96,-95,-200,-200,-200,-200,-200,-200,-82,-200
1526456492751,-42,-37,-48,-57,-49,-57,-51,-64,-67,-48,-66,-71,-69,-65,-77,-68,-71,-62,-67,-63,-66,-53,-76,-77,-66,-200,-72,-67,-79,-74,-78,-81,-75,-69,-80,-81,-79,-83,-73,-86,-71,-85,-73,-85,-80,-79,-75,-200,-200,-200,-83,-81,-88,-85,-200,-200,-78,-93,-89,-84,-95,-76,-88,-91,-92,-200,-90,-93,-97,-91,-200,-200,-200,-200,-90,-94,-200,-200,-200,-96,-86,-86,-87,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-95,-200,-200,-200,-88,-200,-200,-200,-95
1526456495795,-43,-42,-47,-57,-49,-52,-50,-68,-68,-48,-62,-73,-74,-66,-77,-65,-75,-60,-68,-64,-66,-53,-68,-80,-70,-200,-69,-68,-74,-78,-68,-81,-78,-68,-83,-75,-79,-88,-73,-85,-76,-85,-76,-86,-73,-74,-76,-200,-200,-200,-83,-81,-88,-200,-85,-200,-75,-95,-89,-82,-88,-77,-89,-91,-92,-200,-90,-93,-91,-88,-200,-200,-200,-200,-94,-200,-96,-96,-200,-200,-86,-85,-200,-90,-200,-200,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-200,-95,-200,-200,-200,-88,-200,-200,-200,-95
1526456498845,-44,-38,-47,-59,-49,-52,-52,-65,-66,-49,-64,-70,-79,-67,-200,-70,-80,-60,-69,-70,-65,-53,-70,-80,-69,-77,-71,-68,-78,-76,-75,-81,-77,-69,-83,-78,-79,-84,-73,-83,-72,-85,-78,-86,-73,-74,-77,-200,-200,-200,-83,-85,-200,-200,-84,-200,-80,-92,-200,-85,-88,-78,-88,-91,-96,-200,-90,-93,-91,-88,-200,-88,-200,-200,-88,-95,-93,-96,-200,-200,-86,-86,-200,-91,-200,-200,-90,-91,-200,-200,-200,-200,-200,-97,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-95
1526456501892,-44,-47,-50,-50,-49,-60,-62,-59,-58,-51,-64,-66,-75,-67,-73,-67,-68,-64,-76,-67,-64,-54,-64,-80,-64,-73,-70,-69,-78,-82,-87,-81,-79,-76,-82,-78,-200,-81,-79,-79,-72,-84,-76,-81,-73,-78,-77,-200,-91,-200,-83,-82,-200,-86,-88,-87,-80,-95,-200,-85,-86,-77,-88,-91,-96,-200,-91,-200,-93,-88,-200,-88,-200,-200,-88,-95,-93,-96,-200,-200,-200,-86,-200,-91,-200,-200,-90,-93,-200,-200,-200,-200,-200,-97,-200,-200,-80,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456504955,-41,-45,-49,-55,-49,-57,-54,-66,-66,-49,-70,-68,-73,-67,-73,-65,-68,-61,-68,-63,-64,-50,-68,-200,-70,-76,-73,-74,-74,-77,-73,-83,-79,-68,-78,-72,-82,-85,-74,-72,-75,-83,-75,-91,-78,-78,-76,-200,-85,-200,-83,-80,-200,-86,-83,-87,-77,-95,-200,-83,-86,-77,-88,-200,-96,-200,-91,-200,-89,-200,-200,-88,-200,-200,-88,-97,-93,-200,-94,-200,-200,-86,-200,-91,-200,-200,-200,-93,-200,-200,-200,-200,-200,-97,-200,-200,-200,-85,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
