,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A38,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526462963268,-38,-19,-47,-43,-58,-52,-54,-58,-80,-50,-59,-51,-48,-54,-65,-50,-200,-51,-58,-58,-54,-200,-77,-62,-66,-68,-200,-68,-73,-58,-68,-59,-67,-60,-200,-200,-76,-74,-48,-82,-200,-63,-200,-200,-53,-200,-85,-200,-200,-200,-35,-51,-63,-78,-200,-200,-200,-85,-75,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-75,-78,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462966312,-34,-24,-46,-42,-55,-51,-54,-54,-80,-50,-61,-51,-48,-51,-66,-58,-200,-46,-58,-51,-53,-90,-73,-61,-66,-69,-200,-74,-73,-57,-81,-59,-67,-71,-78,-200,-77,-74,-49,-80,-200,-63,-200,-200,-81,-200,-87,-200,-200,-200,-33,-52,-62,-72,-200,-200,-69,-85,-73,-200,-200,-200,-68,-200,-200,-200,-200,-200,-200,-73,-200,-200,-200,-200,-82,-78,-78,-80,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462969379,-37,-20,-45,-43,-60,-51,-54,-52,-51,-52,-59,-57,-48,-52,-66,-56,-200,-47,-59,-73,-58,-64,-73,-62,-65,-69,-200,-70,-200,-57,-68,-61,-70,-72,-78,-75,-77,-74,-80,-81,-200,-63,-200,-200,-78,-200,-87,-200,-200,-200,-37,-45,-62,-72,-200,-200,-69,-85,-73,-200,-200,-200,-61,-83,-200,-78,-200,-92,-200,-77,-200,-200,-200,-200,-82,-88,-200,-80,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462972438,-35,-66,-48,-41,-57,-51,-55,-50,-60,-49,-59,-56,-48,-51,-200,-57,-200,-67,-59,-57,-56,-64,-84,-62,-65,-67,-200,-70,-200,-57,-59,-59,-67,-70,-200,-75,-77,-74,-80,-60,-200,-63,-200,-200,-51,-200,-81,-200,-200,-200,-34,-51,-200,-65,-76,-200,-200,-200,-200,-200,-200,-200,-66,-70,-200,-78,-200,-92,-200,-77,-200,-85,-200,-200,-200,-78,-200,-80,-200,-71,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462975488,-33,-20,-48,-43,-57,-51,-53,-50,-56,-49,-58,-72,-48,-49,-67,-52,-200,-52,-59,-57,-56,-64,-77,-62,-65,-66,-200,-71,-200,-55,-67,-59,-65,-70,-200,-76,-52,-71,-79,-81,-200,-68,-200,-200,-78,-85,-81,-200,-200,-200,-34,-48,-200,-87,-88,-81,-200,-200,-74,-200,-200,-200,-66,-73,-73,-78,-200,-92,-200,-77,-200,-81,-200,-87,-200,-78,-200,-77,-200,-71,-84,-76,-76,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526462978544,-35,-22,-44,-41,-50,-50,-53,-200,-60,-53,-50,-52,-46,-53,-67,-52,-200,-48,-53,-59,-55,-61,-66,-61,-72,-66,-200,-66,-200,-57,-80,-61,-66,-70,-200,-76,-77,-71,-71,-79,-200,-68,-200,-200,-50,-85,-200,-200,-200,-200,-38,-48,-200,-87,-88,-81,-200,-200,-74,-200,-200,-200,-200,-73,-73,-200,-200,-200,-200,-200,-200,-81,-200,-87,-200,-200,-77,-77,-200,-74,-85,-76,-76,-88,-80,-200,-200,-200,-200,-200,-200,-200
1526462981614,-34,-19,-45,-48,-61,-50,-54,-51,-60,-53,-60,-56,-48,-53,-200,-54,-62,-52,-57,-59,-55,-65,-71,-64,-67,-200,-200,-70,-200,-55,-67,-61,-67,-72,-200,-74,-77,-74,-73,-79,-200,-67,-200,-200,-79,-200,-200,-200,-200,-200,-38,-47,-200,-74,-200,-200,-200,-86,-200,-200,-81,-200,-69,-200,-74,-79,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-78,-200,-200,-74,-85,-200,-200,-200,-80,-85,-200,-200,-200,-200,-200,-200
1526462984663,-35,-19,-47,-43,-56,-50,-55,-52,-57,-51,-59,-56,-48,-52,-65,-51,-65,-52,-57,-58,-55,-90,-76,-62,-67,-66,-200,-69,-200,-56,-69,-61,-67,-70,-200,-74,-77,-74,-79,-81,-200,-67,-200,-200,-78,-200,-200,-200,-200,-200,-35,-50,-200,-74,-200,-200,-200,-86,-200,-200,-82,-200,-69,-200,-74,-79,-200,-200,-200,-75,-76,-200,-200,-200,-200,-200,-78,-200,-200,-74,-85,-200,-200,-200,-80,-85,-85,-200,-200,-200,-200,-200
1526462987681,-36,-24,-46,-44,-56,-52,-53,-52,-57,-51,-59,-51,-48,-50,-65,-57,-65,-47,-57,-57,-200,-90,-72,-61,-200,-77,-200,-72,-73,-58,-64,-200,-67,-70,-200,-200,-77,-72,-79,-62,-200,-200,-200,-200,-79,-200,-200,-200,-200,-200,-37,-50,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-69,-200,-78,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-86,-200,-200,-200,-200
1526462990731,-33,-19,-46,-42,-64,-51,-56,-61,-200,-52,-59,-55,-48,-50,-200,-55,-200,-66,-57,-67,-200,-200,-72,-61,-67,-66,-200,-70,-73,-57,-67,-200,-68,-71,-200,-74,-77,-72,-79,-79,-200,-66,-200,-200,-62,-200,-200,-200,-200,-200,-35,-51,-67,-200,-200,-80,-200,-71,-75,-84,-200,-200,-200,-69,-79,-78,-200,-200,-200,-77,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-74,-80,-200,-200,-200,-200,-86,-80,-84,-90,-200
1526462993797,-22,-76,-63,-42,-56,-50,-54,-72,-58,-53,-60,-51,-48,-51,-80,-65,-200,-46,-58,-57,-59,-65,-200,-62,-67,-66,-80,-70,-200,-57,-69,-61,-68,-71,-200,-74,-77,-200,-79,-81,-200,-63,-200,-200,-79,-200,-200,-200,-200,-200,-38,-63,-63,-200,-200,-80,-200,-71,-75,-84,-200,-200,-200,-200,-79,-200,-200,-200,-65,-77,-74,-89,-89,-200,-200,-200,-200,-91,-200,-85,-200,-74,-80,-200,-84,-83,-200,-200,-80,-84,-90,-200
1526462996805,-39,-19,-48,-43,-57,-50,-57,-72,-53,-59,-56,-56,-51,-51,-80,-53,-200,-45,-59,-57,-59,-65,-75,-53,-67,-200,-80,-68,-200,-54,-68,-60,-62,-71,-200,-200,-75,-200,-82,-79,-200,-66,-200,-200,-78,-200,-200,-200,-200,-200,-34,-49,-63,-200,-200,-200,-200,-200,-200,-200,-200,-200,-61,-200,-200,-200,-200,-200,-65,-200,-81,-89,-89,-200,-200,-200,-200,-91,-200,-85,-200,-200,-200,-200,-84,-83,-200,-200,-200,-200,-200,-89
