,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A38
1526463293528,-24,-20,-44,-59,-60,-51,-51,-47,-77,-44,-56,-60,-51,-55,-56,-200,-66,-63,-67,-64,-200,-200,-55,-64,-52,-67,-67,-50,-72,-63,-200,-200,-63,-200,-68,-200,-80,-200,-72,-89,-200,-79,-81,-77,-200,-63,-64,-78,-200,-73,-200,-200,-200,-200,-200,-200,-70,-200,-200,-83,-200,-200,-200,-200,-200,-200,-69,-200,-78,-200,-200,-200,-200,-90,-200,-80,-200,-88,-76,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463296533,-23,-20,-44,-59,-60,-51,-51,-47,-77,-52,-57,-56,-51,-55,-56,-200,-65,-63,-67,-74,-200,-200,-55,-69,-49,-67,-67,-49,-74,-64,-200,-200,-63,-200,-68,-200,-80,-200,-72,-89,-200,-79,-81,-77,-200,-77,-77,-51,-200,-73,-200,-200,-200,-200,-200,-200,-70,-200,-78,-83,-75,-200,-200,-200,-200,-200,-69,-200,-78,-200,-200,-200,-200,-90,-200,-80,-200,-88,-76,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463299539,-25,-20,-43,-60,-60,-51,-52,-47,-77,-52,-55,-56,-48,-53,-58,-200,-65,-63,-200,-74,-200,-200,-55,-68,-52,-200,-66,-52,-72,-71,-200,-200,-64,-200,-69,-200,-200,-200,-200,-200,-200,-200,-83,-77,-200,-75,-64,-77,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-78,-80,-75,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-81,-82,-84,-87,-88,-88,-89,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463302543,-34,-19,-43,-61,-60,-51,-54,-47,-76,-52,-54,-63,-48,-56,-58,-200,-65,-63,-69,-74,-200,-83,-56,-69,-49,-77,-82,-49,-72,-72,-200,-200,-64,-200,-69,-200,-200,-200,-73,-77,-200,-200,-83,-77,-200,-77,-74,-51,-200,-200,-200,-200,-200,-200,-200,-200,-73,-200,-78,-83,-75,-200,-200,-200,-200,-200,-200,-74,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200,-200,-80,-82,-84,-87,-88,-88,-89,-90,-91,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463305547,-25,-20,-44,-59,-200,-51,-49,-47,-77,-52,-54,-62,-48,-54,-58,-200,-65,-200,-66,-74,-200,-83,-55,-68,-52,-52,-82,-49,-72,-72,-200,-82,-64,-76,-67,-200,-200,-200,-70,-77,-200,-200,-200,-77,-200,-72,-82,-77,-200,-79,-81,-80,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-71,-200,-77,-200,-200,-90,-85,-79,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463308552,-25,-20,-44,-59,-200,-51,-55,-47,-77,-52,-57,-63,-53,-55,-58,-200,-63,-200,-66,-77,-200,-83,-54,-68,-52,-52,-82,-50,-72,-63,-200,-82,-63,-76,-67,-200,-200,-200,-63,-77,-200,-200,-81,-77,-200,-77,-83,-77,-200,-79,-81,-80,-200,-200,-200,-200,-67,-78,-200,-84,-75,-200,-200,-200,-200,-200,-200,-200,-74,-200,-77,-200,-200,-90,-85,-79,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526463311556,-32,-20,-44,-60,-200,-51,-55,-47,-77,-54,-57,-62,-51,-54,-56,-200,-63,-63,-68,-47,-67,-83,-54,-69,-52,-55,-200,-51,-73,-63,-200,-66,-47,-76,-67,-200,-200,-200,-72,-200,-200,-200,-81,-77,-200,-77,-82,-78,-77,-79,-81,-80,-200,-200,-200,-200,-72,-78,-200,-80,-75,-81,-200,-200,-200,-86,-200,-200,-74,-200,-77,-200,-200,-200,-85,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-87,-91,-200,-200,-200,-200,-200,-200,-200
1526463314606,-25,-20,-44,-60,-60,-51,-53,-47,-77,-52,-54,-54,-51,-56,-55,-200,-79,-63,-68,-74,-67,-83,-55,-69,-51,-55,-66,-49,-73,-63,-200,-66,-64,-73,-200,-200,-200,-200,-72,-200,-200,-200,-200,-77,-200,-77,-78,-78,-78,-79,-200,-200,-200,-200,-200,-200,-70,-200,-80,-83,-74,-81,-200,-200,-200,-86,-69,-200,-200,-200,-75,-200,-200,-89,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-87,-91,-200,-200,-200,-200,-200,-200,-200
1526463317656,-24,-20,-44,-200,-60,-51,-61,-47,-77,-52,-56,-55,-52,-54,-58,-76,-64,-62,-67,-64,-63,-200,-55,-200,-52,-200,-66,-53,-72,-63,-82,-200,-64,-73,-68,-68,-200,-200,-200,-200,-200,-200,-200,-77,-85,-76,-82,-78,-78,-200,-200,-200,-200,-200,-200,-200,-71,-200,-80,-83,-74,-200,-200,-200,-200,-200,-69,-200,-200,-200,-87,-200,-200,-89,-200,-200,-84,-200,-200,-200,-200,-81,-200,-200,-200,-86,-200,-200,-200,-200,-74,-200,-200,-87,-91,-200,-200,-200,-200,-200
1526463320675,-33,-20,-44,-61,-58,-51,-53,-47,-77,-49,-55,-55,-50,-55,-57,-76,-65,-63,-67,-74,-66,-200,-55,-200,-59,-200,-66,-50,-73,-63,-82,-200,-63,-73,-68,-68,-200,-200,-200,-200,-200,-80,-83,-77,-85,-74,-82,-51,-78,-200,-200,-200,-200,-200,-200,-200,-73,-82,-81,-51,-76,-200,-200,-200,-200,-200,-69,-200,-200,-200,-87,-200,-200,-89,-77,-200,-84,-200,-200,-200,-200,-81,-200,-200,-200,-86,-200,-200,-200,-200,-74,-200,-200,-87,-91,-81,-200,-200,-200,-200
1526463323724,-25,-20,-47,-63,-58,-51,-57,-47,-47,-52,-55,-60,-53,-81,-58,-200,-66,-65,-73,-74,-66,-200,-87,-86,-52,-58,-200,-50,-72,-63,-200,-200,-63,-70,-68,-200,-86,-200,-200,-200,-64,-80,-83,-77,-200,-77,-47,-78,-200,-78,-200,-81,-200,-200,-200,-200,-71,-82,-81,-81,-73,-200,-200,-84,-200,-200,-200,-75,-200,-200,-200,-200,-200,-90,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-91,-81,-84,-86,-89,-89
1526463326778,-25,-20,-43,-61,-61,-51,-53,-47,-77,-52,-55,-55,-50,-55,-57,-200,-66,-62,-68,-74,-200,-200,-55,-71,-51,-58,-68,-50,-73,-200,-200,-200,-63,-74,-68,-200,-86,-200,-73,-200,-64,-200,-200,-77,-85,-77,-82,-77,-200,-74,-82,-81,-200,-200,-200,-200,-72,-200,-80,-83,-73,-82,-200,-84,-200,-200,-200,-75,-200,-200,-200,-200,-200,-90,-79,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-89,-76,-200,-200,-200,-200,-200,-84,-86,-89,-89
