,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,DLINK_D02A18,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro
1526462590282,-30,-35,-45,-45,-50,-50,-48,-48,-54,-56,-44,-41,-59,-50,-55,-65,-75,-200,-62,-65,-67,-70,-78,-65,-61,-63,-65,-66,-65,-69,-68,-200,-50,-73,-61,-67,-72,-72,-63,-200,-80,-65,-77,-200,-77,-54,-90,-72,-79,-81,-200,-200,-200,-65,-200,-83,-69,-74,-74,-200,-69,-90,-200,-82,-89,-200,-76,-200,-68,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-63,-90,-92,-84,-87,-84,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462593291,-32,-33,-41,-45,-47,-50,-49,-49,-200,-56,-46,-40,-57,-50,-200,-65,-49,-63,-62,-62,-67,-70,-77,-65,-61,-64,-65,-70,-61,-68,-68,-200,-67,-72,-58,-67,-72,-72,-64,-200,-200,-200,-79,-200,-200,-54,-200,-72,-79,-72,-200,-200,-200,-72,-200,-67,-70,-74,-74,-200,-200,-200,-200,-86,-89,-200,-76,-200,-74,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-84,-84,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462596344,-33,-34,-47,-42,-46,-51,-48,-48,-53,-51,-48,-43,-59,-49,-200,-200,-50,-63,-64,-62,-200,-69,-76,-64,-59,-63,-200,-70,-65,-67,-70,-70,-69,-71,-62,-61,-72,-73,-62,-200,-200,-200,-78,-200,-200,-54,-200,-71,-79,-82,-200,-200,-200,-64,-200,-67,-70,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-74,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-90,-200,-84,-84,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526462599410,-30,-34,-46,-44,-47,-51,-62,-50,-83,-84,-48,-40,-58,-50,-73,-82,-47,-200,-64,-200,-90,-69,-77,-78,-59,-63,-71,-200,-70,-67,-70,-70,-69,-72,-60,-61,-72,-73,-80,-200,-87,-200,-70,-200,-200,-59,-78,-71,-80,-82,-200,-200,-200,-72,-200,-80,-200,-85,-74,-200,-82,-200,-200,-85,-200,-76,-200,-200,-78,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-200,-90,-200,-200,-200,-90,-86,-200,-200,-200,-200,-200,-200,-200
1526462602458,-34,-32,-46,-43,-41,-49,-53,-49,-55,-56,-48,-42,-60,-50,-58,-64,-73,-62,-62,-59,-68,-68,-75,-66,-59,-62,-62,-66,-63,-68,-67,-70,-69,-72,-58,-62,-72,-73,-62,-200,-87,-67,-70,-200,-200,-59,-78,-200,-77,-80,-200,-200,-200,-72,-200,-80,-80,-85,-74,-200,-82,-200,-82,-87,-200,-76,-200,-200,-78,-200,-200,-200,-88,-200,-200,-85,-200,-77,-200,-200,-200,-200,-63,-200,-87,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526462605529,-33,-33,-43,-45,-40,-50,-63,-49,-53,-56,-50,-41,-58,-51,-56,-64,-49,-63,-63,-59,-68,-69,-51,-86,-61,-64,-62,-66,-63,-67,-67,-62,-68,-72,-61,-60,-73,-72,-62,-200,-87,-67,-72,-200,-200,-57,-78,-200,-80,-80,-200,-200,-200,-72,-68,-67,-80,-74,-74,-77,-74,-200,-82,-85,-200,-76,-73,-76,-78,-200,-200,-200,-88,-200,-200,-85,-200,-77,-200,-200,-200,-200,-63,-200,-87,-200,-200,-200,-200,-200,-200,-86,-89,-200,-200,-200,-200,-200,-200
1526462608599,-32,-37,-45,-44,-45,-51,-48,-50,-53,-83,-46,-40,-58,-47,-58,-64,-54,-64,-61,-73,-200,-68,-78,-67,-60,-64,-63,-200,-200,-67,-67,-66,-51,-71,-62,-90,-71,-73,-62,-200,-200,-200,-72,-200,-74,-57,-200,-200,-58,-75,-200,-200,-200,-200,-68,-67,-200,-72,-200,-77,-74,-200,-200,-85,-200,-200,-73,-76,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-77,-200,-200,-200,-200,-200
1526462611649,-33,-68,-44,-43,-42,-51,-49,-50,-55,-56,-49,-39,-57,-52,-58,-200,-54,-64,-61,-56,-200,-68,-80,-70,-63,-62,-65,-200,-200,-70,-63,-57,-73,-51,-62,-90,-73,-58,-200,-81,-200,-200,-81,-200,-74,-200,-200,-200,-81,-79,-200,-200,-200,-200,-200,-67,-200,-72,-200,-200,-74,-200,-200,-83,-200,-200,-200,-76,-75,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-77,-83,-89,-200,-200,-200
1526462614710,-31,-32,-44,-44,-42,-50,-51,-48,-54,-56,-54,-40,-59,-52,-67,-62,-54,-200,-64,-59,-70,-68,-77,-71,-59,-63,-62,-200,-63,-70,-71,-57,-70,-71,-62,-62,-72,-72,-200,-81,-200,-200,-81,-200,-200,-52,-200,-72,-79,-80,-200,-200,-200,-200,-200,-67,-59,-200,-200,-200,-70,-200,-200,-86,-200,-77,-200,-76,-78,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-83,-89,-85,-200,-200
1526462617751,-32,-37,-46,-44,-46,-50,-48,-49,-54,-53,-48,-42,-58,-51,-67,-64,-200,-200,-64,-59,-70,-68,-77,-64,-59,-63,-63,-69,-64,-200,-71,-200,-69,-72,-62,-60,-72,-72,-63,-200,-76,-200,-200,-200,-200,-54,-200,-72,-80,-81,-200,-200,-200,-70,-200,-200,-71,-200,-200,-200,-70,-200,-200,-85,-90,-77,-200,-200,-78,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526462620828,-33,-35,-45,-45,-46,-50,-81,-49,-55,-55,-48,-43,-57,-50,-200,-64,-61,-200,-64,-63,-85,-69,-78,-65,-59,-63,-63,-66,-64,-200,-200,-70,-69,-72,-62,-60,-69,-73,-64,-200,-78,-64,-200,-200,-200,-54,-200,-200,-79,-81,-200,-200,-200,-64,-200,-57,-70,-200,-77,-200,-74,-200,-200,-86,-90,-200,-200,-200,-200,-200,-200,-85,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-65,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526462623897,-33,-82,-46,-44,-200,-51,-48,-48,-55,-56,-47,-41,-57,-48,-59,-64,-50,-62,-63,-65,-85,-69,-77,-64,-59,-63,-200,-72,-84,-69,-82,-68,-51,-72,-62,-61,-72,-73,-60,-200,-78,-63,-200,-200,-88,-58,-200,-74,-79,-82,-200,-200,-200,-72,-200,-67,-70,-200,-77,-200,-74,-200,-200,-51,-90,-200,-200,-200,-78,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-86
