,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526450392588,-200,-89,-82,-89,-200,-200,-200,-98,-200,-200,-94,-91,-200,-200,-91,-200,-200,-200,-200,-200
1526450397077,-200,-71,-67,-77,-200,-74,-86,-200,-200,-200,-92,-200,-200,-200,-200,-88,-200,-200,-200,-200
1526450397205,-72,-71,-68,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526450397322,-200,-71,-67,-78,-200,-74,-87,-200,-200,-200,-200,-200,-91,-200,-90,-200,-200,-200,-200,-200
1526450397429,-200,-71,-67,-78,-89,-75,-88,-200,-200,-95,-200,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526450397535,-71,-200,-67,-78,-200,-74,-87,-200,-200,-91,-92,-200,-200,-200,-90,-200,-200,-200,-200,-200
1526450397647,-71,-200,-67,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450402053,-200,-77,-67,-72,-83,-70,-200,-90,-200,-86,-88,-200,-89,-93,-200,-200,-91,-200,-98,-200
1526450402232,-68,-77,-66,-72,-83,-70,-79,-200,-200,-200,-89,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526450402416,-69,-77,-68,-200,-84,-71,-200,-89,-200,-200,-90,-200,-200,-95,-200,-200,-200,-200,-200,-200
1526450402578,-68,-200,-83,-73,-83,-69,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450407097,-81,-200,-83,-90,-200,-80,-200,-98,-88,-200,-94,-92,-94,-200,-200,-200,-200,-200,-200,-200
1526450407191,-80,-89,-81,-90,-200,-80,-92,-200,-88,-200,-95,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526450407301,-82,-89,-83,-89,-200,-79,-91,-96,-88,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526450407411,-200,-89,-83,-89,-98,-79,-91,-200,-88,-200,-200,-91,-93,-95,-200,-200,-200,-200,-200,-200
1526450407523,-80,-89,-83,-89,-200,-79,-91,-200,-89,-200,-200,-93,-200,-95,-200,-200,-200,-200,-200,-200
1526450407635,-68,-200,-83,-89,-200,-200,-200,-200,-88,-200,-200,-200,-92,-200,-200,-87,-200,-200,-200,-200
1526450412098,-71,-73,-67,-200,-88,-200,-200,-200,-200,-92,-200,-200,-91,-93,-200,-200,-200,-200,-200,-200
1526450412202,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95
1526450412298,-200,-73,-68,-78,-200,-75,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450412445,-200,-70,-67,-200,-89,-74,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526450412568,-200,-200,-67,-200,-89,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
